"gene_name","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ALDOB",1.61812442553672,1.84660975015705,4.20338926817429,0.000102084169737798,0.306252509213393,-3.54835606830951
"FOXQ1",0.886250424469748,2.60268695420086,3.40507518543265,0.00127175577934948,0.828712147160853,-3.747804992029
"IAPP",-2.50582630917892,5.6261909630449,-3.33076400835437,0.00158687241693688,0.828712147160853,-3.41817603881903
"IL1R1",0.836980233824578,5.87334319822582,3.30829299784267,0.00169587588937198,0.828712147160853,-3.27256776516674
"IGFBP5",-0.986798365840958,5.19500291616172,-3.29665031302582,0.00175510186169811,0.828712147160853,-3.444453696592
"SLC6A20",1.35117357242431,2.21743524169347,3.27964670858275,0.0018451220307223,0.828712147160853,-3.86983399168726
"SLC6A8",0.537908346202025,5.02802209799873,3.26367081051577,0.00193366167670866,0.828712147160853,-3.42246824362611
"C1QTNF4",-0.652644071273659,6.86985367696991,-3.13410350464276,0.00281501393956067,0.855556424562567,-3.33889486863135
"ITGB5",0.542141316064605,5.70572843583667,3.03339264562611,0.00374752464358107,0.855556424562567,-3.50924555975488
"TMEM242",-0.409038376789317,6.69184519926409,-3.02263417474538,0.00386265279647381,0.855556424562567,-3.43531922118849
"MPST",-0.692611377517332,4.09957989759511,-3.01743344597019,0.00391948378723623,0.855556424562567,-3.76762004433425
"TNFAIP3",0.878693958304873,3.56085918733773,2.89410806950985,0.00551867088897714,0.855556424562567,-3.8495212618617
"CTRL",1.31856666789716,3.10268102025026,2.87070648749226,0.00588348369286502,0.855556424562567,-3.92568779045488
"SCGB2A1",-0.43174723340047,9.53746764710616,-2.7681197213319,0.00776184442691919,0.855556424562567,-3.41685605753857
"HOPX",-0.685234850968392,8.14353347179393,-2.74765497278551,0.00819719579895492,0.855556424562567,-3.53944360462511
"SCNN1A",0.94877899083849,2.0922064620846,2.73582641530657,0.00845896717090704,0.855556424562567,-4.11184591999532
"TMEM265",0.565573557991832,3.80935544807172,2.71342716550191,0.00897584606970554,0.855556424562567,-3.92071850058778
"ICAM1",1.41300712356972,3.66352104869589,2.67844240320144,0.00984142207658873,0.855556424562567,-3.94036671446188
"PCK1",-1.88477471762911,0.810784368683494,-2.65995604634759,0.0103290869899019,0.855556424562567,-4.33834771413621
"AMY2B",0.811664169498599,2.68726604597411,2.60784271679021,0.0118252440026182,0.855556424562567,-4.10130750440397
"TSPO",-0.578113577929703,5.85505779894337,-2.59071226621017,0.0123586551834858,0.855556424562567,-3.83286167685014
"TARBP2",-0.503439184813349,4.10361507423096,-2.57690488879419,0.0128044461784198,0.855556424562567,-3.99152125112239
"GRK5",-1.11620054822037,0.425850456223602,-2.57128380428186,0.0129900860095095,0.855556424562567,-4.36134563276689
"NMB",-0.351010123961716,7.20831665488502,-2.57114885600499,0.0129945727073768,0.855556424562567,-3.7404732150753
"KIF6",-0.859990404289168,1.44040436159454,-2.55468499422482,0.0135526507095273,0.855556424562567,-4.28729344652623
"SNRNP35",-0.441582787943746,5.55453210788395,-2.54723189702858,0.0138123795563962,0.855556424562567,-3.87491274937384
"RAB11FIP1",0.462309515916054,8.07308688566291,2.53451071483821,0.0142661541765213,0.855556424562567,-3.70120365604342
"MIA3",0.463994275081864,7.09068599057701,2.51358555291281,0.0150420673198277,0.855556424562567,-3.7787630025121
"CNN3",-0.448697075701482,5.2074950089329,-2.51029229655279,0.015167606534466,0.855556424562567,-3.9294232421245
"CPM",0.90772618236519,4.09990272859718,2.49557818146216,0.0157401796146844,0.855556424562567,-4.00312736299908
"INHA",0.660974359518517,1.62390427057435,2.47617353821568,0.0165251591854624,0.855556424562567,-4.25274362012312
"LINC01918",-1.21020292024521,0.423714918054377,-2.47396167084174,0.0166168458812183,0.855556424562567,-4.38236231394131
"NPY",-1.17514512351631,5.86739368605168,-2.46826855320702,0.0168549547826702,0.855556424562567,-3.91686572837142
"GGH",-0.660587840216315,4.08065901653785,-2.45969115327965,0.0172195149364234,0.855556424562567,-4.06168034340311
"CTC1",0.482220292519486,3.22631150894198,2.44565490799824,0.0178314561151159,0.855556424562567,-4.11305989500764
"LINC01714",-1.28005322638365,-1.25791513295928,-2.44295808117739,0.0179512506153624,0.855556424562567,-4.44592991829974
"FABP5",-0.952423098017977,8.81629230429693,-2.42222405387738,0.0188967487192349,0.855556424562567,-3.77338458375225
"SLC22A17",0.387494132062312,9.16045384407954,2.4221951717211,0.0188980964540249,0.855556424562567,-3.73401958338186
"MFGE8",-1.31088223072117,0.617650641253208,-2.41515540339772,0.0192291849256883,0.855556424562567,-4.383542128889
"GC",0.349479657659989,11.0151800081738,2.41379411017902,0.0192938065569908,0.855556424562567,-3.65677340402904
"ENAH",-0.52817247741087,5.07200995612886,-2.40504516562877,0.0197138043256505,0.855556424562567,-4.00691457713639
"SELENOM",-0.527890824648677,8.16541196031195,-2.40272827983331,0.0198263943732039,0.855556424562567,-3.81472849155118
"FAM104B",-0.557643779247513,5.48491873470635,-2.39925730471264,0.0199961485627445,0.855556424562567,-3.97659727907833
"ETS1",0.562727916328255,6.29389690675495,2.37522391143639,0.0212077708381522,0.855556424562567,-3.92459223488015
"MAFF",0.876694046747069,4.95708809189263,2.37358822741491,0.0212925753236793,0.855556424562567,-4.00668133538252
"BMP8A",0.500978906899286,2.8437171712725,2.34543477198073,0.0228006083940063,0.855556424562567,-4.19117519735077
"TMSB10",-0.594488595057902,9.48673010238098,-2.3193755166515,0.0242807823528155,0.855556424562567,-3.81846374251021
"ITPRIP",0.870081469272935,0.953050176044553,2.29737961053741,0.0255962029618087,0.855556424562567,-4.34902899989557
"SERPINA1",0.666794880884444,11.1931990790543,2.28770565319772,0.0261945455078234,0.855556424562567,-3.76377943308002
"GATAD2B",0.458451284692654,6.3235256536828,2.28651112537653,0.0262692839893357,0.855556424562567,-3.9821236791495
"NDUFAB1",-0.331117178915116,9.09486691610877,-2.27296568558452,0.0271301397902457,0.855556424562567,-3.87004953961311
"STMN1",-0.686595061207981,7.00791331648617,-2.27239111736433,0.0271672028955765,0.855556424562567,-3.97252119111961
"ZNF555",0.81630232149012,6.18842176768996,2.25100994893874,0.0285787570210366,0.855556424562567,-4.01071253690443
"SYNM",-1.04162561736471,0.312855073561843,-2.24827493584844,0.0287639280116286,0.855556424562567,-4.42808649719918
"P4HA3",-0.831186594462346,1.40846669581858,-2.24514740595906,0.0289769754625064,0.855556424562567,-4.36456565072869
"FABP4",-1.3183701668199,-0.481651258742425,-2.23991608883908,0.0293364568732187,0.855556424562567,-4.45815627707332
"RHOQ",0.612851697018769,7.16742792458192,2.23264176525013,0.029842885251937,0.855556424562567,-3.97536448203921
"NAGLU",0.368928719805436,5.92361394556919,2.23086000306822,0.0299681016981819,0.855556424562567,-4.03938525080031
"FXYD3",-0.56695710588229,8.80973538610588,-2.22920056168287,0.0300851393666827,0.855556424562567,-3.92046046664958
