umap1,umap2,state
-0.6283083,6.188553,start
2.809608,5.3839917,start
-0.63848543,7.7420216,start
2.2100596,5.375124,start
-1.1682812,5.863543,start
-0.05805802,8.803836,start
3.3406775,5.479932,start
-1.1098293,7.966744,start
3.8489432,6.6163025,start
-0.8115072,8.470417,start
0.85752887,7.8425317,start
0.56575894,6.4795675,start
-0.64829576,9.362542,start
2.8096375,4.942949,start
0.7208227,10.633295,start
5.498296,4.3189487,start
1.621571,7.667908,start
0.5601477,5.586344,start
1.9301339,7.191015,start
-0.4695344,7.5725384,start
-1.4100994,8.2939,start
2.366018,6.366596,start
-0.38116556,9.16694,start
2.8673162,10.369262,start
0.95173115,8.221665,start
1.3850819,7.7249804,start
0.9151847,9.556952,start
-0.93020445,6.3865705,start
5.4141164,9.451047,start
-1.3275654,9.58112,start
0.8552898,7.435661,start
1.4009384,5.7397513,start
-0.30690694,10.06182,start
5.070185,9.543666,start
1.4645035,10.614855,start
-0.45335418,8.2936325,start
-0.24739552,8.500416,start
-1.2599003,6.8815207,start
3.56314,7.782127,start
-1.1854265,6.53354,start
-1.6281309,7.871282,start
2.6407795,7.040493,start
-0.14959541,10.434049,start
0.739445,8.063453,start
0.11358458,10.365857,start
2.9123576,6.931959,start
4.7403092,5.0132456,start
1.2621996,9.979256,start
-0.032514,5.175544,start
0.95500207,7.985386,start
1.1954867,8.238239,start
5.455988,5.607516,start
-0.09051204,7.3075385,start
1.3826605,6.5116463,start
1.7224983,4.859227,start
2.4807284,5.512482,start
-1.6604419,8.429557,start
2.9453347,5.3836575,start
7.846806,6.5477095,start
-1.5179799,7.0586433,start
0.42984948,10.874235,start
1.9814368,7.306919,start
-0.010883566,8.587489,start
5.5707803,5.4646277,start
3.8758166,6.834882,start
4.6112027,8.348572,start
2.4290738,7.5831733,start
0.016792845,7.050133,start
0.22694974,7.6590157,start
3.183501,5.6218085,start
-1.0262882,6.869673,start
5.8479595,7.1816497,start
4.8136635,5.5209875,start
1.3941523,9.8901,start
-1.1835939,7.9232597,start
-1.0671805,8.282986,start
4.69759,7.917878,start
1.1739523,7.4266295,start
-0.7826335,7.852567,start
3.8752763,7.2771482,start
-0.2271503,8.914968,start
-0.44652113,8.088577,start
1.8277813,9.89398,start
0.68976873,7.7175126,start
1.5497024,10.264013,start
0.4664911,10.014963,start
