umap1,umap2,state
0.295269,3.3329632,start
-4.1127377,2.2238514,start
-3.250303,3.2913296,start
-4.2889385,1.2121902,start
-2.343236,3.188565,start
-3.826182,4.441689,start
-4.6542826,5.329038,start
-3.1111903,2.0336418,start
-4.385517,4.9525924,start
-2.0732038,1.1648123,start
-3.749005,4.815382,start
-5.7901235,4.136699,start
-2.0927625,3.8572996,start
-4.7055593,0.5233361,start
-1.5044756,4.668405,start
-3.1920328,5.7485375,start
-3.0680408,0.44608036,start
-6.2795978,3.2533367,start
-1.6795185,0.39010817,start
-4.4657865,4.117678,start
-3.9709394,3.0633886,start
-2.863074,5.172582,start
-2.6607451,2.8816323,start
-1.9672728,2.7252238,start
-3.4619646,1.5635341,start
-5.435628,3.0580547,start
-1.4561222,4.4909973,start
-2.5391994,1.0665392,start
-2.2046678,3.591138,start
-3.0123901,5.066402,start
-2.3753414,2.2102659,start
-6.1587644,3.4176807,start
-0.38679075,3.5677476,start
-3.1452804,6.742479,start
-1.7094142,3.999618,start
-3.5200233,4.9061193,start
-4.0742836,3.4815161,start
-5.809039,2.5579677,start
-2.600693,4.682897,start
-0.947304,5.7405467,start
-1.0565897,3.9757984,start
-1.1452482,4.2861876,start
-3.0404594,2.606697,start
-3.4654872,2.5489433,start
-1.751791,3.2110226,start
-1.0920314,4.4307976,start
-5.0368123,5.193949,start
-2.9280097,4.57651,start
-4.4295144,4.5110145,start
-0.93872994,1.5975919,start
-4.9975204,4.2901387,start
-3.6175609,1.7693552,start
-4.0225816,1.6468408,start
0.825559,5.41884,start
-5.3607917,2.7707691,start
-5.1341133,4.108184,start
-2.2132385,1.0593867,start
-5.559104,5.537926,start
-3.4259882,0.22171095,start
-1.0010842,1.4340575,start
-2.677446,4.86614,start
0.0568004,1.9669588,start
-5.145166,4.0902824,start
-4.5551667,5.6273317,start
-4.303038,5.5659757,start
1.2946011,6.572261,start
1.1254727,3.1451602,start
-3.6570678,2.3684618,start
-0.91425055,2.107904,start
2.3817213,3.2013352,start
-2.3686397,1.6206322,start
-5.820041,1.488653,start
-5.5572414,3.4568796,start
-3.660795,2.9717953,start
-2.4805286,2.8862686,start
-2.8065403,4.6363993,start
0.44957438,2.3387294,start
-1.9032596,1.6968716,start
-2.34325,3.966088,start
1.2777666,6.2775006,start
-1.5179487,2.3587468,start
-2.725638,3.1444433,start
-4.7642937,3.726545,start
-0.263807,3.550552,start
-0.52745557,4.233972,start
1.9409714,4.123918,start
-2.5242412,0.3102561,start
-3.5178986,5.287827,start
-0.6370913,4.4872103,start
-4.025737,4.4857173,start
-1.2792348,3.6617513,start
-2.57206,0.57526976,start
-5.7543936,4.9725857,start
-1.6779325,1.5368239,start
-1.6834604,0.8425072,start
-5.186431,1.155295,start
-1.0252771,2.499113,start
-3.179143,7.0058923,start
-2.6472948,5.333322,start
-4.4174943,4.4282374,start
-3.105187,2.7432518,start
-5.2090087,1.6099249,start
-4.6290717,6.4963255,start
-4.359885,4.3622146,start
-5.5140376,4.1752834,start
-5.240439,0.98024595,start
-1.5565467,2.544257,start
-4.9780397,2.8863082,start
-2.6523995,2.8598535,start
-6.05325,4.315097,start
-3.3451555,5.7402363,start
-4.3432336,1.4175237,start
-4.819706,4.841188,start
