umap1,umap2,state
7.856659,11.936085,start
7.7920055,14.482498,start
7.8326616,11.161442,start
8.376257,14.457215,start
9.283406,10.694937,start
3.239234,10.807245,start
9.910165,12.028183,start
8.462263,12.492473,start
6.4578757,13.299236,start
8.312495,12.116326,start
7.9898276,14.810496,start
7.290611,13.241208,start
7.659541,13.75421,start
7.5661945,9.964295,start
6.0494184,12.229269,start
3.3747919,11.546922,start
5.3010774,13.25199,start
7.292784,10.590688,start
2.4784467,11.718952,start
8.6898985,15.996935,start
5.5626683,11.247647,start
6.7066436,11.988143,start
5.623605,12.969177,start
9.00591,12.101249,start
6.921545,14.4455805,start
2.57863,13.365747,start
4.3773503,11.335842,start
6.8168364,13.419284,start
8.356701,13.059704,start
7.5361996,10.200439,start
7.7834287,10.936899,start
2.9690325,13.070332,start
7.982319,8.775999,start
8.302925,9.198816,start
7.857227,15.025727,start
6.3369694,11.748923,start
5.6491094,11.889781,start
6.5287867,16.889421,start
6.1805677,10.849982,start
8.290568,8.191477,start
3.035522,10.3164625,start
6.0040255,10.378262,start
6.3853836,12.677234,start
9.450185,12.040835,start
1.247757,11.42887,start
8.084659,16.89952,start
8.306652,13.149342,start
5.621327,13.082193,start
7.105198,11.808323,start
9.443925,10.387654,start
7.661431,9.221347,start
7.8502483,8.839144,start
8.539771,9.907203,start
8.623209,12.064209,start
9.496046,11.268652,start
2.5363722,12.731187,start
5.5171924,12.634601,start
7.6531663,11.195873,start
2.4059868,10.265271,start
6.1927333,15.29126,start
6.796675,12.20558,start
7.699112,9.666617,start
8.322194,16.084114,start
2.5414727,14.447691,start
7.4003906,9.345622,start
4.5189013,13.423949,start
9.014905,11.157698,start
7.7845736,9.5364895,start
8.777202,13.084102,start
9.55714,11.867899,start
7.6462293,12.75967,start
7.762962,10.513155,start
9.594719,10.986627,start
8.129634,10.848923,start
7.940289,9.686139,start
2.44127,12.908006,start
8.120564,14.462294,start
6.79136,10.552994,start
8.435864,11.572764,start
8.8498125,10.844572,start
7.183716,10.572942,start
6.935324,10.420141,start
2.75273,14.170923,start
9.315924,10.775259,start
8.670487,14.513609,start
7.8934917,12.301362,start
7.1666837,11.670514,start
8.628172,14.876542,start
3.7199502,11.022194,start
8.886945,11.998472,start
6.237705,13.529828,start
8.357484,9.445416,start
5.3238783,14.237203,start
8.524623,15.427044,start
5.9405417,11.917448,start
5.87151,11.134409,start
5.695019,14.269598,start
5.12322,10.047373,start
7.858344,15.13202,start
6.787414,12.03525,start
7.09702,13.834772,start
8.918767,10.372865,start
7.0979652,13.952388,start
7.124116,15.15456,start
5.85507,14.888239,start
7.2323623,15.447494,start
7.418316,11.194721,start
7.185969,13.417918,start
9.295398,11.006625,start
7.1515713,12.003006,start
6.9681783,11.374853,start
8.907618,13.749237,start
6.266948,10.208008,start
7.7083616,13.411277,start
8.634142,12.578952,start
7.779714,9.335681,start
7.0017033,11.88376,start
4.8906145,12.505661,start
7.347392,12.405867,start
8.432891,14.030342,start
9.518383,12.773227,start
7.6147966,11.020014,start
7.011543,7.6764894,start
8.087823,10.089116,start
9.625326,12.610964,start
6.6629424,9.861998,start
2.2848992,13.362046,start
2.0164013,13.897936,start
3.3564034,11.451988,start
8.724466,9.868239,start
7.1097884,14.246199,start
3.1962664,9.466181,start
6.9893217,15.029195,start
3.6891415,13.176146,start
8.0488405,15.263485,start
6.22994,10.369646,start
2.1599283,13.675863,start
2.0954864,9.650248,start
7.1145387,11.911423,start
9.432017,12.696293,start
8.533763,15.338604,start
5.2711368,11.646743,start
5.068621,12.398358,start
1.6459111,9.935297,start
8.694899,11.114622,start
8.569771,11.809276,start
7.401204,13.407813,start
7.8347383,11.544016,start
3.0758698,10.937008,start
8.363219,15.706647,start
8.704866,14.268942,start
7.590758,14.494407,start
7.572223,14.631914,start
8.273666,9.4292965,start
6.1982446,11.244223,start
8.126693,12.72205,start
6.255338,11.706543,start
3.1999583,10.700964,start
9.51246,11.842428,start
3.284268,11.464776,start
8.913343,10.1929245,start
5.902857,12.695962,start
8.890385,11.199546,start
1.2424889,11.4181385,start
9.591793,13.766716,start
8.34422,12.125383,start
7.0115027,11.635569,start
8.452085,12.490085,start
6.102921,11.028283,start
7.35628,13.075906,start
8.282929,13.1214285,start
1.6612905,11.967028,start
8.303063,12.488176,start
6.550717,12.7795315,start
6.5642414,11.034118,start
2.3255565,12.0178585,start
8.067556,10.643355,start
7.4250245,8.580036,start
5.4256306,13.175692,start
9.791263,12.236673,start
9.019316,10.834673,start
2.3741,11.284989,start
6.011044,10.845388,start
7.675484,8.943479,start
8.929686,14.758902,start
7.659104,14.625311,start
6.1255016,11.590784,start
7.0787377,10.019827,start
7.726412,9.910223,start
4.6503468,11.626683,start
6.2514114,10.023534,start
6.626479,16.559666,start
8.873072,9.400749,start
7.5374746,7.9972367,start
6.2728963,10.58322,start
8.417324,13.945236,start
8.260986,11.371835,start
2.4473581,11.470285,start
6.6460476,13.37753,start
8.274307,10.933346,start
3.499651,11.882546,start
8.405512,16.036272,start
6.0286317,12.537552,start
7.5913463,14.776141,start
7.120724,7.934847,start
5.235653,12.494507,start
7.2358966,11.917943,start
9.355881,14.159771,start
8.639315,11.888126,start
8.892754,10.326814,start
7.412271,12.83029,start
7.446506,10.252157,start
9.01261,10.882175,start
7.9027267,13.3224325,start
9.058605,12.636662,start
6.6709642,11.070781,start
7.5578675,14.630299,start
8.412226,13.094681,start
2.3182871,10.893464,start
6.2594347,12.67378,start
6.0766873,12.621892,start
8.599974,12.186526,start
6.187314,16.065325,start
7.5769343,8.532448,start
4.866812,10.586794,start
7.6473618,11.852186,start
8.580382,10.288954,start
5.8761916,11.758241,start
3.358541,11.864759,start
5.5610476,13.304401,start
8.741449,11.3617,start
9.920379,12.672644,start
5.294131,13.751381,start
2.5309117,12.41376,start
7.268723,15.278148,start
4.030351,11.393629,start
8.055384,13.231398,start
5.942362,8.364495,start
1.665064,10.134092,start
8.383711,11.230326,start
5.463021,11.362968,start
4.7613163,11.28056,start
6.0352283,14.814472,start
7.385892,15.760394,start
3.0825744,9.222667,start
6.477918,13.249667,start
6.5706453,11.357134,start
7.267976,13.3097725,start
7.2968554,11.916421,start
7.0481677,13.01852,start
9.073387,10.531144,start
7.155479,8.729257,start
4.380896,15.223784,start
2.3497946,12.71561,start
2.8370917,13.94112,start
3.2097886,12.025503,start
8.85554,12.060336,start
8.752378,9.421763,start
5.2850485,9.084949,start
7.1615143,7.9318705,start
5.8890886,13.607593,start
8.94911,11.167993,start
7.6357775,11.050233,start
5.839546,14.686346,start
8.447829,14.248172,start
6.1447306,12.009149,start
3.0237498,12.161908,start
3.8356853,9.446779,start
3.216331,13.274686,start
7.7051353,11.9161415,start
8.047698,11.532819,start
8.236637,14.545707,start
1.6842077,9.818093,start
3.6221101,10.712165,start
6.6976852,13.62743,start
8.131713,15.787858,start
5.460114,12.170001,start
7.6630425,12.441519,start
5.7866106,10.06116,start
8.043719,11.13326,start
9.480988,10.927979,start
8.407037,8.890733,start
7.5472326,14.774689,start
9.258262,11.572665,start
8.566815,12.698061,start
3.2133071,13.177714,start
5.5332384,8.244081,start
8.536552,9.338426,start
8.518465,16.410284,start
1.4920688,10.47932,start
7.0255127,12.526474,start
4.4216194,10.55285,start
9.608648,10.572205,start
7.239426,12.307162,start
9.535981,11.532001,start
3.7802815,12.050055,start
7.624568,8.696897,start
4.695487,13.377944,start
8.602601,15.724355,start
9.767426,11.971087,start
8.853536,11.328246,start
7.431242,10.488211,start
8.019862,12.356574,start
8.887675,9.805365,start
8.924441,13.045744,start
5.9667883,13.867491,start
4.344761,13.231151,start
3.1568553,13.301348,start
3.3998387,9.741818,start
