umap1,umap2,state
1.1512983,8.653062,start
2.4071422,6.789981,start
-0.19762996,8.775809,start
2.0830214,7.582525,start
-0.096648164,8.076437,start
-0.4017014,10.621977,start
3.56867,6.138908,start
-0.55107003,10.870285,start
4.437296,7.099243,start
-0.8030038,9.687078,start
2.0315678,10.064687,start
-0.5169918,7.8363347,start
0.19417831,11.919395,start
7.4009843,6.906596,start
1.226364,9.512679,start
6.6843996,5.9247723,start
2.6930459,10.308334,start
1.9476476,7.7696247,start
3.2828934,9.65561,start
0.8488787,10.7117,start
0.40627077,11.592296,start
3.338574,8.382022,start
-0.3765937,8.936319,start
3.1785734,8.921122,start
1.7820426,11.317142,start
2.1835911,10.139275,start
0.77661973,10.846082,start
-0.49454516,8.823253,start
5.915233,9.212175,start
-0.7850798,11.449423,start
2.2286632,9.9407625,start
0.9786717,7.3221183,start
0.53318095,9.139535,start
6.289015,9.33036,start
3.2115102,10.294242,start
0.2501765,11.078349,start
0.90933436,11.082939,start
-1.0705153,8.740213,start
5.820668,8.445005,start
1.3067851,8.956208,start
-1.5773379,9.62821,start
2.7729216,7.9661045,start
-1.0656347,9.901254,start
2.3910947,11.695368,start
-0.014349291,10.090363,start
6.0881605,7.745132,start
5.1255794,5.952038,start
1.4222481,11.688878,start
1.6533332,8.225924,start
2.033808,10.482928,start
3.0987844,10.346082,start
5.6956887,6.4087243,start
1.3674461,9.423507,start
2.1191275,7.151543,start
5.9363127,6.1595197,start
5.8566637,6.9311175,start
-1.0586467,10.715957,start
3.325641,6.3227324,start
8.922747,8.405218,start
-0.08192183,9.165075,start
-0.03471827,9.624,start
0.834933,9.105414,start
0.8350791,11.486334,start
5.4175696,7.188339,start
5.623973,7.073869,start
6.6052346,7.0495806,start
3.8273258,9.552758,start
-0.8222007,8.384373,start
1.5287269,11.62943,start
3.913851,8.606721,start
0.022871433,8.667917,start
5.8428955,7.5584574,start
5.0467997,6.784596,start
1.1190759,7.7476535,start
-0.7142524,11.145564,start
-0.33375376,11.778539,start
5.106521,11.320275,start
2.8030121,9.157029,start
-0.1640352,11.324961,start
3.9197001,7.0193853,start
-0.92390865,10.243123,start
1.5237591,10.40181,start
2.9566512,9.326839,start
0.95661163,11.648886,start
2.2216911,10.557663,start
0.95286924,11.96878,start
0.26341882,8.381533,start
-0.0036777838,11.379286,start
6.6200266,8.312665,start
1.4858651,10.282649,start
0.08287586,11.935006,start
-0.37453273,8.066089,start
-1.7652609,9.760967,start
-0.18252555,8.455114,start
1.3196186,10.774954,start
1.4873071,7.914935,start
1.5678552,10.968804,start
2.699317,8.114632,start
-0.36899596,10.795588,start
5.6015167,7.942076,start
1.5156305,11.341747,start
0.5133682,7.9312067,start
4.687002,7.653408,start
3.6085465,5.870751,start
6.053343,5.259495,start
6.181732,5.4202147,start
-1.1401136,9.278917,start
0.23207504,7.9032097,start
6.656533,9.893746,start
-0.08032601,11.93762,start
-0.05955524,11.474914,start
0.9170885,11.285398,start
0.13985783,8.193571,start
3.7810206,10.159531,start
