umap1,umap2,state
-1.2221311,8.419661,start
-6.238811,7.206747,start
-4.326564,8.683236,start
-7.3336873,5.9153466,start
-4.9512806,9.839167,start
-4.3058805,9.859501,start
-6.123259,11.931834,start
-3.772466,7.4808197,start
-5.7534747,8.564811,start
-3.9173472,5.9317017,start
-5.932258,11.259312,start
-7.1965876,8.256732,start
-3.447709,8.8865385,start
-6.790235,5.0692406,start
-3.424691,10.890476,start
-6.4377465,8.866009,start
-5.6517916,11.587754,start
-7.5167747,7.0738297,start
-5.8610325,10.631957,start
-4.804143,9.6092005,start
-5.7722898,10.9553585,start
-3.440285,10.6609125,start
-3.8504066,9.4795475,start
-6.7369065,6.204483,start
-6.701058,9.969199,start
-7.7537184,9.113674,start
-3.1545806,11.040591,start
-4.197609,6.963693,start
-6.987186,8.888894,start
-4.1897883,8.321011,start
-5.751575,11.439598,start
-8.089524,9.817104,start
-1.6259327,9.986513,start
-5.7591567,6.834218,start
-3.760948,7.3545294,start
-4.612927,9.636306,start
-5.659957,7.246831,start
-7.5622745,7.149548,start
-5.021838,10.294391,start
-2.009599,7.348778,start
-2.9699733,6.909656,start
-3.6352062,11.547083,start
-4.6523266,8.107191,start
-4.630597,6.8799524,start
-4.1930676,7.896378,start
-5.3788586,10.866392,start
-7.182341,11.320677,start
-4.6819844,10.586415,start
-5.8899007,11.150769,start
-2.0021951,6.4038324,start
-6.6330104,9.921458,start
-5.217716,4.87977,start
-5.159977,6.1191406,start
-2.1352706,5.367446,start
-7.116019,11.123097,start
-7.035519,11.029085,start
-3.795308,7.9629526,start
-7.191026,8.73746,start
-6.996502,9.868519,start
-2.0493932,7.808019,start
-4.60548,7.4883,start
-0.276961,6.640099,start
-6.7652597,10.535523,start
-6.632687,11.226106,start
-6.454101,8.340647,start
-1.4619517,5.5454373,start
-0.4674583,7.2006006,start
-5.502732,8.681694,start
-2.7653496,10.968235,start
0.3156256,8.661602,start
-3.9762435,6.7370567,start
-7.5001445,6.3457026,start
-7.552248,9.20724,start
-6.1817136,9.017094,start
-3.501263,8.185508,start
-3.372056,7.4990144,start
-0.4819087,7.9983015,start
-3.0213068,10.595782,start
-2.720051,9.844825,start
-3.8793352,5.583681,start
-3.3714676,10.395597,start
-3.1205764,10.385608,start
-6.3898153,7.349808,start
-2.1222296,11.247581,start
-2.4384072,9.342904,start
0.6312718,7.812971,start
-4.58014,6.4714212,start
-5.1022987,8.221921,start
-0.61935896,10.009626,start
-4.3156056,9.963932,start
-2.3491652,8.607805,start
-5.8465176,6.032128,start
-7.1815686,8.274777,start
-3.7562273,10.037988,start
-3.1303453,8.913498,start
-5.794611,5.609503,start
-2.8926694,9.750336,start
-4.9700265,6.7312584,start
-3.34686,7.5573854,start
-6.4124303,10.754161,start
-4.1535745,9.520126,start
-7.174196,6.2273827,start
-5.9600415,7.4074373,start
-7.443055,9.688784,start
-7.7385154,7.2701397,start
-6.760559,5.2085776,start
-2.5265093,8.956841,start
-6.1642313,9.190192,start
-4.953905,10.859184,start
-6.8968906,9.354417,start
-5.1370792,9.591707,start
-7.261748,7.5377192,start
-6.356536,7.737642,start
-0.096493654,7.7390623,start
-0.8418441,8.443628,start
-5.5298233,7.36725,start
-6.80077,7.512779,start
-4.850571,5.253226,start
-0.41572946,7.6807294,start
-4.2560353,7.789588,start
-7.4041276,8.761445,start
-7.290496,7.0596633,start
-3.9861913,6.986578,start
-3.9311655,7.713952,start
-6.090795,9.9546995,start
-3.782004,10.561451,start
0.11814391,7.2630787,start
-0.42824435,6.5832143,start
-7.399671,10.2111845,start
-1.6518791,7.944575,start
-3.7775064,7.1759014,start
-3.5549672,6.6335073,start
-2.2011764,7.282147,start
-3.5646617,7.6270137,start
-1.9349018,9.4733515,start
-4.0697947,4.7659945,start
-3.4300451,6.2473793,start
-6.151391,8.659457,start
-1.7098286,8.422073,start
-4.2237763,8.480444,start
-2.9841316,6.2590995,start
-4.156997,11.299698,start
-6.4362464,8.956242,start
0.7092904,9.54139,start
-6.3323402,8.680706,start
-6.926079,8.219649,start
-2.263102,9.967778,start
-3.2919395,8.692346,start
-4.011554,9.173844,start
-0.028669236,8.077422,start
-2.579147,6.2574863,start
-4.0671716,6.036927,start
-2.7024486,6.5444283,start
-2.2359185,7.9914184,start
-6.6642656,10.7958975,start
-7.008476,5.330171,start
-2.6517282,7.00345,start
-0.88570285,7.946482,start
1.1180933,7.432319,start
-5.82029,10.152202,start
-3.4957633,7.1004915,start
-2.958018,9.5224905,start
-3.3937566,6.7518764,start
