umap1,umap2,state
-7.3893895,8.787417,start
-8.321907,8.716008,start
-5.8868437,8.694953,start
-6.251285,7.2429924,start
-6.0441613,7.5945034,start
-7.6275043,10.527096,start
-7.9691005,6.3214383,start
-8.11038,9.086018,start
-10.819113,9.254518,start
-7.1965027,10.041086,start
-7.4597306,9.9135895,start
-9.449749,10.823421,start
-9.922222,9.107909,start
-4.5492325,8.471672,start
-10.026025,8.369233,start
-6.977658,8.259005,start
-10.784379,10.3952265,start
-9.670803,7.1642427,start
-7.220053,8.591188,start
-6.6893253,9.215856,start
-8.083709,7.343049,start
-6.565863,7.15742,start
-10.237455,10.6922245,start
-5.823248,8.65394,start
-8.837895,10.395605,start
-10.541074,10.291885,start
-10.348326,12.5212555,start
-11.079062,9.81659,start
-8.774241,7.764098,start
-7.2660666,6.7161226,start
-6.1842027,8.136282,start
-5.958596,13.5780735,start
-4.1936703,7.195517,start
-5.18065,8.241042,start
-8.759797,9.544696,start
-7.2480936,10.285209,start
-6.3635054,11.137185,start
-8.847835,11.533416,start
-8.335527,9.718619,start
-4.0204186,8.359283,start
-5.615324,11.944145,start
-5.297458,8.198084,start
-6.8178253,13.311002,start
-7.349521,8.221585,start
-11.646055,9.166747,start
-2.9673615,8.481683,start
-8.5449915,9.158704,start
-10.3082,10.840023,start
-8.020981,10.488978,start
-5.4533086,7.206569,start
-5.0601964,10.505139,start
-3.247772,8.428413,start
-7.04607,6.657207,start
-8.176125,8.050031,start
-5.252086,7.4148726,start
-7.853013,12.05736,start
-10.332737,10.709119,start
-6.3401785,12.243141,start
-4.248281,9.915047,start
-7.921692,10.583308,start
-8.8015585,12.170525,start
-5.4627256,8.760458,start
-5.8626976,8.09705,start
-9.393984,8.923403,start
-4.9726458,7.4880967,start
-8.868032,12.127179,start
-6.2712607,7.9055486,start
-6.736476,12.722845,start
-10.039602,7.4639964,start
-7.947895,7.045418,start
-7.439751,10.14347,start
-7.244499,6.3328013,start
-7.277746,6.3966002,start
-11.449701,8.41599,start
-3.94721,8.72128,start
-7.7307773,12.365621,start
-11.532272,8.444716,start
-4.8548813,8.368706,start
-7.003952,9.57603,start
-5.299198,10.523299,start
-6.0445833,10.052386,start
-5.9085035,10.538717,start
-10.87175,10.880883,start
-6.40716,6.9999723,start
-6.8396297,9.830219,start
-8.110414,9.092107,start
-8.551457,9.0145855,start
-5.5190825,8.09582,start
-6.85936,7.872325,start
-7.7348194,7.9807806,start
-10.821877,10.66854,start
-4.951196,7.20111,start
-9.199245,8.813045,start
-9.118347,8.306734,start
-7.028951,8.584128,start
-8.34123,9.524104,start
-11.291363,10.399245,start
-4.8927746,11.040898,start
-7.442261,8.09975,start
-8.808965,10.431668,start
-8.606216,10.754177,start
-6.5331764,8.473589,start
-8.972562,9.292745,start
-6.0951214,11.283796,start
-11.503311,10.3307085,start
-7.981433,9.854353,start
-7.622496,13.443274,start
-10.773805,10.122244,start
-5.0149407,7.078395,start
-7.8372684,9.572723,start
-6.3995304,8.341743,start
-7.931307,8.235392,start
-4.6001506,9.031331,start
-8.722209,9.68646,start
-6.322662,9.514462,start
-4.3326063,8.839478,start
-7.577695,8.77657,start
-9.669134,10.413842,start
-7.338899,6.968156,start
-6.87161,6.782731,start
-9.072842,6.907416,start
-8.775011,10.021613,start
-3.5683022,7.2086124,start
-4.485884,9.738186,start
-8.078222,6.576545,start
-8.465336,11.587617,start
-6.354861,8.898599,start
-8.026212,12.110631,start
-7.8582487,11.904541,start
-4.736906,9.181291,start
-9.822976,8.947144,start
-6.168948,8.328189,start
-6.2412724,10.82719,start
-11.468827,9.106096,start
-6.089778,10.488216,start
-6.1273923,13.406396,start
-11.069813,10.850591,start
-3.7607863,10.610109,start
-8.41194,8.954244,start
-8.69111,6.761191,start
-9.352531,8.063598,start
-8.669422,12.30872,start
-8.662544,11.093982,start
-6.534416,13.092734,start
-7.414435,8.413658,start
-10.250457,10.579063,start
-9.271509,8.750335,start
-7.045675,9.447125,start
-8.197115,10.18765,start
-8.785823,7.84357,start
-7.1746674,6.869181,start
-5.7815194,11.003395,start
-7.3472805,7.855436,start
-6.1424694,6.3463297,start
-6.835688,10.516943,start
-7.2625093,12.066245,start
-6.9732294,12.576632,start
-6.641226,8.858255,start
-7.5659285,6.667649,start
-6.4446573,12.955837,start
-7.080403,7.5415154,start
-10.409926,9.286052,start
-7.8676786,7.3884625,start
-6.6449084,8.521895,start
-7.41858,7.0394845,start
-6.97859,9.263376,start
-7.7904763,9.816988,start
-6.583667,9.622865,start
-6.368953,9.483245,start
-7.0458674,9.230557,start
-8.084908,8.067705,start
-7.4342613,12.149118,start
-7.4228883,7.625478,start
-10.384729,11.960509,start
-9.552791,10.979549,start
-9.934366,8.436479,start
-11.331547,8.713582,start
-4.1077447,7.28687,start
-9.035713,12.049995,start
-7.7390614,7.746789,start
-6.2915792,8.243167,start
-6.9029913,11.255747,start
-9.250492,10.76893,start
-11.731677,9.579437,start
-8.288713,7.6129155,start
-7.663767,10.252971,start
-7.9162917,8.58142,start
-10.189912,11.838235,start
-5.3325768,9.054167,start
-8.253145,9.738157,start
-11.091087,10.932621,start
-11.730128,9.33378,start
-5.7916994,6.2300553,start
-4.0712667,6.499493,start
-6.768851,6.6446304,start
-7.7195683,9.455852,start
-11.579324,8.954248,start
-8.126082,10.454401,start
-10.701689,8.999882,start
-6.4681196,7.780792,start
-7.8965216,8.970465,start
-7.8924313,9.3679085,start
-8.656531,11.789125,start
-9.515725,8.276894,start
-3.820213,7.2270722,start
-10.129021,9.752068,start
-6.8401,11.405603,start
-6.1850057,7.863424,start
-9.003531,8.420166,start
-7.1656494,7.0933437,start
-6.8532715,10.448989,start
-10.722738,9.860799,start
-7.0605955,6.9946675,start
-9.906822,9.190148,start
-8.66541,7.2838426,start
-8.103832,7.192246,start
-7.619613,7.784631,start
-7.753392,8.608499,start
-5.9214377,10.1329775,start
-9.454639,10.916545,start
-6.7599087,11.267721,start
-8.989575,7.766735,start
-10.481442,10.844191,start
-2.7700744,9.077132,start
-8.498463,10.750753,start
-6.799309,7.976449,start
-3.4373868,10.288455,start
-8.841641,10.794022,start
-10.26433,9.393275,start
-8.369041,9.029625,start
-6.7484713,8.256916,start
-7.298987,7.3502803,start
-10.752572,9.071397,start
-8.367888,10.689458,start
-6.820921,9.404042,start
-5.180069,12.532148,start
-8.004971,10.262788,start
-4.850194,9.44712,start
-9.376445,8.970686,start
-5.8019943,10.607023,start
-7.759589,11.109446,start
-6.939407,9.700742,start
-11.346677,9.936385,start
-8.856842,10.297355,start
-4.3192544,8.551202,start
-10.566084,9.016512,start
-5.863464,11.080221,start
-8.731881,8.888292,start
-9.884019,9.576879,start
-8.868714,10.349034,start
-6.1291556,7.2189226,start
-5.130302,7.487698,start
-9.133042,13.443793,start
-8.044605,12.982745,start
-10.311347,9.312097,start
-7.0471387,11.813683,start
-7.1404305,8.798664,start
-4.1267204,9.693188,start
-3.5933151,9.215729,start
-4.2651234,6.8087597,start
-7.715109,13.416509,start
-5.906481,8.543155,start
-5.936437,9.653023,start
-9.011498,12.476962,start
-7.6367536,7.626165,start
-8.4667225,11.531651,start
-8.9442835,9.59965,start
-5.984837,8.137069,start
-9.789529,10.837418,start
-8.539826,8.752261,start
-7.379506,6.0240755,start
-5.2248554,8.491248,start
-4.3400426,9.381037,start
-5.8683543,11.270677,start
-10.113217,9.069033,start
-7.325966,6.84996,start
-9.333122,11.0919285,start
-8.01163,7.5126004,start
-7.699453,7.0488067,start
-11.184759,8.853263,start
-6.5480185,7.2962365,start
-5.0179734,6.2423635,start
-6.7551684,12.162688,start
-7.5420594,7.171829,start
-8.076334,7.946412,start
-9.035073,13.400519,start
-4.8702407,8.3927,start
-6.0678244,7.027282,start
-6.683425,5.9288397,start
-4.8315215,9.315876,start
-6.7528925,9.770709,start
-8.933105,11.092578,start
-3.8331962,6.623011,start
-5.668581,9.76515,start
-7.915188,6.6405373,start
-7.903898,9.979986,start
-4.9035444,7.202316,start
-11.180956,9.769359,start
-6.523709,7.7105927,start
-7.9454536,6.2829847,start
-6.4123096,7.211421,start
-6.3242927,12.962529,start
-8.443483,8.614378,start
-6.0772815,7.9009876,start
-9.052478,8.265027,start
-10.547344,9.719709,start
-8.739597,12.643764,start
-8.522672,13.450901,start
-7.121102,7.0362215,start
-10.725735,9.5029545,start
-8.420472,7.256546,start
-7.129194,9.795045,start
-7.291289,8.509304,start
-6.33222,7.1685615,start
-8.225431,7.601355,start
-10.42937,9.310086,start
-10.021149,9.858548,start
-5.134962,11.52633,start
-3.4172091,9.396408,start
-7.099863,8.76794,start
-6.228845,9.719632,start
-6.8355637,10.563275,start
-7.103622,13.703175,start
-9.836751,8.260146,start
-8.935165,8.562237,start
-8.637647,10.556903,start
-4.7219124,11.110485,start
-4.732755,8.160198,start
-9.745797,13.067634,start
-10.134921,9.204745,start
-7.002779,13.594818,start
-8.576119,7.8254776,start
-10.562626,8.884504,start
-4.7340293,8.392404,start
-9.212313,10.582941,start
-5.342297,8.003854,start
-8.713282,9.378935,start
-9.561318,11.025215,start
-7.7591176,6.840626,start
-4.744029,8.651087,start
-8.255717,9.213164,start
-5.3536215,11.382048,start
-9.710008,8.717685,start
-8.638704,7.1473794,start
-6.342234,7.5379605,start
-8.839527,7.9677324,start
