gene_name,oracle_score,suggested_perturbation,survival_score,label,oracle_score_se,suggested_perturbation_se,survival_score_se,oracle_score_pval_acat,survival_score_pval_acat,oracle_score_pval_acat_fdr,survival_score_pval_acat_fdr,k
388795,-3.7543438724014775e-05,0.012276825215667485,0.0004257441681693308,388795,1.590093292737891e-05,0.0004974771224991902,0.00016615304691997056,0.6329520776274309,0.6575953695181034,0.9974878682109376,0.9933793833805404,100
A1BG,-3.9926035455550846e-05,-0.033021965324878694,-0.0007401266352053426,A1BG,1.7539037911810524e-05,0.000504391963435556,0.0001631551089911869,0.7275791094448787,0.013471108619394323,0.9974878682109376,0.1021684300950914,100
A2ML1,-0.0001279545774418267,-0.009341042563319206,-4.5878721407461854e-05,A2ML1,1.5818129629284425e-05,0.0012063293102299298,0.0001545953980203642,0.9716090917909213,0.09914212592106292,0.9974878682109376,0.4068078130927226,100
AASS,4.894999390216981e-05,0.06068114936351776,-0.00022798731230977865,AASS,1.8229613884836412e-05,0.0004741785906154142,0.00014186608410383087,0.5737561645120094,0.4183465992472601,0.9974878682109376,0.9434290732224386,100
AATF,8.508175333190594e-06,0.010857604146003723,-5.0820595970435536e-05,AATF,1.7906442979172825e-05,0.000265973709405476,0.00015818302837214066,0.4363161507815794,0.5734028110043976,0.9974878682109376,0.9933793833805404,100
ABCA12,0.0004097669472139387,-0.12201745375990868,0.001228333349758941,ABCA12,1.5936657609734592e-05,0.0009007607293818572,0.00013950431100108278,0.0009286016839643585,0.33380902235985804,0.01877619947834197,0.8581208801024628,100
ABCA13,-0.0003327598634609785,0.1892135189473629,-0.003630193055141717,ABCA13,1.583458680776641e-05,0.0011539162667622816,0.00016837196676425622,0.00035951507025944185,0.0019431605075522218,0.008768660250230289,0.024138639845369216,100
ABCA6,1.5792874301041593e-05,-0.03662065640091896,0.0006010485544538824,ABCA6,1.5022064564318059e-05,0.0007068139937578269,0.00014962611451163765,0.4755658369966411,0.7220659302545056,0.9974878682109376,0.9933793833805404,100
ABCA8,-3.688286436045018e-05,0.015537789314985275,-6.78421779502969e-05,ABCA8,1.5374885704693648e-05,0.0010050070969097652,0.00015290065341915448,0.24631949660473512,0.9803879613489838,0.8051039072919072,0.9977394580086847,100
ABCB1,0.0001567113419604027,0.07604559943079948,0.0008951503328171384,ABCB1,1.7474381702626384e-05,0.0007487118959529415,0.0001531946459392498,0.08873286563777583,0.9903813811418525,0.42540871017794524,0.9981268259931552,100
ABCB4,1.5257778151180902e-05,0.012990052103996277,0.0001129626359033864,ABCB4,1.6757786491816114e-05,0.0005872706488498428,0.00015108560440691695,0.584651651641493,0.97969709243346,0.9974878682109376,0.9977394580086847,100
