gene_name,oracle_score,suggested_perturbation,survival_score,label,oracle_score_se,suggested_perturbation_se,survival_score_se,oracle_score_pval_acat,survival_score_pval_acat,oracle_score_pval_acat_fdr,survival_score_pval_acat_fdr,k
388795,3.661718860712426e-06,0.006010360680520534,0.0007522105946509328,388795,0.00021820745306908889,0.0011199355223081755,0.00039767213943211495,0.1924335992435643,0.2044692729527336,0.9956670906880167,0.9972099907309493,100
A1BG,0.0005027095039986306,-0.03266657441854477,-0.0011555873564793727,A1BG,0.00026018584657709734,0.001052282174006718,0.00034137056288636124,0.9955820970979443,0.8411197620365102,0.9994353176073132,0.997462145955458,100
A2ML1,0.002564095936686499,0.024369521755725144,-0.0007243719537837023,A2ML1,0.00023152871374204493,0.0023276551605286803,0.00028819215112764056,0.06983986669471726,0.734854565617314,0.9956670906880167,0.997462145955458,100
AASS,-3.019377683813218e-05,0.04881510108709335,-0.000603393950696045,AASS,0.00023278926350751134,0.0009378356271775995,0.00031647238024525053,0.9712213072375405,0.9433987884305781,0.9956670906880167,0.997462145955458,100
AATF,0.0003099321091394813,0.02499047577381134,-0.0008189452218357473,AATF,0.00021269700940406287,0.0006183909629711357,0.00028957513113154554,0.7649718112076802,0.75203561574706,0.9956670906880167,0.997462145955458,100
ABCA12,-0.0022833154892214227,-0.09575773164629936,0.0007266051341866842,ABCA12,0.0002523688508000488,0.002213164047864646,0.0003441914261202976,0.21030641454128057,0.9970803880725858,0.9956670906880167,0.999077922094154,100
ABCA13,0.001978735074468432,0.1934649907052517,-0.003930220060574356,ABCA13,0.00023201439633283686,0.002467345672506462,0.00035176627110614057,0.0029441053162725384,0.040282058584618696,0.4906842193787564,0.49182708604857434,100
ABCA6,-4.07313002506271e-05,-0.048682168647646906,0.0006492974341381341,ABCA6,0.0002193228426542558,0.0014761655896989036,0.0003017556796490229,0.491173089228396,0.9389770363119435,0.9956670906880167,0.997462145955458,100
ABCA8,0.0010433814485440963,-0.021300532296299933,-2.6330851105740295e-05,ABCA8,0.00025037416883607905,0.0019649834227249263,0.00033406592333640883,0.5053128919794364,0.7600665182875399,0.9956670906880167,0.997462145955458,100
ABCB1,-0.0007356513610739057,0.04830272048711777,0.0005356217235384975,ABCB1,0.0002633406375046331,0.001640507508566876,0.00035103880054603725,0.7957486472878492,0.3629836398294378,0.9956670906880167,0.997462145955458,100
ABCB4,0.0002552286704394646,0.011886531561613083,-7.641862895980012e-05,ABCB4,0.0002448330313605088,0.00134089127915617,0.00032105392946494134,0.6791745978805391,0.8106346219431144,0.9956670906880167,0.997462145955458,100
ABCB5,-0.00029836619883781166,-0.030333238318562508,-0.00041433739326407704,ABCB5,0.00023125061575541994,0.0013871584506735199,0.00030323218580882017,0.2785645761774572,0.6931898541966913,0.9956670906880167,0.997462145955458,100
ABCC11,-0.0069462899590143935,-0.35126629292964934,-0.0067097716020361985,ABCC11,0.00024515552811794076,0.0019818604806666213,0.0003188621336592987,0.010390676840520141,0.00988309108750779,0.993863485127648,0.2567036646105919,100
ABCC1,0.00018871219937864226,0.04551802635192871,-0.0004071630470571108,ABCC1,0.0002163182994211942,0.0006773967246904681,0.0002680175020801544,0.5325669979004987,0.2625978390620932,0.9956670906880167,0.997462145955458,100
ABCC2,-0.002208599206569488,0.14248132564127444,-0.0059969859331613405,ABCC2,0.00023113804279699222,0.002228576999890656,0.0003166432383634644,0.8323154913050559,0.008456931123924427,0.9956670906880167,0.23822341194153318,100
ABCC5,-0.00010473579408426303,-0.006787753701210022,-0.00017290736892391578,ABCC5,0.0002576350028717049,0.000807314590043846,0.0003306689411710308,0.8971311261568906,0.9780145984810952,0.9956670906880167,0.9983175963501055,100
ABCC6,-0.0006818910951915313,0.05180106684565544,0.0005404284424366779,ABCC6,0.000251828303462174,0.0018423955154057068,0.00031955061614725126,0.6041896289684582,0.7216291927506631,0.9956670906880167,0.997462145955458,100
ABCD1,0.00022864337781356881,0.04091887891292572,-0.0001651581552141579,ABCD1,0.00022024501152726156,0.0006923287485935913,0.00030883262698088283,0.4940337806566243,0.841410446601975,0.9956670906880167,0.997462145955458,100
ABCG8,-0.0015348195995284186,0.0772962649166584,0.0004987403013910807,ABCG8,0.00023823406788596617,0.0016410625233925923,0.0003166059520460597,0.16464371196028732,0.9466742036726354,0.9956670906880167,0.997462145955458,100
ABHD12B,0.00014503989908916991,0.008332823775708676,-0.0006056249239190947,ABHD12B,0.0002327942715804408,0.0018584828337520794,0.00031114014049505527,0.927768494175609,0.6853432552741214,0.9956670906880167,0.997462145955458,100
