gene_name,oracle_score,suggested_perturbation,survival_score,label,oracle_score_se,suggested_perturbation_se,survival_score_se,oracle_score_pval_acat,survival_score_pval_acat,oracle_score_pval_acat_fdr,survival_score_pval_acat_fdr,k
388795,-2.8717402892652898e-05,0.014157652072608471,-0.0017530632287343906,388795,4.8290130437489626e-05,0.004167185031356928,0.0008428172144350311,0.7840980669507511,0.02637336479816388,0.9885780173320475,0.7070460130704258,100
A1BG,-8.893812146197887e-06,-0.025579120814800262,-0.0002994486954412423,A1BG,5.146963469441174e-05,0.004335808165149794,0.0007867682946467839,0.08772237739422856,0.9728144242413189,0.9880324430605275,0.9962257288697582,100
A2ML1,3.804550252425542e-05,0.12516177006065846,-0.00115724129951559,A2ML1,4.9457695331034325e-05,0.007054106454853948,0.0009006039566270873,0.4263360771348438,0.5005699611236532,0.9880324430605275,0.8251464561009589,100
AASS,-2.485302366949327e-05,0.03737779319286347,0.0006499195112701273,AASS,4.1830561658191226e-05,0.003372180460963743,0.0009413148988287899,0.5121869669736174,0.035408181018258655,0.9880324430605275,0.7070460130704258,100
AATF,-8.384691976971225e-05,-0.03501867353916168,-0.00020311055384809152,AATF,4.6636883390750455e-05,0.0018692397325445348,0.0009089255172081302,0.2099763313791026,0.022822249514525772,0.9880324430605275,0.7070460130704258,100
ABCA12,-3.507758005071082e-05,0.026770867109298706,-0.0008349240606185049,ABCA12,4.2819772418243324e-05,0.007908358974309452,0.0008476738449825682,0.4557864425683435,0.15892523785329965,0.9880324430605275,0.7283818012450688,100
ABCA13,1.7270886214646452e-05,0.19728434324264527,-0.000773550633857667,ABCA13,4.519995064315893e-05,0.007286031217939972,0.0009014809045626539,0.4616896258209285,0.09169619803221757,0.9880324430605275,0.7070460130704258,100
ABCA6,-2.2734222566214156e-05,-0.00868185967206955,0.00029354821511333283,ABCA6,4.716330428404267e-05,0.0052945703773247844,0.0008102259926579646,0.9601412676421004,0.2065807334297327,0.9980501425578497,0.7283818012450688,100
ABCA8,-4.840822739424766e-06,0.0597428198158741,-0.0009492018430319149,ABCA8,4.760745961705094e-05,0.005832103163908102,0.0008566358076649789,0.7994855505863724,0.9392028212993362,0.9914498924296063,0.995285644044939,100
ABCB1,0.00010167910800305435,-0.056910413056612014,-0.001830214086221531,ABCB1,4.829294346719551e-05,0.006528239782329465,0.0008541766974675356,0.1527554495178423,0.7795540704779227,0.9880324430605275,0.9570952369280818,100
