gene_name,oracle_score,suggested_perturbation,survival_score,label,oracle_score_se,suggested_perturbation_se,survival_score_se,oracle_score_pval_acat,survival_score_pval_acat,oracle_score_pval_acat_fdr,survival_score_pval_acat_fdr,k
388795,-1.4790963723498862e-05,0.01295057199895382,-0.0004275293412501924,388795,4.143109875197304e-05,0.0034948700572200475,0.0007995951964229293,0.6311333649064417,0.22594728336895836,0.9990515096621957,0.9951279358464373,100
A1BG,1.2824511490521217e-05,-0.07654962360858918,-0.0011977003483480075,A1BG,4.13958105363524e-05,0.004447907538942375,0.0007187232118403199,0.7731841234954804,0.7848014315447734,0.9990515096621957,0.9951279358464373,100
A2ML1,9.045614117837886e-05,0.11923806101083756,-0.0006089864214663975,A2ML1,4.17035145973311e-05,0.007878977703219795,0.0007586876400808135,0.014196422473332582,0.9704002169637886,0.9990515096621957,0.9951279358464373,100
AASS,-3.384185834192976e-05,0.020785225331783296,0.002132787286755047,AASS,3.584328318518709e-05,0.0034971400889285214,0.0007001790197138373,0.2379714541249387,0.7562383851266644,0.9990515096621957,0.9951279358464373,100
AATF,2.4185928132283153e-05,-0.025534454584121704,0.0008001327891770416,AATF,3.622896847088829e-05,0.0015720588306975167,0.0006735291342373853,0.8730317102566011,0.760759035855131,0.9990515096621957,0.9951279358464373,100
ABCA12,-1.5255787516110785e-06,0.07954739816486836,-0.0006256045257759979,ABCA12,3.4559426410449504e-05,0.006709817106118443,0.0007699636513285063,0.9572979900954418,0.5094041060805806,0.9990515096621957,0.9951279358464373,100
ABCA13,2.265125435542359e-05,0.1697637414932251,0.00022921540876268408,ABCA13,3.760446802069417e-05,0.00700223305228638,0.0006588780907892546,0.6519777998152824,0.586320762656949,0.9990515096621957,0.9951279358464373,100
ABCA6,-7.107432438715478e-06,-0.03279522091150284,0.0005361956577689853,ABCA6,3.505128107963488e-05,0.005301134546056658,0.0006144179328751757,0.9387156011749593,0.6467386155001452,0.9990515096621957,0.9951279358464373,100
ABCA8,-5.480657637804143e-05,0.04735755644738674,0.00026157893356867137,ABCA8,3.834839361101009e-05,0.006079534638513002,0.0006906386536473971,0.3619317952550233,0.4227524160357514,0.9990515096621957,0.9951279358464373,100
ABCB1,2.163192256034563e-05,-0.17117611572146416,-1.7834798309195322e-05,ABCB1,4.1708691554892197e-05,0.0052998201289601796,0.0006894958489038214,0.1595486389667285,0.43135453468682144,0.9990515096621957,0.9951279358464373,100
ABCB4,7.141458621617858e-05,-0.05786665983498097,0.00033552356444488396,ABCB4,3.570295876015124e-05,0.005282205775189169,0.0007080895135146506,0.6311852388953813,0.37507533262079107,0.9990515096621957,0.9951279358464373,100
ABCB5,6.350990934151923e-06,-0.011787888742983341,0.0004005479407351231,ABCB5,4.0938538885415004e-05,0.005068085879846132,0.0006293567994959336,0.5103139661630455,0.04030659702946304,0.9990515096621957,0.9951279358464373,100
ABCC11,-5.385476248420673e-05,0.022180323004722596,-8.681597682880238e-07,ABCC11,4.004495270146692e-05,0.005714982730143616,0.0007464747576071288,0.46303079837704875,0.13373993833700015,0.9990515096621957,0.9951279358464373,100
ABCC1,2.9234494620595795e-05,0.028523619174957274,-7.117324326827657e-05,ABCC1,3.6840437934648174e-05,0.0025681855796355125,0.00075337136173028,0.23977978341095257,0.6243314863952575,0.9990515096621957,0.9951279358464373,100
ABCC2,3.26872672690115e-05,-0.20529359206557274,0.004441024043626385,ABCC2,3.57144603106623e-05,0.007106971443489418,0.0007170005090581372,0.6891169846611493,0.10883463086911116,0.9990515096621957,0.9951279358464373,100
ABCC5,-4.942204846543063e-05,0.015251423120498658,-9.859299345407635e-05,ABCC5,3.417762016151791e-05,0.002460529386596791,0.0007973632862236686,0.8208327524494436,0.26691834491606575,0.9990515096621957,0.9951279358464373,100
ABCC6,4.491968481943331e-05,-0.20833905130624772,-0.002330276866805434,ABCC6,4.0411666447419234e-05,0.00549948809876106,0.0006912007142276131,0.7994766667434976,0.04741161228691232,0.9990515096621957,0.9951279358464373,100
ABCD1,-7.120798197775002e-05,-0.015067261457443238,0.00019425813428824767,ABCD1,3.602155500141175e-05,0.0024150057340627104,0.0007374777158812331,0.7974568199240795,0.5090946196950085,0.9990515096621957,0.9951279358464373,100
ABCG8,-6.813607609501559e-07,-0.22253321185708047,-0.0005313700700935442,ABCG8,4.096075728622206e-05,0.007869566223407842,0.0007698508801516452,0.1198409562591618,0.3431997186606065,0.9990515096621957,0.9951279358464373,100
ABHD12B,-4.947086718516402e-05,0.11935261711478233,0.0036986610849271528,ABHD12B,3.825380822045073e-05,0.005878899778733632,0.0007302231727558437,0.6979302634647253,0.6390564265591179,0.9990515096621957,0.9951279358464373,100
ABI3BP,-2.3914113805858507e-05,0.06118681982159615,0.0001251363452684018,ABI3BP,3.738656829867514e-05,0.004407877171376322,0.0006186848381221675,0.6466076547509316,0.6415742249118985,0.9990515096621957,0.9951279358464373,100
ABP1,4.831090688526274e-06,0.14065174609422684,9.09395021153614e-06,ABP1,3.81118576770138e-05,0.007984910038249578,0.0007028328781578488,0.9219357375225241,0.6467076675270562,0.9990515096621957,0.9951279358464373,100
ACAA2,2.2086159344780753e-05,-0.04826723754405975,-0.0011038784417178248,ACAA2,3.324856412957966e-05,0.0030009085597570272,0.0007048294669024346,0.5579850985164382,0.7755252211823853,0.9990515096621957,0.9951279358464373,100
ACAD11,-8.523072251591657e-05,0.005741389989852905,0.00026664945435186385,ACAD11,4.236476374095544e-05,0.0028252707873092616,0.0007193033794981508,0.9457368794762233,0.4784996508402396,0.9990515096621957,0.9951279358464373,100
ACADSB,5.094319709314732e-05,-0.007536865472793579,-0.00025224041139153996,ACADSB,3.6030971518518654e-05,0.002914488161230929,0.0006933081592362036,0.373361807686165,0.6629369796520065,0.9990515096621957,0.9951279358464373,100
ACAN,-0.00010234136909730296,0.006314808428287506,0.0004280336464580614,ACAN,3.726114995222173e-05,0.0042342213827469485,0.000653474520755921,0.6352168430392966,0.3048528822481786,0.9990515096621957,0.9951279358464373,100
ACAT1,3.085092418388058e-05,-0.03795327126979828,-0.0004619436408393085,ACAT1,4.4460170999898626e-05,0.0030000566133231736,0.0006393202222868462,0.9581163418320856,0.33770072040154636,0.9990515096621957,0.9951279358464373,100
ACE2,1.7879490455925408e-05,-0.11768937811255455,0.0015596831475704676,ACE2,3.879881364895103e-05,0.008375678126719608,0.0006745875302132153,0.20966412557702163,0.7023186744100987,0.9990515096621957,0.9951279358464373,100
ACHE,3.179049489901331e-05,-0.07291059866547585,-0.0011431307926250155,ACHE,3.645551643232234e-05,0.005098565691475763,0.0007466749332745405,0.4867995135326538,0.5283559469948697,0.9990515096621957,0.9951279358464373,100
ACLY,-2.4027714290468792e-05,0.014813514351844788,0.00042534158223134,ACLY,3.958931714369132e-05,0.0018024256162390436,0.0006932933231404406,0.9669841819856188,0.958951265969965,0.9990515096621957,0.9951279358464373,100
ACP5,-9.100083622001876e-05,0.05496210724115372,0.0004591087302287633,ACP5,3.7951278549513265e-05,0.0027912635178610036,0.0006962757656382702,0.7966131463018522,0.3838591839902599,0.9990515096621957,0.9951279358464373,100
ACSBG1,-2.7511861540006065e-05,0.04800458647310734,0.0008776814334487426,ACSBG1,4.1052413775892604e-05,0.0036279766489989754,0.0007456233384468682,0.6075210554861387,0.43528269151883986,0.9990515096621957,0.9951279358464373,100
ACSBG2,-0.00011808873135123577,-0.012563444934785365,0.000714174208806071,ACSBG2,4.4514450234151855e-05,0.0029559535328626033,0.0006897632390740912,0.7331747949642746,0.7195313631716551,0.9990515096621957,0.9951279358464373,100
ACSL4,-8.377501147151634e-05,0.02385538011789322,0.0004947683948557824,ACSL4,4.498816003430963e-05,0.002220324694271544,0.000728954763553438,0.8238467642827376,0.2762454162529989,0.9990515096621957,0.9951279358464373,100
ACSM1,8.468023420391546e-06,-0.10964386440813541,0.00015709091865119263,ACSM1,3.6561063199019414e-05,0.0049010772018482675,0.0007645325063940332,0.7167654913875593,0.4821920046369027,0.9990515096621957,0.9951279358464373,100
ACSM5,5.035080765082966e-05,-0.1201549480855465,-0.00019973229716470088,ACSM5,3.63585103542502e-05,0.007496918420029909,0.0006660822084458575,0.5978285097557129,0.2867182678241459,0.9990515096621957,0.9951279358464373,100
