gene_name,oracle_score,suggested_perturbation,survival_score,label,oracle_score_se,suggested_perturbation_se,survival_score_se,oracle_score_pval_acat,survival_score_pval_acat,oracle_score_pval_acat_fdr,survival_score_pval_acat_fdr,k
388795,-1.8744689868981367e-05,0.03080960789695382,0.0008238650275598047,388795,1.708048638927922e-05,0.0008004554809150305,0.0002547291530297965,0.8724912505645988,0.028778037886362018,0.9921604275529023,0.109491646832114,100
A1BG,4.047613529110094e-06,0.09304991371929645,0.0013747595480526798,A1BG,1.6393140253543016e-05,0.0007783633835898726,0.00027002447706529753,0.7221895201996835,0.16485952842298746,0.9921604275529023,0.34964905285893416,100
A2ML1,-0.0001649109947038596,0.1378331972658634,-0.0018130134515376994,A2ML1,1.664016407935207e-05,0.0016092653189883975,0.0002469006633124618,0.01998884797982875,0.01800748998476598,0.27968147093525164,0.07904629421935772,100
AASS,5.7918737408044766e-05,0.10885193929076195,-0.0008842059685412096,AASS,1.556268202875381e-05,0.0007710714106812917,0.00023471383266461114,0.4265032499539689,0.2613646150751634,0.9782184631971763,0.4625922390710857,100
AATF,2.578341963044295e-06,-0.010503106117248535,0.0002976582136761863,AATF,1.531322207913278e-05,0.0003784209968717469,0.00023256504027504549,0.7173996152028638,0.6860215750434492,0.9921604275529023,0.8230612777965797,100
ABCA12,-0.0001612327176871986,0.19877723172307016,-0.0016732972933459678,ABCA12,1.658631795103765e-05,0.0017051144720072824,0.00024276156699013624,0.0019136598280258266,0.03389229187608955,0.0832026012185142,0.12346918716243917,100
ABCA13,-2.2360346398500043e-05,0.05185181699693203,-0.0008384252099494916,ABCA13,1.5370558255814477e-05,0.0015562796082278626,0.0002555237989121016,0.574467825676586,0.07000292362504967,0.9921604275529023,0.1991548325036975,100
ABCA6,-5.46018738418752e-06,0.18094034492969513,-0.001983562921595876,ABCA6,1.572262076418814e-05,0.001117638533546053,0.00023559686241651987,0.15211845629755982,0.017188345274816663,0.7568082402863673,0.07759975293370953,100
ABCA8,5.460147761141343e-05,0.17866034537553788,-0.001910301519856148,ABCA8,1.5668516228516538e-05,0.0015222778366134576,0.00024128760929300274,0.9032849515159902,0.004624873878896596,0.9921604275529023,0.03186045456632923,100
ABCB1,-9.765511458226684e-05,-0.14825829461216927,-0.0009319477042663494,ABCB1,1.5960252037325106e-05,0.0010988237441987806,0.0002497722602211632,0.24742658133310214,0.06440754935277326,0.8900236738600795,0.18777711181566548,100
ABCB4,1.364065956977356e-05,0.010827571451663971,-8.570472811697983e-05,ABCB4,1.520864346267786e-05,0.0010227693746080852,0.00024868912584506984,0.645543513052546,0.297118308115633,0.9921604275529023,0.5048739305278386,100
ABCB5,5.2159820120323276e-05,0.09298470467329026,-0.0001120121141866548,ABCB5,1.608014221755067e-05,0.001114418985112292,0.00023796729197174898,0.38127364208922343,0.1603280089561664,0.9669842244177457,0.34409965610938803,100
ABCC11,-9.395701297535198e-05,0.09338322050869464,0.0011800378725456539,ABCC11,1.3050967059827462e-05,0.0014190913471862567,0.00025423530955767795,0.10560910530568673,0.0663222758700922,0.6384902297400732,0.19168287823726074,100
ABCC1,2.943490289908368e-05,-0.013447991013526917,4.8887183656916025e-05,ABCC1,1.8041561187924864e-05,0.0005040621917025499,0.00023619430953790904,0.22935565373756228,0.16727747148611788,0.8644584768474705,0.35216309786551137,100
ABCC2,-2.8821689820688334e-05,-0.021105112582445143,0.0007624109933749423,ABCC2,1.765907261158464e-05,0.0014836140539324035,0.0002236270507652098,0.07082613464013554,0.5744373753657562,0.5188727812464142,0.7368890625319552,100
ABCC5,6.954630343898316e-06,0.03967978775501251,0.0001080453703616513,ABCC5,1.5296555183258904e-05,0.0006020046888379714,0.00019863319162119253,0.3302035672560011,0.9245713670239595,0.9527426415580814,0.9686995995912295,100
ABCC6,-7.44244794759652e-06,-0.093634252846241,-0.0018371051387293847,ABCC6,1.3564643744523651e-05,0.001099908063407251,0.0002510032333027102,0.8848699496456444,0.03098659379914226,0.9921604275529023,0.11562161865351589,100
ABCD1,-1.4475793163910566e-05,0.001552632451057434,-4.439938147697831e-05,ABCD1,1.479946208133955e-05,0.0005553070133247779,0.00024337573736834487,0.6794410104484873,0.44583322207880016,0.9921604275529023,0.6310449003238502,100
ABCG8,-8.40253775641031e-05,-0.048629533350467685,-0.0005445775137195596,ABCG8,1.4574278403309434e-05,0.0012346726403297612,0.00024227502400849324,0.19788402365882463,0.14152496071936294,0.8262380946088711,0.3201922188220881,100
ABHD12B,-4.292726594258056e-05,-0.055154421441257,-0.002138066085099126,ABHD12B,1.504409926933249e-05,0.0016537438184091782,0.0002487065832844453,0.47726081595151176,0.023695495217937013,0.9921604275529023,0.09593317901998791,100
ABI3BP,3.132355976163126e-05,0.14239766240119933,-0.0013552063987663132,ABI3BP,1.5989792982364352e-05,0.0009920753257501404,0.0002513476840219586,0.7184744629919374,0.059716929783826145,0.9921604275529023,0.17906125872211737,100
ABP1,-0.0002035713999066502,-0.3130647960305214,0.0030723683636460918,ABP1,1.4028029779949127e-05,0.0016153492565083652,0.0002608735149961097,0.0008973468209259594,0.004032131898231928,0.051276961195769105,0.02880094213022805,100
ACAA2,-2.969824085766959e-05,-0.046318920850753786,-0.0003662295127287507,ACAA2,1.57124014683233e-05,0.0006744460769558908,0.00022866504337750246,0.27410509345375356,0.5630365872328137,0.9133528378648622,0.7264212391688641,100
ACAD11,4.580871425787336e-05,0.07088909476995468,-0.0004642458174021158,ACAD11,1.4646948452741158e-05,0.0007255349057662226,0.00023005912649549896,0.7075422448164581,0.12086505908161382,0.9921604275529023,0.28811694655927017,100
ACADSB,1.7728665557115165e-06,0.0032138881087303162,5.8490573792369105e-05,ACADSB,1.5400065744938416e-05,0.000774837104920716,0.0002255116784602188,0.5795132570392858,0.42249108839063343,0.9921604275529023,0.6118625465468985,100
ACAN,-4.7001502744024037e-05,-0.061793171912431714,-0.00031926421252137516,ACAN,1.3269442276099937e-05,0.000888988752464891,0.0002365129769772731,0.14017524416870886,0.7051368006069731,0.7151798171872901,0.8394485721511585,100
ACAT1,-2.708735322357825e-05,0.0006038188934326172,-9.432695580471773e-05,ACAT1,1.4349263708150146e-05,0.0006355232878502567,0.00028006032590667746,0.6539171964236963,0.15862512471975787,0.9921604275529023,0.34371641326058044,100
ACE2,-6.244588918434602e-05,-0.21677720978856085,-1.907488771394128e-05,ACE2,1.3965945446476041e-05,0.001525602179344839,0.0002661184003003783,0.10668231998670452,0.4754325550709802,0.6407346545748019,0.6584938435886153,100
ACHE,-3.2220667526416945e-06,-0.07100949332118034,-0.00023370039874862414,ACHE,1.6700121667973567e-05,0.001202306552872976,0.00024689062981186855,0.8743082522567458,0.6732931274753093,0.9921604275529023,0.8131559510571369,100
ACLY,-7.472684794720408e-06,-0.00698715329170227,-0.00013509051970686414,ACLY,1.507127643815378e-05,0.00042318817540229004,0.0002173102234151324,0.442374969039879,0.9503051800635738,0.9889168990614464,0.9812134022339429,100
ACP5,-1.3432731129796594e-05,0.02222338169813156,0.00038495100183354224,ACP5,1.5192944218181105e-05,0.0006750007935500729,0.0002299229354313237,0.07135087384014616,0.13420286901771078,0.5195170536108664,0.30820393642610594,100
ACSBG1,1.352179789364527e-05,0.039315136596560475,-0.00028592600418051004,ACSBG1,1.2864681550733386e-05,0.0009005699914081915,0.00021288797612471137,0.9225793164334055,0.16915655747071817,0.9921604275529023,0.3550877425032243,100
ACSBG2,-2.39550745300221e-05,0.02403168987482786,-0.0005037300557887648,ACSBG2,1.5520494619719437e-05,0.0006875616434520898,0.00022472372470556238,0.3196337927977764,0.8299506816464313,0.9527426415580814,0.9185951097359505,100
ACSL4,2.2466649841135224e-06,-0.002529280185699463,0.00024849835288478063,ACSL4,1.521545669161307e-05,0.0005061589968680201,0.00021200155660524054,0.717417731084194,0.4487353968174233,0.9921604275529023,0.6333597696787908,100
ACSM1,-2.2346190417010804e-06,0.05598901722580194,0.00032272114185616374,ACSM1,1.5738746719261698e-05,0.0011966700864069189,0.00025539564505114564,0.9844561693024476,0.10185613484067174,0.9959091242311052,0.25656457138708244,100
ACSM5,0.0002148924596440338,0.17407971262931823,-0.0014929593792840023,ACSM5,1.5550509239640272e-05,0.0015465302985662424,0.00024120859513345974,0.011930173810628608,0.06354204058494589,0.23392497667899234,0.1863402949705158,100
ACSS3,5.4044860263502414e-05,0.1967458239197731,0.001999097018269822,ACSS3,1.5115083617518532e-05,0.0013408101674099186,0.00026747839285069173,0.8138208859045737,0.0064416939880285184,0.9921604275529023,0.040513798666846026,100
ACTA1,-7.852409123188409e-05,0.0600637273862958,0.0011384750673278177,ACTA1,1.7674445431474502e-05,0.0010180999091866834,0.00024673286756706685,0.17628996941140956,0.8900038239947731,0.7936276935728345,0.9516764867748652,100
ACTL8,0.00014412635253620464,-0.1228937853872776,-0.004842550807516091,ACTL8,1.6877521126969585e-05,0.0014174562551017551,0.00024097683171401757,0.0913697872463703,0.00018733998843861732,0.5904259252333095,0.002775407236127664,100
ACTN2,6.141817312254716e-05,0.16096410125494004,-0.00906469219364226,ACTN2,1.4945926495997593e-05,0.0010771875254409371,0.00027081977049001445,0.3914551981020933,8.427702979929563e-13,0.9699517460250976,8.977613973863634e-11,100
ACTN3,1.0166810059786258e-05,0.06201488394290209,0.0006997467040491756,ACTN3,1.526667676996809e-05,0.0007449601516532473,0.0002338394626074723,0.7669032223698189,0.10771497444550227,0.9921604275529023,0.2649814869508051,100
ACY3,-0.00010467509704540135,-0.16608839511871337,0.0032316060644370734,ACY3,1.622134892767936e-05,0.0014679166344049965,0.00023222420315766734,0.008010269461245001,0.00796727135046732,0.18000605530887642,0.04677053525232843,100
ADAM23,-1.5057597288432589e-05,0.09261565245687961,0.00044652975600911304,ADAM23,1.6189572418878628e-05,0.0013734755664404107,0.0002179372513319577,0.0810197028577842,0.21609272426853948,0.5492208400879103,0.415163735386243,100
ADAM33,-6.309914160738117e-06,0.002375479489564896,-1.9207484292564914e-05,ADAM33,1.461052316858155e-05,0.001035323484752659,0.00022649770103500425,0.38725038005470847,0.8907691916212739,0.9669842244177457,0.9516764867748652,100
ADAMTS18,1.4629521662072875e-05,0.0641627622768283,0.001396499381007743,ADAMTS18,1.4686785857026991e-05,0.0011476164766585732,0.00023342328918839428,0.579968225082357,0.00850451457727014,0.9921604275529023,0.04845877252005778,100
ADAMTS1,8.082801205091528e-06,0.09085900485515594,-0.0012633803551852906,ADAMTS1,1.6633752938808627e-05,0.0007068328376178012,0.00024216131847107366,0.8315599930819024,0.09675428467658304,0.9921604275529023,0.24713738103852625,100
ADAMTSL1,7.929605382059889e-06,0.026532757729291916,-0.000228050902223913,ADAMTSL1,1.5179334333963922e-05,0.0008408347309901865,0.00023300297673658994,0.0222060176611516,0.04680250802748237,0.28546694114466364,0.15314189484079557,100
ADAMTSL4,1.5148939892242197e-05,0.08017654538154602,-0.0013699027560505784,ADAMTSL4,1.737285429556776e-05,0.00068425232186197,0.00023600092199975008,0.036283369995268044,0.3759653322615558,0.37175178861713315,0.5726813895834818,100
ADCY1,-2.9345505454330122e-05,0.14038935914635658,-0.0015885739303848822,ADCY1,1.437241946573304e-05,0.0010591075097901117,0.0002315796783546576,0.28682779235943423,0.010527106675420117,0.9267456942146501,0.05614456893557396,100
ADCYAP1,-2.006407112276065e-05,0.02129061465151608,0.00012107505586754997,ADCYAP1,1.4654104212649853e-05,0.0012229222890220493,0.00022075507915355952,0.4507442892336216,0.5430964857424112,0.9917366099749649,0.7122576862195558,100
ADD2,-3.100162702480702e-05,0.20344747051596643,-0.0014718877867562696,ADD2,1.626762850646819e-05,0.0014557429114718246,0.00021741164755704787,0.5376634922674082,0.02900056504332499,0.9921604275529023,0.109491646832114,100
ADH1A,4.064671233209083e-05,0.0604314162582159,-0.0027280644066195237,ADH1A,1.5606504298582547e-05,0.0013971808747156222,0.00022741409588856808,0.8184827121745615,0.0030808536711204315,0.9921604275529023,0.023339800538791148,100
ADH1B,2.6177527711297444e-05,0.07849682062864304,-0.001955867833294178,ADH1B,1.4708285252700508e-05,0.0013270041744678843,0.00023434015098360096,0.3738095416536479,0.032741954123671146,0.960702827081184,0.12037483133702627,100
ADH4,-4.023060488989927e-05,-0.05303622540086508,0.002000139743759064,ADH4,1.703932112594279e-05,0.0012148534114378281,0.00024216973644060314,0.2382691366118856,0.01619558791668574,0.878463357608223,0.07463404569901262,100
ADH6,-0.0002443675144149893,-0.21742618158459665,0.0009820544975355006,ADH6,1.521022149794931e-05,0.001590776598747512,0.00023089244179600759,6.882379645728465e-05,0.09978346499686636,0.01376475929145693,0.252936539916011,100
ADI1,-3.816587491201062e-06,-0.015720911026000976,0.0001200020277974545,ADI1,1.6176660175627668e-05,0.0006089413538324445,0.00024835441972374854,0.6543738488481314,0.7114268712000613,0.9921604275529023,0.8459296922711788,100
ADM,5.377591828164441e-05,0.0236908420920372,-0.0003103652536810841,ADM,1.3459858957342981e-05,0.0009304425696247589,0.00021889783774501161,0.7391585923343742,0.3216665509011797,0.9921604275529023,0.5209174913379427,100
