gene_name,oracle_score,suggested_perturbation,survival_score,label,oracle_score_se,suggested_perturbation_se,survival_score_se,oracle_score_pval_acat,survival_score_pval_acat,oracle_score_pval_acat_fdr,survival_score_pval_acat_fdr,k
388795,8.541510583199852e-06,-0.011657766648568213,-0.00017671224792138675,388795,6.251696189628573e-06,0.0014787958443667774,0.00026074565097964264,0.4744049256178741,0.9486131054500453,0.8831089639061818,0.9934022357537132,100
A1BG,8.49444052164472e-07,0.05963018134236336,0.0009181348838069425,A1BG,5.359623517456781e-06,0.001278723861858747,0.00023821637698641626,0.8595841640152633,0.5724399790407404,0.984632490280943,0.9864365194975622,100
A2ML1,0.00012078729329914495,-0.29464894682168963,0.0006636471704405267,A2ML1,6.479982445437993e-06,0.003083201519655485,0.0002677762396438849,0.0052509108297726925,0.038494844459233846,0.4039162176748225,0.5965474344563482,100
AASS,1.3877802889510348e-05,0.010948274731636048,-0.00044481155340690747,AASS,5.779193489508023e-06,0.0010064179537268363,0.0002820594139559571,0.2576844100039565,0.5694186616560715,0.8775086623541524,0.9864365194975622,100
AATF,-2.5315292728578243e-06,-0.004227327108383179,0.0001347415825148346,AATF,5.774025666917676e-06,0.0005567579565968086,0.00028384126301058196,0.5646728450660123,0.41509026597265375,0.9028116072677504,0.9864365194975622,100
ABCA12,6.851025433050495e-05,-0.21045459777116776,0.0015187646040794789,ABCA12,5.696243641256173e-06,0.0029645497997271867,0.00025873311734801046,0.03419176723302425,0.41626326361278865,0.7353068222155753,0.9864365194975622,100
ABCA13,5.4628097873319346e-05,-0.2545271469652653,0.0013866373660493992,ABCA13,6.390662147640486e-06,0.002691157598706238,0.0002664163283052386,0.09389201583162421,0.5913696626160077,0.8525843353656102,0.9864365194975622,100
ABCA6,3.2290296755377313e-06,-0.01876451723277569,-0.00023199144739692202,ABCA6,6.592258929768534e-06,0.001991408741988072,0.00027580091939935546,0.04547714200001757,0.3090465292018266,0.8012311355169599,0.9864365194975622,100
ABCA8,1.3292751456219776e-05,0.09691223669797182,-0.00043322666295352974,ABCA8,5.072057820516641e-06,0.002374594760083815,0.00028240500936133636,0.7259131938353232,0.38140680911103864,0.9620794851289963,0.9864365194975622,100
ABCB1,4.0819465885988394e-05,0.06264825701713563,0.0005331816293619341,ABCB1,6.08039763839123e-06,0.002007240163906602,0.00025633417580796876,0.12182912873510765,0.45945299359664077,0.8654286437609802,0.9864365194975622,100
ABCB4,9.983546814282818e-06,0.06279316604137421,-0.00014932048647438024,ABCB4,6.657644444405476e-06,0.0017317879014686053,0.00023209899661106296,0.37792607109563137,0.8299986771435667,0.8775086623541524,0.9864365194975622,100
ABCB5,1.393738980937087e-06,0.048960548304021356,-0.00026192237935902086,ABCB5,6.274243962124393e-06,0.0017830790069953168,0.00027214074607816407,0.6484022487691516,0.3306983694444635,0.9426610978423399,0.9864365194975622,100
ABCC11,-1.1363919654172605e-05,0.07511061113327741,0.00037897239127460125,ABCC11,6.519473427284224e-06,0.0020612042456647525,0.00030570111829365256,0.19398573043981915,0.1595773149248158,0.8654286437609802,0.9546446874513564,100
ABCC1,1.1032828700763275e-05,-0.052618098258972165,0.0003670875497027737,ABCC1,5.444571876502977e-06,0.0009354155674726724,0.0002527537553000061,0.33062909869376966,0.8489277008412452,0.8775086623541524,0.9864365194975622,100
ABCC2,1.5806829205189386e-05,0.0077656424045562744,-0.0003417194716166705,ABCC2,6.255750711324727e-06,0.0021905151758916603,0.00032846535661718506,0.10560200749643267,0.2712863826627754,0.8654286437609802,0.9864365194975622,100
ABCC5,8.122543057993425e-06,-0.06290163666009903,-0.0002218199174512847,ABCC5,5.864265770242509e-06,0.0010203331262060686,0.00027045634092672557,0.4209734660160808,0.9698898452041935,0.8788962245582054,0.995630677573097,100
ABCC6,2.8150595607030482e-05,0.09891835920512676,0.0011744370944506955,ABCC6,5.989908628179419e-06,0.0021574383303758346,0.0002890908733463159,0.17780534457221164,0.17950866040834412,0.8654286437609802,0.9781110303728039,100
ABCD1,1.985601590824615e-05,0.010438835918903351,-0.0002774293454558574,ABCD1,6.298037704383262e-06,0.000803221410457969,0.000311022475723044,0.1026709712597289,0.48791264472694545,0.8654286437609802,0.9864365194975622,100
ABCG8,4.129577527862693e-05,0.01209805028513074,0.0004103238973766565,ABCG8,6.364347483386072e-06,0.0021056222639188253,0.00024653977467447853,0.0672041197346811,0.753464490365828,0.8480374164453937,0.9864365194975622,100
ABHD12B,5.2549116844602395e-06,0.04689518265426159,0.0005917842627604841,ABHD12B,6.116432009893485e-06,0.0020427523886797474,0.000264801513045554,0.4387421513797775,0.337742785725647,0.8788962245582054,0.9864365194975622,100
ABI3BP,1.1719775978633606e-05,0.060721711367368696,-0.001479252549506782,ABI3BP,6.3126667088731754e-06,0.0018651097913668483,0.00030518770824032436,0.24020167142907706,0.11392157511253714,0.8739250032010345,0.8702509516086255,100
ABP1,5.703553915964221e-05,-0.015483057666569948,-7.760022996080806e-05,ABP1,6.672175537717518e-06,0.0025352644182886504,0.00029381392715114706,0.06872114026091874,0.10597779864653883,0.8480374164453937,0.8504167557731716,100
ACAA2,1.2264986826835411e-05,0.07115431278944015,0.0005176346908228879,ACAA2,6.3983467099554414e-06,0.0011884848767297813,0.00026746421844857555,0.9279197003712663,0.8095926196004951,0.9917587175010012,0.9864365194975622,100
ACAD11,3.4572016552658623e-06,0.006339110434055328,-0.00010706783323712444,ACAD11,6.367016671427553e-06,0.001026316956615027,0.00028328443499410093,0.4794402428519378,0.18694598196974888,0.8831089639061818,0.9781110303728039,100
ACADSB,2.2944794602608453e-06,0.029976751804351807,5.089761565614026e-05,ACADSB,5.783214503413982e-06,0.001138711790899784,0.00028279442941041175,0.47933241856261993,0.542989568796572,0.8831089639061818,0.9864365194975622,100
ACAN,7.249908571793639e-07,0.010081633776426315,0.00021086052836835734,ACAN,6.0835439794980925e-06,0.0015322763579286355,0.0002893421949366725,0.720922226220361,0.8589783467968664,0.9618708822152914,0.9864365194975622,100
ACAT1,5.265174130215655e-06,0.05226460784673691,0.0001433058481052285,ACAT1,6.200473707160151e-06,0.0010373451600079317,0.00028122283926075114,0.8071809860524162,0.6161794736925928,0.9761916653095282,0.9864365194975622,100
ACE2,1.2627124978905613e-05,-0.016822183206677437,-0.00022629272898484488,ACE2,6.567840634656796e-06,0.00268754180632119,0.0002761909205388416,0.11358414920999044,0.8287519345792549,0.8654286437609802,0.9864365194975622,100
ACHE,1.7974627945704924e-06,0.02657769575715065,0.00013489335744452547,ACHE,6.2810440169364424e-06,0.0020123870752594467,0.00032828336037387247,0.7817096220273386,0.3065737558433994,0.9687595473275151,0.9864365194975622,100
ACLY,1.2280161470812345e-05,-0.0059080028533935545,8.837160428811331e-05,ACLY,6.252394447396919e-06,0.0007520064093740981,0.0002774869124443133,0.13767312439036478,0.3436786744121062,0.8654286437609802,0.9864365194975622,100
ACP5,9.147062625487479e-06,0.0165209424495697,-6.416621687776569e-05,ACP5,5.8089131696173365e-06,0.0009419263723376423,0.00028753315461283076,0.8504750814073784,0.7266727652543973,0.9814852965235349,0.9864365194975622,100
ACSBG1,1.1841829214063181e-05,-0.006080943793058395,-9.992044580485526e-05,ACSBG1,5.753545354658268e-06,0.0011431083828248472,0.00026251246286637306,0.411820391718131,0.8509170190227285,0.8788962245582054,0.9864365194975622,100
