gene_name,oracle_score,suggested_perturbation,survival_score,label,oracle_score_se,suggested_perturbation_se,survival_score_se,oracle_score_pval_acat,survival_score_pval_acat,oracle_score_pval_acat_fdr,survival_score_pval_acat_fdr,k
388795,0.00011913716505659977,-0.01650594610720873,-0.00039496710523962976,388795,0.00015988490555363238,0.003803196265735343,0.0009771958356215647,0.9411506374603282,0.4684466310533801,0.9924516600264534,0.9973739285111609,100
A1BG,-0.00010005953634390608,0.055670134127140045,-0.0005624915965017863,A1BG,0.00019587012041861373,0.0038121496631958267,0.0009142709814454551,0.5760579453377528,0.6767143617909622,0.989572808128833,0.9973739285111609,100
A2ML1,0.0009386757256743295,-0.26635121878236534,0.0006315170410380233,A2ML1,0.00018846544760506683,0.010749322836661437,0.0009868180503293969,0.1849372815983411,0.3681948370050304,0.989572808128833,0.9973739285111609,100
AASS,-1.9378607103135437e-05,-0.009235560595989227,-0.002036891050520353,AASS,0.00018769210419966175,0.0032530838192474593,0.0009883225002813463,0.8444183385822144,0.052269809458702576,0.9924516600264534,0.9973739285111609,100
AATF,6.267928736633621e-05,-0.019739769101142883,-0.00013917188625782727,AATF,0.00018198691497981287,0.0015951290675017163,0.0010086797136004827,0.27815567775691946,0.6826583438973135,0.989572808128833,0.9973739285111609,100
ABCA12,0.0005628810254711424,-0.2259887944161892,0.0007753509996109642,ABCA12,0.00019950638814415683,0.00853616347162402,0.0009748009462179728,0.1312168301617792,0.8716109327644862,0.989572808128833,0.9973739285111609,100
ABCA13,2.3788111211615614e-05,-0.20282187968492507,0.00020284921862185002,ABCA13,0.0001955494452332999,0.00772096766717015,0.0009464987049416331,0.9485247814063298,0.8778924795087668,0.9924516600264534,0.9973739285111609,100
ABCA6,0.00040775298969492724,0.01914519280195236,-0.0007669121871003882,ABCA6,0.000179488030787542,0.005180777072055533,0.0010331700209089915,0.8633421554555355,0.6867628070601373,0.9924516600264534,0.9973739285111609,100
ABCA8,0.00018896221627073828,0.0722883759625256,-0.0009412754012737423,ABCA8,0.00019441103966041438,0.006333239730699788,0.0009964695714577729,0.7173768175409394,0.6973585775402029,0.9924516600264534,0.9973739285111609,100
ABCB1,0.00025363994020153767,0.06453131303191185,-0.0011123244534246624,ABCB1,0.0001866254182190258,0.005999710126379008,0.0008582558166716877,0.49221676951664306,0.4733235516508239,0.989572808128833,0.9973739285111609,100
ABCB4,-4.146772567764856e-05,0.09711055420339107,-0.0011235815659165383,ABCB4,0.00018256994900200536,0.0048590934491844,0.0010641819815297617,0.845101563920857,0.4681475520670733,0.9924516600264534,0.9973739285111609,100
ABCB5,0.0001758721969963517,0.1022070400416851,-0.00023519407957792282,ABCB5,0.00019454825057477673,0.005098824451356629,0.0008289475495466333,0.24024473890694825,0.6343113064471395,0.989572808128833,0.9973739285111609,100
ABCC11,0.00014075688704906497,0.058752483809366825,1.1477496736915781e-05,ABCC11,0.00015412202326842454,0.00630611209414828,0.000901978693492385,0.16109066229104912,0.5364047773449957,0.989572808128833,0.9973739285111609,100
ABCC1,1.2157854962424608e-06,-0.07072567224502563,0.0009688578694476746,ABCC1,0.00017202990235456347,0.0024015630875633396,0.000947074558402783,0.36501481790268797,0.18374846810924256,0.989572808128833,0.9973739285111609,100
ABCC2,9.283359479013598e-05,-0.0399853603541851,-0.0008679773428593762,ABCC2,0.0001838357250365284,0.007441298118846437,0.0009209692088436442,0.5678392717039409,0.6423038066665606,0.989572808128833,0.9973739285111609,100
ABCC5,-8.02112121891696e-05,-0.07779568642377853,-0.0008733291088719853,ABCC5,0.00018605778813900672,0.0031874056137794335,0.0009789774573688056,0.6549791867720012,0.7128400915415893,0.9898380126867471,0.9973739285111609,100
ABCC6,2.8710577062156517e-05,0.0177121489495039,0.00027695518627297134,ABCC6,0.00017626265431892757,0.0070551471503516264,0.0009750128291564641,0.7058249950588102,0.23355036025948134,0.9924516600264534,0.9973739285111609,100
ABCD1,0.00013282133753818925,-0.01636859744787216,-0.001553788344026543,ABCD1,0.0001769655836352725,0.0028348098287780794,0.0009539528018516939,0.7684624087528187,0.5852850716062149,0.9924516600264534,0.9973739285111609,100
ABCG8,0.00048707557827583516,-0.05630531512200832,-5.284474464133382e-06,ABCG8,0.00019521206491494546,0.007240359419806408,0.000998651779967445,0.5292974688327876,0.5924833949356443,0.989572808128833,0.9973739285111609,100
ABHD12B,0.0002452542789842482,0.06838667592499405,-1.0951625881716609e-05,ABHD12B,0.00017179775360506727,0.006964951015222773,0.0008315116875158822,0.33879047025390574,0.8502162886647197,0.989572808128833,0.9973739285111609,100
ABI3BP,-3.429521711950656e-05,0.07018362790346146,-0.0002773353942029644,ABI3BP,0.00018249947026247659,0.005116261350320804,0.0008558186602227868,0.4133315244116211,0.9521353356655046,0.989572808128833,0.9973739285111609,100
ABP1,0.0007757205410598544,-0.21832990542054176,-0.0012957625844865106,ABP1,0.00019050703161172674,0.008984965838766273,0.0008830923713339558,0.18106162822393995,0.5326572258287676,0.989572808128833,0.9973739285111609,100
ACAA2,0.00026253342810377944,-0.016196526288986206,0.0007583278867241461,ACAA2,0.00019650083817603168,0.0034678677103488777,0.0009606246345308445,0.3352079351925182,0.16379708021525446,0.989572808128833,0.9973739285111609,100
ACAD11,0.0003129542171882349,0.0011895257234573364,-0.00023910017334856094,ACAD11,0.00018714384561536844,0.0031728419981435817,0.001018510329505349,0.2311487186435242,0.1640603321224765,0.989572808128833,0.9973739285111609,100
ACADSB,0.00016743313310144003,-0.010114930868148804,0.0009469586641353089,ACADSB,0.00018504373371878175,0.0031271112623884045,0.0009856606522226706,0.3522309783013253,0.03549726535169362,0.989572808128833,0.9973739285111609,100
ACAN,0.0001478650543867843,-0.01953196629881859,-0.00016207722073886545,ACAN,0.00018139742895313823,0.005082472640877756,0.0009059940300039154,0.44495039639018047,0.7311049056284714,0.989572808128833,0.9973739285111609,100
ACAT1,-9.782211316633038e-05,0.0182817742228508,-0.0002692531462525949,ACAT1,0.00018600819369071653,0.0033458315861814207,0.0010293752880504584,0.271087087864273,0.3492122617052785,0.989572808128833,0.9973739285111609,100
ACE2,0.00024298656349856174,-0.0951493227481842,-9.00033226935193e-05,ACE2,0.00018653354994326135,0.006957026090619686,0.000998646316859976,0.521225546906306,0.6954523284415128,0.989572808128833,0.9973739285111609,100
ACHE,0.00010977459824061953,-0.07107627242803574,-0.0002464714797679335,ACHE,0.00018217384920251987,0.0057279504753956195,0.0009618731495142517,0.7022156017476384,0.524103521883643,0.9924516600264534,0.9973739285111609,100
ACLY,0.00031126245528867,-0.022351897954940796,-0.0018492083187447862,ACLY,0.00020119849648006844,0.0017538883909894627,0.000979500091395486,0.7111508316419988,0.46215020563105114,0.9924516600264534,0.9973739285111609,100
ACP5,0.0003771231667633401,0.009829604923725128,0.000430585038557183,ACP5,0.00018222462574497085,0.0030351003213086093,0.0009645556726041079,0.9657909548402784,0.41770545827862976,0.9924516600264534,0.9973739285111609,100
ACSBG1,0.00024592006848251914,-0.00213208869099617,-0.0006241340938140639,ACSBG1,0.00019566131203364038,0.004175539459948826,0.0009512143535388521,0.9858260044716582,0.8266284076863779,0.9982908345046638,0.9973739285111609,100
ACSBG2,0.00031115598525502717,0.023363454509526493,-0.0022768935590283946,ACSBG2,0.0001763595772502845,0.003910602801272531,0.0009134335622284923,0.3447524608251571,0.5993238599933463,0.989572808128833,0.9973739285111609,100
ACSL4,0.00016008197588234907,-0.044539533853530884,-0.0017316993415442993,ACSL4,0.0001986137092388843,0.0024993896016621453,0.0009338496503421138,0.20406207822673317,0.9624724168357924,0.989572808128833,0.9973739285111609,100
ACSM1,0.0001834702842461411,0.03990022530779243,-0.0004812829426373355,ACSM1,0.00018579708703354115,0.0046653184832152386,0.0010173143630909146,0.47641142702666084,0.9483846295879486,0.989572808128833,0.9973739285111609,100
ACSM5,-0.00037451178690389497,0.19734460804611445,-0.0020335088773572353,ACSM5,0.0001889306832975793,0.0061083743304033294,0.0009753636237682372,0.22194917297461025,0.025168420292831506,0.989572808128833,0.9973739285111609,100
ACSS3,-0.0004452283385035116,0.22978518679738044,-0.0005826685148349498,ACSS3,0.00018844880737172367,0.005888840752887562,0.000972624631265537,0.42478644027865714,0.9598318549385794,0.989572808128833,0.9973739285111609,100
ACTA1,0.000663688455533702,0.06571754559874535,-0.0009588317817542702,ACTA1,0.00021242810089822306,0.003918451189493826,0.0008682321688156223,0.22271377580844387,0.8544820972724042,0.989572808128833,0.9973739285111609,100
ACTL8,-3.9102754162740896e-05,-0.09362610571086406,-0.0032277967274421827,ACTL8,0.0001808113515691936,0.006045452095956038,0.0010545280496770861,0.16681667925905103,0.28416909056384243,0.989572808128833,0.9973739285111609,100
ACTN2,0.0005568757163564442,0.09779175862669945,-0.003225916426163167,ACTN2,0.00017344766582536253,0.004367034598334113,0.0009936055462219174,0.9400550401056416,0.5879897978391594,0.9924516600264534,0.9973739285111609,100
ACTN3,0.00021744420497270766,-0.013632189109921455,-0.0008270288605126552,ACTN3,0.0001739964851772447,0.003369680332874618,0.0009571052309906649,0.9383845859238518,0.9526918718816282,0.9924516600264534,0.9973739285111609,100
ACY3,0.0006706570997994277,-0.06198940776288509,0.0004971889959415421,ACY3,0.0001955313889381939,0.006964386244756706,0.000928471366980594,0.3861242213967815,0.48461948391514,0.989572808128833,0.9973739285111609,100
ADAM23,0.00039989218712435106,-0.01823337309062481,-0.000989302720372507,ADAM23,0.00020017822059949963,0.007356148288938155,0.0009126137027037085,0.3887332585716957,0.6255367826510773,0.989572808128833,0.9973739285111609,100
ADAM33,6.715071667713346e-05,0.007774533554911613,-2.3038082581479102e-05,ADAM33,0.00018210112255720665,0.005479109410930599,0.0009089813185907373,0.5422303737420601,0.3030191055284188,0.989572808128833,0.9973739285111609,100
ADAMTS18,8.240411887527443e-05,0.007152010649442673,0.003060325825936161,ADAMTS18,0.00016936348205667833,0.004285777374611847,0.0010162540476124412,0.5200173674043252,0.3718559350965448,0.989572808128833,0.9973739285111609,100
ADAMTS1,0.0003702141986650531,0.0241855451464653,-0.00158837348484667,ADAMTS1,0.0002063626159276623,0.003117469398361942,0.0010172000110102537,0.20785805279669223,0.743549456393221,0.989572808128833,0.9973739285111609,100
ADAMTSL1,0.00017222249149199343,0.09135322943329811,-0.0005052311335748528,ADAMTSL1,0.00017154933057848766,0.004614841465469701,0.0009106707047701366,0.7347127432805495,0.5816731601713323,0.9924516600264534,0.9973739285111609,100
ADAMTSL4,0.00030550016272172796,-0.04951410800218582,-0.0011629674938740209,ADAMTSL4,0.000186288443210298,0.0035208853749160835,0.0009741588997822101,0.4447992463209987,0.9711736681552665,0.989572808128833,0.9979451398096756,100
ADCY1,0.0001876797981458367,0.11272139355540275,-5.0796600989997385e-05,ADCY1,0.00016571575599315098,0.0035914281139052145,0.0009118240498079067,0.5860964481553964,0.13000743422577649,0.989572808128833,0.9973739285111609,100
ADCYAP1,4.6542601667169946e-05,0.0477491594105959,-0.00036273167788749563,ADCYAP1,0.00017504283483257,0.006742115571382034,0.0008904072806638693,0.47761988276003164,0.4406745341238841,0.989572808128833,0.9973739285111609,100
ADD2,0.00014354626684507822,0.09889685787260533,0.00019084697934886207,ADD2,0.0001842047196415494,0.007389488664809507,0.0009693162404782789,0.6930538985868461,0.38529915297683676,0.9924516600264534,0.9973739285111609,100
ADH1A,0.0002739722459409677,0.06186448163585737,-0.0021110203868011015,ADH1A,0.00020376682364337063,0.006776922273014474,0.0010255962598049078,0.6078213248091852,0.4482421856790208,0.989572808128833,0.9973739285111609,100
ADH1B,0.0002309625173074892,0.07364059034734964,-0.0036976936872815712,ADH1B,0.0001824196000734691,0.006851241493080443,0.000941159012767785,0.58954754357559,0.05385660341686682,0.989572808128833,0.9973739285111609,100
ADH4,0.0006309982376478729,-0.09310298025608063,-0.0005668848735513166,ADH4,0.0001814088669540492,0.006454795704941574,0.0009682255816098092,0.5363626338591776,0.5455627148089386,0.989572808128833,0.9973739285111609,100
ADH6,0.000577172956236609,-0.06655152313411236,-0.001475091622560285,ADH6,0.000165468673507364,0.0088691619829513,0.001031246324183323,0.9822801712312323,0.27922063403614183,0.9982908345046638,0.9973739285111609,100
ADI1,0.00018339638540055604,-0.0064197927713394165,-0.0004104698321316391,ADI1,0.0001883817888807009,0.0025904154306690057,0.0009290541314674234,0.41914479155010614,0.3518793586655609,0.989572808128833,0.9973739285111609,100
ADM,8.037310308282031e-05,0.03323904037475586,-0.0005927854773472063,ADM,0.00019654153476704721,0.004079732815587734,0.0010151015557988566,0.5661047010957061,0.10945762765615541,0.989572808128833,0.9973739285111609,100
ADM2,0.0001702419852881576,-0.03159663617610931,0.0003881543088937178,ADM2,0.00020079286194625177,0.0035911483640557176,0.0008408707234719221,0.8465823388161895,0.5083184848014839,0.9924516600264534,0.9973739285111609,100
ADRA2A,1.9771313382079826e-05,0.012311219573020935,0.0017737285111797973,ADRA2A,0.00018121224752899165,0.0066962310262,0.0008766438499156273,0.43522424139245575,0.7547994285374485,0.989572808128833,0.9973739285111609,100
AFF2,0.0004985952442984853,0.0873665077984333,-0.0014045714634994511,AFF2,0.00018175310263452321,0.005537639621486864,0.0008845750383538632,0.1628468752131672,0.5752109424132275,0.989572808128833,0.9973739285111609,100
AFF3,0.00022610513997278758,0.11425527676939964,-0.0008783377654617652,AFF3,0.00017557628970256637,0.005960827559077018,0.0009089506084661506,0.5252546075753911,0.4977975401179483,0.989572808128833,0.9973739285111609,100
AGER,0.0001588311223895289,0.031801699101924895,2.4235438322648405e-05,AGER,0.00019299015241217178,0.004248277223756843,0.0009620522659195147,0.4111416372218868,0.23836262165014593,0.989572808128833,0.9973739285111609,100
AGPAT9,0.00010176262085224153,-0.1018905845284462,-0.0002257841534446925,AGPAT9,0.00018582023469679851,0.005176305373631148,0.0009263677949579349,0.9090862490960165,0.06872501808947556,0.9924516600264534,0.9973739285111609,100
AGTR1,8.794623201538343e-05,0.1764422557130456,-0.0027643180593440774,AGTR1,0.00018047470525777315,0.006395634363572667,0.0009880150738907133,0.586218502117984,0.34613888313442537,0.989572808128833,0.9973739285111609,100
AGXT,0.00047468824763200243,-0.010215118016349152,-0.0006394279594860564,AGXT,0.00019609485159426693,0.006301913739791679,0.0009460016322269608,0.3916373514928858,0.8501490923057191,0.989572808128833,0.9973739285111609,100
AIM1,7.668200585612794e-05,-0.12667993187904358,-0.00027683876600349323,AIM1,0.0001988277775607924,0.0035466045124825027,0.0009745940188471731,0.3394025410199747,0.5300206629459154,0.989572808128833,0.9973739285111609,100
AIRE,0.0003532798315427499,0.07967731524258852,-0.0024123039564437933,AIRE,0.0001842202904737922,0.004232236775787345,0.0009080193390092316,0.18156821214807467,0.7033321024308926,0.989572808128833,0.9973739285111609,100
AKAP12,0.00017788815599487862,0.03081924021244049,-0.001092720116430428,AKAP12,0.00018887330464082,0.00389419614625718,0.0009208502918869377,0.6567575214176566,0.06282099292509508,0.9898380126867471,0.9973739285111609,100
AKAP3,0.00012788450891093817,0.07324370831251144,-0.00083732935556327,AKAP3,0.00019247610401456665,0.00412524456596036,0.000929969952101028,0.5475563887721413,0.1558076450384882,0.989572808128833,0.9973739285111609,100
AKAP6,0.00034621203412825706,0.010244074761867523,0.0004971646294870879,AKAP6,0.00018708324430682317,0.004896120369250864,0.0009363226280938895,0.3650905611662586,0.45315407966340143,0.989572808128833,0.9973739285111609,100
AKR1B1,0.00022249619265494403,0.02397792726755142,-0.0006745732521812897,AKR1B1,0.00022255937478293618,0.003054905099116294,0.0008006284113500408,0.10111576006098899,0.8851313743485396,0.989572808128833,0.9973739285111609,100
AKR1C1,0.0001512432500749128,-0.07082264289259911,-0.001816146814089734,AKR1C1,0.00020620919933427045,0.00649399935240483,0.0009692411275865091,0.2545875580278115,0.20500239047183672,0.989572808128833,0.9973739285111609,100
AKR1C3,0.00023388843968859873,-0.10064564883708954,0.0016144226684991737,AKR1C3,0.00021104547318149102,0.004868266074272111,0.0009181893294816626,0.33951530326774904,0.11692740738637508,0.989572808128833,0.9973739285111609,100
AKR7A3,5.9811898972839116e-05,-0.14728834643959998,-0.0017680179128365125,AKR7A3,0.0001912049957117949,0.008076218261687638,0.0008982014997361964,0.2509085959340404,0.7391843622776475,0.989572808128833,0.9973739285111609,100
ALAS1,-8.01416326976323e-05,-0.03223620653152466,-0.0005111966107506305,ALAS1,0.00018288632957067088,0.0023594486288812367,0.0008647779205038895,0.3206847733868282,0.5471532196132355,0.989572808128833,0.9973739285111609,100
ALAS2,0.0001996413847155054,0.06377595573663712,-0.0025428349379217254,ALAS2,0.00019442664562267198,0.00469748609140038,0.0009781371825137585,0.5813600839499823,0.22421442900066546,0.989572808128833,0.9973739285111609,100
ALDH1A1,0.00023502260170062074,-0.0671316510438919,-6.175804574013455e-05,ALDH1A1,0.00019505461830479062,0.005325979517417748,0.0009276010988208863,0.7314855375193682,0.6126437405597401,0.9924516600264534,0.9973739285111609,100
ALDH1A2,-0.00010975588847941253,0.15228169471025466,-0.0021588032742147333,ALDH1A2,0.00018793218454265828,0.006617888472803283,0.0008859092012258162,0.12189329729117915,0.900567671082259,0.989572808128833,0.9973739285111609,100
