gene_name,oracle_score,suggested_perturbation,survival_score,label,oracle_score_se,suggested_perturbation_se,survival_score_se,oracle_score_pval_acat,survival_score_pval_acat,oracle_score_pval_acat_fdr,survival_score_pval_acat_fdr,k
388795,-2.426296760859259e-05,0.005589353591203689,2.2575529146706687e-06,388795,1.0763252050182756e-05,0.0007477163713034377,0.0001544086222228002,0.575770997591556,0.5189532247372104,0.9454548533427858,0.7060588091662726,100
A1BG,3.1965070741080125e-05,0.030900971293449403,0.0004018371634811047,A1BG,9.857324674111802e-06,0.0007539916299021883,0.00015163502440005718,0.921581630213844,0.4827547345178745,0.9953708875753381,0.676334423394154,100
A2ML1,0.0004634282006009016,-0.5017877140641213,0.0013030790063930909,A2ML1,1.2349795081080932e-05,0.0016873224051427885,0.00015436727437150572,5.15641868092942e-08,0.03728034815322556,1.1458708179843156e-05,0.12223064968270676,100
AASS,7.4648250415521035e-06,0.03732454538345337,-0.0003216615408018697,AASS,1.1024074782072544e-05,0.0006410051908745326,0.0001486627247877447,0.6843938018162925,0.6932546902417622,0.9551130356631558,0.8397997459015896,100
AATF,5.653571481616381e-06,-0.03268930912017822,0.00013441532693832413,AATF,1.0832567601445944e-05,0.00035638348571747887,0.00015867371319228086,0.9511340512512672,0.40452346416791085,0.9961510833794233,0.611524511213773,100
ABCA12,0.0002431491803690733,-0.3088867762684822,0.0033994874874770176,ABCA12,1.150704728178994e-05,0.0015679467613082553,0.0001566894494369192,2.836935089955972e-06,0.0002830304373165893,0.0002836935089955972,0.0031102245858965856,100
ABCA13,0.00023137499410950114,-0.25183018505573274,0.0020659921811602543,ABCA13,1.1731301683625811e-05,0.0016570445502135985,0.00015772667689863546,0.0010430503973606342,0.0012344758187588512,0.03311271102732172,0.009955450151281058,100
ABCA6,6.153739619776389e-06,0.04329052656888962,-0.0003133922320921556,ABCA6,1.0668229048279536e-05,0.0010200730579901075,0.00015650728396334412,0.38364041427088125,0.02140036835568082,0.9260176873703857,0.08137022188471794,100
ABCA8,2.779901823714681e-05,0.10032960452139378,-0.0006618897627777187,ABCA8,1.1365945709806651e-05,0.0013966151111635104,0.00015108570303274605,0.9439636251611547,0.04148556857288299,0.9961510833794233,0.13190959800598726,100
ABCB1,7.136306482152577e-05,0.1316351741552353,0.0006694106593931792,ABCB1,1.0598266611779267e-05,0.0010751535763424617,0.0001725751637020394,0.5568121625054233,0.2789245372673772,0.9454548533427858,0.48848430344549426,100
ABCB4,3.53513800212113e-05,0.06415451269596815,0.00010560322463788907,ABCB4,1.3092549345437962e-05,0.001008979500485747,0.0001703461163742461,0.03512663184847037,0.20419571100587147,0.38181121574424315,0.39526546800048135,100
ABCB5,1.9803075254571922e-05,0.03363018015399575,2.3388297909150423e-05,ABCB5,9.499364117624064e-06,0.001193016644564816,0.00016800380946794424,0.6825991884150195,0.04270503086665606,0.9551130356631558,0.13471618569923047,100
ABCC11,2.661755769395313e-05,0.033182447105646135,0.00010129721263183456,ABCC11,1.0512941039961098e-05,0.0010311884534180025,0.0001737171007902195,0.5366349240836943,0.005395857398827808,0.9454548533427858,0.029893946807910295,100
ABCC1,2.9283664816830423e-05,-0.05585662364959717,7.487608541396185e-05,ABCC1,1.0884853087201913e-05,0.00047700315203673177,0.00018489622237123564,0.5156776761834155,0.1354698419332132,0.9454548533427858,0.296108944116313,100
ABCC2,8.79550406011731e-06,0.04487202316522598,-0.0009212943744205404,ABCC2,1.2239234604715567e-05,0.0013953479723040265,0.00016341254488291015,0.9374098552004808,0.006206386428124322,0.9961510833794233,0.03292512693965158,100
ABCC5,6.098493064428112e-06,-0.0661670446395874,-0.0001571921040158486,ABCC5,1.0508913389528444e-05,0.0006460416747441245,0.0001591892019039705,0.5251825837724715,0.47029833765011203,0.9454548533427858,0.6666170625798895,100
ABCC6,2.749601120740408e-05,0.23880862295627595,0.002701941600716964,ABCC6,1.0277981470662922e-05,0.001200294273771134,0.00015715600217821246,0.7269213832277185,0.0011481601179020307,0.9660084826946426,0.00952829973362681,100
ABCD1,1.0069186193959468e-05,0.0024771568179130553,-1.6683047888363945e-05,ABCD1,1.2178262378207727e-05,0.0005207013290546394,0.00014559293325880606,0.6160013107681176,0.8978282423691233,0.9454548533427858,0.9579535924529203,100
ABCG8,3.349377294057376e-05,0.08770608350634575,0.0012886982206691754,ABCG8,1.21671297648163e-05,0.0010492100819531113,0.00014670195911922914,0.8755645743845342,0.0027487607123882207,0.9826762899938655,0.017993856024051305,100
ABHD12B,-1.593741006672644e-05,-0.002040739730000496,-0.0006572722677083221,ABHD12B,1.2090854267361126e-05,0.0012865506982104315,0.00017359225367980833,0.5024333864469035,0.013196493069625725,0.9454548533427858,0.05639526952831506,100
ABI3BP,3.1713692061430267e-06,0.09621027424931526,-0.0009222814087115694,ABI3BP,1.1724479841132582e-05,0.0010103009217023785,0.00016724289253972912,0.27308850567351994,0.013611545111853973,0.8813905001416616,0.05779849304396592,100
ABP1,-3.3606606029934484e-06,0.03170132309198379,-0.0003021966888991301,ABP1,1.2116453631773638e-05,0.0013544739509665248,0.0001666310192674688,0.5587398417838487,0.021546626482075948,0.9454548533427858,0.08164328957786855,100
ACAA2,3.312782283728666e-05,0.1395052620768547,0.0002977792714773386,ACAA2,1.154948121129226e-05,0.0007077232958722808,0.0001550327491174403,0.2822869559148069,0.054839938512704134,0.8817519291391089,0.15758603020891992,100
ACAD11,2.191276839312195e-05,0.06053285658359528,-0.00046664971059726665,ACAD11,1.2348672585846664e-05,0.0007241651724894905,0.0001656927307940988,0.48037100416107364,0.496441963310853,0.9454548533427858,0.6864290382410821,100
ACADSB,2.0246310532456847e-05,0.0735680502653122,0.00028962227910596996,ACADSB,1.0706979650215657e-05,0.0006704556904101106,0.00013825908448287044,0.7979221280612199,0.407855444324901,0.9743565395967672,0.6133164576314301,100
ACAN,4.4652048472926256e-07,0.03181228250265122,-6.280933740526962e-05,ACAN,1.1159313205781898e-05,0.0007807265586402245,0.00015728215954457524,0.7059327420332828,0.7554197915063603,0.955695096879409,0.880802390359498,100
ACAT1,1.4061142668424508e-05,0.06646147400140762,0.0002525893303391058,ACAT1,1.1578095593288414e-05,0.0006165298820990979,0.00016195941987841758,0.4973929663202271,0.8511714015292204,0.9454548533427858,0.9400144527022074,100
ACE2,-1.0773416720439855e-05,-0.03412721399217844,-0.00024459334579660205,ACE2,1.0968751652550606e-05,0.0016565165700843268,0.00015031864753755093,0.8546294287805876,0.8039294431283801,0.9788005518793367,0.9090441176951232,100
ACHE,-1.932481379753881e-06,0.03424705743789673,-0.0001530241145155742,ACHE,1.0783998385613047e-05,0.0011283578634011407,0.00018130467269323662,0.8519234238613116,0.055394166237319964,0.9788005518793367,0.15826904639234277,100
ACLY,6.639800576522248e-06,-0.003494856357574463,7.571637706860201e-05,ACLY,1.076880259473679e-05,0.0004030317810841933,0.00016323043442289611,0.4252479993009729,0.35857994885324074,0.9321572015508237,0.5728114198933558,100
ACP5,1.5893358697098847e-05,-0.0547579163312912,-0.0007555980903998716,ACP5,1.1420345542828406e-05,0.0005031231443947714,0.0001548526308657643,0.8643803277251259,0.06859279674975366,0.9794677934562334,0.18267056391412426,100
ACSBG1,8.933034603160195e-06,-0.03588981196284294,0.00010216733835477498,ACSBG1,1.1742300398932177e-05,0.0007498587809987907,0.0001528136739018558,0.8288914040580865,0.450326363292492,0.9788005518793367,0.6517024070803068,100
ACSBG2,-4.6179914988897505e-06,0.04503880478441715,-0.0009051741503935773,ACSBG2,1.1318569895054576e-05,0.0006526348725653894,0.0001664057071181208,0.8197603855497364,0.14858747094590352,0.9788005518793367,0.3170007110663812,100
ACSL4,-7.537840713212062e-07,-0.006866009831428528,-7.710785497238249e-05,ACSL4,1.1472204581479676e-05,0.0005131532527547686,0.00015447604106532387,0.4722874833375855,0.5675408422032993,0.9454548533427858,0.7543410901980605,100
ACSM1,1.729945349779882e-05,0.1059805241972208,0.0005348656798378215,ACSM1,1.004951300719691e-05,0.0009777704770979052,0.00015027813727598352,0.7490096165391145,0.8517669776105704,0.966947627934692,0.9400144527022074,100
ACSM5,0.00011065422687806858,0.1555934714525938,-0.0008083592613547807,ACSM5,1.2148240076743443e-05,0.0015614950930772562,0.0001772829363837799,0.052723301347218976,0.19227757132954193,0.45846348997581715,0.3811250175015698,100
ACSS3,8.875998843905109e-05,0.19439005061984063,0.0012702301099488977,ACSS3,1.1314205966989646e-05,0.0010648529948224102,0.00016120878497312448,0.043106820417142644,0.017687767581355374,0.4135440328088475,0.07060985062417315,100
ACTA1,0.00011923072376930577,-0.16399699509143828,-0.0020870109275847428,ACTA1,1.0720337666028902e-05,0.0013589726179976595,0.00015331476755324263,0.27526516846158555,0.000925859869025436,0.8817519291391089,0.008016102762124987,100
ACTL8,-1.1921320486862897e-05,-0.005534111596643925,-0.0008146355783537728,ACTL8,1.149248964213945e-05,0.0012012972844701495,0.0001606424787482464,0.6454904712517268,0.7833711504723713,0.947624500185821,0.8952813148255672,100
ACTN2,3.437389732425799e-05,-0.08975183852016926,0.004351836643181741,ACTN2,1.2244460975185224e-05,0.0012119713557506265,0.00015778933222245197,0.11657558178981742,8.347211330334003e-05,0.6869880474085682,0.0012366239007902226,100
ACTN3,3.420054499201797e-05,-0.0519905549287796,-0.0016799903230639757,ACTN3,1.0264662487253714e-05,0.0006853687826133698,0.00015658663491682176,0.7116850748157193,0.010160227474892758,0.9588292961692118,0.046078129137835634,100
ACY3,2.8082311749813017e-05,0.05571052789688111,-0.0007860235056432429,ACY3,1.0258578890145923e-05,0.0013035234226609104,0.0001601839882296642,0.20711544935410492,0.11487126404760678,0.8186381397395451,0.26328049948197596,100
ADAM23,7.766142045056767e-05,-0.21450359806418418,-0.0015689962554642988,ADAM23,1.0581848509139743e-05,0.0013944473053711637,0.00016478213149174944,0.00568793875903667,0.017469862238219724,0.11044541279682855,0.0698794489528789,100
ADAM33,1.9806883040018873e-05,-0.033478565663099286,0.00016368741709811728,ADAM33,1.1592755775183976e-05,0.001109212371881693,0.00013525581909653924,0.2324202750688289,0.49554232254937275,0.8526998917437345,0.6863467071320952,100
