gene_name,oracle_score,suggested_perturbation,survival_score,label,oracle_score_se,suggested_perturbation_se,survival_score_se,oracle_score_pval_acat,survival_score_pval_acat,oracle_score_pval_acat_fdr,survival_score_pval_acat_fdr,k
388795,0.0008315037921420299,0.020631167255342007,0.0004727174962681602,388795,0.0016547475177458725,0.0030797754540162264,0.000529550181326983,0.8475232888113766,0.6831895050478753,0.956572560735188,0.9199475382259364,100
A1BG,0.0011878153589714201,0.05036674901843071,0.0008864462224300951,A1BG,0.0016781221046182643,0.0038238992532818273,0.0005737052979484663,0.49883404925050556,0.7450415916241778,0.8259935450659619,0.9499172436656019,100
A2ML1,-0.03771002244378906,-0.5203032511472702,0.0020360600177082235,A2ML1,0.0021205318883506007,0.006316446186267916,0.0006448775765156741,0.003255639819257805,0.9853994957611972,0.525900587090663,0.9937016666258094,100
AASS,-0.0011649590874458226,0.04320934861898422,-0.00045597747784086094,AASS,0.0017296415915137781,0.0030608360562722897,0.0006304718572668381,0.12949237265403313,0.18197141849770543,0.8008936747702382,0.6329440643398451,100
AATF,0.0010750902313156985,-0.019898528456687926,-6.678056743112393e-06,AATF,0.001660894242698465,0.0013450441445268728,0.0005959784046240815,0.25115248419069036,0.9407027200106715,0.8008936747702382,0.9907275432173362,100
ABCA12,-0.007711567613987427,-0.34090037062764167,0.004023262785485713,ABCA12,0.001719907259891476,0.006024542943938246,0.0005593521160070345,0.0738549863019754,0.03439335486451067,0.8008936747702382,0.3800370703260848,100
ABCA13,-0.006012411239498761,-0.18363505125045776,0.0026181721460307016,ABCA13,0.0016754787261625743,0.005684117052559721,0.0006088889805879307,0.06662393810186656,0.1125735880615174,0.8008936747702382,0.5325532430152867,100
ABCA6,-0.00028992778112296947,0.007696481943130493,-0.00029061385823297314,ABCA6,0.0017423108214456415,0.0044233361067847875,0.0005899898018029789,0.26952464008840793,0.14247079034300086,0.8008936747702382,0.5719132673331133,100
ABCA8,0.000671167786422302,0.005351855158805847,-0.0008023478467293899,ABCA8,0.0017953315137466956,0.005593226574993457,0.0005659175095459657,0.043288974004391745,0.37625084557460603,0.8008936747702382,0.7741786945979549,100
ABCB1,-0.003694162708488875,0.07467081114649772,0.0004678343628006587,ABCB1,0.0017085030832786397,0.004570965213136302,0.0005934169116249357,0.2636123204169859,0.25405352729791664,0.8008936747702382,0.689092135374036,100
ABCB4,-6.67161715682596e-05,0.042876451760530475,-0.00025159297927530134,ABCB4,0.001573780180439556,0.0036106090562662433,0.0006200181436401339,0.5190248562603212,0.4275160817858303,0.8331057082830197,0.7955205350163632,100
