gene_name,oracle_score,suggested_perturbation,survival_score,label,oracle_score_se,suggested_perturbation_se,survival_score_se,oracle_score_pval_acat,survival_score_pval_acat,oracle_score_pval_acat_fdr,survival_score_pval_acat_fdr,k
388795,-3.2324556973435395e-05,0.07924247030168771,1.1349232576094437e-05,388795,7.267580378258032e-05,0.002379053471466812,0.0012731805378687663,0.6068858543474769,0.1013467198802549,0.9842028901686708,0.5784969323693722,100
A1BG,7.218610695872485e-05,0.06396041117608547,-0.0012019932037947,A1BG,7.296230386422393e-05,0.002704943992978292,0.001242428689684637,0.8232846272457479,0.3400409485519583,0.9842028901686708,0.7489888734624632,100
A2ML1,-8.755543321967708e-05,0.1377334571816027,-0.002818706226244103,A2ML1,7.291178074393098e-05,0.005139576420161807,0.00153646005479496,0.2331321053263889,0.2546733430052983,0.9842028901686708,0.6846057607669309,100
AASS,-7.734848050404253e-05,0.01608802944421768,0.0021941687547951004,AASS,6.78586131247463e-05,0.002438286543178709,0.0015562801308121484,0.7019885616301337,0.8899990015531438,0.9842028901686708,0.9820167989495657,100
AATF,-0.00016181239292563986,0.034651669263839724,0.000843951770948479,AATF,7.623419780872933e-05,0.0012165412838853254,0.0013434408326571461,0.2912521869864372,0.6659118551940322,0.9842028901686708,0.9216773082270341,100
ABCA12,-8.312905229104218e-06,0.20041886940598488,-0.0034932702596415766,ABCA12,7.23155461857788e-05,0.005412759468232093,0.0012372634180255727,0.06551249141165638,0.9221693834892519,0.9842028901686708,0.9919769110456239,100
ABCA13,-0.00010624317175825126,0.044339990392327305,-0.0015762449469184502,ABCA13,6.534754985200114e-05,0.0049755497421093055,0.0012304043830142035,0.8666377709725993,0.4436861768650605,0.9842028901686708,0.8160126710411169,100
ABCA6,-3.847493803959878e-05,0.1738121947646141,-0.00097323751237127,ABCA6,7.012550897675732e-05,0.0031209794250579874,0.001348840859899517,0.7238444457949014,0.7506961169776278,0.9842028901686708,0.9521936290405882,100
ABCA8,-7.629611039192241e-05,0.11569642785936594,0.002426849405892426,ABCA8,8.806980308939068e-05,0.004710346692764005,0.0013340715622930468,0.19150159547193263,0.7048754904451818,0.9842028901686708,0.9404609612343986,100
ABCB1,2.0680403996493623e-05,0.1432561145722866,-0.0005905794312275248,ABCB1,6.890299879668478e-05,0.003919522990818648,0.0012304609519673882,0.6020968297862661,0.786065942035436,0.9842028901686708,0.9598209401078741,100
ABCB4,8.452277141714148e-05,0.14288086630403996,0.0007178343893974671,ABCB4,6.979147331773418e-05,0.0031659781658109273,0.001394636401000826,0.5462198147806833,0.4687779663755013,0.9842028901686708,0.8269058896707755,100
ABCB5,4.494599415806988e-05,0.05850443664938212,-0.001662127495801542,ABCB5,7.132367628091675e-05,0.0034527432968867464,0.001340260463683658,0.37227689903602634,0.10728602938750526,0.9842028901686708,0.5784969323693722,100
ABCC11,-0.00012627400092469544,0.09155776463449002,0.004694172663871541,ABCC11,6.236244206427918e-05,0.003990063627050686,0.001315897106297505,0.5047334629781949,0.20062269763588497,0.9842028901686708,0.6399448090458851,100
ABCC1,-0.00013134400414173796,-0.007408506274223328,0.0009882845485117287,ABCC1,7.260591468665929e-05,0.0018296542737107242,0.0013308705713391423,0.6264144144119996,0.4516070847762429,0.9842028901686708,0.8166067022618068,100
ABCC2,7.52102106230268e-05,0.18851535201072692,-0.005252002288107178,ABCC2,6.55760447227002e-05,0.004473627708407807,0.0013584264899126767,0.5649997935437364,0.5802955886127308,0.9842028901686708,0.8873082993167108,100
ABCC5,-0.00010438858673239793,-0.1422607609629631,-0.00017810697027016432,ABCC5,6.581054817358464e-05,0.0020725105573889705,0.0013809523739234132,0.19000638267304543,0.8861829501867433,0.9842028901686708,0.9812573504573182,100
ABCC6,3.3503174963698255e-05,0.062373481690883636,0.0014033562985423487,ABCC6,6.26024080897687e-05,0.004232828731221367,0.0015580522134009665,0.6054739286327415,0.10378050592087484,0.9842028901686708,0.5784969323693722,100
