gene_name,oracle_score,suggested_perturbation,survival_score,label,oracle_score_se,suggested_perturbation_se,survival_score_se,oracle_score_pval_acat,survival_score_pval_acat,oracle_score_pval_acat_fdr,survival_score_pval_acat_fdr,k
388795,-6.532219471409917e-05,0.030705891698598862,0.004226976163918153,388795,0.00038248647204920015,0.004106489659616741,0.0019525411229210942,0.8752409728381356,0.4236207923273681,0.962861356257575,0.9964018498333331,100
A1BG,0.00023915091725939418,0.09263233192265034,0.0014363342622527853,A1BG,0.0004069489372787719,0.0038618756264745097,0.001919171526423389,0.6244887142990199,0.030901319844872543,0.797027123457145,0.9964018498333331,100
A2ML1,0.0014683833262824919,0.12525948379188775,-0.003931453081895598,A2ML1,0.00039642439449608525,0.008023764036518867,0.001797746450393723,0.7632620633574048,0.38548763923912566,0.8966933646435478,0.9964018498333331,100
AASS,-5.738181542255916e-05,-0.0063177463412284855,0.00113001002711826,AASS,0.00040653743554051663,0.0035133750008173397,0.0019249919668141852,0.4023060942799129,0.7586628821642407,0.6546885179494106,0.9964018498333331,100
AATF,0.000403945354919415,0.022090606689453125,-0.00029508023872040214,AATF,0.00038190233709440365,0.001850153690109977,0.0019444156036032413,0.3905842127632475,0.6986345240429123,0.6488109846565573,0.9964018498333331,100
ABCA12,0.0002360772494284902,0.09824432238936424,-0.0012061984947649763,ABCA12,0.00043141544810198866,0.007178966676324365,0.002135427558669272,0.3080426139936594,0.4951494189821978,0.6120194712925634,0.9964018498333331,100
ABCA13,-0.0002641467452667712,0.05117005493491888,0.0007354304328327999,ABCA13,0.0004272040997809974,0.007283712347853815,0.0021087268504755515,0.9673830643184098,0.22887902362112272,0.9929467192625822,0.9964018498333331,100
ABCA6,0.0009515688868123106,0.10913907408714295,-0.0016095043567474932,ABCA6,0.00043464662200022955,0.004846099537048157,0.0020551727217946124,0.3013957602132241,0.39686089668119345,0.6120194712925634,0.9964018498333331,100
ABCA8,0.0009602645967970602,0.015064127147197723,0.0016453944088425487,ABCA8,0.0004359838685656015,0.0061414630896090994,0.0019436128394119362,0.1660051294966276,0.24122418182138894,0.6120194712925634,0.9964018498333331,100
ABCB1,0.0006552853773609968,0.04923082754015923,0.0006164863763842732,ABCB1,0.00044375564645915134,0.006158951081987489,0.001925423162004394,0.2197179657073704,0.40474631399561456,0.6120194712925634,0.9964018498333331,100
