gene_name,oracle_score,suggested_perturbation,survival_score,label,oracle_score_se,suggested_perturbation_se,survival_score_se,oracle_score_pval_acat,survival_score_pval_acat,oracle_score_pval_acat_fdr,survival_score_pval_acat_fdr,k
388795,-0.0001098138560962525,0.01788101252168417,0.0013224251274004928,388795,6.802682412159759e-05,0.000977815880626173,0.0002573667179568858,0.5963782394485208,0.18186593920763927,0.7049388173150364,0.4414202679315774,100
A1BG,-0.00011506095269169237,0.06193920433521271,0.001383251390689111,A1BG,7.191958045586237e-05,0.0008352290224385047,0.0002525290602909462,0.02471642210860575,0.11192538374381444,0.10119922777525818,0.3188757371618645,100
A2ML1,-0.002730216837953776,0.15932951554656027,-0.003582627201722062,A2ML1,0.00010222789818498676,0.0018387741379037484,0.0002562679897042125,2.242682517472616e-08,0.010549238012833528,1.2122608202554683e-06,0.06187236371163359,100
AASS,3.795987194052941e-05,-0.005803757607936859,-3.022261353180511e-05,AASS,7.64943342721758e-05,0.0008600652241367799,0.0002442252398088188,0.687616688208996,0.1583629457672872,0.7840555167719453,0.39942983490068895,100
AATF,6.742990934242243e-05,0.02763961613178253,-0.0003480964649861562,AATF,7.096831828742604e-05,0.00032865250830492714,0.00023968984795222516,0.14612792630341648,0.6719504856006934,0.2890760164261454,0.8544722170507644,100
ABCA12,0.00018622592960127805,-0.09573927849531173,0.0015344487517177186,ABCA12,7.549286924437673e-05,0.001734558406641765,0.00025692305759654444,0.04349177470103527,0.1297525761587845,0.14486285200170873,0.3535492538386499,100
ABCA13,-0.0014809574306991636,0.23322983786463738,-0.004120023832947481,ABCA13,8.405893090323899e-05,0.001854505480760459,0.0002507163090015038,6.86205716911581e-05,0.005983848513620327,0.001163060537138273,0.04084538234553124,100
ABCA6,3.027045881179191e-05,0.06041652590036392,-0.0005228712231837563,ABCA6,5.7341287203512165e-05,0.0013281694917676207,0.0002509416847299418,0.411358044467854,0.9550027066456349,0.5370209457804882,0.9841287389128792,100
ABCA8,-4.193302970179502e-05,0.033315865993499755,7.07859128669952e-05,ABCA8,7.382153699821828e-05,0.0014602941021025476,0.0002495667592804326,0.11995470716203571,0.7731205471658718,0.2647163354088269,0.9095535849010257,100
ABCB1,-0.00025230849091713027,-0.13219211265444755,-0.0016178348193352577,ABCB1,6.935766613530448e-05,0.0013915287535734178,0.00023617652696846506,0.16366464954283172,0.10003088611076899,0.30978960976978426,0.2994936709903263,100
