gene_name,oracle_score,suggested_perturbation,survival_score,label,oracle_score_se,suggested_perturbation_se,survival_score_se,oracle_score_pval_acat,survival_score_pval_acat,oracle_score_pval_acat_fdr,survival_score_pval_acat_fdr,k
388795,0.00015888967401224364,0.04714140508323908,0.0011645598680479453,388795,6.991551282025825e-05,0.0009698761721216604,0.0002780184476126936,0.04824892079034593,0.1394355173711916,0.26437764816627907,0.3400719589419167,100
A1BG,6.565565889843583e-05,0.07007339701056481,0.0016835891747905406,A1BG,6.726160561864919e-05,0.0009647635765432786,0.00026948856096508034,0.30200649898611454,0.06846986737660399,0.6958690319116634,0.20811509840913064,100
A2ML1,0.0019558463854991714,0.16247783675789834,-0.004321260884134972,A2ML1,8.18305779133496e-05,0.0020429791865995786,0.00027433050716694064,9.854093780403694e-06,0.001787079310863915,0.0007319280992648361,0.012905131802228655,100
AASS,-2.391258077295788e-05,-0.01492668390274048,0.00019227645279897842,AASS,6.792275933180432e-05,0.0008418786636979223,0.0002797041853337428,0.5719462165295832,0.14279337715167661,0.8779489501531497,0.34551302329163824,100
AATF,8.66956623895021e-05,0.024269455075263978,-0.0008433765721565578,AATF,7.340002338820946e-05,0.00043254540165777594,0.0002473680824775301,0.8194723721547243,0.9588849502261737,0.9738801447471745,0.9849871086041846,100
ABCA12,-0.00029806864042257073,-0.09736615762114526,0.0012159171961684478,ABCA12,7.076404660976736e-05,0.0019133444097003665,0.00025091387864934405,0.08758600460533966,0.10215090729613818,0.38143833627353263,0.2724024194563685,100
ABCA13,-0.00016051936210715212,0.2351282061636448,-0.005335661546268966,ABCA13,6.722307792724409e-05,0.0017821976845923937,0.00026898373764187606,0.06961832345322438,7.174090656042464e-05,0.3331020260919827,0.0008540584114336266,100
ABCA6,8.725815795060043e-05,0.05309374436736107,-0.0005851475649433269,ABCA6,7.15120122448875e-05,0.0013556266379879387,0.00026649440470976,0.7946022530625098,0.21159334487383252,0.9684366277422423,0.4516400104030577,100
ABCA8,0.00019415043239860098,-0.04848239690065384,-3.42539035068512e-05,ABCA8,7.045892474282255e-05,0.0016879294881617182,0.00024976363740431923,0.40105052337722635,0.4871484494176683,0.7833018034711452,0.7278332239509356,100
ABCB1,6.849910701475892e-05,-0.16391546934843063,-0.0021891972056766918,ABCB1,6.981197929954174e-05,0.0015162107760173904,0.00026251865169094524,0.9837520412023113,0.012466652497258535,0.9957221461367088,0.058528884963655096,100
ABCB4,-0.0003746332792820795,-0.1110452252626419,0.00026509013820316343,ABCB4,7.0883009216536e-05,0.0011244300590464323,0.0002356530599340755,0.4702387177357578,0.8045830789556615,0.815994133021022,0.9195235188064703,100
