gene_name,oracle_score,suggested_perturbation,survival_score,label,oracle_score_se,suggested_perturbation_se,survival_score_se,oracle_score_pval_acat,survival_score_pval_acat,oracle_score_pval_acat_fdr,survival_score_pval_acat_fdr,k
388795,-0.00010642388873748132,0.048684173971414564,0.002089669895503903,388795,0.00020128003918355063,0.001667853981923108,0.0005317597228779396,0.23894798493397812,0.24450695752461782,0.9938402614936361,0.6451664582888552,100
A1BG,3.111917538262787e-05,0.029566449075937272,0.0014386103967990492,A1BG,0.00021561195228630677,0.001960885178320929,0.0006511814404598886,0.5242429109333173,0.317581624954833,0.9938402614936361,0.7160803268429154,100
A2ML1,-0.0011475745504321822,0.11887661170214414,-0.002148208276630612,A2ML1,0.000244159499866103,0.0034601116945491327,0.0006638110856327751,0.08368800211978078,0.2977027548946261,0.9938402614936361,0.7004770703402967,100
AASS,-0.00028023944043070514,-0.04748309254646301,0.0007113146691790462,AASS,0.00020309576640706138,0.0014204120086960188,0.0006402091971634808,0.35691281453562684,0.5962703452517478,0.9938402614936361,0.8773160702837052,100
AATF,0.00020348604448827245,-0.015444738864898682,0.0010351454385090619,AATF,0.00021078082367347782,0.0007893030937070198,0.0006323600897775657,0.577248673586783,0.3202848006388126,0.9938402614936361,0.7189333347672561,100
ABCA12,0.00020076089254871476,-0.22891657844185828,0.003835735826942255,ABCA12,0.00021474551509208703,0.003434842697220498,0.0006345531966281323,0.9000795845982308,0.014942532612472692,0.9948098117491445,0.23604770375317966,100
ABCA13,0.00036331463150986567,0.034874200485646725,-0.000620484067403595,ABCA13,0.00019254242024944134,0.0034259960917381394,0.0006585517030939872,0.41069998119757206,0.49302480899772777,0.9938402614936361,0.8275059120834057,100
ABCA6,-0.0002527433367640697,0.05265886001288891,0.0001762211373716127,ABCA6,0.0002211636236151008,0.0023856594619461645,0.0005936655092119267,0.5620225305733657,0.4497309584992159,0.9938402614936361,0.8103260513499385,100
ABCA8,2.2978179458732484e-05,-0.030610570907592772,0.0008038904924069357,ABCA8,0.00019014182937596196,0.0029848666866815897,0.000616988308622869,0.6698398802918505,0.24650525963805547,0.9938402614936361,0.6456676714141891,100
ABCB1,-0.0007696679994842271,-0.2923175773024559,-0.0027483304995621436,ABCB1,0.0002256933058532935,0.0026973785120488216,0.0005972218731506839,0.19919069243213205,0.14514410542661466,0.9938402614936361,0.5395691651547013,100
ABCB4,0.00041168748690097347,-0.11146226719021797,0.001398748855172016,ABCB4,0.0002145893733359545,0.002045358130552108,0.0007126330481595287,0.7910177369504608,0.03845395517323408,0.9938402614936361,0.34487852173304107,100
ABCB5,0.00019448979094988773,0.009685410540550948,0.0008879069065733347,ABCB5,0.00022181036334831486,0.0029509791204366987,0.0005960479179006235,0.4809846639964648,0.8173931851477492,0.9938402614936361,0.9713298726879942,100
ABCC11,-0.0006540970070750518,0.09289560228586197,0.0023723416395660026,ABCC11,0.00018275052991934107,0.0027933750221123014,0.0006417180593677043,0.7676845955578964,0.08948137647957038,0.9938402614936361,0.4615935912677002,100
ABCC1,2.0051252004122944e-05,-0.008828836083412171,0.0003838512072979938,ABCC1,0.00021389288971065422,0.001043907719811317,0.0006918518189106139,0.5922513107102225,0.14083192232044456,0.9938402614936361,0.5354825943743139,100
ABCC2,0.0006709384776149818,-0.1828483086824417,0.006238936861263937,ABCC2,0.00019064764394032522,0.003112117439100588,0.000615757069858424,0.351260555296942,0.02916031381693851,0.9938402614936361,0.3248901501921324,100
ABCC5,9.481438550892562e-05,-0.01105172634124756,0.002203238521142339,ABCC5,0.00020565058071711587,0.0013965392011848164,0.0005965793482951996,0.9223674122303066,0.9210405658439638,0.9976735261614395,0.9864463748397716,100
ABCC6,-0.001970029198090515,-0.2331017830967903,-0.003712989240011666,ABCC6,0.00021381054709286037,0.002814668548177625,0.0006319459585014914,0.011017321020286241,0.11400210590813098,0.6677164254718934,0.5101904731871368,100
ABCD1,-1.0869260986510198e-05,-0.032129146456718445,0.0003285628575395094,ABCD1,0.000205327859013339,0.001171072132833064,0.0006384035014544299,0.18272897811776279,0.036166541161757104,0.9938402614936361,0.34119378454487836,100
ABCG8,0.0001033561773698466,-0.029780533500015735,0.000615767435010639,ABCG8,0.00021873063944834095,0.0034128663148562076,0.000618124081264002,0.039154704568506615,0.40672990739850295,0.9938402614936361,0.78522252040998,100
ABHD12B,-0.0005484128929765575,0.11360035955905914,0.004728715403070964,ABHD12B,0.00020455185928146543,0.002434215747476017,0.0006329347831147754,0.2864094525710513,0.05923206128653408,0.9938402614936361,0.38669387369771335,100
ABI3BP,-0.00025020507784574876,-0.15504354178905488,0.0003590917735709809,ABI3BP,0.00020825608013787838,0.002298711975535576,0.000664396138720333,0.6850130854188397,0.8361886491360366,0.9938402614936361,0.975769154418163,100
