gene_name,oracle_score,suggested_perturbation,survival_score,label,oracle_score_se,suggested_perturbation_se,survival_score_se,oracle_score_pval_acat,survival_score_pval_acat,oracle_score_pval_acat_fdr,survival_score_pval_acat_fdr,k
388795,8.020758270049555e-05,0.039683754406869415,0.002224466246552765,388795,3.746040532161085e-05,0.0012837345875128655,0.00046549572141271425,0.9398341635100317,0.11923448422867922,0.9964746382544992,0.3855100028367221,100
A1BG,0.00010944773509095284,0.024927396923303605,0.00045470137920347045,A1BG,3.909587074895656e-05,0.0013006363235648689,0.0004220023789103542,0.912712666767151,0.6273277503017872,0.9960840790410465,0.8570051233630973,100
A2ML1,0.0005234833479426015,0.1505063320696354,-0.004115759265987435,A2ML1,3.6637365329476355e-05,0.0027852163756664785,0.0004919695495397195,0.011396273641452848,0.023657536024198456,0.18530526246264792,0.14425353825625292,100
AASS,9.031071216668352e-05,-0.06996335476636886,0.00028930587322975045,AASS,3.85837809728695e-05,0.000992472866912999,0.0004600708975116743,0.31794262762353187,0.3837958321956524,0.858144743923163,0.716037000365023,100
AATF,5.428564745670883e-06,-0.010069363713264466,0.00029439713442116046,AATF,3.920537762097183e-05,0.0005922047765368435,0.0004544716684433621,0.39258826543749736,0.8580830106706355,0.8992277193090983,0.958216650665143,100
ABCA12,8.251109599768824e-05,-0.14637650325894355,0.0017927636272997915,ABCA12,3.694465556498489e-05,0.0026382278509722024,0.0003892917915209275,0.732742356491222,0.3555891475730092,0.9605377610357821,0.684252069853248,100
ABCA13,4.886578289756472e-05,-0.009219266921281815,-0.0010414690617471932,ABCA13,3.909971742424359e-05,0.002391242297385674,0.00044094493033814146,0.04146494518286403,0.9249596069944184,0.34759322368061224,0.9797310537586824,100
ABCA6,7.323494666479747e-05,0.0025619404017925263,-0.0014880537660246773,ABCA6,3.6860675033943804e-05,0.0016693589777390654,0.00044459253788475155,0.43672152674740217,0.5927431789594793,0.9093779719433303,0.8437760442305524,100
ABCA8,0.00020115370588655424,-0.15116341531276703,-0.000983419887090804,ABCA8,3.4727074148145274e-05,0.001979504547555946,0.0004497420519208914,0.4231656220808406,0.8984098935244132,0.907465540451551,0.9735213619148717,100
ABCB1,0.00019178899166945483,-0.324473434984684,-0.0036862487297912596,ABCB1,4.39476879731245e-05,0.0018243783848655617,0.00041048266824886346,0.31527828226812926,0.06414049545491668,0.8557873886447678,0.25915351698956235,100
ABCB4,5.9781326242500655e-05,-0.13202811747789384,3.24245293813874e-05,ABCB4,3.970797832549931e-05,0.0014517515718693395,0.00048154467853329496,0.9949724785862437,0.9378622756374888,0.9994158293505548,0.9856671315160156,100
ABCB5,9.428522741700363e-05,0.021807204596698285,0.00040747829465544785,ABCB5,3.776682687274826e-05,0.0018262105713726614,0.000467207072457337,0.8017083143238325,0.3910881055004708,0.9814195103325491,0.7222310350885888,100
ABCC11,0.0001898697821297901,0.12175866417586803,0.002675231586181326,ABCC11,4.2342416804969596e-05,0.0020475253218285015,0.000498982206182428,0.4037420563112363,0.02656064321291851,0.9032260767589179,0.15754556563564925,100
ABCC1,-2.281301535589364e-06,0.015758901834487915,-0.000493864520904026,ABCC1,3.941502136799732e-05,0.0007499163502781563,0.000443547745636947,0.4570030982946593,0.716977806675098,0.9093779719433303,0.9058468814593784,100
ABCC2,4.979591852588783e-05,-0.011366606727242469,0.005277315779530909,ABCC2,4.3538150499721046e-05,0.0026911802603611155,0.00046094641169356563,0.37298370224330935,0.015363347865296362,0.8837172946262085,0.11012311302982603,100
ABCC5,7.875622156916506e-06,-0.027457138299942018,-0.00028243590884812874,ABCC5,3.991275764633702e-05,0.0008648748769145332,0.00045206146862811675,0.5454310752022975,0.7516521695761418,0.9243003147767552,0.9145772833763921,100
ABCC6,0.0004981691481771122,-0.23101847350597382,-0.005427473059062322,ABCC6,3.630339927231093e-05,0.0017874844537328996,0.00045873921360103166,0.016064141945582033,0.01327731333079496,0.2260199596397022,0.0982721103063136,100
ABCD1,-2.5967684532588464e-05,-0.025198925733566285,-0.00033533063995491827,ABCD1,3.714072282230505e-05,0.0007182820517800289,0.00044860986545656567,0.6770809952988177,0.6931472502425245,0.9431473146266641,0.8915077173537294,100
ABCG8,-0.0002886823926883153,-0.08649970225989818,0.001081189923643251,ABCG8,3.770454723708337e-05,0.002101865245359536,0.00047024704794566076,0.018885746707787754,0.41189743511589116,0.24368705429403553,0.7397949222071748,100
ABHD12B,0.00014681524941806857,0.11701253920793533,0.004514185233692842,ABHD12B,4.193386521440827e-05,0.001750217923386865,0.0005090943668506764,0.12915083012119705,0.008809823218921597,0.6357521276406947,0.07694168750149867,100
ABI3BP,0.0005141309203895617,-0.23466787993907928,-0.00015011667577709885,ABI3BP,3.776500169720398e-05,0.0014016283947023646,0.0005234722637494421,0.004038437908607084,0.5648402038223445,0.09731175683390564,0.8255852436126785,100
ABP1,0.0003533317200071906,-0.2533394058048725,0.004070947460495518,ABP1,4.0158044673659626e-05,0.002824722084497911,0.00046434511292422424,0.10167075845726453,0.04049233924531104,0.5794964913871686,0.19986726685051945,100
ACAA2,0.00014323590488857007,-0.11841175377368927,-0.0017043810512404889,ACAA2,3.581221741680156e-05,0.0009509383179564752,0.0005333323540535107,0.587401723202976,0.03784356352697704,0.93489589685688,0.19307940574988286,100
ACAD11,0.00021443787695261563,-0.09954938799142837,0.0006308128819546255,ACAD11,3.2004982478077505e-05,0.001146975377347196,0.0004619283537421785,0.014140681934457389,0.4833735530100537,0.20493741933996212,0.7827911789636497,100
ACADSB,6.824811239539486e-05,-0.054326909184455874,-0.00040296090253832517,ACADSB,3.615917945052139e-05,0.0010864246589650547,0.0005262070211429264,0.5747450911121776,0.6422445665004262,0.9330277453119767,0.8647919114342502,100
ACAN,3.520223494660968e-05,0.14581647276878357,-0.001198789959998976,ACAN,4.0719564574944894e-05,0.0013399313765981502,0.0004618329811687215,0.5804171743352676,0.6425403901956479,0.93489589685688,0.8647919114342502,100
ACAT1,0.00012225951636537502,-0.12616729229688645,-0.0016611154606653144,ACAT1,3.6805558730081106e-05,0.0009742015319618075,0.0005162373519534747,0.09560495848066503,0.05462057148727528,0.5574633147560643,0.23392107703329884,100
ACE2,0.0003008662128422657,-0.38729949116706847,0.0032098702713483362,ACE2,3.5719295864551494e-05,0.002511817582436345,0.00042747821182119336,0.07228001462264294,0.09227642139218417,0.48510076927948287,0.32434594513948745,100
ACHE,-4.446797815944592e-05,-0.13984932750463486,-0.0005318763710965868,ACHE,4.158899034116399e-05,0.0015548236503559437,0.0004518806949605139,0.6545054304979162,0.7174811837800714,0.9431473146266641,0.9059105855808982,100
ACLY,-1.38681258977158e-05,-0.03447642564773559,-0.0002672444224822357,ACLY,3.753724582939544e-05,0.0005784838331704796,0.0004778234986262936,0.4932040120798917,0.6627696402098464,0.9107513132384288,0.8749199873911251,100
ACP5,-1.2400604540516723e-05,-0.05004063218832016,-0.0020218734020454577,ACP5,3.8166758910136374e-05,0.0010830107433525,0.00044163507468280335,0.2534602731967239,0.13249769547644208,0.8065851806425092,0.4060609674103149,100
ACSBG1,7.08169765137967e-05,0.024454749077558516,-0.0011128406167927097,ACSBG1,3.6099135581497426e-05,0.0010854453977591925,0.0004661238887793284,0.7859162573811369,0.8175095934935356,0.9805532186976956,0.945369600720908,100
ACSBG2,-3.488872966045164e-05,-0.013891303651034833,0.001020227719891409,ACSBG2,3.630661521707309e-05,0.0011417454423289313,0.00047609950053727104,0.3331238988807954,0.2170936690569375,0.872582404731198,0.5390488367001224,100
ACSL4,8.474974933960766e-06,-0.007954354286193848,-0.0004351946551832953,ACSL4,3.624331102419173e-05,0.0007375379701093934,0.0004596372491092666,0.9828413088854417,0.72374830061031,0.9973340087116437,0.906190214289559,100
ACSM1,0.00022525280112176916,-0.23250714376568793,-0.005269421820603384,ACSM1,4.112172327452026e-05,0.001409747926088797,0.0004804693387881739,0.04535548598325834,0.005917379394167588,0.3666206784434384,0.05957066834529967,100
ACSM5,0.00120970886102441,-0.40814328849315645,-0.004384713350264064,ACSM5,4.0242670795815106e-05,0.002120301237625418,0.00045667650244396853,0.0001817670812536143,0.016142024808004474,0.012983362946686734,0.11325490318427371,100
ACSS3,0.0006431752579328531,-0.20402918130159378,-0.006226449598325416,ACSS3,3.942279894437375e-05,0.001818293952827588,0.00043857090386447756,0.00552444717520606,0.007202934624858159,0.1175414292597034,0.06801879160403482,100
ACTA1,5.442328021672438e-05,0.053462199829518796,0.0015340795648808125,ACTA1,4.036362204695213e-05,0.001357592880385934,0.0005188542621870038,0.11389406726589035,0.2065490392466311,0.6151444787587632,0.524669579419839,100
ACTL8,0.0004002478485335814,0.1059096471965313,0.0018701168772531673,ACTL8,4.0364345292203896e-05,0.0018335624234346853,0.0005072134855589581,7.04393270773429e-05,0.7639498076346851,0.006321179030017817,0.9182259350778922,100
ACTN2,-4.998740811970492e-05,0.00187631256878376,0.0004916188126117049,ACTN2,4.036725435232062e-05,0.0015050404893174622,0.0004992502532754522,0.14597973094558986,0.2134493823798262,0.6759487822742225,0.5363049808538346,100
ACTN3,0.00013697162982793996,0.05518437135964632,0.0009864125145031722,ACTN3,4.450352114732591e-05,0.0009222608832937164,0.0004500184495925541,0.10118033397663817,0.7099661696275422,0.5794964913871686,0.9032648468543794,100
ACY3,0.00032714492313971275,-0.29029872626066205,0.007240679061942501,ACY3,4.247827591424422e-05,0.0022649191746581137,0.0005081028019344984,0.026581615737587938,0.0018645756092807164,0.2876940472553015,0.02718794557730423,100
ADAM23,0.0004887867279649072,0.18297904312610627,-1.682760593439525e-05,ADAM23,3.910178078588624e-05,0.002090160504131431,0.00045113009458031623,0.0046747776590195245,0.517911562530417,0.10624494679589828,0.7931264357280505,100
ADAM33,0.0004191398992907125,0.21776627570390703,-0.002679289540174068,ADAM33,3.5839740919828745e-05,0.00174551034318762,0.00044078179531550086,0.05030613022578018,0.1812327320164464,0.39611126162031635,0.4845794973701776,100
ADAMTS18,-0.00017067463068855206,0.12358145579695702,0.004667387515946757,ADAMTS18,3.710619826639841e-05,0.0014961225804576536,0.00044098398878557484,0.9825761643437846,0.08891957740368761,0.9973340087116437,0.31587771724222957,100
ADAMTS1,1.902574362247833e-05,-0.11127904832363128,0.0013916389660153072,ADAMTS1,4.2351427441905e-05,0.0010560100743266351,0.00046628457829545804,0.8634831690321584,0.6224938331512778,0.9937976791241678,0.8564085927251902,100
ADAMTSL1,7.075440569678904e-05,0.18171706289052963,0.0025969015889131695,ADAMTSL1,3.837075572056157e-05,0.0013145517743836735,0.00048452724921906444,0.4900660036526353,0.06959106088204825,0.9093779719433303,0.27077407203009274,100
ADAMTSL4,-5.775101072913458e-06,-0.009338664710521699,0.0001565399774699472,ADAMTSL4,3.640193238734587e-05,0.0010167878130612608,0.00047736018590293803,0.39296251333807597,0.8489269670901927,0.8992277193090983,0.9511786746108601,100
ADCY1,-4.8414472935292e-05,0.21227758064866065,-0.0006929906418974951,ADCY1,3.3186305944949636e-05,0.0013051388387756225,0.0005058826102610485,0.9463920887219923,0.7484156931255075,0.9964746382544992,0.9145772833763921,100
