gene_name,oracle_score,suggested_perturbation,survival_score,label,oracle_score_se,suggested_perturbation_se,survival_score_se,oracle_score_pval_acat,survival_score_pval_acat,oracle_score_pval_acat_fdr,survival_score_pval_acat_fdr,k
388795,-0.00010101354360358527,0.022067282684147357,0.0004300660987792071,388795,9.815245700885001e-05,0.0013696759132609932,0.00022457728401371774,0.8093555549604322,0.47206669811232516,0.9053374232528247,0.6095115534051971,100
A1BG,-0.0003849860037007602,-0.44494460463523866,-0.003424571469076909,A1BG,0.00011127078474307985,0.0015896170031595754,0.0002474113135274656,0.07155472779821898,9.270019043350342e-05,0.30469878433509917,0.001461552462027633,100
A2ML1,-0.0013983969536502628,0.1362211676687002,-0.00014539522489485536,A2ML1,0.00014290924071506624,0.0030125239872572525,0.0002441396691828867,0.001092842632790969,0.9490300498641537,0.02081605014839941,0.9783814947053131,100
AASS,-0.0001313376182315551,-0.1328841507434845,0.0010362850045203232,AASS,0.00011394080348356569,0.0014577711452743191,0.00025528564039562884,0.4778481650090412,0.047698878735293604,0.691531353124517,0.15816189892909188,100
AATF,0.00013188721362439537,-0.0917525789141655,0.000549020821981685,AATF,0.0001283290301442672,0.0007389953646311163,0.00023379040319320956,0.2339437339849446,0.48708629045707297,0.5130345043529487,0.6235431598499855,100
ABCA12,-0.0012287766817280499,0.2566307729482651,-0.001552318319954793,ABCA12,0.00012571048660234234,0.002697020924505297,0.000248426513189561,0.01396507647124684,0.12729834755836883,0.12524732261207927,0.28720095118161293,100
ABCA13,-0.0005318338588131155,0.1252445351332426,-0.0012087815755512565,ABCA13,0.00011810084907854658,0.0028293787556635157,0.00023365735558228602,0.1197926901970382,0.09192321185041297,0.3851854990258463,0.23479747599083772,100
ABCA6,-0.00020220662083374918,-0.3714741289615631,0.002339130086256773,ABCA6,0.00012139170113735372,0.0022967086292217526,0.000222907453259203,0.0053021798905249495,0.0037064728617443032,0.06562697595974479,0.027660245236897783,100
ABCA8,-0.0005469206923379488,-0.1650621522963047,0.0005852505564689636,ABCA8,0.00011666076376714557,0.002637321358698412,0.00024174313328903047,0.0203919907815443,0.19088187495344988,0.15422841230633794,0.3594762240177964,100
ABCB1,-0.000405188133147476,-0.24906563013792038,-0.0009365238775717444,ABCB1,0.00011622373193489913,0.002291127448436032,0.00021372523867682213,0.8510877650947668,0.22893000729455282,0.9291351147322782,0.3910209496450317,100
ABCB4,-0.0018345653843789477,-0.4083514851331711,0.0012273018331416096,ABCB4,0.00014376613124304495,0.0020054463875384112,0.0002645226838843525,0.0033383498022327984,0.14634962074711483,0.047019011299053504,0.30685837204579963,100
ABCB5,-2.5408285546291153e-05,0.014301355853676796,0.00020304489044065122,ABCB5,0.00010412830588838098,0.0021926226984836325,0.00021375066723860662,0.22418619645841198,0.9301923628471481,0.5009747406891888,0.9700255427683769,100
ABCC11,0.00022421262408897746,-0.21227331027388574,-0.0011237676049768196,ABCC11,0.00012744854683854762,0.0022101170773121516,0.00020512427185844154,0.2830981988062884,0.12367694019134884,0.5611460828667758,0.28333777821614853,100
ABCC1,-0.0002996455582433555,0.08310569196939468,-0.00011371453802894394,ABCC1,0.00011303495898466349,0.0010304889861057055,0.00023091583078257115,0.17857752425026652,0.6602013572174207,0.4598219304531759,0.7641714580842236,100
ABCC2,-0.0010466666055160446,-0.4853274756669998,0.011239505163393915,ABCC2,0.00014798937044761343,0.0024000653190529783,0.00028362476292011104,0.008841470757241732,4.954370247389761e-13,0.09258084562556787,4.954370247389761e-11,100
ABCC5,-1.0875268458221399e-05,0.01172212541103363,0.00019403229718591318,ABCC5,0.00010599070859734106,0.0009416299679272598,0.00022693517813818874,0.03706796721384814,0.7118872422005674,0.2172375120550366,0.8117300367167245,100
ABCC6,-0.002376950174984813,-0.42046513974666594,-0.004097207288141363,ABCC6,0.00015624950505096312,0.0024072452289688358,0.0002441009970872001,0.00015417068065054496,0.000673661851887497,0.0037149561602540953,0.007569234290870754,100
ABCD1,2.252954368941573e-05,-0.12110953837633133,-0.00010528429935220629,ABCD1,0.00011545161612638104,0.0009865064324668432,0.00026068690091074487,0.637917070631489,0.18516728808211225,0.8019694419427499,0.35303582093825026,100
ABCG8,-0.006232361005386338,-0.6826313656568527,-0.002137982256099349,ABCG8,0.00018983170070151496,0.002607284708448056,0.00021577464602986685,3.385682290080183e-10,0.01263955586758253,6.15578598196397e-08,0.06617568517058917,100
