gene_name,oracle_score,suggested_perturbation,survival_score,label,oracle_score_se,suggested_perturbation_se,survival_score_se,oracle_score_pval_acat,survival_score_pval_acat,oracle_score_pval_acat_fdr,survival_score_pval_acat_fdr,k
388795,0.00021216203533185762,0.013226148672401905,0.0007290209381562818,388795,0.00012048940962891484,0.0014696169249418987,0.00022602846596447203,0.9746229196298193,0.10450503056641108,0.9950208469931794,0.24734918477257062,100
A1BG,0.00011512276732901227,-0.5040573769807816,-0.003641730444323912,A1BG,0.00013007774099967696,0.0015630918676550123,0.0002054853812702873,0.41132462232058126,0.0003433025132079659,0.9388429240933988,0.00355753899697374,100
A2ML1,0.0018672559798142173,0.14017980583012105,-0.00034664221870116306,A2ML1,0.00014631725533688613,0.002630942221563631,0.0002300723021834046,0.008609414349635802,0.175569193285332,0.12428394215606599,0.340379002770398,100
AASS,2.8864086193607363e-05,-0.1801365852355957,0.00094460830016601,AASS,0.00013217929908065335,0.00160004659235605,0.00023031853416647898,0.9939362758699579,0.12433014150217081,0.9988384981809062,0.2762892033381574,100
AATF,-0.00015038513420222442,-0.08888199985027313,0.0007237407998582058,AATF,0.0001332843706548129,0.000834603762192919,0.00020493003323806473,0.758850411630368,0.9650628274452152,0.9814581678250771,0.9882711903808847,100
ABCA12,0.0014798394977856332,0.2855497381091118,-0.001626782427483704,ABCA12,0.00011839445503071236,0.002551054261021053,0.0002394512276057317,0.022681653959134407,0.0047674402975085295,0.2350430462086467,0.028209705902417333,100
ABCA13,0.0006811286394076887,0.1369554156064987,-0.0009467299240623106,ABCA13,0.00013327448606659213,0.002677670602140673,0.0002426343743912482,0.34584958640223173,0.16688605688660985,0.8867938112877737,0.33110423375095815,100
ABCA6,-0.0006338838335068431,-0.41719085067510603,0.0029385803204058903,ABCA6,0.00013734057201248933,0.0020770839285382137,0.00024396938866404764,0.06256305839494997,0.0034371017700957074,0.3962879268067147,0.022464717451605932,100
ABCA8,0.0009242300081893972,-0.23882889822125436,0.000437263021376566,ABCA8,0.00013251684481482837,0.0023733618431633946,0.0002131878120587893,0.11072637071259972,0.7612861073179358,0.5349100034425107,0.8717360591516395,100
ABCB1,0.0007670166099160269,-0.27857132226228715,-0.0010932014197214811,ABCB1,0.00012401130997541254,0.0023046643080072726,0.00022369655943540442,0.21744388206014553,0.07136780075063848,0.7408650155371228,0.19255448499865513,100
ABCB4,0.0017392490994097899,-0.46316673934459685,0.0012577741738641634,ABCB4,0.00011985206583364411,0.0018223899655918543,0.0001965085448920172,0.015445109852995909,0.7871922135719678,0.1838703553928084,0.8904889293800541,100
ABCB5,0.00021468637442467297,0.03009982783347368,0.00011863024322337878,ABCB5,0.00011763229469562732,0.002151086001649008,0.00019270046357926365,0.8497066414022119,0.25107249463837317,0.9814581678250771,0.4279354716252717,100
ABCC11,-6.946806730411482e-05,-0.23402501314878463,-0.0011742903308368114,ABCC11,0.00014313017383191682,0.002299534266112684,0.0002453837988911491,0.14183080482803673,0.046972857155210435,0.6093031395674061,0.14565227024871452,100
ABCC1,0.00025080444807827005,0.1293015283346176,-7.546893725248083e-05,ABCC1,0.00014358702273439226,0.0009251392917720803,0.00020231845917001518,0.13062479583495407,0.45943501828558886,0.5856578345962465,0.629363038747382,100
ABCC2,0.0006756274726649281,-0.5170127874612809,0.011966966795735062,ABCC2,0.00012332278663302828,0.002205178006978027,0.0002494006776278179,0.48302163072549575,3.6415315207705135e-14,0.9674370649979847,3.0346096006420944e-12,100
ABCC5,0.00011522185133799211,0.01878496676683426,0.0003528310773253907,ABCC5,0.00012704137428356447,0.001105350766905462,0.0002036391567904629,0.978261270815966,0.3204862206548469,0.9951857610985463,0.49649298319883334,100
ABCC6,0.003299039205448935,-0.4472982832789421,-0.003620076804072596,ABCC6,0.00012245285802649358,0.0022828456887728373,0.0002369303056955185,0.00011017431253657062,0.0001839659115007164,0.006677231062822461,0.0020670327134911957,100
ABCD1,-0.00018811044978974678,-0.11720367580652237,0.0006474285030708415,ABCD1,0.00012094266483329284,0.0011264141897874432,0.00024305792559157048,0.6021453096187418,0.18953052619020316,0.974069778567279,0.3564101306889424,100
