gene_name,oracle_score,suggested_perturbation,survival_score,label,oracle_score_se,suggested_perturbation_se,survival_score_se,oracle_score_pval_acat,survival_score_pval_acat,oracle_score_pval_acat_fdr,survival_score_pval_acat_fdr,k
388795,-0.00018197933703220314,0.009261593967676163,0.0001724298399494728,388795,0.00011993458256962915,0.0009356335391067335,0.00022249881925058643,0.7076522323581578,0.6781057069663022,0.9936519095888707,0.8783065363952219,100
A1BG,6.277218664536122e-05,0.0005446824431419372,-0.00022434702538703277,A1BG,0.0001101502566985066,0.0009995897558382082,0.00022346258277792779,0.3713400291545697,0.27035578945150035,0.9936519095888707,0.6309165263259447,100
A2ML1,-0.0004492915930768504,0.08087764292955399,-0.00023437559100784712,A2ML1,0.0001301354620913052,0.001973875804969274,0.0001968721403404478,0.42442094488247784,0.8349187053116276,0.9936519095888707,0.9489627993967314,100
AASS,-0.0002309929309922154,-0.015285707116127013,0.0002955898807158519,AASS,0.00012746693472783394,0.0008708894170477693,0.00020672932353424421,0.18384384847989005,0.5732816762189421,0.9936519095888707,0.8278435757674254,100
AATF,9.019902922773327e-05,0.019063618779182435,6.29674084848375e-05,AATF,0.00010321173457418213,0.0004899916107888875,0.00023348089886565633,0.692435717619966,0.16649701701510083,0.9936519095888707,0.5122985138926179,100
ABCA12,0.0003816555644152686,-0.10835162490606308,0.0002538776299024903,ABCA12,0.00012801225798757729,0.0018926763244887675,0.00020091640054595452,0.15747544735755215,0.9796894439283816,0.9936519095888707,0.9932133909755552,100
ABCA13,5.303113510763069e-05,-0.0989591544866562,0.0009929320410628861,ABCA13,0.00012115680983428626,0.0019340010815103413,0.00022148602447974577,0.31100157107153936,0.016603795152704937,0.9936519095888707,0.1738471858998328,100
ABCA6,0.00013287063968164147,-0.0220866259932518,0.0006399478638536493,ABCA6,0.00011878639304581626,0.001437338587832904,0.00018774247702523113,0.1931797742686322,0.10918625597871984,0.9936519095888707,0.4229289862450663,100
ABCA8,0.00018406149963993813,0.010983834266662598,0.00010115698758454528,ABCA8,0.00011658034058422749,0.0018524708792454464,0.00021705246682765427,0.11419217699431078,0.28545305468171345,0.9936519095888707,0.6418512552241162,100
ABCB1,1.9287922787043498e-05,0.11566380582749844,0.00017603012325707824,ABCB1,0.00011385245544677398,0.0015374725775424546,0.00019537734937106333,0.6247043788796341,0.3245597810850539,0.9936519095888707,0.6699471461402312,100
ABCB4,-0.00010881108666580985,0.03531883172690868,-0.00022098848523455672,ABCB4,0.00011445902386011847,0.0013229945113860532,0.0002021197990275516,0.259117542555773,0.12702393520487903,0.9936519095888707,0.45029530811705926,100
ABCB5,-0.000661277255130699,0.05688951186835766,0.0003459948014597103,ABCB5,0.00011043998744606058,0.0014681597959703956,0.00021675200946391372,0.25940049211227223,0.04706368791359267,0.9936519095888707,0.293231700396216,100
ABCC11,-0.0002256890354965435,0.0842491227015853,0.0009549078076543083,ABCC11,0.00011516496161389083,0.0014464626906239616,0.00018818399599967078,0.8514814770301349,0.21958803289746376,0.997346609555751,0.5793879495975297,100
ABCC1,6.937821945030009e-07,0.022819281220436097,-5.984463859931566e-07,ABCC1,0.0001244758905937495,0.0005976583551632615,0.00021312292235879876,0.7340846898232807,0.6751389066361466,0.9936519095888707,0.8772373392588503,100
ABCC2,-0.00010627231654325442,0.03366866879165173,-0.0019928469798196602,ABCC2,0.00010781494909288922,0.0021654850606864936,0.00021886787540543215,0.8826381175468543,0.004214457987554043,0.997346609555751,0.07951807523686874,100
ABCC5,0.00011280818007207927,0.04387322872877121,0.0001613192493095994,ABCC5,0.00011435810163438796,0.0007161190510016614,0.00021643080857279817,0.7252178718395946,0.543566689589049,0.9936519095888707,0.817393518179021,100
ABCC6,-0.0008551278057348099,-0.13032779052853585,-0.0009198271473269415,ABCC6,0.00011268681695977953,0.0016396164298276047,0.00021772497471904688,0.1425086647041568,0.015425394766902856,0.9936519095888707,0.17042311641763147,100
ABCD1,-0.0003117423650837736,0.015338225364685059,-2.312558855919633e-05,ABCD1,0.000125284980913215,0.0005990030681024101,0.00021362828138208806,0.927152309803975,0.11584900667002784,0.997346609555751,0.4340660956008133,100
ABCG8,-6.0255467378738106e-05,0.08328804790973664,-3.866528759317589e-05,ABCG8,0.00011419694354404078,0.0015438457532053296,0.00021865152787949138,0.5480936688076623,0.392949527397757,0.9936519095888707,0.716017235066507,100
ABHD12B,-0.0005344985415558768,0.04427633974701166,0.0016104244007510715,ABHD12B,0.00012359205178254476,0.0016603410412904078,0.00017185932258218263,0.5190432036794722,0.3199413659406534,0.9936519095888707,0.6699471461402312,100
ABI3BP,-4.571859459247207e-05,-0.0017199483513832092,0.00030575382717415775,ABI3BP,0.00010687850170427928,0.0011756653965772335,0.00017302960111285475,0.5734317273811995,0.020013668121964923,0.9936519095888707,0.18445777070935412,100
ABP1,9.848924436482776e-05,-0.04535897046327591,0.00013097113595904374,ABP1,0.00011137189698843255,0.002121792552438285,0.00020607543850367248,0.5314446586700442,0.5493760935639332,0.9936519095888707,0.8185394952457147,100
ACAA2,0.000291153838493301,0.06580580830574036,0.0003290806095901644,ACAA2,0.00011310874009425739,0.0006895252672141968,0.00021756994087011546,0.643900530645566,0.2475004874635235,0.9936519095888707,0.6111123147247494,100
ACAD11,0.00011467546233689064,0.06989089816808701,-0.00033734567483406863,ACAD11,0.00012870695890741723,0.0008045840531348861,0.0002092617003902004,0.15154087463218407,0.48605974881583947,0.9936519095888707,0.7789419051535889,100
ACADSB,-1.5462740939256037e-05,0.012804961800575256,-1.1959569419559558e-05,ACADSB,0.00012440850038460455,0.0008854552796332838,0.0001971396503195781,0.30978827665702724,0.10790561024522832,0.9936519095888707,0.4198661877246238,100
ACAN,-0.0002130802560009215,0.06269183307886124,9.580384216405945e-05,ACAN,0.00012045058382164835,0.0011312837097709587,0.00021939031220269441,0.29981867612505875,0.6240465210719982,0.9936519095888707,0.8573757996681136,100
ACAT1,6.89697067105044e-05,0.035978816747665406,0.00021805198990932696,ACAT1,0.00011914608195474163,0.0007312644287631932,0.0002055463580296092,0.17939583269963605,0.40244927820255927,0.9936519095888707,0.7170660206636724,100
ACE2,5.936685534550179e-05,-0.025121689923107624,-4.440332397280145e-05,ACE2,0.00011908256514930722,0.0019838548074029494,0.0001979028556687564,0.7044920502932295,0.8885980339443803,0.9936519095888707,0.9716763629790928,100
ACHE,-3.518065355819999e-05,-0.061050126403570174,-0.00014003944594151107,ACHE,0.00011597979573022761,0.0012605094499783345,0.00019501969834987776,0.7527453726263188,0.22210827689792217,0.9936519095888707,0.5844954655208479,100
ACLY,-0.00010987933660729255,0.024630895256996153,0.0001228230584092671,ACLY,0.00012099720779886012,0.0005023494784707458,0.0002173498003744915,0.07095427824335299,0.1505873131535549,0.9936519095888707,0.4865502848257024,100
ACP5,5.488316937771742e-05,-0.026279055178165436,-0.0003102266034557033,ACP5,0.00013076497267608468,0.0006988725585753933,0.00022932148558180734,0.16451936861234107,0.2987417565052748,0.9936519095888707,0.6546965044753281,100
ACSBG1,-0.00014039250860946594,0.03513668090105057,7.402090896903246e-05,ACSBG1,0.00012133540037919076,0.0008424946691979261,0.0002069383554766338,0.3106201075298,0.11611268057321755,0.9936519095888707,0.4340660956008133,100
ACSBG2,1.8083129807564545e-05,0.014708351194858551,9.30692827000712e-05,ACSBG2,0.0001104366914596188,0.0008794515889494634,0.0001975895445587732,0.7830171856919528,0.30528869987770757,0.9936519095888707,0.6580839872132922,100
ACSL4,-0.0001820226285235549,-0.01434899628162384,0.00016933332599364804,ACSL4,0.00012733181549700345,0.0006095472305210077,0.00021637982086864985,0.12013846159144587,0.8896582239436785,0.9936519095888707,0.9721775773222997,100
ACSM1,0.0001059954211132208,0.025082630701363087,4.5920262009531144e-05,ACSM1,0.00011242123795294351,0.0012122732885363342,0.00020667151486955618,0.8707389928104845,0.04138296368736577,0.997346609555751,0.27680912165462057,100
ACSM5,0.0005753700431182551,0.08611052066087722,0.00011758233777982241,ACSM5,0.00012635929613700951,0.0020009173044332634,0.000184918791404561,0.3547888167525576,0.6014382311624416,0.9936519095888707,0.8417692359894385,100
ACSS3,0.000287333033302275,0.033791005313396454,0.0005350855647520802,ACSS3,0.00012153687583898968,0.0013958198856154258,0.00020913145626515954,0.5904865740106213,0.30516582918414437,0.9936519095888707,0.6580839872132922,100
ACTA1,-0.0002337546251033018,0.00874304024502635,0.000738669335587474,ACTA1,0.00011227351802229697,0.000975669188307217,0.00022037182998696487,0.3043404613382017,0.07005722994220892,0.9936519095888707,0.3592678458574816,100
ACTL8,-1.9892401346623957e-05,0.05424035307019949,0.00031182642436760943,ACTL8,0.00012189069950257487,0.0016127722000672355,0.0002155745071624105,0.691943191985711,0.19569936504163404,0.9936519095888707,0.5586641536583786,100
ACTN2,-0.0001437038943367952,0.049491412788629535,-0.0011715309879946289,ACTN2,0.0001166060494315191,0.0012884214658586207,0.00021348363474074381,0.23001161289230537,0.039961793580699956,0.9936519095888707,0.271848935923129,100
ACTN3,-0.00012518584388089947,0.03880472626537085,0.0006301415188681858,ACTN3,0.00010758403187773745,0.0009470334066920978,0.00023306781238996557,0.926151665077998,0.659637579089682,0.997346609555751,0.8767538916347997,100
ACY3,-3.761520540138008e-05,-0.020525868311524392,0.0003215722378445207,ACY3,0.00010487647479078989,0.001496651327189623,0.00022429451838657265,0.6335927337410878,0.2921083188200252,0.9936519095888707,0.6513005993757529,100
ADAM23,-0.0003518615824577864,0.10709991410374642,-0.0001083597299293615,ADAM23,0.00011425010176787352,0.0016722974357502075,0.00020183687269192697,0.5053863962580937,0.8545391851578393,0.9936519095888707,0.9569055833767505,100
ADAM33,-7.082529638040569e-05,0.047369814589619634,-0.00017510892499558394,ADAM33,0.00012442936791107176,0.0013286231703217213,0.00021415615528327185,0.5878283554218893,0.36096028261605984,0.9936519095888707,0.6995354314264726,100
ADAMTS18,0.00017566076178809453,0.03162363745272159,0.0004428201045084279,ADAMTS18,9.999415944799228e-05,0.0012863292979940217,0.0002087789871723656,0.9811272564718805,0.20071634994040122,0.9976399320778941,0.5628416457801985,100
ADAMTS1,0.00015071734870957697,0.06056465119123459,-0.0003144671457789627,ADAMTS1,0.00011135166429604246,0.0009071142558133639,0.00023760488538511013,0.06800408860089541,0.8811690458383316,0.9936519095888707,0.9663935276806868,100
ADAMTSL1,0.00012064792783348821,0.07017343789339066,0.00043138111648659104,ADAMTSL1,0.00010780364193632447,0.001113518831373826,0.00020536587498179063,0.491366524289613,0.26879662972539775,0.9936519095888707,0.6309165263259447,100
