gene_name,oracle_score,suggested_perturbation,survival_score,label,oracle_score_se,suggested_perturbation_se,survival_score_se,oracle_score_pval_acat,survival_score_pval_acat,oracle_score_pval_acat_fdr,survival_score_pval_acat_fdr,k
388795,0.00016822890123876277,-0.01756590064615011,0.00011596177505452942,388795,7.104816402167348e-05,0.001045103471295734,0.00017424566188345243,0.19113975256704874,0.038929239525668735,0.9008011809844068,0.263890768879592,100
A1BG,6.748080357738218e-05,-0.0005438575148582459,8.715979380212958e-05,A1BG,6.25713834068346e-05,0.0009015458893471176,0.00017461992041865133,0.3285412535465091,0.22444262164022333,0.9008011809844068,0.6679381732550137,100
A2ML1,-7.771720922391978e-05,0.08734942179173232,-0.00047746450818522137,A2ML1,6.753559003605612e-05,0.0017126824439231865,0.0001807498655760423,0.17473580036918845,0.21316936196126102,0.9008011809844068,0.6508988151488886,100
AASS,-5.36889137720209e-05,-0.022302940785884857,0.00021005095910368255,AASS,6.0743615926686225e-05,0.0007488598314030309,0.00017919665086334015,0.5592802721338384,0.3983725656604437,0.9086431447360946,0.8552991552678492,100
AATF,0.00014581554492906434,0.031824630498886106,-0.00024040766287726002,AATF,7.257229080174801e-05,0.0004141426841113331,0.00018853722822242898,0.2780864335105357,0.818596724837884,0.9008011809844068,0.9823422728553054,100
ABCA12,3.965877945120155e-05,-0.07320306651294231,0.00020617286563719971,ABCA12,6.989466501578118e-05,0.0017593206623890852,0.0001830906262494512,0.23141219337086838,0.5477182023971511,0.9008011809844068,0.9310106364904467,100
ABCA13,0.0001519640877177153,-0.11205056443810463,0.0009688478479802143,ABCA13,6.747280073915651e-05,0.0019041537305082377,0.0001858506181322702,0.572269030959265,0.289838935409668,0.9086431447360946,0.7642421810375954,100
ABCA6,0.00021173914785322268,-0.04120105445384979,0.0005324288713745772,ABCA6,6.902469429401686e-05,0.0012178661954503037,0.0001874719252500702,0.18772567125707235,0.4163652821999181,0.9008011809844068,0.8728831911947968,100
ABCA8,0.00019318608554385718,-0.03516222059726715,0.00013057618318271125,ABCA8,6.414969199268218e-05,0.0014394340959016678,0.0001992011707379229,0.46705412955048986,0.020184333734413473,0.9032422050671407,0.17705555907380238,100
ABCB1,0.00031208351234454315,0.09750664651393891,0.00028891872538224563,ABCB1,6.857496507966374e-05,0.0012077436514028772,0.0001827300814408759,0.683922558589316,0.910352354461806,0.9407462979220304,0.9939024438871062,100
ABCB4,-5.952098637862946e-05,0.0420384681597352,-1.0485532693564891e-05,ABCB4,6.661305468192839e-05,0.0011978108013744999,0.0001816901555876309,0.07991911845103028,0.6761136431900384,0.9008011809844068,0.973188599155857,100
ABCB5,-0.00032467098025335873,0.06409726966172456,0.0002379374000702228,ABCB5,5.744767372997009e-05,0.001252644617433051,0.00016965048599516206,0.11474906727887885,0.4992118758175745,0.9008011809844068,0.9109705763094424,100
ABCC11,-0.0003322110675571821,0.0968892103433609,0.0008785972199984826,ABCC11,6.803442546238081e-05,0.0014259003549765145,0.00018368577711143746,0.4184689107992166,0.586860138341572,0.9032422050671407,0.9398225164303795,100
ABCC1,0.00019062663841850735,0.03193160116672516,-0.00016046266900957563,ABCC1,6.525587322272056e-05,0.0005479686582212955,0.00019381471303935163,0.3469579939912064,0.06619725439489621,0.9008011809844068,0.369337539895212,100
ABCC2,0.00016853253283443336,0.0706771032512188,-0.002777194719528779,ABCC2,6.84736311515721e-05,0.0016254914214676474,0.0001747411381901502,0.7899261671384883,0.00814390637188206,0.9706973396369647,0.10553437979439553,100
ABCC5,-1.9369979490875266e-05,0.02607976406812668,0.00022081670897023287,ABCC5,7.025558386997927e-05,0.0007120434535926873,0.00017983788715484537,0.5766166951297013,0.5608260122260637,0.9086431447360946,0.932516981014396,100
ABCC6,-0.0003910848823579727,-0.1581374703347683,-0.0009833511008764616,ABCC6,6.472884746357114e-05,0.0013309883151541159,0.0001520798695929458,0.17006526158961505,0.48818455233927593,0.9008011809844068,0.9107920752598431,100
ABCD1,2.6506715821597028e-05,0.02538520336151123,0.00013248890689283144,ABCD1,6.196460991799571e-05,0.0005402464946448172,0.00017232472230640223,0.7345513455425691,0.27948736578274413,0.9605799195872652,0.7543518644608479,100
ABCG8,0.00029100758253662205,0.08161565337330103,0.00010825347126228735,ABCG8,5.8131230745283615e-05,0.00142620675084972,0.0001730919368872974,0.9947964622527619,0.8367630135187606,0.9981948559764564,0.9831695458172612,100
ABHD12B,-0.00011545126197233913,0.037623044922947886,0.0016653354718255287,ABHD12B,6.588055438819376e-05,0.0014531078965119358,0.00018647243094246048,0.2751081086937443,0.08008345801592415,0.9008011809844068,0.40446190917133407,100
ABI3BP,-5.300206482388603e-05,-0.032358316779136656,0.0005027086562040495,ABI3BP,6.115733739948002e-05,0.0011683913324275872,0.0002057473983491842,0.6537364024761407,0.38073330334605815,0.9270464481547976,0.8312954221529654,100
ABP1,5.702679486603301e-05,-0.04538528323173523,0.0004815437826437119,ABP1,5.89888224041832e-05,0.0017192194653521356,0.00019350258272003728,0.9837057437285333,0.6908725699460444,0.9972288954109024,0.9754865108279792,100
ACAA2,0.00015744455718959217,0.054726842045784,-3.2880279250093735e-05,ACAA2,6.0891315758603384e-05,0.0006916366861666283,0.00018253076295086275,0.9197717219110377,0.32031132973559096,0.9918280841817646,0.7906747618479238,100
ACAD11,1.6008679140213644e-05,0.052971514463424685,-0.0004439562597690383,ACAD11,5.7875430215278384e-05,0.0007918064562866736,0.0001778026027138083,0.6919207012449764,0.9273813028035476,0.9458929613738569,0.9971295938821887,100
ACADSB,1.5166256230259022e-05,-0.003976091742515564,0.00016413884768553543,ACADSB,6.664252974393911e-05,0.0007006838226492359,0.00017872168745194052,0.6405700403591239,0.7781741402882538,0.9231283414118584,0.9799967473238071,100
ACAN,0.00020443140294446494,0.07432569995522499,6.877709929540288e-05,ACAN,7.519328939696722e-05,0.000996870801476093,0.00019182235363867417,0.20238701796000907,0.4221556639739918,0.9008011809844068,0.877662503064432,100
ACAT1,8.341748602106236e-05,0.03252159059047699,0.00022093272818892728,ACAT1,6.14424854157386e-05,0.000643388039511443,0.00019499456189154212,0.6577220957637622,0.8886696661314084,0.929402328015495,0.9906736052030723,100
ACE2,-5.024236550070782e-05,-0.03226047590374947,0.0001231920583450119,ACE2,6.00919364053148e-05,0.0015070035691055997,0.00018427345210581772,0.4065867040785517,0.5258467499096988,0.9032422050671407,0.925380542111018,100
ACHE,-0.00014890662579318813,-0.0857658489048481,-2.6630148404365173e-05,ACHE,5.6578017000662033e-05,0.0012011757692717837,0.00019007164506547046,0.18675841094645934,0.03196744884555003,0.9008011809844068,0.23505477092316196,100
ACLY,3.942761088183033e-05,0.034524157643318176,-0.0001705215611582389,ACLY,6.445652919121448e-05,0.0004862261113745609,0.00019345999626195004,0.908489998922654,0.37876592310939283,0.988871511391919,0.8300363589026488,100
ACP5,1.538077200166299e-05,-0.03444500923156738,-0.000274791113261017,ACP5,6.361664255736236e-05,0.0006738950280353467,0.0001640349469558228,0.5562885257852759,0.9768201305104591,0.9086431447360946,0.9998655278864101,100
ACSBG1,-0.0001168103461350256,0.019288781099021435,-3.851996752928244e-05,ACSBG1,6.686404120084619e-05,0.0009811193365233865,0.00020426573060583313,0.26407420084069166,0.5845782331305553,0.9008011809844068,0.9398225164303795,100
ACSBG2,6.291332924774906e-06,0.0008652493730187416,-0.00014530981938150943,ACSBG2,6.12132921412718e-05,0.0008167866826574585,0.0001755962477094565,0.13541885788932434,0.9282433555693074,0.9008011809844068,0.9971295938821887,100
ACSL4,5.561876761930762e-05,0.001216738224029541,7.83684391353745e-05,ACSL4,6.463048041246171e-05,0.0005595941699702074,0.00017262661946205465,0.6653856077377679,0.9946841198482688,0.9312622093025624,0.9998655278864101,100
ACSM1,0.00022536346756169223,0.005227833949029446,-0.0001835328504239442,ACSM1,6.227766640049719e-05,0.0011213839692839995,0.00019014540865142096,0.39141462109364666,0.756840263294047,0.9032422050671407,0.9754865108279792,100
ACSM5,9.363663087242458e-05,0.03803226634860039,6.969188616494648e-06,ACSM5,6.295586302938686e-05,0.0015650654514925044,0.0001665890670350686,0.034359296658806326,0.8916200791201974,0.9008011809844068,0.9909510868086708,100
ACSS3,8.85964199915179e-05,0.010903801620006561,0.00029891490543377587,ACSS3,6.155813659948851e-05,0.0014901399493767642,0.00016983742761920363,0.9516803817223956,0.37585541601675115,0.9921689406419384,0.8286518153873348,100
ACTA1,9.910289772960823e-06,0.018276464380323886,0.0008879184665420326,ACTA1,5.9723953234796284e-05,0.001059769726315407,0.0001865194738828118,0.6145105417997009,0.739339382126079,0.922205155957282,0.9754865108279792,100
ACTL8,0.0002296722248547667,0.06701793044805526,0.0003782103866888065,ACTL8,6.46024727555662e-05,0.0013833117579139425,0.00020163274320992688,0.3302352854311951,0.9955102239347167,0.9008011809844068,0.9998655278864101,100
ACTN2,-3.032779377463157e-05,0.017559947464615106,-0.001184304632115527,ACTN2,5.9835044078612036e-05,0.0011630916499059498,0.00018389992904140282,0.44450020192083,0.0640511543723043,0.9032422050671407,0.36496384257723247,100
ACTN3,-7.820741715477198e-05,0.029505122900009156,0.0004786481787232333,ACTN3,6.356733455462058e-05,0.0006633535779828351,0.00017740853481441345,0.43485278023829343,0.588415890058622,0.9032422050671407,0.9398225164303795,100
ACY3,-4.888173704785004e-05,-0.008512834310531616,0.00029093838204062193,ACY3,6.684483645711181e-05,0.0016380306944381792,0.00017489738589721487,0.35014144071433834,0.8060431369407475,0.9008011809844068,0.9823422728553054,100
ADAM23,-3.444586723162501e-05,0.10391110926866531,7.5076261782669465e-06,ADAM23,6.619681064845158e-05,0.0014070717397871313,0.0001755913891425466,0.5605068586726655,0.6721293482533551,0.9086431447360946,0.973188599155857,100
ADAM33,5.94937311780086e-05,0.016933309212327004,-6.449888218412525e-05,ADAM33,6.0349006426239235e-05,0.0012844202569628686,0.00015425237124199113,0.504562756690488,0.5288353730898034,0.9086431447360946,0.925380542111018,100
ADAMTS18,-2.1626436378028303e-05,0.02610540509223938,0.00026713480521721065,ADAMTS18,5.867706803346012e-05,0.0010992660724394396,0.0001887550754454818,0.20281003465669245,0.5240495583700867,0.9008011809844068,0.925380542111018,100
ADAMTS1,5.418832475697854e-05,0.06438694298267364,4.1000095334311484e-05,ADAMTS1,6.117512550603144e-05,0.0008054937314173468,0.00016891903765228923,0.8650382112230608,0.8822150923375088,0.9772667306385813,0.9905235083469209,100
ADAMTSL1,0.00020055657507782597,0.06718192294239998,0.0001555039197774022,ADAMTSL1,6.108253552833336e-05,0.0010222331497092639,0.00020809403410759902,0.45489005454914344,0.18420021442210732,0.9032422050671407,0.6098664499929752,100
ADAMTSL4,7.252745126606897e-07,-0.020540676712989807,0.000238212424046651,ADAMTSL4,6.776603640363823e-05,0.0008043295325326239,0.00019877584027355703,0.3292128880354773,0.5344572648496684,0.9008011809844068,0.925380542111018,100
ADCY1,-0.00010359902153140865,0.05314070224761963,-0.00033861082007206276,ADCY1,5.9278757898751113e-05,0.0009369090570492206,0.00017002273143286068,0.39945717836266215,0.4425819523092489,0.9032422050671407,0.892001855253586,100
ADCYAP1,6.009156422805973e-06,0.026049615740776064,8.643975455925101e-05,ADCYAP1,7.499945959219274e-05,0.0012865339515578224,0.00016552443678048115,0.22283757658155545,0.7587073064707026,0.9008011809844068,0.9754865108279792,100
ADD2,0.00012952646560734137,0.005128997415304184,0.0001575773333934194,ADD2,5.812724095952636e-05,0.0016161119641979675,0.0001843555649606467,0.8221521710860512,0.6107671739006759,0.974996907714972,0.948160314924194,100
ADH1A,2.169052604585886e-05,-0.023396738059818744,-6.467220389822615e-05,ADH1A,6.101842858392603e-05,0.0013995127624114902,0.00018559575921841528,0.9397082255678756,0.3665992587040369,0.9918280841817646,0.8238185588854762,100
ADH1B,-0.00015302817677365966,-0.1287350595742464,0.0022339812471182086,ADH1B,6.776652770354708e-05,0.0014291716557833282,0.00018913732219343665,0.0869707296557038,0.0304433944152378,0.9008011809844068,0.2297614672848136,100
ADH4,0.0003671727021855986,0.05961976196616888,-0.0030381935340119525,ADH4,5.841375504139713e-05,0.0012880418194671718,0.0001832286963124585,0.1350167502925126,0.0020530683668727456,0.9008011809844068,0.04947152691259628,100
ADH6,0.0006397071159517509,0.04739064123481512,-0.0006700412066129502,ADH6,6.963850376188067e-05,0.0017347574303438799,0.00017821595137078157,0.0653277000616852,0.20825478002894826,0.9008011809844068,0.646753975245181,100
ADI1,9.902077611968707e-05,0.017684566378593444,0.0002493289122139686,ADI1,7.100797972377176e-05,0.0005779854546570463,0.00018506759190090998,0.18202159549225416,0.3122272927076767,0.9008011809844068,0.7807891538458016,100
ADM,0.00013561091358496924,0.1001582956314087,-0.0002204625449894593,ADM,5.19618583120552e-05,0.0009741918350512999,0.00019092762111042768,0.26547378591328696,0.08575280138242469,0.9008011809844068,0.41830634820694973,100
ADM2,2.4337022186955436e-05,-0.008759529888629913,-0.00014519333530188305,ADM2,6.812282949203644e-05,0.0007196357891454331,0.00017957622150109492,0.33748025276486177,0.4944020284733999,0.9008011809844068,0.9109705763094424,100
ADRA2A,7.766145243294887e-05,-0.03385885983705521,0.00015238773750752443,ADRA2A,6.963452177223904e-05,0.0013923086470293102,0.00016330541580392686,0.3816979854591612,0.8589256858867402,0.9008011809844068,0.9859740723207516,100
AFF2,0.0001382622239725606,-0.0019130982458591462,1.091028565497254e-05,AFF2,6.977622863544152e-05,0.0012462244470881289,0.0001818133103303608,0.46860271759294425,0.5709426524523598,0.9032422050671407,0.9353691560455097,100
AFF3,2.2899286277606735e-05,0.018119886219501495,0.00012197331790957832,AFF3,6.131141364709276e-05,0.001442729675501615,0.00018674280296796715,0.8892463915396783,0.8081956969112556,0.9867535170633346,0.9823422728553054,100
AGER,5.166477292732452e-05,-0.16682275667786597,-0.0004052260623939219,AGER,6.172539573910282e-05,0.0012372160928867887,0.0001778245278469017,0.8558453663064806,0.6637860880308719,0.9754771099054648,0.9716582303195384,100
AGPAT9,8.533289778824837e-05,0.022439597249031065,-0.00012720888829790056,AGPAT9,6.231889212860257e-05,0.0009890710214759217,0.0001851423059472094,0.12440488203761396,0.37463083689162857,0.9008011809844068,0.828119955707721,100
AGTR1,4.353365633505746e-05,0.007638828232884407,-0.0007800138474703999,AGTR1,6.626455930539813e-05,0.0014346193321859023,0.00018648930109225662,0.9224917280346412,0.1359936263089392,0.9918280841817646,0.533985240628541,100
AGXT,0.00032497627720658786,0.09466706030070782,-0.0010269124992919388,AGXT,6.65391818641851e-05,0.0013337134023377177,0.00018489610980781607,0.748930692820477,0.020381429292022968,0.9640451362886826,0.1780019712616287,100
AIM1,9.423997906196746e-05,0.02477959394454956,0.00027730502260965296,AIM1,6.682647356644496e-05,0.0006422386026273441,0.00016323363914208687,0.4663289236022077,0.8561451481779618,0.9032422050671407,0.9859740723207516,100
AIRE,-7.377634485237649e-05,0.037467950396239756,8.884298404154834e-06,AIRE,6.0342369480448325e-05,0.0010261550020909678,0.0001738570053103,0.5410518655671779,0.5585691077316252,0.9086431447360946,0.932516981014396,100
AKAP12,0.00019037554670148894,0.0683033138513565,-0.0001945957106363494,AKAP12,7.013392727074906e-05,0.0009238974144975277,0.00016145629030841932,0.8497350749347197,0.6306057752272042,0.974996907714972,0.9564772652839236,100
AKAP3,-2.0050359062224743e-05,0.01882643550634384,7.577455042337533e-05,AKAP3,7.060847501172036e-05,0.0010271496384695463,0.00018588165709541204,0.8979219970520019,0.86450867016272,0.9874131921454692,0.9859740723207516,100
AKAP6,-8.678092090121936e-06,-0.01771324336528778,0.00018594379977002973,AKAP6,6.287637557181848e-05,0.0009977703679077288,0.00020451377553651326,0.9335195659583224,0.30175565090726797,0.9918280841817646,0.7727417436805838,100
AKR1B1,0.00010648133757058531,0.014717351794242859,0.0002186287374206586,AKR1B1,6.896451577908378e-05,0.0006399565094549277,0.00015826196459711034,0.13331450033948855,0.8300530872392644,0.9008011809844068,0.9825717891025912,100
AKR1C1,-2.7264107629889622e-05,-0.028758790642023087,0.0005109226951753954,AKR1C1,6.039184022352005e-05,0.001449741461613838,0.00017381199648724613,0.5424544775374479,0.7308083347491814,0.9086431447360946,0.9754865108279792,100
AKR1C3,4.4957450027141024e-05,-0.023423679769039155,-4.4294797371549064e-05,AKR1C3,6.97270129313785e-05,0.0014132039844060515,0.000187356030077542,0.49347312703413765,0.8633209928067946,0.9041554421303138,0.9859740723207516,100
AKR7A3,0.0005498565075049555,0.08027274832129479,0.0001449685709667392,AKR7A3,7.221741288824013e-05,0.002158453065318738,0.00019441002451415333,0.1082978997083513,0.4234048103390581,0.9008011809844068,0.8778637053998225,100
ALAS1,2.490665772711509e-05,0.0014212155342102051,3.808161694905721e-05,ALAS1,6.354055830218829e-05,0.0004528647956990285,0.0001962579532577017,0.5894751786720127,0.9545604340835164,0.9086431447360946,0.999376990706201,100
ALAS2,1.5635524650861044e-05,0.014143909830600022,0.00031743001178256234,ALAS2,6.612735864755522e-05,0.0011001045623671892,0.00018252882757517844,0.25629165690138583,0.8163339195364285,0.9008011809844068,0.9823422728553054,100
ALDH1A1,0.00014891428880218883,0.03751626670360565,0.00014615405176300557,ALDH1A1,6.792408288556666e-05,0.0009867870162091588,0.00018866616679931922,0.5104624990899275,0.7335091747939302,0.9086431447360946,0.9754865108279792,100
ALDH1A2,9.3830938640167e-05,-0.025685168504714966,0.0003466994332484319,ALDH1A2,5.9374461368989004e-05,0.0013144448867029835,0.00019895977094513476,0.3799757793703791,0.3994247055100856,0.9008011809844068,0.8552991552678492,100
ALDH1A3,1.1292012250123662e-05,0.014370535612106322,0.00021476650927070294,ALDH1A3,7.286010188406987e-05,0.00078442028025494,0.00019600243951821872,0.053776067392932,0.7299706224717505,0.9008011809844068,0.9754865108279792,100
ALDH1L1,0.00033743477524694754,0.06836191952228546,-0.0011172251311290893,ALDH1L1,6.754696348376138e-05,0.001661196444122393,0.00015626089043749387,0.0283255011808497,0.5451388159046542,0.9008011809844068,0.9307536729467756,100
ALDH3A1,-4.081773195139249e-05,-0.0634981919080019,0.00028844877990195526,ALDH3A1,6.498835776490171e-05,0.00147743535665951,0.00017781518637583163,0.9886329101683261,0.32673853181725954,0.9972288954109024,0.7922577503529435,100
ALDH3B2,0.00020621549043426058,-0.07493780702352523,-0.0003189585998552502,ALDH3B2,6.388761289701262e-05,0.0017461595310348647,0.00018017340956416229,0.14356245137301532,0.6409677140509671,0.9008011809844068,0.9638612241367925,100
ALDH4A1,-3.605641937610926e-05,0.06681523352861404,0.00041780293198826255,ALDH4A1,6.585918068686256e-05,0.0007302985379987674,0.0001705499871643681,0.5813671214571853,0.7768188794533093,0.9086431447360946,0.9799967473238071,100
ALDH8A1,7.589829207063303e-05,0.09920151360332966,0.0009001835961498728,ALDH8A1,6.813555979224206e-05,0.0017048270012577544,0.0001830761990940445,0.4360423925707363,0.8724142149010263,0.9032422050671407,0.9859740723207516,100
ALDOB,0.0005060383266572899,0.07212527338415384,0.0007712317105688271,ALDOB,6.723327127600067e-05,0.0016044286284243293,0.00019382474496889714,0.08313522702879178,0.6817999270865213,0.9008011809844068,0.9749177857800828,100
ALG10B,1.278036294024787e-05,0.004460533261299133,7.860298905143281e-05,ALG10B,7.548223946697329e-05,0.0004996046815630059,0.00017760287035444245,0.5875843769867264,0.18380210049713508,0.9086431447360946,0.6098664499929752,100
ALG8,6.793861393816769e-07,0.010733104348182677,-0.0002804456898775243,ALG8,6.223588711369032e-05,0.00043446466520442796,0.00017463047063647795,0.5651341340353211,0.8142665889670544,0.9086431447360946,0.9823422728553054,100
ALK,6.623356155614601e-05,-0.00035514049232006074,-0.0005925369176839013,ALK,6.269519073855927e-05,0.001273795520746196,0.00018560777413017746,0.2841739700119676,0.1429465645794749,0.9008011809844068,0.5469377236640957,100
ALOX12,-0.00011422432852441489,0.07178863570094109,-0.0007287290183012374,ALOX12,6.297088780692616e-05,0.001057340890852996,0.00018262736952906703,0.4243049787604678,0.854522696513925,0.9032422050671407,0.9859740723207516,100
ALOX12B,5.579650579420558e-05,0.061224475130438806,-0.0003223026506748283,ALOX12B,6.869527002479695e-05,0.0015321412817211608,0.00019574148931226178,0.7700232565225422,0.00545360192063693,0.9680582432798704,0.08725763073019088,100
ALOX15,-6.8659940370707775e-06,-0.12328744597733021,0.0011620531421976921,ALOX15,6.488956964118158e-05,0.0014118064063688791,0.0001775762449159483,0.03343347049480061,0.1532345983327525,0.9008011809844068,0.5656908859590285,100
ALOX15B,0.00010831780605258245,-0.19230936110019684,-0.004299149235594086,ALOX15B,7.967409915042868e-05,0.0011425583529773083,0.00019096927031916046,0.6478421156784819,8.396711179797789e-05,0.9252259155207635,0.004939241870469287,100
ALPK2,0.00011464583361885161,0.07176299348473549,-5.360789180485881e-05,ALPK2,6.283484031448531e-05,0.0013644804291207437,0.00016982490784609377,0.8320134659308654,0.7520692658274449,0.974996907714972,0.9754865108279792,100
ALPL,0.00017868453400069484,-0.11274025738239288,-0.0010823028849790716,ALPL,8.310031185460689e-05,0.0011084353027942836,0.00020098738199331224,0.2945555517967434,0.0017077448942320328,0.9008011809844068,0.044940655111369285,100
ALPP,-0.00026992203015652194,-0.13374924018979073,0.004039345436831354,ALPP,7.255396278932499e-05,0.001592272814439713,0.00019790674662446337,0.14013588498764296,0.000357941047954502,0.9008011809844068,0.014031707602786015,100
AMACR,0.00014314762406456794,0.028573032915592194,-7.809416543750557e-05,AMACR,6.550794595256942e-05,0.0008103803255879013,0.0002027433842756144,0.08630758609987688,0.5405425363482266,0.9008011809844068,0.9265163911331575,100
AMDHD1,3.946117185478215e-05,0.022073953617364167,0.00031480962734349306,AMDHD1,6.464094710825608e-05,0.0012504553553175704,0.00016713862854571724,0.6719698603189308,0.48147773709413033,0.9317381356383919,0.9087668640431146,100
AMHR2,0.00023875388813166865,-0.052894937843084334,0.0002597173027425015,AMHR2,6.784278881216015e-05,0.0012643718260070306,0.00019183674260139354,0.1592332208493829,0.07141359135109882,0.9008011809844068,0.3798595284632916,100
AMICA1,-4.039096322230762e-05,-0.05696986645460129,-0.00015145586179642122,AMICA1,6.612226310221937e-05,0.0006287750747060037,0.00017155585943408232,0.7766304315853654,0.7192245376684148,0.9680582432798704,0.9754865108279792,100
AMN,0.0003095362333715457,-0.006706574708223343,0.00020328952579802716,AMN,7.459775715485255e-05,0.002174374964239761,0.0001632338106953375,0.05600886557935203,0.9503394487190784,0.9008011809844068,0.9987802929259888,100
AMPD1,0.00026431238886289067,-0.15253793746232985,-0.0022297756561602,AMPD1,6.211534022448105e-05,0.001584247293972188,0.0001814608431737513,0.5910887777939081,0.006047380215940479,0.9086431447360946,0.0930366187067766,100
AMY1A,-0.00014997562730059144,-0.26733740374445913,0.0023033716356076184,AMY1A,6.690662822752501e-05,0.0011286401714384023,0.0001842551745456812,0.10065056350062179,0.009860881234047991,0.9008011809844068,0.11739144326247608,100
