gene_name,oracle_score,suggested_perturbation,survival_score,label,oracle_score_se,suggested_perturbation_se,survival_score_se,oracle_score_pval_acat,survival_score_pval_acat,oracle_score_pval_acat_fdr,survival_score_pval_acat_fdr,k
388795,-0.00020461005944525824,-0.0181690464168787,-0.0005118393485463457,388795,0.000128015646445288,0.0009465652378895821,0.00018858246626331313,0.06273869268105314,0.5128465163629591,0.29951033536252275,0.7587069153468577,100
A1BG,0.00012686518064583652,0.009469695538282395,0.0004245950060067116,A1BG,0.00011939730137792382,0.0009222957903455639,0.00020419751054809505,0.31120117210412934,0.17512046999988784,0.4888559117951601,0.46618539401668524,100
A2ML1,-9.436811711566407e-05,-0.320361510515213,-0.00015902166669548023,A2ML1,0.00013115819635602512,0.002247236208976009,0.00018639515416125164,0.0009267652674347926,0.3021775121102922,0.14761523821847974,0.5995585557743893,100
AASS,4.147999901761068e-05,-0.025164104998111725,0.0004562142470967956,AASS,0.00010522794877557762,0.0009353333189901288,0.00017278434182999095,0.32887695058892696,0.7430835481177333,0.49943348608796806,0.9088874367453318,100
AATF,3.755657246074406e-05,0.006128912568092346,4.763247050505015e-05,AATF,0.00011055964359442567,0.00045769200795400187,0.00017418747485108515,0.2888012734122407,0.8561645143149936,0.47539304265389415,0.9539437485403829,100
ABCA12,-0.000399091056897305,-0.1932641689479351,0.0015327151072051493,ABCA12,0.00012408842884365564,0.0018462421902243173,0.00017689211410405953,0.0018487888077677872,0.03318751599081604,0.14790310462142298,0.2048612098198521,100
ABCA13,-0.001937323048696271,-0.3518849477171898,0.0018464654275521753,ABCA13,0.00010773661750534296,0.002062332711208041,0.00017045701751269884,3.6440605877041676e-05,0.06931533719925564,0.036440605877041676,0.29481419243916823,100
ABCA6,8.508047955729125e-05,0.007333532422780991,0.0002663442298216978,ABCA6,0.00012628479403754944,0.0014837217413617278,0.00018685063486880175,0.20088372419314693,0.7919812050984919,0.41192640012061055,0.935595044416411,100
ABCA8,0.00023277076968952314,0.09797126829624175,-0.0001271799617825309,ABCA8,0.0001064355122358719,0.0017863875008842678,0.0001681663783002953,0.4430467745380376,0.9379204482306189,0.5950930484056918,0.9812433563083863,100
ABCB1,-0.0002208141221490223,0.1537895381450653,0.0006755564235936618,ABCB1,0.00011511902530303567,0.0013817752805589559,0.0001812332808356538,0.21289955090338003,0.029172000927430664,0.4165426116416233,0.18820645759632687,100
ABCB4,-0.0003372943542490248,0.11212491363286972,-0.00020670563550083897,ABCB4,0.00014022369336275185,0.001184612358877692,0.00016356821093850001,0.03448149769166742,0.7299490824871427,0.2722117178600017,0.9038660872776979,100
ABCB5,-0.0001514847087855742,0.05104565255343914,0.0004367254418320954,ABCB5,0.00010632524117253218,0.001182174052158362,0.0001653361961588487,0.6064231466053098,0.3839699745970202,0.7427105286041762,0.6750473580380472,100
ABCC11,-0.0003327059719231329,0.06373367067426443,0.0005581349285785109,ABCC11,0.00012721238791698245,0.0017335607267093382,0.000176789045220291,0.02293846656755255,0.8629690963196073,0.2722117178600017,0.9557566943396737,100
ABCC1,-6.959803837162325e-05,-0.07302219390869141,7.954893677379004e-05,ABCC1,0.0001240002232092262,0.0007131748060698873,0.00020218889003765665,0.2880487842529722,0.9643896945720389,0.47520159841886384,0.9911507652333391,100
ABCC2,-7.93039665404649e-05,0.055537279695272446,-0.0009993499334086664,ABCC2,0.00012303431907044257,0.001777871843329477,0.0001769431315251986,0.274744779163362,0.8789310724396586,0.4632562961107229,0.9632121341804478,100
ABCC5,0.00011882997965585673,-0.12427110344171524,-0.00025822080195212036,ABCC5,0.000128326074373085,0.0008894977677188613,0.00019081417794329143,0.032255734101405864,0.27379755699522007,0.2722117178600017,0.5695365447665852,100
ABCC6,0.000633917678896978,0.08914970561861991,0.0008594706857547863,ABCC6,0.00011696457266790351,0.0015252072184703048,0.00020626785029003998,0.5717365375484694,0.06764867455768542,0.7146706719355868,0.2922188965774748,100
ABCD1,-5.234575113718165e-05,0.035540528297424316,0.00030158572757500225,ABCD1,0.00011220749483560277,0.0006129804598707732,0.00017057337929988868,0.23104162817276164,0.7780347179197659,0.430542489605685,0.9301072539387517,100
ABCG8,6.493390834293678e-05,0.049078334756195545,0.0005714199918293161,ABCG8,0.00011945912721075594,0.0016969708278750377,0.00017447751671956772,0.7808828096187705,0.21529857287509874,0.8848530420609299,0.510888679900896,100
ABHD12B,4.593887515511597e-06,0.04379975507035851,0.0008580551295813165,ABHD12B,0.00012157362419010762,0.0016727429803168885,0.00018285238767468302,0.06176731532456381,0.5108990780276237,0.29951033536252275,0.7587069153468577,100
ABI3BP,0.0003668759052652604,0.044244732856750485,-0.00020435230571820285,ABI3BP,0.00012365715075096656,0.0011716415454638765,0.00019156283043997717,0.10760566442159042,0.626002496351435,0.33916554490852674,0.8324501281269082,100
ABP1,0.00023631492930690002,0.11649008221924305,-0.0008906893079984002,ABP1,0.00011818138808354407,0.0021061244167685294,0.0001722753200758225,0.6218779594202944,0.060220465440992355,0.7560826254350085,0.27662615800490326,100
ACAA2,-4.668283880164381e-05,0.10862588733434678,0.0004080150778099778,ACAA2,0.00010980285913963085,0.0007890760483321776,0.0001805091308622931,0.6056230726175986,0.6791993349158048,0.7422520930311298,0.8690970376401853,100
ACAD11,0.00016722248301448417,0.018771554231643676,0.00024246393554676614,ACAD11,0.00011709941920549647,0.0008037772161137401,0.00017613808820543812,0.7986739272311489,0.1682939382829715,0.8983958686514611,0.4579959969053977,100
ACADSB,1.9435766553215217e-05,0.02657191574573517,0.0004210381089069415,ACADSB,0.00011309462005404551,0.0007926379316600807,0.00016557891559213254,0.9741743834196324,0.938846434813893,0.9987835543450168,0.9815435805686282,100
ACAN,-0.00019422323573962786,0.06629927456378937,0.0001150386554945726,ACAN,0.00013217422896986156,0.001091863518073994,0.0001589456809532129,0.0724960380539274,0.3077280720034824,0.3087098813707052,0.6022075773062278,100
ACAT1,-0.00014152768515486968,0.05852024495601654,0.0002632489156894735,ACAT1,0.00012237186638672026,0.0007151614016041088,0.00019468025684852734,0.9677463531103028,0.2239251832728642,0.9977831370991078,0.5171860434040907,100
ACE2,-9.460594083066098e-06,0.002558145001530647,0.00010226677157334052,ACE2,0.00012566816823754616,0.00210114542562917,0.00019193581880537112,0.4246737365120625,0.366628411365869,0.5813466618919405,0.6601724396663301,100
ACHE,0.00012819833566027228,0.05607090443372727,0.00046611303827376105,ACHE,0.00012031578957369549,0.001200187297987045,0.00018411073607793092,0.3523658135646719,0.9557291998003723,0.5199808650649042,0.9867419508784205,100
ACLY,0.00019763179298024625,0.00972097098827362,0.00019615851200796897,ACLY,0.00011478854771350176,0.0005195054334528402,0.00018113933864964901,0.457661995952057,0.44349371680120014,0.6090190298800026,0.7151690403528139,100
ACP5,-1.9429745952947998e-05,-0.02130575805902481,2.176125184632838e-05,ACP5,0.00012188122914171411,0.0006930571129043774,0.00020031110635854326,0.1185332564599651,0.3302845601537474,0.3488996218998465,0.6261318675900425,100
ACSBG1,0.0001469427805932355,0.015868771448731424,0.0001983668677712558,ACSBG1,0.00012131660603367359,0.0008276682361017934,0.00015782389957565252,0.2881967878950238,0.41889600229948243,0.47520159841886384,0.6993255464098205,100
ACSBG2,-4.1812456183834e-05,0.01422136601060629,-0.0004127253962724353,ACSBG2,0.00011933729815573734,0.0008137478721137265,0.00016578594464497026,0.05384315115358568,0.5088860972114837,0.292070341359494,0.7583995487503482,100
ACSL4,0.00031225097769493003,0.016343688368797304,0.00034843997718780884,ACSL4,0.0001100830919515831,0.000533056363188152,0.0001949888632298897,0.7963792710889959,0.7603013124504869,0.8973287561566151,0.9205413801595264,100
ACSM1,0.00014531362810885185,0.09471344947814941,0.0006351695390912937,ACSM1,0.00012115652957404342,0.0011515379130205947,0.00020169781490568298,0.11049655553156595,0.19861490748474225,0.34051326820205224,0.491013368318275,100
ACSM5,-0.00018008480034040986,0.12650173783302307,-0.0008620235771741136,ACSM5,0.00012133419995883034,0.0017731070196075251,0.00018754824871210663,0.9871358881962682,0.9700288559183374,0.9991810638244009,0.9925229056125834,100
ACSS3,0.00013460266709444113,0.0787215319275856,0.0009705359761574073,ACSS3,0.00011977762772035032,0.0014540025763140013,0.00019011442520832435,0.5644907148805167,0.3094684777847556,0.7070642353932004,0.6050214619447813,100
ACTA1,6.250608610571362e-05,0.04163109686225653,0.0008599936850805534,ACTA1,0.0001350169068893521,0.0012480707300764839,0.0001634241671828996,0.00966359297264996,0.15162251000261295,0.2196271130147718,0.4388013781154545,100
ACTL8,1.6964821506917362e-05,-0.025282629877328874,-0.0010582921081004316,ACTL8,0.00012117047660321922,0.00142483159977288,0.0001810314832714391,0.3906483834071741,0.1280273984991377,0.550232272298345,0.4059595735121368,100
ACTN2,-5.253703655398567e-05,0.06273969423025846,-0.0005375240460125496,ACTN2,0.00011508541859936074,0.001059369519031676,0.000178745133893351,0.9805952233018198,0.616948862659021,0.9991810638244009,0.8286754367481813,100
ACTN3,-7.996750014171994e-05,-0.011498581320047378,-0.00016491149326611776,ACTN3,0.00011436070381296343,0.0008248766495475658,0.00017882745588247636,0.9050763600332596,0.14910241444822336,0.9711119742846133,0.4362565396039203,100
ACY3,4.475224352063378e-05,0.0963667392730713,-0.00036565851984050825,ACY3,0.0001244128142557981,0.0015810778609133935,0.00017035937542393226,0.03213245920031166,0.11129660278392778,0.2722117178600017,0.3783315224270178,100
ADAM23,8.812634612695547e-05,-0.3001024368405342,-0.0012236325125195436,ADAM23,0.00011687210887354653,0.0017744199829243014,0.00017199288846155554,0.11396050343122371,0.22074993382731317,0.34429155115173327,0.515169040437137,100
ADAM33,-2.1874149697396207e-05,0.005749960690736771,0.00011951844688155688,ADAM33,0.00010269934268777905,0.001236289424145903,0.0001883723795819311,0.987706844682769,0.1458631119814761,0.9991810638244009,0.42964097785412697,100
ADAMTS18,0.00017072195252694654,0.027307278234511612,0.0011047575491465978,ADAMTS18,0.0001181056577085699,0.0012310357704637404,0.00018739103767897343,0.027175681205593438,0.31238960894207934,0.2722117178600017,0.6079436457574322,100
ADAMTS1,1.1996247194474562e-05,0.004558617770671844,0.00018714784364419755,ADAMTS1,0.00013108419429178528,0.0008578661688983816,0.00018955127799654418,0.9782244619079864,0.3863361782714567,0.9987835543450168,0.6754128990759733,100
ADAMTSL1,-0.00013479039331286912,0.0176220266520977,0.0007269051420371398,ADAMTSL1,9.539740638783138e-05,0.001019259715719232,0.0001777555414326974,0.3398669122958121,0.3053075515281294,0.5091639135517785,0.6018495764396201,100
ADAMTSL4,4.198075794192846e-05,0.02883989244699478,0.0003125806437674328,ADAMTSL4,0.00011747699546875253,0.000900217178034764,0.0001670212916091578,0.7239727607068878,0.7226368718659347,0.8341545351503306,0.8980379694177358,100
ADCY1,-0.00016071614876636886,0.06961772218346596,2.52400401950581e-05,ADCY1,0.00011198172503718441,0.001228525463736568,0.00018351762883533467,0.003934982959459099,0.5279984780619568,0.17233500296857154,0.7679977862719372,100
ADCYAP1,0.00013485593756740855,0.0348577256500721,0.000645326523881522,ADCYAP1,0.0001098697283772461,0.0013680891692552217,0.0001424650213064646,0.09762308227935623,0.09879510584287093,0.3303657606746404,0.3503372547619537,100
ADD2,-0.00020597822289346367,-0.15501692086458208,-3.0320836085593328e-05,ADD2,0.00011825698692265214,0.0018006554680368731,0.00019505547630733927,0.43866125778861587,0.09663096230848822,0.5931862850420768,0.34694161789304345,100
ADH1A,-4.940030139550799e-05,0.04282288514077663,-0.0011774854202667483,ADH1A,0.0001166039777789815,0.0015084343316296676,0.00021152106999861243,0.03862263797630677,0.04512657190812647,0.2722117178600017,0.24294163984748035,100
ADH1B,0.00030333166563650593,0.018075527176260948,-0.0009194708042195998,ADH1B,0.00011142408663168751,0.0016544050121198265,0.00019209603320533158,0.07254682212211572,0.015084950233387961,0.3087098813707052,0.1311734802903301,100
ADH4,-0.00027619757664069765,0.07492306146770716,-0.0035029138169193176,ADH4,0.0001211832773424815,0.0013010238409716449,0.00016798027293967203,0.6516813480497873,0.00015243106319523525,0.776273196009276,0.0066274375302276195,100
ADH6,-4.6807378757875996e-05,0.1260621140152216,-0.0014260120543804079,ADH6,0.00011259975756076008,0.0020648193953558156,0.00018077867940560153,0.04050670315507904,0.008380780437559354,0.2722117178600017,0.09523614133590176,100
ADI1,0.00012891092233985546,0.01103118360042572,0.0003308791227027541,ADI1,0.00010294756478328132,0.0005869391955456634,0.0001748405281817202,0.9788078832581164,0.7330215916171067,0.9987835543450168,0.9038660872776979,100
ADM,5.196462963795057e-05,-0.07240907520055771,0.0006154065040755085,ADM,0.00011024689525519788,0.001066292411409091,0.00018044001584519793,0.6394332068843981,0.12077184598780472,0.7704014540775881,0.3912670730596705,100
ADM2,-8.004996161616872e-05,0.01647030770778656,7.676371580600972e-05,ADM2,0.00011063029993402162,0.0009896957691019747,0.00017082145833205022,0.1355640478171405,0.44740672608835397,0.36006387202427753,0.7195601206344019,100
ADRA2A,-8.019783042982453e-05,0.06718433201313019,0.0009756874137747218,ADRA2A,0.0001202137905768387,0.001370396079206969,0.00020205393928790738,0.0707727670834184,0.07719074500595158,0.3083780700802544,0.313783516284356,100
AFF2,-0.00019452167245617602,-0.14142046824097634,0.00022895439857165912,AFF2,0.00012279093273479032,0.0014611235336152988,0.0001711744283518744,0.9173383359122201,0.7894947684257159,0.9785393987810802,0.9348665108652645,100
AFF3,-0.0003197409017229802,0.11455084882676601,0.0001327642748310609,AFF3,0.000118461424288494,0.0013665309866228786,0.00018794395123170022,0.4854119742938942,0.17347857028688535,0.635355987295673,0.4644214500645933,100
AGER,-0.00025760889413504627,-0.04613914206624031,0.00030597445333114593,AGER,0.00012607273349201641,0.0011090362607478815,0.0001869094980150929,0.20102008325885795,0.3480214034209189,0.41192640012061055,0.646879932009143,100
AGPAT9,-5.836428643988256e-05,0.005298922657966614,0.00034471206770831487,AGPAT9,0.00011468592188354046,0.0011965905452077778,0.00020303688500582212,0.07615513748609853,0.8169304071770669,0.3095737296182867,0.9452745060665005,100
AGTR1,-0.0003353740340389777,0.09666526518762111,-0.0012927130352181847,AGTR1,0.00012640852484091669,0.0015779775490668234,0.00020033390396202085,0.1282551697458224,0.041450870598288114,0.35607888826622697,0.22964471245588983,100
AGXT,-0.00026090050661878197,0.09199533961713315,-0.0003653190560362418,AGXT,0.0001137709707597128,0.0016854410910155705,0.00016728900297413184,0.1467576529651745,0.46915484238885385,0.36848191235982247,0.7318146332333414,100
AIM1,-3.1395064943353646e-05,-0.02453082263469696,0.00038759830511480686,AIM1,0.0001237806510832892,0.0006671630591870432,0.00020965621342639127,0.26923830228955586,0.08819565686760228,0.4586683173586983,0.3365529055238601,100
AIRE,0.00018472891539204284,0.03446037957444787,1.5408254967042012e-05,AIRE,0.00011387470382848918,0.001031470494470445,0.0001719861238906859,0.1618431963666731,0.8524179533948104,0.3817862863788214,0.9529042089677753,100
AKAP12,-0.0002556302674292965,0.08042899429798127,-0.0006527826792444103,AKAP12,0.00011196437269874494,0.0010922059455102245,0.00016204409605274906,0.5257190147488298,0.5601795090269449,0.6722749549217771,0.7837818683026229,100
AKAP3,0.00021684491854102818,0.024823214933276175,-1.4846175581624265e-05,AKAP3,0.0001251958887470229,0.0010635782380522085,0.00018600734906983318,0.15246690412747205,0.944940204425099,0.37507233487693004,0.983538945689493,100
AKAP6,-5.064611035777489e-05,0.0450919634103775,0.00044952461388675147,AKAP6,0.0001341091935116249,0.0010383991987585421,0.00017548160047285073,0.0370746291797569,0.40857769291239476,0.2722117178600017,0.6942696566055986,100
AKR1B1,-1.6995423193293392e-05,-0.025913098454475404,0.0005452839616555138,AKR1B1,0.00011693366503493752,0.0007676204251734631,0.00018008634782794183,0.3524443780886614,0.9775112761723119,0.5199808650649042,0.9927139348720152,100
AKR1C1,-0.0003660746469040532,-0.18364078536629677,0.0003668141156958882,AKR1C1,0.00010808282618779874,0.0018175688700032065,0.0001885378405587029,0.16704957988160857,0.21628340560561732,0.3846036374432049,0.5117222863685837,100
AKR1C3,-0.00014688851999380859,-0.11799845963716507,0.0013290501257870347,AKR1C3,0.00010728849280523913,0.0015028746973349744,0.00018910248823159146,0.16555713410609302,0.036877281173752774,0.38415109411123366,0.21885626809348827,100
AKR7A3,-0.00029960135751025516,0.18081584364175796,0.0006751345515294816,AKR7A3,0.00012376231458149223,0.00167719028652123,0.00018449137697916772,0.37068820404095393,0.2908016069072431,0.5349036133347099,0.5882100953978349,100
ALAS1,4.826595450140303e-05,0.021613475680351258,0.00020032501908644917,ALAS1,0.00012036083550174944,0.000528831283363412,0.00018106410295502063,0.5935430992494412,0.8010472968200528,0.7323172106717349,0.9407861824425032,100
ALAS2,0.00013249192492367,0.02706525830551982,-0.00020536348218683998,ALAS2,0.0001236051619101178,0.0010597653090706493,0.0001831191959975096,0.1395987953808719,0.9052329098791899,0.3643641147413225,0.9711992531663026,100
ALDH1A1,0.00016764802974648775,-0.038414312601089476,0.00036786165175726636,ALDH1A1,0.0001092974642771601,0.0011800654095160676,0.00017718017925916432,0.137687873547842,0.16763313799973356,0.36233650933642636,0.4579959969053977,100
