gene_name,oracle_score,suggested_perturbation,survival_score,label,oracle_score_se,suggested_perturbation_se,survival_score_se,oracle_score_pval_acat,survival_score_pval_acat,oracle_score_pval_acat_fdr,survival_score_pval_acat_fdr,k
388795,-0.00017537385769173853,-0.03480519220232964,-0.0008281589913895004,388795,8.661383616153634e-05,0.0009771850264771074,0.00018639261326591614,0.9617490785050391,0.002442524288842285,0.9881292479421624,0.0448169594282988,100
A1BG,7.999464110980625e-05,0.015322334915399551,9.700196749690804e-05,A1BG,9.782859578933006e-05,0.0009421396139322757,0.00017398113942308546,0.8659932912079937,0.6026128096864329,0.986594138907132,0.8626149280959687,100
A2ML1,-0.0015639231132627174,-0.33927035361528396,-0.0009460619995661546,A2ML1,0.00010716266008926512,0.001954314786187611,0.00016796300094054463,0.3335235026894291,0.18075422402551,0.9721950802268249,0.5277495591985694,100
AASS,-0.00011307568541269575,-0.034849200844764706,1.045735876687104e-05,AASS,9.517216317113047e-05,0.000830550793696227,0.00017641987579748828,0.49348670320241167,0.07399597916256323,0.9721950802268249,0.32525705126401416,100
AATF,8.13415226957659e-05,0.017576662898063658,-9.302829668740742e-05,AATF,9.950479502803173e-05,0.0004768112755981281,0.00018337195761358022,0.6575171242836034,0.8804466610924813,0.9865653658310553,0.9797878323245992,100
ABCA12,-0.00012401628302541212,-0.2143148435652256,0.0012378295052258182,ABCA12,0.00010390642843554609,0.002036817192003177,0.00017356079533689447,0.940879839367539,0.030910932930187485,0.9881292479421624,0.1916106417069653,100
ABCA13,-0.0016103263176864857,-0.3541015487909317,0.0012579144037772494,ABCA13,0.00010452773141325908,0.0017049550243525818,0.00018791451162326455,0.01844352714648534,0.008212746175503938,0.9721950802268249,0.0927594005613921,100
ABCA6,-1.662583367760817e-05,0.001435314416885376,0.00020793118950678034,ABCA6,0.0001014379922839851,0.0013718120202016455,0.0001849247368251096,0.30360386222415353,0.7886139231729796,0.9721950802268249,0.938277818868245,100
ABCA8,0.00022467196195066207,0.06448641143739224,-0.0003828910992160672,ABCA8,9.730772866313257e-05,0.001478567717705369,0.00020385769737979112,0.8298212368379778,0.2350617543474735,0.986594138907132,0.5953061592076474,100
ABCB1,-4.7081355096452173e-05,0.15538033351302147,5.819420128318597e-05,ABCB1,9.635891258417888e-05,0.0013724006926652634,0.00019332418050287158,0.43749136466572675,0.6029678347390821,0.9721950802268249,0.8626149280959687,100
ABCB4,-0.00025643259051321365,0.11761196754872799,-0.00022160509157401976,ABCB4,9.530511383545821e-05,0.0010479397753048656,0.00016431697143616671,0.2462642073523032,0.4580433889408523,0.9721950802268249,0.7890497656173165,100
ABCB5,0.00025373471522470935,0.03665634451434016,-1.5844203371671028e-05,ABCB5,0.00010129712377281767,0.001311846253865253,0.0001683179437681178,0.529648975201648,0.9132558451501194,0.9844808739903624,0.9837267952327846,100
ABCC11,-1.4984012450440787e-05,0.05686327390372753,9.778172243386507e-05,ABCC11,9.284068983845089e-05,0.0013780291033620177,0.0001733087593466105,0.604906033265247,0.751465939943407,0.9865653658310553,0.9300321038903552,100
ABCC1,-3.1836362086323787e-06,-0.07257304668426513,0.00025664379070803987,ABCC1,9.93470734472232e-05,0.000658667029748662,0.00017986760199820406,0.9143735218956573,0.3706895132753363,0.986594138907132,0.7261302904511975,100
ABCC2,0.00019562317243980941,0.048750508576631546,-0.0017579867089807522,ABCC2,8.665020128137142e-05,0.0019538265197246714,0.00017161483489717651,0.3436777269810961,0.07918311663038419,0.9721950802268249,0.33611830543803967,100
ABCC5,-5.394488509409712e-05,-0.11560401737689972,-0.0004801025705637585,ABCC5,7.909539082251362e-05,0.0007894306509772936,0.00019619327007703723,0.033143475291170066,0.2824624637090106,0.9721950802268249,0.6515858447728042,100
ABCC6,0.0003584818702802295,0.06369029432535171,0.0006300854076835094,ABCC6,9.452799393974668e-05,0.0015648134738231352,0.00017287993764491478,0.25669206410919243,0.22350668858102124,0.9721950802268249,0.5843312119765262,100
ABCD1,5.1751544197031764e-05,0.039802826046943664,-6.807034834309889e-05,ABCD1,9.613089120878532e-05,0.0005742404468784734,0.0001813891179408587,0.3971017168334445,0.482782245405274,0.9721950802268249,0.8059803763026278,100
ABCG8,-0.00023801107701729052,0.0527419613301754,0.00029174108243751107,ABCG8,9.882185001553675e-05,0.0014849030775228949,0.00017545770878553174,0.6408172895442854,0.04074355022324122,0.9865653658310553,0.225410035126647,100
ABHD12B,4.1430994469919826e-05,0.02362495379522443,0.00020416179395397194,ABHD12B,0.00010625775135804911,0.0015791751143833066,0.00020048681676879546,0.3414101600192755,0.9817912398131224,0.9721950802268249,0.995206543684944,100
ABI3BP,0.00022722441009136673,0.03421037524938583,-0.00015734095102743596,ABI3BP,0.000103637748514905,0.0012603395881428424,0.00018320251238257667,0.7266636892285789,0.49843953142961184,0.9865653658310553,0.8122653134355795,100
