gene_name,oracle_score,suggested_perturbation,survival_score,label,oracle_score_se,suggested_perturbation_se,survival_score_se,oracle_score_pval_acat,survival_score_pval_acat,oracle_score_pval_acat_fdr,survival_score_pval_acat_fdr,k
388795,1.121145077604524e-05,0.001309383511543274,-0.0023153178932261652,388795,4.325055837184937e-06,0.0018332701885247673,0.0005539548085973722,0.5444233584000636,0.3898711599284115,0.9966143177509571,0.9954673734726489,100
A1BG,7.1616554919273765e-06,-0.00880780041217804,-0.0017214791680453345,A1BG,4.1923547232446384e-06,0.001893737305102,0.000620023755997192,0.060373576149183816,0.5769206255081345,0.9966143177509571,0.9954673734726489,100
A2ML1,2.564297571439056e-05,0.16746422968804836,-0.0006011244594265008,A2ML1,3.9619991450326244e-06,0.0030567801575171433,0.0006269899937521345,0.7693897026019205,0.4995321068403754,0.9966143177509571,0.9954673734726489,100
AASS,2.092583820285654e-06,0.001994148790836334,0.0007346820496604778,AASS,4.645337313469283e-06,0.00165059635046008,0.0005426149547540745,0.5643028668213499,0.2904454324099177,0.9966143177509571,0.9954673734726489,100
AATF,3.5008290979021693e-07,-0.006196895241737365,9.257052064640448e-05,AATF,4.429974492570479e-06,0.0007208899004285918,0.0005855357732931435,0.3733407838498021,0.9344347750119584,0.9966143177509571,0.9954673734726489,100
ABCA12,-7.670494904914448e-06,0.10116749793291092,-0.0016149552104434406,ABCA12,4.306095648021657e-06,0.0035235940591774964,0.0005245212366585786,0.9806971338378454,0.6995133102047162,0.9966143177509571,0.9954673734726489,100
ABCA13,1.8984706457558787e-06,0.09353170201182365,0.00029840899136615915,ABCA13,4.373952030464957e-06,0.0033168535035544887,0.0006546415107901671,0.7828835663530236,0.19882306564535296,0.9966143177509571,0.9954673734726489,100
ABCA6,1.1143375913889031e-05,-0.1380086375772953,-2.9310623212950303e-05,ABCA6,4.52403543222298e-06,0.0025393190598253465,0.00059792281045973,0.2961411075041968,0.4059101930400935,0.9966143177509571,0.9954673734726489,100
ABCA8,-2.878898706057953e-06,-0.2122354343533516,-0.0013380401935864938,ABCA8,4.419755059786004e-06,0.0030628051115139093,0.0006438172976902287,0.5040903639367467,0.44977031314526217,0.9966143177509571,0.9954673734726489,100
ABCB1,8.028676420508418e-06,-0.018001202642917633,7.712456499575637e-06,ABCB1,4.280650046870872e-06,0.0023319486759654246,0.0006140629976699654,0.5450292881759743,0.2729948058859691,0.9966143177509571,0.9954673734726489,100
ABCB4,2.5372947106916397e-07,0.016216681599617006,-0.00015547919523669406,ABCB4,4.426002445723509e-06,0.002360149844225864,0.0007053826223952814,0.9258213871518362,0.3245443522257992,0.9966143177509571,0.9954673734726489,100
ABCB5,6.7743906976147625e-06,0.04113442532718182,0.001069787802407518,ABCB5,4.36514008178889e-06,0.002504102002121769,0.000665513059304263,0.43053826015497737,0.13540291418488082,0.9966143177509571,0.9954673734726489,100
ABCC11,-1.6839630474123625e-05,0.14279252834618092,0.0028529575110587757,ABCC11,4.627251296852347e-06,0.0026392783050769287,0.0005302139162578815,0.25081757036747204,0.7488338827604492,0.9966143177509571,0.9954673734726489,100
ABCC1,6.298897410879078e-06,-0.014122273325920105,-7.85706388160179e-05,ABCC1,4.330619056584605e-06,0.0011055999268464042,0.0006187951398787504,0.7754186566016575,0.5315131507481122,0.9966143177509571,0.9954673734726489,100
ABCC2,1.0764139688888007e-05,0.11222511410713196,-0.004128739094157936,ABCC2,4.8137337310078594e-06,0.0038992520708956884,0.0007051089678964693,0.911177476440288,0.13123045731747573,0.9966143177509571,0.9954673734726489,100
ABCC5,5.0046473160136885e-06,0.04812431216239929,-0.00035825428582029415,ABCC5,4.438797791680126e-06,0.0014062335701715701,0.000569647556277496,0.4261774984106122,0.9001913162571444,0.9966143177509571,0.9954673734726489,100
ABCC6,-5.612686690028567e-06,0.19403673738241195,0.00010176425959798507,ABCC6,4.475595519248874e-06,0.00289862003347442,0.0006466337691168735,0.8035045898252577,0.12725703211210782,0.9966143177509571,0.9954673734726489,100
ABCD1,2.430049952408808e-06,-0.012532625496387482,0.0005120364782123943,ABCD1,4.360843744685556e-06,0.0010548130961746157,0.0005573692260656225,0.48415451282054234,0.6070128039362498,0.9966143177509571,0.9954673734726489,100
ABCG8,1.1773996270676434e-05,0.0876746066659689,-0.0007803619457263267,ABCG8,4.92592567501794e-06,0.0029342108229051104,0.0005634780385619899,0.8136090217329528,0.9399401177166562,0.9966143177509571,0.9954673734726489,100
ABHD12B,3.060288052552096e-06,-0.09575922340154648,-0.00075889903557254,ABHD12B,4.596294324401933e-06,0.0033714143922785682,0.0006151987790783675,0.18466340200606945,0.40718040421384366,0.9966143177509571,0.9954673734726489,100
ABI3BP,7.2628743380676045e-06,-0.10468119978904725,0.000545716518390691,ABI3BP,4.437826849765089e-06,0.0022815625689871174,0.0005707915969759789,0.9432885549008831,0.06646038856074793,0.9966143177509571,0.9954673734726489,100
