gene_name,oracle_score,suggested_perturbation,survival_score,label,oracle_score_se,suggested_perturbation_se,survival_score_se,oracle_score_pval_acat,survival_score_pval_acat,oracle_score_pval_acat_fdr,survival_score_pval_acat_fdr,k
388795,0.0006348062350298278,0.004884635992348194,-0.00042554772167932245,388795,0.00032835562993998663,0.004224747000820312,0.001485239122286492,0.0957573663220716,0.5448821820395547,0.7917809386306847,0.9948146564644015,100
A1BG,0.0003150898733292706,0.024631914347410203,0.0005215153150493279,A1BG,0.0003093715557323782,0.0049165399542787655,0.0013892191497538787,0.8254078880590094,0.7435063730507638,0.9611204890431703,0.9948146564644015,100
A2ML1,0.0009447901288513094,0.15964334283024073,0.001323977158026537,A2ML1,0.00032392172837077354,0.009586810726345157,0.0013985248830792382,0.04759558504727046,0.6142960321428586,0.7917809386306847,0.9948146564644015,100
AASS,0.0002782550584379351,0.015835608839988708,-0.002049409545143135,AASS,0.0002928975097208749,0.004050282277544616,0.0013920197653956412,0.34893438523419573,0.6666994453190068,0.8039962793414648,0.9948146564644015,100
AATF,0.00012047314958181232,-0.021395450830459593,0.0031690164806786924,AATF,0.0003012852191699042,0.001978218444448971,0.001565649419900213,0.051520765461858686,0.7582122880773394,0.7917809386306847,0.9948146564644015,100
ABCA12,-0.0002944376445520902,0.1158565766364336,-0.00016831496148370206,ABCA12,0.00029520215671229657,0.009612883992678439,0.0013813747550278695,0.8830122075166917,0.8775115104491322,0.97462716061445,0.9948146564644015,100
ABCA13,-0.00021468900129548274,0.10161736719310284,0.0034111823739658574,ABCA13,0.0003185585646177681,0.00991188607849346,0.0014652460594111597,0.18066041282591433,0.10624069619544996,0.7917809386306847,0.9948146564644015,100
ABCA6,0.0001627113805443514,-0.06836511239409447,0.0014401965535944328,ABCA6,0.0003171512840156788,0.006559879866866555,0.0014442915522629028,0.2068237023413969,0.823199256081375,0.7917809386306847,0.9948146564644015,100
ABCA8,0.0003497475411859341,-0.190656548589468,-0.0012317853132844904,ABCA8,0.0003333373890592155,0.008164551298026701,0.0015633171143279775,0.07933661928287361,0.19870046708076028,0.7917809386306847,0.9948146564644015,100
ABCB1,0.00011508818017318844,0.03721884995698929,0.0012961385730886831,ABCB1,0.00031010624982876053,0.007540851594684224,0.0014085728357525115,0.16688473761914913,0.3667384544160055,0.7917809386306847,0.9948146564644015,100
ABCB4,0.0004738845113752177,0.06737176306545735,-0.0004031950008356944,ABCB4,0.0003105924537799861,0.005970577927292454,0.0015073151304690932,0.23406002637489354,0.3535672085009809,0.7917809386306847,0.9948146564644015,100
ABCB5,0.0002633208519546315,0.04150610063225031,-0.0010997744515771047,ABCB5,0.0003195492287674813,0.006617036732422145,0.0013156710365369798,0.4364873922389424,0.5199293877410044,0.825032475965928,0.9948146564644015,100
ABCC11,-0.0006278081150958314,0.10462438598275185,0.0017112193867797033,ABCC11,0.0003133218229794519,0.0069640644552651535,0.0014139146737945447,0.5640675982164374,0.29486280643057483,0.8602919963112926,0.9948146564644015,100
ABCC1,-0.0001709137145371642,-0.06578460931777955,0.0015777240990428253,ABCC1,0.0003145159250175821,0.00281939141588023,0.0015444317926033217,0.024661836725522746,0.7155934877318622,0.7917809386306847,0.9948146564644015,100
ABCC2,0.00020289197178499307,0.08426414251327514,-0.001557784751385043,ABCC2,0.00031562565808696924,0.009331152654265176,0.0014200653443448288,0.20561517690024028,0.6497489111286454,0.7917809386306847,0.9948146564644015,100
ABCC5,7.73991893947823e-05,0.02015440344810486,0.0021567850484279917,ABCC5,0.0003083772966454181,0.003484389681513771,0.0013987706713931272,0.2277777363872437,0.5379515179693249,0.7917809386306847,0.9948146564644015,100
ABCC6,5.5589907424291595e-06,0.22952554672956466,0.0007702734804479406,ABCC6,0.0003401845980566981,0.008574267972100088,0.0014062471328436283,0.3307781972962519,0.07312583914808363,0.7954861062032504,0.9948146564644015,100
ABCD1,-0.0003431057724810671,-0.004186521768569946,0.0007024922082200647,ABCD1,0.00028438626570361853,0.0031168707564943926,0.001486047128899447,0.04826688427068787,0.4895234898724517,0.7917809386306847,0.9948146564644015,100
ABCG8,0.001211837401788216,0.07771100267767907,-2.9816420865245165e-05,ABCG8,0.0003095561707732196,0.007466988922376186,0.001361955568578176,0.5270548714243473,0.9546862117684362,0.851461827826086,0.9956857580599641,100
ABHD12B,-5.644736258545891e-05,-0.042141570821404455,0.0015446677012369036,ABHD12B,0.00029942786287471217,0.007768645552556584,0.0015503367002100024,0.34576545605599757,0.12826368324255705,0.800953240815515,0.9948146564644015,100
ABI3BP,6.506814748718171e-05,-0.15043580949306487,0.0009960039902944119,ABI3BP,0.00032535513649142265,0.00644846803269569,0.001359702806371968,0.30839769251685234,0.7854108896506673,0.7917809386306847,0.9948146564644015,100
ABP1,0.0002783417266618926,0.1965737311542034,-0.0009858694931608625,ABP1,0.0002941249252837456,0.009861647350548886,0.0013901504664990904,0.7684267771185045,0.6659780887662443,0.9486750334796351,0.9948146564644015,100
ACAA2,0.00024496174468367825,-0.023914900422096253,0.0017434455521288328,ACAA2,0.00034329164458700445,0.0041649426368927656,0.001521179178829601,0.06733583619856215,0.20599679855698477,0.7917809386306847,0.9948146564644015,100
ACAD11,9.084836870897562e-05,0.018178536295890807,0.00025179951422614976,ACAD11,0.0003276684356787995,0.003938836896301719,0.0013241256550830202,0.3854789701198208,0.08786715429611808,0.8098297691592874,0.9948146564644015,100
ACADSB,0.0002509373929206049,0.07226283848285675,0.0031184411502908917,ACADSB,0.00028282385746435996,0.003967326910066658,0.0016828558765428843,0.33379575047518334,0.5980045778985404,0.7954861062032504,0.9948146564644015,100
ACAN,0.0007391780956822914,0.016116126626729965,0.0007313413091469556,ACAN,0.00029278008171723104,0.006145224714114072,0.001499103466109462,0.9670851155267302,0.8086437976874179,0.9946303835100757,0.9948146564644015,100
ACAT1,0.00048592822717182573,0.030426820516586305,-0.0005454324535094201,ACAT1,0.00029751081327326293,0.003947059011136748,0.0015891615010844846,0.14888442289797948,0.48012767817860047,0.7917809386306847,0.9948146564644015,100
ACE2,-0.00019456607813481242,0.25851639814674854,-0.0009877035126555711,ACE2,0.0003148130049052989,0.009639757870933147,0.001463558778982004,0.056780508764388615,0.14398219243196225,0.7917809386306847,0.9948146564644015,100
ACHE,0.00029130613867891955,0.017453489899635313,0.0010735866244067438,ACHE,0.0003088071463510341,0.007143424984366505,0.0014539508985481854,0.2085648365963883,0.476146017717311,0.7917809386306847,0.9948146564644015,100
ACLY,-6.940511229913682e-05,-0.023644354939460755,-0.0010241470660548658,ACLY,0.0003274207280472283,0.002589517968557749,0.0015450390392868015,0.37379319906492603,0.7910823643693469,0.8070567302341873,0.9948146564644015,100
ACP5,6.424982700991677e-05,0.09061067640781402,-0.0003022077103378251,ACP5,0.00030444196135803454,0.004026623481054599,0.0016648933115420317,0.5416478610399679,0.5306482184534601,0.8531073158242206,0.9948146564644015,100
ACSBG1,0.0003503290197113529,0.005679421797394752,-0.00043068189697805794,ACSBG1,0.00028765349916243943,0.004837722272486617,0.0014387639099726144,0.01557239384977488,0.2078558992766235,0.7917809386306847,0.9948146564644015,100
ACSBG2,-0.00019031282427022233,-0.05598728649318218,0.0015710824070265517,ACSBG2,0.00032981243048981726,0.003968397739135532,0.0014998053963843987,0.24214541084301694,0.8595449263825385,0.7917809386306847,0.9948146564644015,100
ACSL4,-0.00013655667957209516,-0.03880143046379089,0.0011597404751228168,ACSL4,0.00029145351058869844,0.0031310311560626943,0.0013814420287014356,0.1750669693792733,0.7904630390526797,0.7917809386306847,0.9948146564644015,100
ACSM1,0.00042708285778644497,0.05356860443949699,-0.00022098362795077263,ACSM1,0.0003036167459547006,0.005941861085057997,0.0013273133196384204,0.4861749373208157,0.03440198823642909,0.8358883376211477,0.9948146564644015,100
ACSM5,3.333318454679102e-05,0.08092580005526542,0.0006331170233897865,ACSM5,0.0003307012886538098,0.008906290216446277,0.00147641489760384,0.3763651580717858,0.7329989598197725,0.8089299851944918,0.9948146564644015,100
ACSS3,-0.0001731752770137973,-0.0007565674185752868,-0.0005276164261158556,ACSS3,0.00032458065079723006,0.0073809570739583495,0.0015034448626872823,0.7189582023431532,0.27765817349442834,0.9335259012764877,0.9948146564644015,100
ACTA1,0.00012116474521462805,0.014532603845000268,-0.0002496896468801424,ACTA1,0.0003295377497082845,0.005343105678573102,0.001380552418358763,0.8313469220680516,0.2680384611905339,0.9632242217662579,0.9948146564644015,100
ACTL8,-8.437387790763751e-05,0.07551159098744392,0.0010291314142523334,ACTL8,0.0003046582134785359,0.007029513924183472,0.0014138346816947455,0.49116016618583025,0.4294243895770436,0.836017304146094,0.9948146564644015,100
ACTN2,0.00014930242650734726,-0.03948973335325718,0.003917057552898768,ACTN2,0.000311238915677572,0.006695267014763919,0.001384867463557682,0.14913276557326532,0.8244056548355398,0.7917809386306847,0.9948146564644015,100
ACTN3,0.0001713435490091797,-0.04564722578972578,-0.0009812413879990345,ACTN3,0.00032743587338192933,0.003749462568713969,0.0014545301163429159,0.983493856400087,0.2489807670376219,0.9946303835100757,0.9948146564644015,100
ACY3,0.00024059799674432724,0.2251927561312914,-0.005378308886429295,ACY3,0.0003086474747579686,0.007818282972396335,0.0014945524663686357,0.442640170489389,0.8832344816037476,0.825032475965928,0.9948146564644015,100
ADAM23,0.0005163910543706152,-0.0457154992222786,0.0006065826391568408,ADAM23,0.0002816566596379557,0.007755569925124352,0.0015077263675645474,0.3689932835900059,0.08937090694878724,0.8042328511963509,0.9948146564644015,100
ADAM33,0.0003257005615159869,-0.1909873940050602,0.0018700427786097862,ADAM33,0.000297992985060967,0.006578264687325748,0.0014157195991214581,0.3123575802898051,0.9014022367119935,0.7917809386306847,0.9948146564644015,100
ADAMTS18,0.00026665289071388544,0.04821880780160427,-0.000572216163855046,ADAMTS18,0.00035143527933583375,0.006532304540195629,0.001579135908976699,0.47787072325948354,0.3174185693541379,0.832356463781574,0.9948146564644015,100
ADAMTS1,0.00015163895208388566,-0.06305615842342377,-0.002113282110076398,ADAMTS1,0.0003257363726311233,0.004291997716187897,0.0013871700582130436,0.23119604955021977,0.2448329726832288,0.7917809386306847,0.9948146564644015,100
ADAMTSL1,-4.214872882585041e-05,-0.15902879804372788,-0.000365972391446121,ADAMTSL1,0.00030038454998438605,0.00497977947858365,0.0014614006358924564,0.43231778758396777,0.9046276209806277,0.825032475965928,0.9948146564644015,100
ADAMTSL4,0.0002583847619825974,-0.17607631862163545,-0.0005958954279776663,ADAMTSL4,0.00029921235420870754,0.004714866783114801,0.0015524614447139757,0.9232839768756147,0.22230134463259232,0.9858878557134166,0.9948146564644015,100
ADCY1,0.0004371571907540783,0.028249650746583938,3.964284318499267e-05,ADCY1,0.0003493107978898425,0.006961360292504043,0.0014362330284623007,0.029023185023811626,0.4415753716512234,0.7917809386306847,0.9948146564644015,100
ADCYAP1,0.00013250928657726035,-0.30553691163659097,0.001046743631886784,ADCYAP1,0.00029733547733529935,0.00824006467127297,0.001416559182734761,0.9749410468136772,0.5697424523926362,0.9946303835100757,0.9948146564644015,100
ADD2,0.00029059094813419504,-0.15485312521457673,0.0005406323220813647,ADD2,0.0003256270919170496,0.0078797538945662,0.0014603644407815395,0.20483914645159218,0.40248359374964193,0.7917809386306847,0.9948146564644015,100
ADH1A,0.00044053191028069704,-0.029979208782315254,0.0003601606164011173,ADH1A,0.00028695455384083644,0.008655913800690702,0.0016065025212241683,0.983481748557135,0.05315126223868244,0.9946303835100757,0.9948146564644015,100
ADH1B,0.0004990685601660516,-0.05607471033930778,0.0038703828654251993,ADH1B,0.0003239573390774538,0.007661729378024787,0.0014738926320737,0.9210561853254101,0.13612514763879108,0.9847241795560624,0.9948146564644015,100
ADH4,0.0004025344195542857,0.03135828007012606,-0.0029932575218845157,ADH4,0.00032768436942068454,0.006901531122066477,0.001314294637794955,0.07751711751736201,0.26087861582158056,0.7917809386306847,0.9948146564644015,100
ADH6,0.0004436103775515221,-0.04537051487714052,0.0007847888953983784,ADH6,0.00030293448240470314,0.010114251884321034,0.00130774154095756,0.5042430688411758,0.9536009550029394,0.8439214541274908,0.9956857580599641,100
ADI1,0.00021128296430106275,-0.03939309418201446,0.0011601476045325397,ADI1,0.0003208386723929178,0.003343682937531552,0.0014281371979969996,0.2327358596884615,0.6201158209306824,0.7917809386306847,0.9948146564644015,100
ADM,0.000571555258211447,-0.016074749827384948,-0.0020580330828670413,ADM,0.0003085819566806229,0.005789033346398587,0.001510930250331144,0.08013683958399975,0.3756840160775077,0.7917809386306847,0.9948146564644015,100
ADM2,0.00029351576493354516,0.08699843555688858,0.0006832904869224876,ADM2,0.00032808394864828716,0.004074995416925061,0.0016295366941889646,0.04972469509607136,0.25307076467027295,0.7917809386306847,0.9948146564644015,100
ADRA2A,-3.499436395941302e-05,-0.01197799175977707,-0.0013899737369501963,ADRA2A,0.0003078064480286007,0.0068307030920075175,0.0014644866941058024,0.9969473552915864,0.7863635641398568,0.9984302041195934,0.9948146564644015,100
AFF2,0.00017850301068392583,0.06686964362859726,0.0023500745501951314,AFF2,0.0003337561632664807,0.007069965427171393,0.001541428651931842,0.5310501217373877,0.2647437926987427,0.8528788758531503,0.9948146564644015,100
AFF3,0.0004915533586245147,-0.09140753641724586,0.0003039614437147975,AFF3,0.00031135373507670404,0.007137321288145965,0.0014912535044040178,0.1457688112626495,0.025933510480417143,0.7917809386306847,0.9948146564644015,100
AGER,0.00038796621491201224,-0.020717756003141404,0.0021275411025271753,AGER,0.00030779274683442523,0.005612711495571911,0.0014634204183348926,0.30180727039218314,0.9870437104390104,0.7917809386306847,0.9956857580599641,100
AGPAT9,0.00011289347166894003,0.11508153662085534,5.362648458685726e-05,AGPAT9,0.0002761775062932061,0.005869304297276499,0.0014016611221330853,0.27231048446180306,0.28735948822897417,0.7917809386306847,0.9948146564644015,100
AGTR1,0.00015033602965559113,-0.10205066330730915,-0.0007562009373214096,AGTR1,0.00033363429048530755,0.010129367981957642,0.0014965042937112255,0.5961299411280488,0.7435446283871022,0.8799915553047262,0.9948146564644015,100
AGXT,0.000465676477906527,0.029076132141053677,0.00048746850050520154,AGXT,0.0003067971431948681,0.007981079968624226,0.00175125570274525,0.21799258902517893,0.2780797025262654,0.7917809386306847,0.9948146564644015,100
AIM1,-0.00046796816161077004,0.05563202112913132,-6.192922766786069e-05,AIM1,0.0003675809122671513,0.003939690766502733,0.001559130468157755,0.9557069119999355,0.2846717333698322,0.9919116886351173,0.9948146564644015,100
AIRE,0.00010879863359150477,0.03499487016350031,-0.00023038083803839982,AIRE,0.00033059440736392474,0.006074101190245521,0.0014689526294616646,0.11555766370607884,0.5237098006821849,0.7917809386306847,0.9948146564644015,100
AKAP12,0.00037038417081930675,-0.12021908193826675,0.0007183907137368805,AKAP12,0.00028202923643211894,0.0046253586741748145,0.00143390732639959,0.3831309589718048,0.8507962382107853,0.8089299851944918,0.9948146564644015,100
AKAP3,0.00015219751818221995,0.05453212156891823,7.330718915909528e-05,AKAP3,0.00029127887486374185,0.005213638368600005,0.0015478358059356535,0.7307420695491011,0.3486330273438758,0.9369218707773714,0.9948146564644015,100
AKAP6,5.921726202359423e-05,0.1477778248488903,0.004048686907044612,AKAP6,0.0002911716168825077,0.006026153347317334,0.0014128406469247437,0.44676560092743417,0.21787002075742595,0.825032475965928,0.9948146564644015,100
AKR1B1,0.00037960881236358545,-0.017922107577323914,0.0005067101265012752,AKR1B1,0.00032921478396691757,0.003670205176366542,0.0014760739993704263,0.017831147102323697,0.8739051770157622,0.7917809386306847,0.9948146564644015,100
AKR1C1,-5.514175471034832e-05,0.15323847655206918,0.00022050129366107284,AKR1C1,0.0003314889737325086,0.009072439262266929,0.0015209350434635086,0.4670137879776171,0.9227849597520519,0.829981966152657,0.9948146564644015,100
AKR1C3,5.134985054610297e-05,0.12170944094657898,0.00013603612838778646,AKR1C3,0.00030347960494828667,0.0068667545390537375,0.0013773066088568517,0.31328883349050035,0.817932154841801,0.792133586575222,0.9948146564644015,100
AKR7A3,-0.0005313180659140926,0.16526752427220345,0.0008131348971801344,AKR7A3,0.0003401273700493428,0.009061370854456479,0.0014998520527347056,0.04241479317025443,0.7582575272870256,0.7917809386306847,0.9948146564644015,100
ALAS1,0.00029809506886522283,0.018055571913719176,0.00019205852746381424,ALAS1,0.0002901572682317547,0.002815990467536149,0.0013655268594923676,0.3505184650418289,0.44799553292086974,0.8042328511963509,0.9948146564644015,100
ALAS2,-0.00018613999738590793,-0.06649453856050969,-0.004660596683970652,ALAS2,0.00030772211255791326,0.006518416556363786,0.0014355547566275273,0.24279295176696047,0.4293974691091996,0.7917809386306847,0.9948146564644015,100
ALDH1A1,0.000451406532083638,0.1553489711880684,0.00015007910376880319,ALDH1A1,0.0003390127972105621,0.006201288504606521,0.0014036125819547264,0.19358419737045401,0.8083495569773096,0.7917809386306847,0.9948146564644015,100
ALDH1A2,-0.000769598544575274,-0.4776953634619713,0.000942962571280077,ALDH1A2,0.00035241445273464145,0.007400749465652989,0.0015121436655834892,0.1058740891791003,0.7183134391291116,0.7917809386306847,0.9948146564644015,100
ALDH1A3,0.0001351390380295925,-0.12435621291399002,0.0032255119777983053,ALDH1A3,0.0003175567627268188,0.004620561221022618,0.001445717781231271,0.042883802263728676,0.4194561906290721,0.7917809386306847,0.9948146564644015,100
ALDH1L1,0.0007530585677886847,0.03929939299821854,0.0019560411476413717,ALDH1L1,0.00027690857644501355,0.00800174941281406,0.0014982555724186327,0.3626104467586619,0.7068464244148015,0.8042328511963509,0.9948146564644015,100
ALDH3A1,-7.730338344117626e-05,0.06302650779485702,0.0019126465253066272,ALDH3A1,0.0003254571048769869,0.007229204787904639,0.001455186846254132,0.7989269335088267,0.20621912858273767,0.953737368753348,0.9948146564644015,100
ALDH3B2,-6.684159990982152e-05,0.15619553238153458,-0.0035686105373315515,ALDH3B2,0.0003431225038573818,0.008315733540888891,0.0015795942235740962,0.08608925841178,0.5727467988200151,0.7917809386306847,0.9948146564644015,100
ALDH4A1,0.0005399664607466548,0.06963554620742798,0.0036919843131909148,ALDH4A1,0.0003062906252194219,0.0038051820222417725,0.0013958180294279129,0.7734419917373424,0.5615303055619224,0.9495911500765407,0.9948146564644015,100
ALDH8A1,-0.000275567405478796,-0.06924300119280816,0.000773230561753735,ALDH8A1,0.0002987994057749012,0.01012541603533885,0.0014553387864204939,0.48690495666431854,0.3392052994672932,0.8358883376211477,0.9948146564644015,100
ALDOB,0.00043202115775784475,0.14758427061140536,0.0009382018187898212,ALDOB,0.00031080908288666135,0.008057129645618645,0.0013300929764989654,0.08070232272379385,0.9685384016938983,0.7917809386306847,0.9956857580599641,100
ALG10B,-8.652069023810326e-05,-0.006975671052932739,0.002338051015540259,ALG10B,0.00029550945741225337,0.0024319550214837197,0.0013820819649975097,0.2968502991728741,0.7489909980135819,0.7917809386306847,0.9948146564644015,100
ALG8,-5.018715142796282e-05,-0.011141532063484193,-0.00025294293649494646,ALG8,0.0003147286407213747,0.0031964455342634195,0.0015163938721975928,0.2985851228087426,0.7477309701378918,0.7917809386306847,0.9948146564644015,100
ALK,0.00011697434310917743,-0.07564080558717251,-0.002215725868009031,ALK,0.0002835540120990804,0.007040751225992975,0.0014960245401197197,0.8769977789968778,0.4099333947940081,0.971417317500255,0.9948146564644015,100
ALOX12,0.0005473953587352298,0.005129343420267105,-1.826848485507071e-05,ALOX12,0.00034073440999639706,0.00658991794730277,0.0014212433600194027,0.0076656528768038745,0.798895999704718,0.7917809386306847,0.9948146564644015,100
ALOX12B,0.00027217611648666206,0.03838663525879383,-0.00021345504734199494,ALOX12B,0.0003208150565445294,0.006543859093029794,0.0013348731225079542,0.611127042944075,0.757745036298648,0.8807417989836246,0.9948146564644015,100
ALOX15,0.0003681343328935327,-0.08615867272019387,0.0012962818454252557,ALOX15,0.00031127068234157635,0.007830150124850253,0.001436514586584803,0.84128997698101,0.936393066447273,0.9632242217662579,0.9948146564644015,100
ALOX15B,0.0006322826101677492,0.07885944023728371,-0.00010569716279860586,ALOX15B,0.000320187415424647,0.0073081261733926,0.0014602016178368237,0.6376917918618152,0.9674866438093459,0.8945510531126519,0.9956857580599641,100
ALPK2,0.00026882075966568666,-0.12041462942957878,0.0009454213792923837,ALPK2,0.0003477468906070661,0.007989778563976792,0.001490183473299694,0.6770311707679382,0.6468959892283639,0.9167652955557727,0.9948146564644015,100
ALPL,0.00012668399671383668,0.03634117409586907,0.0009370331236277707,ALPL,0.00033316126725578066,0.005824721502983017,0.001506487298931426,0.15261467412107688,0.19054535786983456,0.7917809386306847,0.9948146564644015,100
ALPP,-0.00033208312226634006,0.02558915100991726,-0.0035193816921673714,ALPP,0.0003344848530921595,0.008719136319756468,0.0014214166370860584,0.12837881317975913,0.6505643307416883,0.7917809386306847,0.9948146564644015,100
AMACR,0.0003713542956393212,0.048874871134758,-0.0005184626922709868,AMACR,0.0003063592643709696,0.004410976969021341,0.0014053688266659086,0.334573393276464,0.05486411989990286,0.7954861062032504,0.9948146564644015,100
AMDHD1,0.0005169411246242816,0.059378698877990244,0.0012476376217091455,AMDHD1,0.0003388873448931396,0.007992234183605892,0.0013904525435227862,0.27097463760107093,0.7108319079357213,0.7917809386306847,0.9948146564644015,100
AMHR2,-0.0002744941441051196,-0.12806640591472387,-0.0009719554480398073,AMHR2,0.0002996637859648744,0.007267288033926201,0.001437331907054527,0.9454003707408736,0.034875513279804427,0.9912909633026252,0.9948146564644015,100
AMICA1,-0.0001525356195634231,-0.011084943413734435,0.0014529624313581735,AMICA1,0.00028411277818985294,0.0034364660649453434,0.0015400626348356862,0.7121292899658704,0.7204512470902222,0.9317079296759633,0.9948146564644015,100
AMN,0.0006498446578916628,0.02165323346853256,-0.001369048006599769,AMN,0.00030360805351049787,0.009232975496381924,0.0013733181224991626,0.806508501527614,0.5076856894905469,0.953737368753348,0.9948146564644015,100
AMPD1,0.0006031294434069423,0.07888065539300441,-0.0014976953098084778,AMPD1,0.0003224795692587293,0.007218297090597153,0.0013721993595251984,0.10413576431830596,0.4718294734408571,0.7917809386306847,0.9948146564644015,100
AMY1A,0.0007518510376394261,0.03311625976115465,0.003320743285003118,AMY1A,0.0002848782713076333,0.006348237936309636,0.0014959708315134116,0.14346381244370338,0.9825111798090825,0.7917809386306847,0.9956857580599641,100
AMY2A,0.00033259772793826415,0.015129006691277027,0.003793465819908306,AMY2A,0.0003250722423658625,0.00477302217213889,0.0015325448026422069,0.36010554204905465,0.8227595978848419,0.8042328511963509,0.9948146564644015,100
AMY2B,-0.00021384944120654835,0.007988088130950928,-0.00021551295678364112,AMY2B,0.0002943423962425487,0.0041270114746051806,0.0014468893891474487,0.27895497467240155,0.9425019812543975,0.7917809386306847,0.9948146564644015,100
ANG,1.6824308404466136e-05,0.037711391746997835,0.000507934662164189,ANG,0.00029572600265165684,0.004689570268552384,0.0013352925330335505,0.08544182562536073,0.5630591824424294,0.7917809386306847,0.9948146564644015,100
ANGPT1,-6.140640543890185e-05,0.0012424580752849578,-0.0013869190437253564,ANGPT1,0.0003466299331913138,0.005250627652601875,0.0015336808814356028,0.14240159748257408,0.619898746018787,0.7917809386306847,0.9948146564644015,100
ANGPT2,0.0003174790285993367,0.02379349023103714,7.540358928963542e-06,ANGPT2,0.00033218909065998146,0.004895319221247493,0.0013878242656654854,0.9177082376523762,0.24783325086777497,0.9838629955865664,0.9948146564644015,100
ANGPTL4,-0.0003555462900840212,-0.08330750614404678,-0.002619364244164899,ANGPTL4,0.000322586277920886,0.005307947945312473,0.0012902536607790267,0.2609558744223006,0.4137060588886265,0.7917809386306847,0.9948146564644015,100
ANGPTL7,0.00012565953207740676,-0.12541143260896206,0.0014080158169963398,ANGPTL7,0.0003118934055372466,0.007494181410217587,0.0014983981875000248,0.1477173120161907,0.280156663161514,0.7917809386306847,0.9948146564644015,100
ANK1,0.00023243200368597172,-0.03522239461541176,0.00017113058507675305,ANK1,0.0002911669344937156,0.006813552296556125,0.0013309627348029366,0.9105027526347809,0.11084146267234823,0.982203616650249,0.9948146564644015,100
