gene_name,oracle_score,suggested_perturbation,survival_score,label,oracle_score_se,suggested_perturbation_se,survival_score_se,oracle_score_pval_acat,survival_score_pval_acat,oracle_score_pval_acat_fdr,survival_score_pval_acat_fdr,k
388795,1.618988961809009e-05,-0.004545917510986328,-0.0007057945600536186,388795,6.883921130815554e-06,0.001062877921839225,0.0001723542934352429,0.3630616747302827,0.30627173932216484,0.6279512163740524,0.8531814541279147,100
A1BG,1.8817437129428073e-05,0.021271460950374604,0.0002240080108094844,A1BG,7.889963024284749e-06,0.0010777862989393826,0.000190312314350238,0.19255181016143008,0.7061297527869622,0.5372057236133878,0.9801244091052363,100
A2ML1,2.2875413244491937e-05,-0.05498497728258371,-0.0001174790544246207,A2ML1,7.585173814222592e-06,0.002484799673546912,0.00019496125778769132,0.13188385984172668,0.6877248361964963,0.5036791190666935,0.9801244091052363,100
AASS,4.007830684713554e-06,0.02506702721118927,-0.0002202364103322907,AASS,7.206865700711058e-06,0.0009414639467108951,0.00020338539049469278,0.22533445602238417,0.3410581606539939,0.5538960130551647,0.8893302754993322,100
AATF,-2.1122037833265496e-06,0.04047098636627197,-0.00037766555826237893,AATF,7.718033169028487e-06,0.0004889120788957015,0.00018598899417873524,0.32544143638984985,0.9682459043626703,0.6081037057159928,0.9934540009737952,100
ABCA12,1.4108403349837318e-05,-0.0044948580116033554,-0.00015519258176937,ABCA12,8.110921869519991e-06,0.0020870168465112688,0.00017380006587768034,0.026549066283499567,0.8425398219854133,0.3141901335325392,0.9859983195787042,100
ABCA13,2.816977997667891e-05,-0.017818613499403,0.0002115576852520462,ABCA13,7.5612241058622535e-06,0.002025139888663429,0.00015989308790030486,0.23014379342442093,0.7466463056093304,0.5538960130551647,0.9842530869451795,100
ABCA6,-1.2353710136494556e-05,-0.09651231735944749,0.00047770768829650476,ABCA6,7.19953609277708e-06,0.0015123631784554883,0.00018470083557740527,0.14614387828876374,0.13391202582701517,0.5110013601146379,0.5886584990318827,100
ABCA8,-1.8430441228360907e-05,-0.11256336495280266,0.00016341355829354142,ABCA8,7.804343303279296e-06,0.0018545928780790504,0.000191617059003249,0.19306501808183063,0.3431887222339155,0.5372057236133878,0.8902228901231529,100
ABCB1,1.0782728024878451e-05,-0.06931876346468925,-0.00040193385699240026,ABCB1,6.8682349759456344e-06,0.0017517669131583587,0.0001709183244284922,0.703235439144295,0.8187648153927196,0.8524065929021758,0.9854865426137046,100
ABCB4,5.529387010483333e-06,-0.03205641508102417,4.7466367941524365e-05,ABCB4,8.323942745406329e-06,0.0013685768038266218,0.00017696147433760292,0.6224959097830842,0.1606916077819342,0.8062350842126565,0.6351446947902537,100
ABCB5,-1.43738904125712e-05,-0.059996773041784766,-0.00031053565307956885,ABCB5,7.3530137970428375e-06,0.0014543690314865335,0.00018763688540416739,0.44839511995589004,0.15198389710278948,0.6836523013891515,0.6240077508507008,100
ABCC11,3.725377498994931e-05,0.07046093825250864,0.00045761315299387207,ABCC11,7.463193589128324e-06,0.0019638294165818205,0.00015748870714280973,0.22021194855759835,0.9330146593553759,0.5538960130551647,0.9873035672669725,100
ABCC1,-1.213625434502319e-05,0.04408988893032074,-0.0002339547061637859,ABCC1,7.822296313829915e-06,0.0006734730173654816,0.00016071156570678826,0.9888153119082153,0.5551900388482186,0.9951277484353397,0.9801244091052363,100
ABCC2,2.2791708652221132e-05,0.1039928887784481,-0.0009566736840861267,ABCC2,8.040537939712097e-06,0.002030819395973097,0.00018290456917918255,0.44894981129939104,0.37476090344258683,0.6836523013891515,0.9185316260847717,100
ABCC5,-6.401067955721373e-06,0.04636015832424164,-0.0003178469601152756,ABCC5,8.107345319210207e-06,0.000719677638114733,0.00018694864151824858,0.2573175646221047,0.4071428117478823,0.5751302335414853,0.9374568702172204,100
ABCC6,2.2482728146542284e-05,-0.014011133164167404,-0.0012609889427767484,ABCC6,7.792356091364545e-06,0.002113993259852727,0.00017064709059695773,0.3055852695050977,0.023997494051522572,0.5992164674799458,0.22323250280486115,100
ABCD1,1.2659482031267544e-05,0.04183969497680664,-0.0002591972368827555,ABCD1,7.692369229880754e-06,0.0007110433718562518,0.00017661027926032608,0.65654266926206,0.26717855558711207,0.8290003280584788,0.7987400764936086,100
ABCG8,1.1893718822761911e-05,-0.04431370206177235,-0.0007641719156890758,ABCG8,7.754745817622915e-06,0.0016088757338226668,0.00017892705548351874,0.03197385559550425,0.4627440987897546,0.33866474255212337,0.9482638372233353,100
ABHD12B,3.0658938737815336e-05,0.10726400047540664,0.0008636617674892478,ABHD12B,7.737878393816738e-06,0.0017840674233672717,0.00020685997065571427,0.0953880318779799,0.0804791114603372,0.4816713302129011,0.46378685688580695,100
ABI3BP,4.32556511555049e-06,-0.0717432051897049,0.0005308927814076014,ABI3BP,7.060664560626889e-06,0.0013392949838142985,0.0001689636979698891,0.4257632192633192,0.4242134599071174,0.6686904158793491,0.9411133002272725,100
