gene_name,oracle_score,suggested_perturbation,survival_score,label,oracle_score_se,suggested_perturbation_se,survival_score_se,oracle_score_pval_acat,survival_score_pval_acat,oracle_score_pval_acat_fdr,survival_score_pval_acat_fdr,k
388795,0.0002721925135847414,-0.035066274255514146,-0.00019817330481600948,388795,0.00019042246899820067,0.0035415910022789515,0.0006538974185029956,0.8431539386919226,0.19167864223015413,0.9956306453921535,0.5887896125730943,100
A1BG,-6.850627180938319e-05,-0.02919426143169403,0.00028858623147243634,A1BG,0.0001985983604545525,0.0033467002062206965,0.0007777975126628202,0.8302124620501803,0.6188575433906048,0.9956306453921535,0.8016289422158094,100
A2ML1,0.00048443931687870646,0.02695469830185175,-0.0009287401934852823,A2ML1,0.0001829196954585948,0.006718087423581827,0.0007014608733819797,0.12976430531761113,0.48992414896831477,0.9956306453921535,0.7215377746219658,100
AASS,-3.729869365997729e-05,0.016874452233314515,0.00031904818787552357,AASS,0.00018365228289897066,0.0031172728123390245,0.000673711112564341,0.9299690119805607,0.4945535034040528,0.9956306453921535,0.7225097858389458,100
AATF,-7.563178602140397e-05,0.03647697508335113,-0.00042329392075771464,AATF,0.00021859638961829877,0.0015789297449412681,0.0007681313361514347,0.49800113348038066,0.7829716095501185,0.9956306453921535,0.9047328600830564,100
ABCA12,-0.00013395928348472808,0.049576358124613765,-0.00022663294657832012,ABCA12,0.00018523636881225642,0.006200265031800702,0.0006987803562586017,0.666289160551313,0.3307012343182272,0.9956306453921535,0.6330073234981609,100
ABCA13,0.0002915628959635796,0.06691299989819527,-0.0015606200482943678,ABCA13,0.00021664615747239618,0.006623320241932458,0.0007257324875166181,0.012950985893570244,0.47136273753764146,0.9956306453921535,0.714065089384637,100
ABCA6,0.00012181487265024771,-0.10169456154108047,0.0006669020535628079,ABCA6,0.0001937591834966932,0.003909585629493801,0.0007914815639144751,0.4187646682208387,0.08791388083373691,0.9956306453921535,0.541152301020232,100
ABCA8,0.00020137751071160891,-0.13533793047070503,-0.00015586761320264487,ABCA8,0.00018422338336319583,0.0055401157064788875,0.00072006789592909,0.9011996627326021,0.1830189723980974,0.9956306453921535,0.5807075342195548,100
ABCB1,-0.00016230372415066086,-0.1416935171186924,0.0002122767265609582,ABCB1,0.00018455760360509447,0.0053228310260341975,0.0007750910999660633,0.7594785613826276,0.03553709316211817,0.9956306453921535,0.44056313591447244,100
