gene_name,oracle_score,suggested_perturbation,survival_score,label,oracle_score_se,suggested_perturbation_se,survival_score_se,oracle_score_pval_acat,survival_score_pval_acat,oracle_score_pval_acat_fdr,survival_score_pval_acat_fdr,k
388795,-8.642523366688693e-06,0.009772777426987886,0.0009259764002490556,388795,1.0396848507201399e-05,0.001474988090395216,0.0004092299831940544,0.7469833603906136,0.8404050600645816,0.9926232941506805,0.9306811296396252,100
A1BG,-1.1961900099777267e-05,0.08610925391316414,0.001774131356869475,A1BG,1.0060810493908643e-05,0.001665236535562013,0.0003612037444840284,0.5605610458063949,0.06286138039779232,0.9778464612819804,0.20277864644449137,100
A2ML1,-6.957004404739564e-05,0.12799493096768855,-0.0017449720350487042,A2ML1,1.198846943993015e-05,0.0027256344639987056,0.0004741390824828196,0.10529416658748608,0.12408101329931426,0.9080091843975913,0.2995534529848358,100
AASS,9.289826418807934e-06,0.10339510306715965,-0.0008455778364987054,AASS,1.1838245550650418e-05,0.0010910287189187912,0.00042312009462713184,0.3050593551496253,0.9206745854168852,0.9674649318406134,0.9736018578842017,100
AATF,2.2212553039935302e-06,-0.013669533729553223,0.0003654162176826503,AATF,1.1030822004674978e-05,0.0006347208909646883,0.0004003055864440793,0.3650579959467708,0.04609232270371638,0.9752018954198248,0.16822015585297947,100
ABCA12,-4.852623605131612e-05,0.21412015691399575,-0.001674949014413869,ABCA12,1.030671983373378e-05,0.002936798741372827,0.0003497187153917151,0.041478518031983824,0.8749349299585327,0.8181692263106166,0.949468182266449,100
ABCA13,-2.6098707116943843e-05,0.016356005407869814,-0.00039939308851899113,ABCA13,1.1175081751020908e-05,0.0027399837861984836,0.0003631414840291541,0.7030314546260261,0.9486959414819152,0.9903152229227917,0.9806780385507974,100
ABCA6,-3.171085195390333e-06,0.16135304883122445,-0.0022050212897738674,ABCA6,1.1080309537954693e-05,0.001776493914424373,0.00036801102072974345,0.6959906907645843,0.1486860013989208,0.9903152229227917,0.33021988744934205,100
ABCA8,1.1725705257958908e-05,0.12775000154972077,-0.0016283691320859361,ABCA8,1.0664530541367444e-05,0.0026773672359351247,0.0004403617619699366,0.7171622771813827,0.16481848991268666,0.9925136045037316,0.34875562892876744,100
ABCB1,-1.6014894116551657e-05,-0.14712174266576766,-0.000642325471562799,ABCB1,9.504297726325484e-06,0.00200818819128903,0.00034327033886318194,0.8470518665621418,0.3749487249112552,0.9949943916565702,0.5951567062083416,100
ABCB4,-8.1639533618727e-06,0.002071571797132492,-0.0001736437728686724,ABCB4,1.1163224406167922e-05,0.0017621237138534251,0.00036335171472680133,0.04267651080164797,0.2544096767325128,0.8207021308009226,0.4676648469347661,100
ABCB5,-3.0664876846628885e-05,0.08935027610510587,-0.00011687276743032272,ABCB5,9.109118066525508e-06,0.002036020454734625,0.000387177104563505,0.49074908680219986,0.017346647831034623,0.9752018954198248,0.09690864710075209,100
ABCC11,-4.2720234018815974e-05,0.0859221550822258,0.0014992852321302052,ABCC11,1.050163257392767e-05,0.002162756782781828,0.00040425069007998284,0.14859567356495978,0.3511177931693811,0.9248129765971098,0.5699964174827615,100
ABCC1,-9.566943922436622e-06,-0.017685986161231994,0.000495849045473733,ABCC1,1.0762313503931235e-05,0.0009873261828138957,0.00039120598242054893,0.6090485523371548,0.259990361402787,0.9847187588312931,0.4735707857974261,100
ABCC2,-1.2480881218834839e-05,-0.019797172993421555,0.0004921600177840446,ABCC2,1.0554917362983047e-05,0.0026067592078107575,0.000416580953103238,0.2305049489804301,0.24364918596507024,0.9635858600299974,0.45504157776744475,100
ABCC5,3.168498381924678e-06,0.02515968292951584,0.0010616317709354916,ABCC5,9.375689640388676e-06,0.0010982893118066347,0.00040025015249835883,0.8716786057518411,0.13312436070358835,0.9967780596535868,0.3119898946774451,100
ABCC6,-4.156802278544092e-05,-0.12063054338097573,-0.002297257106692996,ABCC6,1.1415800770464423e-05,0.0024514642548777747,0.000416248190419791,0.28342126682079205,0.02054468684869737,0.9672734815351743,0.10672564596725906,100
ABCD1,-3.212062947568484e-05,-0.0017651531100273132,0.00022406733773095767,ABCD1,1.0611606905763086e-05,0.000873759537985766,0.00037731247373525234,0.3468086120146072,0.6025367779980721,0.9752018954198248,0.7843760596215668,100
ABCG8,-3.917718381671875e-06,-0.0009201240167021752,-0.0007010582156362944,ABCG8,1.0958918435150627e-05,0.0022489899949661094,0.0003834076064343903,0.42095177782204435,0.8816681280491525,0.9752018954198248,0.9531547330261108,100
ABHD12B,-1.2597945942616206e-06,-0.11099268689751625,-0.0024417897258535957,ABHD12B,1.1031664917027213e-05,0.002969724020064136,0.00038371072718979633,0.9505878260456939,0.0004515625178107552,0.9967780596535868,0.01157852609771167,100
ABI3BP,4.230075808209221e-06,0.13506817013025285,-0.0013631180234369821,ABI3BP,1.1587668535930197e-05,0.001935206599114165,0.00042928678179716127,0.4011331269232762,0.016659320676186473,0.9752018954198248,0.09461108511784774,100
ABP1,-3.072417358907842e-05,-0.32174513131380084,0.0035467935363340075,ABP1,9.75585619762659e-06,0.002658767311295854,0.00042140422597550155,0.8010219399605529,0.008647150075541343,0.9949943916565702,0.06600877920260567,100
ACAA2,-2.0934070039402287e-05,-0.03505623042583465,0.00038661775535729246,ACAA2,1.1021462073955838e-05,0.0011645523855241915,0.0004366024370974531,0.21172050989697527,0.6055587050054216,0.9567347996654004,0.7846532807100243,100
ACAD11,3.3442246717640956e-06,0.06758806318044662,-0.0002791835242533125,ACAD11,1.1123539767004562e-05,0.0013784641017139461,0.00036131698202169853,0.22722451492053258,0.6070914016849044,0.9567347996654004,0.7853705067075089,100
ACADSB,-1.8397869487216666e-05,0.012529060244560242,0.0005022966214164626,ACADSB,1.0481376399165435e-05,0.0011846849074726314,0.0003930304628998534,0.5048791537491695,0.7983295516300687,0.9752018954198248,0.9082789521493618,100
ACAN,-4.492351337148648e-06,-0.08150603234767914,-0.0002739165126695298,ACAN,1.0848843103510609e-05,0.0016670825368899286,0.000392209370498691,0.18360049204561457,0.07202095530287711,0.9567347996654004,0.21939073343709697,100
ACAT1,-9.367817418706182e-06,0.008094233572483062,-0.00041092679530265743,ACAT1,1.0782556277899435e-05,0.0011366572496365138,0.0003489136610489756,0.15690100549515124,0.781267039471643,0.9248129765971098,0.9015585325600508,100
