gene_name,oracle_score,suggested_perturbation,survival_score,label,oracle_score_se,suggested_perturbation_se,survival_score_se,oracle_score_pval_acat,survival_score_pval_acat,oracle_score_pval_acat_fdr,survival_score_pval_acat_fdr,k
388795,-0.0002284234714716149,-0.010207161530852318,0.0015762093584635295,388795,8.44147653651751e-05,0.002941568828579503,0.0008391145942934118,0.060311675048384306,0.3814678490005882,0.9856611553322044,0.8352009765702799,100
A1BG,-5.602225304755848e-05,0.09214074984192848,0.002137903429229482,A1BG,9.371667378237342e-05,0.0029005202803087664,0.0009059461364235336,0.47425908525630267,0.06239605184715863,0.9856611553322044,0.5680520054904785,100
A2ML1,-0.0004800027389956085,0.1601099062524736,-0.0009631943052227143,A2ML1,8.813899294337962e-05,0.0061058816812422645,0.0008022948891325939,0.8131913927952675,0.20961643924502216,0.9856611553322044,0.7513134023119074,100
AASS,-0.00012910867043956388,0.14333098530769348,-0.00023460279800929128,AASS,9.437958253426974e-05,0.0026679617890171805,0.0008137253005234704,0.6119932259686948,0.7500994337851807,0.9856611553322044,0.9471548868876785,100
AATF,-6.060672163584968e-05,-0.006904834508895874,-0.00013409948922344484,AATF,0.00010076367324729962,0.001552796166814745,0.0008517628980004554,0.5911644850981901,0.8627125252080908,0.9856611553322044,0.9757959812570614,100
ABCA12,-0.00031029596855660204,0.15021759048104286,-0.001702330154075753,ABCA12,8.263158401860434e-05,0.006307703589162017,0.0008577147787972954,0.2059646800023457,0.7674159447317064,0.9856611553322044,0.9489295464816996,100
ABCA13,-0.000112661044026936,0.03123225398361683,0.0010594919628783828,ABCA13,8.242098231391123e-05,0.005217661426866549,0.0008475810863859342,0.3142827967554819,0.9307944875266074,0.9856611553322044,0.9907715715891182,100
ABCA6,9.509730604804644e-05,0.21005428656935693,-0.003744878369543585,ABCA6,7.985985490669265e-05,0.003919322780183044,0.0008777778810124929,0.7109096770243687,0.9560164886905234,0.9856611553322044,0.9907715715891182,100
ABCA8,-6.52024524515582e-05,0.15879324272274972,-0.0013233223669521976,ABCA8,9.903457743688702e-05,0.004967679556290693,0.000843426796460261,0.8067946790139441,0.23204241088907823,0.9856611553322044,0.7701464746246935,100
ABCB1,-0.0003303350761598267,-0.13232235223054886,0.0002811560093209664,ABCB1,9.481121403871696e-05,0.003774342090767044,0.0009007172965258623,0.19598297082247906,0.5056380120069025,0.9856611553322044,0.8810424507639599,100
ABCB4,-6.71142586509177e-05,0.03122410148382187,-0.00043915104513871485,ABCB4,7.839241593247584e-05,0.0036401055309522997,0.0008947329274904122,0.7294583938597958,0.1916617566281435,0.9856611553322044,0.7416695690099764,100
ABCB5,-0.000175312033506998,0.13094668172299861,0.0003334325169726071,ABCB5,9.32361894231442e-05,0.003751938858737782,0.0007625708513744213,0.4035601351860203,0.4140648076576545,0.9856611553322044,0.8532099763074127,100
ABCC11,-0.00023742888124616,0.07439503906294703,0.00047687165988463676,ABCC11,0.00010001278346390774,0.004862703001640408,0.0008326727648320963,0.7469294051267332,0.5785351791605421,0.9856611553322044,0.9065591079735262,100
ABCC1,-0.0001762690760415353,-0.03886799395084381,0.0005120011558756233,ABCC1,8.811669872422977e-05,0.0018034997103167118,0.0009369146625093407,0.7429746743477683,0.35555882436173586,0.9856611553322044,0.8268809868877578,100
ABCC2,-6.517715087738906e-05,-0.038901677876710894,0.001730516252318921,ABCC2,9.012290536891652e-05,0.005325390314794546,0.0008386836331159336,0.42709314708168716,0.21530809323270084,0.9856611553322044,0.7540398032589998,100
ABCC5,-7.707635296810622e-05,0.031675008833408354,0.0006390995228139218,ABCC5,9.246894846805289e-05,0.0021882274835115277,0.0008275775241898944,0.6304632209657443,0.3185426561847796,0.9856611553322044,0.8170501344661585,100
ABCC6,-0.0002704678895042889,-0.1406960232555866,-0.0024582368490519003,ABCC6,9.237798629065745e-05,0.005601122104946651,0.0008806361829110097,0.4062714337882821,0.994980751823566,0.9856611553322044,0.9976226573309435,100
ABCD1,-0.00010938398731923371,-0.019312157928943634,0.00029339327142224647,ABCD1,9.594981561800219e-05,0.0018014020443346032,0.0009214849677337824,0.8772140173208507,0.002002638399252965,0.9856611553322044,0.1668865332710804,100
ABCG8,-0.00022137320652745984,-0.007021207101643085,-0.0011453860424808227,ABCG8,8.742411241326885e-05,0.004579403837833082,0.0009320842007741291,0.688741756401731,0.03641806647253837,0.9856611553322044,0.47814462151290865,100
ABHD12B,-0.00012153028892498696,-0.10215228685177863,-0.002725684158067452,ABHD12B,8.958406281399092e-05,0.0065498414240348635,0.0009340158599417765,0.596875656692678,0.35325927793659806,0.9856611553322044,0.8247354161977332,100
ABI3BP,-0.0002894831361754768,0.17609806194901467,-0.0022100322168626006,ABI3BP,9.92631621447012e-05,0.004285677731184561,0.000890812368069591,0.05313334834904582,0.5876533100450587,0.9856611553322044,0.9067391049879578,100
