gene_name,oracle_score,suggested_perturbation,survival_score,label,oracle_score_se,suggested_perturbation_se,survival_score_se,oracle_score_pval_acat,survival_score_pval_acat,oracle_score_pval_acat_fdr,survival_score_pval_acat_fdr,k
388795,-0.00010969228064823255,0.037066416181623936,0.0005252279158958117,388795,3.90988386468777e-05,0.0009539344969363489,0.0002023609141424283,0.599820766733809,0.7398851681201175,0.9045387977730032,0.8583354618562848,100
A1BG,-7.305394456125214e-05,-0.08445499449968338,-0.000815001181072148,A1BG,4.037344956456781e-05,0.0008753683268199703,0.00020203304369681565,0.9050076838804759,0.39239911337838806,0.9807612663498813,0.5869844627948961,100
A2ML1,-0.00013060903282166692,0.036722811609506606,-0.0003583407690166496,A2ML1,4.228334348973043e-05,0.0019720751139149033,0.000191469217784996,0.1799086615472093,0.5138857676531323,0.6006015093233529,0.689316925088038,100
AASS,-3.899543593774979e-05,-0.07147916793823242,0.0003534498482986237,AASS,4.896897725638851e-05,0.0008548922358016431,0.0001933007323089085,0.1573298575070316,0.02088205963943429,0.5794927943663015,0.09335493653422393,100
AATF,-7.287918237125268e-05,-0.04507297933101654,-6.798775430070237e-05,AATF,4.462362202108898e-05,0.0004278782652361179,0.0001992324443126796,0.6043407913778832,0.9429146627680982,0.9057117533055817,0.9766076258602777,100
ABCA12,-0.0002421678270729899,0.19104488909244538,-0.002245636114712397,ABCA12,3.964987748550826e-05,0.0018620556144644015,0.00019569538329422586,0.22575620714469913,0.008069649205646345,0.651080843780503,0.04746852473909614,100
ABCA13,-9.177429054034292e-05,0.0236868217587471,-0.0003157991602893162,ABCA13,3.760021461404566e-05,0.0017882967947603953,0.00017878470844131202,0.5884696294866941,0.24479912191573294,0.9045387977730032,0.44508931257405987,100
ABCA6,-8.399710513003811e-05,0.0007049540430307388,-0.000136929882428376,ABCA6,4.626001397677846e-05,0.0014409760179715796,0.00017627036119863038,0.5108124350084721,0.8489515212303336,0.8822000295635,0.9270608772209056,100
ABCA8,5.150257087734644e-05,0.007356207147240639,-0.0003732458704325836,ABCA8,4.809947598975019e-05,0.001769758424511881,0.000211044835357829,0.17774409824756077,0.8749563934894122,0.6005338611756537,0.9418260425074405,100
ABCB1,-2.3905834614197373e-05,0.0815061580389738,0.0005649703769449843,ABCB1,4.318893863170283e-05,0.0012824633989902126,0.00021130138714233225,0.7940928945964327,0.009576761713182835,0.9604077196782274,0.05488115594947184,100
ABCB4,-0.00019357076012056497,-0.13748283937573433,-0.00021693181461159838,ABCB4,4.644138004363373e-05,0.0011282909829936293,0.00020746530876813426,0.36825258678449674,0.9038845795971278,0.7853675775182304,0.956526942284859,100
ABCB5,0.0014966504665790126,-0.46746625006198883,-7.39351183801773e-05,ABCB5,4.744444640803717e-05,0.0016442378409291564,0.00018471161571336202,2.7363583621209386e-10,0.32785482616201467,1.3681791810604693e-07,0.5237297542524196,100
