gene_name,oracle_score,suggested_perturbation,survival_score,label,oracle_score_se,suggested_perturbation_se,survival_score_se,oracle_score_pval_acat,survival_score_pval_acat,oracle_score_pval_acat_fdr,survival_score_pval_acat_fdr,k
388795,0.0004386289084504824,0.04829332400113344,0.0005857431990443729,388795,0.0007785116864918281,0.0019417114443350768,0.0003831755797314216,0.6319803194193092,0.9555557012501112,0.9957411063713253,0.992326168050036,100
A1BG,-0.0015546257133973995,-0.06777730435132981,-0.00022976820240728558,A1BG,0.0008121820171091024,0.0019946198876624657,0.00042211183708952495,0.8811195808921783,0.04122833480557769,0.9957411063713253,0.33932785848212094,100
A2ML1,0.0035050227242118125,0.10637343950569629,-0.0011598939355826588,A2ML1,0.0008267040253033842,0.003845572697050041,0.0004500994580773171,0.5681738485537047,0.1894551214867521,0.9957411063713253,0.5692887388614223,100
AASS,-3.244898325647227e-05,-0.075722676217556,5.685156691470184e-05,AASS,0.0009110155496111086,0.0016481924575491966,0.0003721040399888358,0.5810919874727515,0.41009039556468174,0.9957411063713253,0.741467767549366,100
AATF,-0.0006194872481137281,-0.04195634424686432,0.000147007468767697,AATF,0.0008062225697311749,0.0009677027631160306,0.00040870100198227993,0.5032717851003615,0.7064731283709094,0.9957411063713253,0.9031048464319757,100
ABCA12,0.0004206197723760852,0.24656431138515472,-0.0031334713815522265,ABCA12,0.0007911890407013596,0.0039428779930494925,0.00044201302654950733,0.34476157149166353,0.11034699100946449,0.9957411063713253,0.4709500856087806,100
ABCA13,-0.00013491656340193004,0.015110515989363194,-0.0007026191298973572,ABCA13,0.0008407761924696307,0.003693693023362886,0.0004495581455920155,0.9706287499495971,0.3727397355369084,0.9957411063713253,0.7247536455664011,100
ABCA6,-0.0002709416946163401,-0.027503231316804887,-0.00020845516577537636,ABCA6,0.0007894667885727796,0.00278023316564298,0.0004267600914286974,0.8461918763429865,0.5179844318324393,0.9957411063713253,0.8058655367878419,100
ABCA8,-0.0010734229048648559,-0.07882365971803665,-0.0008581739180499425,ABCA8,0.0009397627806677841,0.004100689933492224,0.0004460170479610657,0.721051313348927,0.03673695754017925,0.9957411063713253,0.3324775310064788,100
ABCB1,-0.0009277802793803858,0.03874374806880951,0.001126448719187465,ABCB1,0.0009405846852429294,0.00245863765517615,0.0004570386072684345,0.48520098694619174,0.5277414552935064,0.9957411063713253,0.8125532385770757,100
ABCB4,0.0005799942549128901,-0.12904101938009263,-0.0004835221145185642,ABCB4,0.000928829618306469,0.002675701885072739,0.00038943181983888247,0.3583492106859193,0.5623816561691511,0.9957411063713253,0.8291084840468749,100
ABCB5,-0.019511516415514053,-0.42315735399723053,0.0001789364581281916,ABCB5,0.0008801786689429664,0.0038906440306239686,0.00044417703067075356,0.003779230057989358,0.31895949136282437,0.9324455890235672,0.6896421434871878,100
ABCC11,-0.0016350111221254337,-0.08916880749166012,-0.0004748653926071711,ABCC11,0.0006915606728117483,0.0032761845277243205,0.00041967875577475554,0.8187883342356568,0.7019880944374899,0.9957411063713253,0.9026041313368339,100
ABCC1,-0.0010719666059230803,-5.8027803897857664e-05,8.068003949119884e-05,ABCC1,0.0009808797812116809,0.0010477651456476471,0.00041405660642472646,0.07991882844033515,0.8354465674547624,0.9957411063713253,0.9630507982187463,100
ABCC2,-0.002714739178863965,-0.1774752289056778,0.00630562344143982,ABCC2,0.0006707555327220739,0.004327297129084814,0.00040787386759444047,0.5634051031752555,0.005373508967930818,0.9957411063713253,0.12352894179151307,100
ABCC5,-0.0010238979560290317,-0.032479867339134216,-0.0002842790242902993,ABCC5,0.0008736982419331598,0.001407899369367715,0.0003922831017884773,0.8765700303454258,0.2530073989312182,0.9957411063713253,0.643239610430507,100
ABCC6,-0.00947962344129337,0.29430117934942246,0.0023432248108656495,ABCC6,0.0007929705166629345,0.0035420786671131535,0.0004330487782960361,0.06197826173411375,0.04521042944275783,0.9957411063713253,0.34240052871614185,100
ABCD1,-0.001746908954664832,-0.12991330713033677,0.0009140748051868286,ABCD1,0.0008226105625072153,0.0014910845791454613,0.00040749904646334887,0.5142146026092749,0.23875353578316044,0.9957411063713253,0.6332985034036086,100
ABCG8,-0.0017127990798690006,0.09711711343377828,0.0011601532174972818,ABCG8,0.0007994075681284843,0.002826255808250291,0.0004477025172770421,0.3824253006549215,0.5072905529755893,0.9957411063713253,0.8007743535526273,100
ABHD12B,-0.0003422854434757028,-0.02893939197063446,-0.0016257483400045202,ABHD12B,0.0009197771929124694,0.0027767590067555043,0.0004227007053627384,0.4582786933173816,0.5215768617939615,0.9957411063713253,0.8073945229008691,100
ABI3BP,-0.0010171917206753278,0.026231041401624678,-9.517254095044336e-05,ABI3BP,0.000826360209364806,0.0032096732086671757,0.0004820956787923567,0.08076622601900374,0.8892127670150942,0.9957411063713253,0.981598864836896,100
ABP1,-0.0038954824240681773,0.22383060038089753,-0.0014731815326240393,ABP1,0.0007674293447373335,0.0036237530776848785,0.0004359174740198327,0.7929480576166764,0.8752533082467693,0.9957411063713253,0.9797980641382632,100
ACAA2,-0.0009705211889377097,0.0062764775753021244,-0.00015726052242825972,ACAA2,0.0007622489559834844,0.0014714784181325729,0.00039542941022858573,0.9028806919889759,0.9674283799713381,0.9957411063713253,0.9945781652315897,100
ACAD11,-0.0008590346695109474,-0.005675690472126007,0.0006154762408914394,ACAD11,0.0008124921302224855,0.0018101077360696944,0.0004551882778829581,0.09954684662851532,0.25319784166231096,0.9957411063713253,0.643239610430507,100
ACADSB,-0.0011183199809920552,0.026730592548847198,0.00015170224658504595,ACADSB,0.0008278835408775016,0.001814372608907248,0.00047131103977607797,0.7296113320169415,0.4191183412557094,0.9957411063713253,0.7519501264910714,100
ACAN,-0.000616589367564302,0.032954938784241675,0.00023695947345913737,ACAN,0.0008813561031548647,0.0022333607587494845,0.0004125081207037201,0.2476224414308013,0.6888827942815198,0.9957411063713253,0.8969828050540621,100
ACAT1,-0.0003452635189751163,0.0034762468934059145,0.00014790255181651446,ACAT1,0.0007970102096496786,0.0016277702231501056,0.0004233380809621803,0.5407761714942683,0.7631341197830755,0.9957411063713253,0.9272232596037665,100
ACE2,-0.003815667756625771,0.2955654942989349,-0.00152740927922423,ACE2,0.0007917058940303428,0.0037669601227640973,0.0004127682535200749,0.17494582291891986,0.991471825218226,0.9957411063713253,0.9983964075613846,100
ACHE,-0.001083776184314047,0.03875123739242554,0.0007242021348793059,ACHE,0.0008556681203671836,0.002595916538879593,0.0003846884118141469,0.45363388084731204,0.956013711246546,0.9957411063713253,0.992326168050036,100
ACLY,-0.0009426748139958363,-0.054263519644737246,-2.7094262622995304e-06,ACLY,0.0007461965419007719,0.0011076418884393793,0.00042503720085557107,0.9867956369537156,0.29409251248324264,0.9957411063713253,0.6681885992427291,100
ACP5,-0.0025944882223848252,-0.12469803124666214,-0.0017564419089467266,ACP5,0.0008395116877374315,0.0017190808810704909,0.0004320786949791884,0.5718153292820745,0.28707774414383347,0.9957411063713253,0.6629970996393383,100
ACSBG1,-0.005953129457775503,-0.17101865991950035,0.0009336783946491778,ACSBG1,0.0008408232656635093,0.0022102250355382725,0.00046640711255488637,0.364583419855979,0.07408817285095459,0.9957411063713253,0.4055552021329704,100
ACSBG2,-0.0008481062057398958,0.03790346458554268,-0.0005301386653127338,ACSBG2,0.0008482889674699592,0.0018622104822413061,0.0004673969549948458,0.8983043245822835,0.19396640968468082,0.9957411063713253,0.5716583353747633,100
ACSL4,-0.0006304622816969641,-0.03236208140850067,0.0005069197490229271,ACSL4,0.0009088655324566135,0.0013502336092840622,0.00038995464200298184,0.4419580723347316,0.8975766406784818,0.9957411063713253,0.9828318912794187,100
ACSM1,-0.005843543946539285,0.17539989531040193,0.0017600765782231065,ACSM1,0.0009160716677797042,0.002196072617366211,0.00037780784095915954,0.03567193548441405,0.11160189353561861,0.9957411063713253,0.47263482264076473,100
ACSM5,-0.0012309270260084304,0.03315936215221882,0.0005870130217772385,ACSM5,0.0008420553802760342,0.0032630630652740397,0.00040647897495480867,0.5014763618101105,0.6383363073038839,0.9957411063713253,0.8707738401648296,100
ACSS3,-0.0018789530941330668,0.08555303424596787,0.0008206859735219041,ACSS3,0.0008316518085607291,0.003033218749260635,0.00040104113403483427,0.3723961402977951,0.49514663155524086,0.9957411063713253,0.7960730139347485,100
ACTA1,-0.0003723258301033638,0.013957728818058967,-0.0002494965107871394,ACTA1,0.0008110256056916476,0.0022958121711587043,0.0004524471716645589,0.4940816762402373,0.4216111159905325,0.9957411063713253,0.7534666860380003,100
ACTL8,0.00011765876392018982,0.016213201209902762,-1.745174946336192e-05,ACTL8,0.0008632655141752644,0.002730784322259687,0.0003882534458712196,0.7741122852014086,0.3678738325323244,0.9957411063713253,0.7210135295419112,100
ACTN2,-0.00014345304261951242,0.0028104066848754885,0.0018106179762980902,ACTN2,0.0007769692324227585,0.0027874335997881633,0.00046379469282361923,0.5577508669779857,0.08615596920851432,0.9957411063713253,0.42986067839544134,100
ACTN3,0.0011421879648696631,0.03032336451113224,0.0003316014139636536,ACTN3,0.0008863094736526079,0.0015864100250962264,0.0004642823516596599,0.6169951207720746,0.963830810646114,0.9957411063713253,0.9941293941068766,100
ACY3,-0.0012438582301547284,0.10333210483193397,-0.0007041061331437959,ACY3,0.0007267733971323775,0.0033564259433449075,0.00042594615423833474,0.35719779815335123,0.24473246629302003,0.9957411063713253,0.6388550232800322,100
ADAM23,-0.005350595772906672,-0.1962013392150402,6.906795508257346e-05,ADAM23,0.0008159553220665174,0.0036874646868801505,0.0003911965614589078,0.2648893607584656,0.49500895728491295,0.9957411063713253,0.7960730139347485,100
ADAM33,0.00013012895287829452,0.07933557942509652,0.0002975071866239887,ADAM33,0.0008071965283105954,0.0030244335877150086,0.00041848413460066444,0.7137236609283686,0.957761399507341,0.9957411063713253,0.992326168050036,100
ADAMTS18,-0.003384127430181252,0.11335254091769457,0.003405074884867645,ADAMTS18,0.0007970315689920128,0.002172279191717236,0.00038920398317707916,0.4732734733227823,0.08287636719826957,0.9957411063713253,0.42609957428416234,100
ADAMTS1,0.000121818501411326,-0.03446365565061569,0.0002407444999607833,ADAMTS1,0.0008473361618490936,0.0014808983879490696,0.0004204074274369374,0.5626019975711132,0.160081788772716,0.9957411063713253,0.532718099077258,100
ADAMTSL1,0.0003021261316462187,-0.027605113536119462,-0.0007260316061001503,ADAMTSL1,0.0007961492895612509,0.002270363577001333,0.00044265595961108284,0.9713037173729107,0.23092649328545256,0.9957411063713253,0.629498961659076,100
ADAMTSL4,-0.0009972465281862242,0.05360363245010376,-0.0002063492895103991,ADAMTSL4,0.0007237625383937831,0.0016366633720774834,0.000416883995997485,0.8670364827385513,0.4457307830799802,0.9957411063713253,0.763290818598638,100
ADCY1,0.0005574376633012434,-0.1511685548722744,0.001191300469286034,ADCY1,0.0007816473549668614,0.0025742995335338516,0.00044400959206972233,0.8427174659289229,0.17912066004270538,0.9957411063713253,0.5573075576530023,100
ADCYAP1,-0.00029324952440219933,0.15559702627360822,0.0012099039103486576,ADCYAP1,0.0007989035661591124,0.002854666953044046,0.00039092966186719537,0.46922404571341664,0.12212076131802091,0.9957411063713253,0.48749948077315725,100
ADD2,-0.00027470278067198706,0.0015554825961589813,0.0006077516237564851,ADD2,0.0008601598276320567,0.002951047740039346,0.000373308906615474,0.15025718534277077,0.7036715405486523,0.9957411063713253,0.9026041313368339,100
ADH1A,-0.002051162048155675,0.06720935832709074,-0.0014321424975059927,ADH1A,0.0007834236662722322,0.0028431217721894214,0.000450937892486197,0.5084966869833303,0.1351837391695911,0.9957411063713253,0.501388527858167,100
ADH1B,-0.003486862333083991,0.11264516443014144,-0.0018640117451798233,ADH1B,0.0007253605278585601,0.0037225719326549876,0.00037233017392044687,0.12788365491440956,0.9005560489725218,0.9957411063713253,0.9828318912794187,100
ADH4,-0.0025847302813963324,0.08156836286187172,-0.004100224303256255,ADH4,0.0007471960688113842,0.0024748018679014924,0.00043129429058812814,0.36835452598381613,0.11204071156540307,0.9957411063713253,0.47274561841942225,100
ADH6,-0.004347116059216205,0.19213390819728374,-0.0015087864146744324,ADH6,0.0009262947919961989,0.0035645954762691208,0.000445008540935927,0.06884548772811094,0.8032281259338052,0.9957411063713253,0.9470430054478154,100
ADI1,-0.0015088424192799721,-0.026897107362747193,0.00012873987550847234,ADI1,0.0007533437386784359,0.0013362743709051427,0.00044461439061710395,0.5300812641242332,0.9234468396088109,0.9957411063713253,0.9835921319323103,100
ADM,0.000589698976764339,0.06722286850214004,0.00020255203982522119,ADM,0.0008204726517378426,0.0024564659772799745,0.00043909143653752717,0.6267914458829302,0.07709872363502474,0.9957411063713253,0.41027056211242435,100
ADM2,-0.0017278974001237657,0.07887357532978058,-0.00040684702475118683,ADM2,0.000742404770660459,0.0017186860231546534,0.0004383633147514745,0.7845115690733129,0.6376985638951995,0.9957411063713253,0.8707738401648296,100
ADRA2A,-0.0009804879036528292,0.011604986190795898,8.64828766498249e-05,ADRA2A,0.0006599852221316764,0.003005723053403786,0.00045272551404177823,0.9695210910875264,0.08796224058312585,0.9957411063713253,0.43297331862511645,100
AFF2,-0.0020329609638429246,-0.060228080451488496,0.0006642137687595096,AFF2,0.0007724775501322613,0.0028127609062526104,0.0004055470504792331,0.5481487358160682,0.9331186869534653,0.9957411063713253,0.9853018095860031,100
AFF3,0.00016171620663953944,-0.19236923024058342,0.0003544927402253961,AFF3,0.000755923705176464,0.0029478666603358255,0.0004209245044136314,0.03721603292216613,0.584852967463023,0.9957411063713253,0.8458247426370152,100
AGER,-0.0002749385222705314,0.02430854082107544,-0.0007766395185899455,AGER,0.0008759010912327926,0.002075387114091205,0.00041189198178238185,0.5477676311609653,0.928496309651919,0.9957411063713253,0.9850877976694468,100
AGPAT9,-0.0008720977578195743,0.03597135946154594,0.0003631808756836108,AGPAT9,0.0009417439486682633,0.002263448199477273,0.00041809154823879626,0.9581443811637244,0.05977724469404694,0.9957411063713253,0.3841604048530925,100
AGTR1,-0.0049528256287158,0.12507532112300396,-0.0007873766903503565,AGTR1,0.00081209608256386,0.0029159191681434513,0.0003808499227704452,0.9245794888651624,0.8601021959170447,0.9957411063713253,0.972209364323131,100
AGXT,0.0002304512549744686,0.0654109974578023,-0.00011223678950045724,AGXT,0.0009313985975199342,0.002672462749378618,0.0004145583325610989,0.5415952722649263,0.7527261439395088,0.9957411063713253,0.9252933545660833,100
AIM1,-0.0006723731082456652,0.07864002019166946,-9.97268780702143e-05,AIM1,0.0008671753330817558,0.001419840346195939,0.0004505679464462492,0.5754928628356968,0.3788106088491852,0.9957411063713253,0.7250660847520098,100
AIRE,0.0007223622934543528,0.029904052335768937,-0.0006736979035395052,AIRE,0.0009035471121729465,0.0023682165069147756,0.00044723339236105457,0.15342815139253008,0.07492278522593798,0.9957411063713253,0.4082985570895803,100
