gene_name,oracle_score,suggested_perturbation,survival_score,label,oracle_score_se,suggested_perturbation_se,survival_score_se,oracle_score_pval_acat,survival_score_pval_acat,oracle_score_pval_acat_fdr,survival_score_pval_acat_fdr,k
388795,4.961764849440442e-06,0.004968443289399147,0.0002482810004221392,388795,1.1083640835372874e-05,0.0009730050676829317,0.00020277589282046313,0.1862019477039677,0.07450153885935329,0.8241982804943995,0.3717379237286027,100
A1BG,-6.099850565988163e-08,0.06805229932069778,0.0006040506199769879,A1BG,9.935746044173886e-06,0.0008944172707417442,0.0001838486569854122,0.42061835414649906,0.00767904600231778,0.8872231862809331,0.11817819719520672,100
A2ML1,3.8084815878391965e-06,0.08327003631740809,-0.0005440046056901337,A2ML1,1.140987223747743e-05,0.0017790960619863065,0.00018485985352165507,0.26832570468626105,0.1978727823171061,0.8593971917083426,0.572036263698758,100
AASS,-3.0940346843877365e-06,0.057864066958427426,-0.0002195328177185729,AASS,1.1183172457464121e-05,0.000728151893447764,0.00015743139549040904,0.8741037927468989,0.9837106360541332,0.9818251039624176,0.9997059309493224,100
AATF,-3.6315290691391054e-06,0.005370667576789856,-9.600620838682516e-05,AATF,9.959759919682501e-06,0.0003689065970341332,0.00016548009004666223,0.3768817729084093,0.9437545692312233,0.886003171997803,0.9949969101014478,100
ABCA12,-2.1676039229987508e-05,0.05283044178038836,-0.0005088806746971386,ABCA12,1.1275657870327206e-05,0.0017644207792011095,0.0001747815912777401,0.4069640969617144,0.09566433970499688,0.886003171997803,0.4155350033021208,100
ABCA13,9.584280928720545e-06,0.0013607074785977602,0.0004697979553475307,ABCA13,1.1556498144865761e-05,0.0017972742443327383,0.00018088317657501184,0.6445963335197258,0.010377331696017122,0.9619132053735856,0.13477054150671589,100
ABCA6,2.218248618760299e-05,-0.049342436119914054,-4.581818602673593e-05,ABCA6,1.016954050609974e-05,0.001280410282218892,0.00017794550441104515,0.4487565170034558,0.5065307177792566,0.901729239260552,0.7864949861789637,100
ABCA8,4.658694510794703e-05,-0.01038521971553564,-0.00011566839093575254,ABCA8,1.1619176169812064e-05,0.0016645752787285907,0.00019727858515627633,0.21517446962439346,0.9479378637219358,0.8387795558427267,0.9957330501280839,100
ABCB1,-2.69151356542352e-05,-0.013781189620494842,-7.226521269330988e-05,ABCB1,1.090124578371864e-05,0.0011851114861001395,0.00016448356223753161,0.5411600020475983,0.9662084466182757,0.9386990495188174,0.996319083785103,100
ABCB4,8.885242657079572e-06,0.03412450410425663,-0.00012668844405197888,ABCB4,1.0697519082418314e-05,0.0010412972009780125,0.00017843379715490424,0.0759800389425006,0.9676428333820937,0.7261640047541326,0.996319083785103,100
ABCB5,2.492995690772659e-06,0.02789635137654841,-0.00021551033136915976,ABCB5,1.1452252457585952e-05,0.0012608707163830387,0.00017149752864773453,0.0458089567530654,0.44883603749298034,0.7035378854791019,0.7493089106727552,100
ABCC11,-8.510533910907725e-05,0.1255950241535902,0.0010343429176981544,ABCC11,1.2228799908729473e-05,0.001221997280900191,0.00015798155478188408,0.18667320452193503,0.07799376862243812,0.8241982804943995,0.37953172079045316,100
ABCC1,-1.1914114566025091e-07,0.007759368419647217,-4.293975505788694e-05,ABCC1,1.0425206379507824e-05,0.0005226953036270192,0.00016929654881552928,0.6582433552197006,0.976817646082087,0.9635750741635427,0.9987910491636881,100
ABCC2,-2.1555270132012082e-05,-0.0015248264372348785,0.00040901455213315785,ABCC2,1.0788005359658042e-05,0.0017294554274184571,0.00018286197997036263,0.12852386152220452,0.5190632543468692,0.7993658533083613,0.7958747162299061,100
ABCC5,-1.8380750805135904e-06,0.035569140017032624,0.00021312068046427156,ABCC5,1.1405095560976323e-05,0.0006567754978455311,0.00017103963304593997,0.28981333628399,0.4080716411243385,0.8593971917083426,0.7220695125710378,100
ABCC6,-1.6142521308211143e-05,-0.04501508176326752,-0.0006978560508014198,ABCC6,1.1186929149086656e-05,0.0013704432959982782,0.00016377791010987916,0.31331093659156145,0.2302040262495466,0.8673369121734636,0.6035675264244811,100
ABCD1,-9.956265505479679e-06,0.0033409327268600466,2.3231857248902088e-05,ABCD1,1.1861074748074989e-05,0.0005083076303128265,0.0001642668278515715,0.058961492607409016,0.4707623390663415,0.7124914735725252,0.7636047673419976,100
ABCG8,-0.00014682928990055187,-0.10472866959869861,-0.0005523596380771778,ABCG8,1.1734668168289675e-05,0.0015663374933062818,0.00018847424894890733,0.01576781689673984,0.13763902718717885,0.6327569883635327,0.4906917190273755,100
ABHD12B,1.1194290777893912e-06,0.09869606100022793,0.0005271160603115277,ABHD12B,1.064445551364018e-05,0.0013792370496100443,0.0001679968832956232,0.2530869633750873,0.7553450536137567,0.852536785409754,0.9284452703113953,100
ABI3BP,1.2652348440269634e-05,-0.03230548217892647,2.24872334729298e-05,ABI3BP,1.17435695863715e-05,0.0011038129628346636,0.00016902846250303307,0.2907741751110803,0.8063354707607666,0.8593971917083426,0.9513336380577041,100
ABP1,3.202233593242454e-05,-0.233037329018116,0.0016647267468283644,ABP1,1.1828243764224784e-05,0.0015584366512806302,0.0001782869641964016,0.10603358945232305,0.02472925400842152,0.7698306234004235,0.20971474314047828,100
ACAA2,-1.3984567120246538e-05,-0.006757246255874634,-0.00034901840096608795,ACAA2,1.0757863257774868e-05,0.0007037068764952129,0.0001773357197714863,0.7694899343764419,0.981436070024906,0.9759896409754882,0.9997059309493224,100
ACAD11,3.338153818418732e-05,0.0673491132259369,-0.0004582682223554002,ACAD11,1.0185059544311877e-05,0.0006996932754118509,0.00018514080640420557,0.4572593891433613,0.03765048473093541,0.9023368029046709,0.2614616995203848,100
ACADSB,-5.739044195252063e-07,0.020555194914340973,-6.152183488666196e-05,ACADSB,1.0990930769630738e-05,0.0006989845210516827,0.00016637140752908623,0.5215057243123444,0.3425797528362762,0.9320924473857809,0.6797845443924986,100
ACAN,3.7647839099008707e-06,-0.04611506253480911,3.6204303032718596e-05,ACAN,1.0084376504945138e-05,0.0009289009797642311,0.00017902361875538514,0.46312280283203294,0.5944232709614469,0.9029812343997535,0.8321697288177475,100
ACAT1,1.7314224959363855e-05,0.024308505356311797,-1.1987125981249847e-05,ACAT1,9.428537628861122e-06,0.0007211080018155467,0.00017570481840391234,0.8052592358046526,0.9648347548634422,0.9760718009753366,0.996319083785103,100
ACE2,6.489620716934042e-06,-0.06019687093794346,0.00019001939811460033,ACE2,1.0906279904461925e-05,0.001865791791164409,0.0001660553107453719,0.8318397887813411,0.6445734019898848,0.9773488348723585,0.8628827335875299,100
ACHE,-1.0081883303740824e-05,-0.08346453577280044,-7.438466895109741e-05,ACHE,1.1754759766870148e-05,0.0012757818832977576,0.00016205606772171132,0.36606996013071136,0.21314032283406215,0.878447602611261,0.5860688908112155,100
ACLY,-4.153494390379819e-06,0.021360591650009156,6.581335048394977e-05,ACLY,1.015263720775737e-05,0.0004254049661949956,0.00017810541457392813,0.20390594895045788,0.12869764972380615,0.8387795558427267,0.4709615370744467,100
ACP5,-1.0649181290318665e-05,0.009076131582260132,-0.00020018470617969798,ACP5,1.0608454880549781e-05,0.0006459768858407763,0.000156454313450994,0.05147453275798852,0.5131352880689976,0.7035378854791019,0.7924869313806913,100
ACSBG1,-1.641246571693955e-05,0.0030914320796728133,0.00022902972237716314,ACSBG1,1.0271129168932437e-05,0.0008776061232522411,0.00018055898537606835,0.18167891673922498,0.22544965947108914,0.8220039532905123,0.6003985605088925,100
ACSBG2,-8.565187503108973e-06,0.022604760117828845,-0.0003558328231838459,ACSBG2,1.1183917283980213e-05,0.0008171691954561623,0.00018584601062315967,0.38706166511226264,0.9489576348061705,0.886003171997803,0.9958274637080676,100
ACSL4,2.1641413559336797e-06,-0.014659352898597718,-2.0452523476706118e-05,ACSL4,1.1891083205796947e-05,0.00048416032534789947,0.0001693303953007603,0.36905164480845554,0.7022247734906377,0.8797417039534101,0.906672549684697,100
ACSM1,4.032286342408042e-06,0.0456869861856103,5.6603282355354165e-05,ACSM1,1.2024886463702457e-05,0.0009488828076954032,0.00016983935308944285,0.32645185493333895,0.5882010297190109,0.8674197752226463,0.8293670404670406,100
ACSM5,2.2731506041964168e-05,0.10966513358056545,-0.0005990336211834801,ACSM5,1.1201038521456177e-05,0.0014479807909576006,0.00019616555039712397,0.03893367161807176,0.041055464344024684,0.6947183986618743,0.27374700262948304,100
ACSS3,-4.538557946034416e-06,0.10468814946711064,0.0004916891472566931,ACSS3,1.2124512856702343e-05,0.0012851080766550355,0.00015111378353282597,0.6624578634874356,0.4357767788433676,0.9635750741635427,0.7381629962147667,100
ACTA1,-2.4622642757776703e-05,0.06901622503995895,0.0009048408565922728,ACTA1,1.1560260867375323e-05,0.0010132646215965555,0.00017680567137516077,0.3805941126985295,0.14876330861339032,0.886003171997803,0.5050121533654581,100
ACTL8,2.2997872796395314e-05,-0.057805694974958896,-0.0019218950284994208,ACTL8,1.0532473626235692e-05,0.0014296314895506058,0.0001700276086846919,0.23024498807882848,0.0094390739452746,0.8387795558427267,0.13019412338309796,100
ACTN2,2.938888671621953e-05,0.022008905876427887,-0.00157563431559538,ACTN2,1.0520689734487975e-05,0.001227692343548096,0.00018383597803146122,0.24105722918171818,0.031236980125013192,0.8473013328004154,0.2430893394942661,100
ACTN3,-2.2923798042029374e-08,-0.008981662318110466,-0.0001530385167370696,ACTN3,1.1319910644351868e-05,0.0006976359284585007,0.00017993756821128873,0.5301040734229475,0.4746657240074561,0.9327442784495403,0.7645188695263517,100
ACY3,9.890439295645593e-07,-0.15586642742156984,0.0015866070006632072,ACY3,1.2178196765287428e-05,0.0011519596181688936,0.00016929671598500746,0.07545747700570654,0.017908553527349103,0.7261640047541326,0.17386945172183596,100
ADAM23,-8.718685128314974e-06,-0.008515355065464974,6.884963340326067e-05,ADAM23,1.0303932049892625e-05,0.0013180062216547046,0.00016867149533497522,0.8982025117456529,0.6383788910812158,0.9906242645527648,0.856884417558679,100
ADAM33,2.679226065538387e-05,-0.08294029176235199,0.00037470925171874115,ADAM33,1.1536945819408758e-05,0.0011422828006302493,0.0001602554121067715,0.385575485065427,0.9728610155249571,0.886003171997803,0.9975622743906106,100
ADAMTS18,1.4044914398709808e-05,-0.030225131660699844,-0.0001556731499294983,ADAMTS18,9.984566191158014e-06,0.0010205209673324232,0.00017410488778707206,0.2543705034886575,0.7836047046468284,0.852536785409754,0.9393971755133096,100
ADAMTS1,-4.455514877008682e-06,0.011668055653572082,-0.0002352745475673146,ADAMTS1,1.1818694778333094e-05,0.0006271825793245766,0.00017129547480330645,0.2712686840400182,0.3861102430193696,0.8593971917083426,0.7110685875126511,100
ADAMTSL1,-1.3319629931629607e-06,-0.02533781960606575,-0.00013045683095697314,ADAMTSL1,9.913790053167192e-06,0.0009334394898409292,0.00016518512614372756,0.7431938902144006,0.8628098557719491,0.9723414839504607,0.9754962680283774,100
ADAMTSL4,-5.041207341491827e-06,0.01756680190563202,-6.504500362098043e-05,ADAMTSL4,1.1267949810324201e-05,0.0007342228435671212,0.00016240661587515285,0.7859551758733019,0.9406964499626396,0.9759896409754882,0.9942231319283827,100
ADCY1,-2.4815463950460527e-05,0.06594692215323449,-0.0005277996305994748,ADCY1,1.1254608700909934e-05,0.0008952191303933068,0.00019144187245607452,0.5476876354881273,0.5241431717191419,0.9413856638757977,0.7983902082545955,100
ADCYAP1,-3.239352006914942e-05,0.008841757653281093,-0.00014890330217895098,ADCYAP1,1.1494118428126903e-05,0.0014034359730632873,0.00020121137349194215,0.011994472494147868,0.0023313326348639585,0.6327569883635327,0.055507919877713294,100
ADD2,1.4447527605909727e-05,0.09199793249368668,-0.0003706358622548578,ADD2,1.1622309353768959e-05,0.0014790196855854344,0.00017267519552178112,0.30554732173721966,0.6031991300576397,0.8632290956425324,0.8368701887984736,100
ADH1A,2.4280066322717176e-05,0.06812176633626223,-0.0002264225569570044,ADH1A,1.01348052474592e-05,0.0014549783566778249,0.0001903745141552698,0.6978010421369227,0.319109508116202,0.9676832438982075,0.6658317041167272,100
ADH1B,-1.2438275598469772e-06,-0.03004959210753441,0.0009724544190248708,ADH1B,1.1411854427525934e-05,0.0015213367711891376,0.00016024330955541992,0.19684198887123328,0.6292954713094351,0.8344881800045902,0.8527038906631912,100
ADH4,-0.00012143799047976245,-0.12160915084183216,0.002776508217211813,ADH4,1.0768433194004023e-05,0.0013544239514651341,0.00016039806168321238,0.01448807423352061,0.00030344016168482035,0.6327569883635327,0.01064702321701124,100
