gene_name,oracle_score,suggested_perturbation,survival_score,label,oracle_score_se,suggested_perturbation_se,survival_score_se,oracle_score_pval_acat,survival_score_pval_acat,oracle_score_pval_acat_fdr,survival_score_pval_acat_fdr,k
388795,-0.0006262986528599867,0.016811655363999308,0.00030909515655366706,388795,0.0002753409972534943,0.002248983164048175,0.0005786594109525868,0.5332171379004258,0.6472371666484212,0.9511277390480496,0.996849985091714,100
A1BG,-0.00035412174754753775,0.08268743336200714,0.0009239842946408317,A1BG,0.00029661103357786543,0.002193942264120458,0.0005278172889011253,0.4123813958620857,0.5106763139640919,0.9511277390480496,0.996849985091714,100
A2ML1,0.0002677561272139428,0.06551698275841772,-0.0003595557557127904,A2ML1,0.0002871692679170076,0.004589400226364004,0.0005237593480718232,0.651280430093027,0.6027883381780537,0.967008804889424,0.996849985091714,100
AASS,-0.00010328142961952835,0.05234148144721985,9.654151072027161e-05,AASS,0.000341786704276361,0.0019565908945208123,0.00043844287191594086,0.13629735050355313,0.6043995259499654,0.9511277390480496,0.996849985091714,100
AATF,7.583340702694841e-06,-0.01779243767261505,0.0005167337221064372,AATF,0.0002773083313275668,0.0010905125640863179,0.0005437968828873877,0.8402800691757051,0.5803388647166404,0.9963424617796289,0.996849985091714,100
ABCA12,0.00019524974773958093,0.025837207213044167,-0.0007835234017693438,ABCA12,0.0002660134995940387,0.004954576226881411,0.0005085071047869664,0.6071840099056882,0.7567823413707555,0.9584593684383398,0.996849985091714,100
ABCA13,-9.031313311425038e-06,-0.017054467052221297,0.00019511604332365096,ABCA13,0.00027925218854779626,0.004448580913076662,0.0005147204240157105,0.9491600021148011,0.8066617243218541,0.9963424617796289,0.996849985091714,100
ABCA6,0.00015396633963973727,0.05475799411535263,-0.0007078844353964087,ABCA6,0.00032657312987167226,0.0035820257075315754,0.00048648063154987367,0.11245381007585048,0.5931233750773776,0.9511277390480496,0.996849985091714,100
ABCA8,0.0003841281007771613,0.10328518517315388,-0.0015524015152186621,ABCA8,0.0003128006824288849,0.003590558024368346,0.00045119122732716576,0.28649108545861857,0.6569908299940277,0.9511277390480496,0.996849985091714,100
ABCB1,4.566643547150306e-06,0.042021227478981016,0.0007620381846209056,ABCB1,0.0003056958736839345,0.002954195492949272,0.0005177326100466715,0.249305870951603,0.12046657950229261,0.9511277390480496,0.996849985091714,100
ABCB4,-2.5968652007577475e-05,0.07505851916968823,0.00023096614415408113,ABCB4,0.0002922948106811621,0.0026956824448983873,0.0005360242020681684,0.9258416670037727,0.3682145401069513,0.9963424617796289,0.996849985091714,100
ABCB5,-0.00012537141963548493,0.0445397911220789,1.58230317174457e-05,ABCB5,0.0003100919105998726,0.003242279450337398,0.0005374711078648656,0.2421607370952502,0.6894261773228216,0.9511277390480496,0.996849985091714,100
ABCC11,0.00013816153616062366,0.10440615445375442,0.0010130424887756816,ABCC11,0.00027737325560627896,0.0032672122278411637,0.0004933606003414087,0.9365787230983933,0.4083223474219758,0.9963424617796289,0.996849985091714,100
ABCC1,-0.00011323442584398435,-0.012736963629722596,-0.00013147897989256306,ABCC1,0.0003107713897330121,0.0013880799158329253,0.0005161265572432348,0.5420301919594152,0.6109557447997581,0.9517830897759311,0.996849985091714,100
ABCC2,-3.619550028815865e-05,-0.020395870096981527,0.0006605171090632211,ABCC2,0.0002587197626103822,0.004020652124740016,0.0004976095744265219,0.8901730337633289,0.9872349739237946,0.9963424617796289,0.9982153426934222,100
ABCC5,6.686668988550082e-05,0.024315057694911955,0.00021133348447619938,ABCC5,0.0003042219425394675,0.001803970370168106,0.0005575500259233093,0.6058595113628109,0.9325750856970321,0.9584593684383398,0.996849985091714,100
ABCC6,6.611541044549085e-05,-0.05145457997918129,-0.0005559814740263391,ABCC6,0.00032155497833140525,0.003490080059411176,0.000521782269246257,0.17600108551963528,0.83379612379334,0.9511277390480496,0.996849985091714,100
ABCD1,-0.00026723699345893693,-0.021211032569408417,0.0005545454430102837,ABCD1,0.00032003037245594446,0.0014002029022650167,0.000457839621231591,0.2920383067919161,0.1467417608949267,0.9511277390480496,0.996849985091714,100
ABCG8,-0.0001291691436927067,-0.10995043309405446,-0.0006581657633068971,ABCG8,0.0003209623665986688,0.0037581361404175418,0.000519882375830156,0.31033099777252643,0.92332736694304,0.9511277390480496,0.996849985091714,100
ABHD12B,3.513972295877466e-05,0.08998148245736956,-0.0009868455202376935,ABHD12B,0.0002565897078949491,0.003490688801378407,0.0005224732263991288,0.8261010626327417,0.37971543176650674,0.9963424617796289,0.996849985091714,100
ABI3BP,0.000586727735644672,0.07561901435256005,-0.00011660487041808664,ABI3BP,0.00029302835681346785,0.0028586628227505297,0.0005399490018235398,0.20506972105571847,0.49610611671873084,0.9511277390480496,0.996849985091714,100
ABP1,-0.00028027030850353186,-0.21845427066087722,0.0012625001826381778,ABP1,0.00030375137413560824,0.0037258144590308685,0.0004501918626974498,0.24092114612311627,0.3767402399982166,0.9511277390480496,0.996849985091714,100
ACAA2,-0.00021821675916726236,-0.037302307188510894,0.00040241189970402047,ACAA2,0.0002946419676371733,0.0020094119393262986,0.00047002410532354853,0.5349260268512328,0.850806032325832,0.9511277390480496,0.996849985091714,100
ACAD11,0.00010576655993645545,0.05154093742370605,-0.0002475615825096611,ACAD11,0.00028385122213643035,0.0018215129843545824,0.000463646783259179,0.7354931122194488,0.9917889057757849,0.9813881576119295,0.9992835322677933,100
ACADSB,-0.00060241333409067,0.0009020006656646728,0.0012904013699153438,ACADSB,0.0002807398796785211,0.0016665508523416965,0.0004959238676826318,0.6981323640738885,0.9119589942584965,0.9716197454545997,0.996849985091714,100
ACAN,1.6693670477252453e-06,-0.06833565339446068,-8.008766017155721e-05,ACAN,0.0003066141858951554,0.0025311241921797574,0.0005176390592487884,0.8169635856097401,0.44233518382877385,0.9963424617796289,0.996849985091714,100
ACAT1,-0.00032314007163222416,0.00256721168756485,-0.0002331140241585672,ACAT1,0.0002840858804254429,0.001671380726651419,0.0004888936746965829,0.5208584386939473,0.8509992803865194,0.9511277390480496,0.996849985091714,100
ACE2,0.0003047835525285336,-0.03419657558202743,-0.00014585716555302498,ACE2,0.00031721889939482237,0.0045108848911461575,0.0005358391353598348,0.0643938536183899,0.34497250382291994,0.9511277390480496,0.996849985091714,100
ACHE,-0.0003517396874667611,-0.05856200516223908,0.0006305403087753802,ACHE,0.000269223621079399,0.003446552143764678,0.0004921428820030529,0.5721106279027008,0.9225534067621866,0.9524326178750376,0.996849985091714,100
ACLY,-0.0002481504068055074,-0.0003577375411987305,2.1442626893986014e-06,ACLY,0.00032326159554802076,0.0010735621030081972,0.00046514404950382445,0.3461894932311087,0.7140046035161494,0.9511277390480496,0.996849985091714,100
ACP5,-0.000551617144519696,0.017740703523159027,0.0006841397416428663,ACP5,0.00028577140618038456,0.0016269268908860543,0.00049286928323119,0.3660907819287853,0.7946957266067776,0.9511277390480496,0.996849985091714,100
ACSBG1,-0.00015775183353980538,0.024757026452571152,-0.0011999766049848404,ACSBG1,0.0002822657162738434,0.0021683895446288114,0.0005222878833247027,0.6149919687175678,0.4127102631214038,0.9586780494428181,0.996849985091714,100
ACSBG2,6.384353371686303e-05,0.022867777408100663,-0.0005167377318139188,ACSBG2,0.00028727054164344175,0.001971316598759222,0.0004958061145335226,0.8336510335137641,0.2025491779755239,0.9963424617796289,0.996849985091714,100
ACSL4,-0.00022200674451596569,-0.021786638498306275,0.000358150283282157,ACSL4,0.0003326834282708233,0.001406113527963683,0.0004975577573638195,0.2045294431841405,0.9273501038557052,0.9511277390480496,0.996849985091714,100
