gene_name,oracle_score,suggested_perturbation,survival_score,label,oracle_score_se,suggested_perturbation_se,survival_score_se,oracle_score_pval_acat,survival_score_pval_acat,oracle_score_pval_acat_fdr,survival_score_pval_acat_fdr,k
388795,2.201167604653165e-05,-0.12250639952719211,-0.007768535357317887,388795,0.0005287476293027707,0.003215307473571414,0.0011886986689793146,0.34474772287854516,0.06504405338223718,0.9956332098044727,0.5659856450627679,100
A1BG,0.0005125777491775807,-0.002363449037075043,8.064508438110352e-06,A1BG,0.0005728234340457914,0.0025686693638194945,0.0011473069327445067,0.5343481527401265,0.838718951821988,0.9956332098044727,0.9915574097000013,100
A2ML1,-0.0007803687793784775,-0.276526587754488,0.0010134756640763952,A2ML1,0.0005825587197284281,0.007045109994777037,0.001308990274540369,0.7436373905828193,0.2631286472875182,0.9956332098044727,0.8439334382315703,100
AASS,-0.0012919664979563095,-0.19799407005310057,0.0011173922749003395,AASS,0.0005456538020325319,0.002809910972393216,0.0012356931806294382,0.8899217835726296,0.39628901311751186,0.9956332098044727,0.9247561993178596,100
AATF,0.0006146024544432294,-0.04763850331306457,-0.00010662221786333247,AATF,0.0005828197656856004,0.0012654631566384937,0.0012125522605546198,0.649810822291572,0.8906082677426626,0.9956332098044727,0.9953028189911337,100
ABCA12,1.827694068197161e-05,0.15225687891244888,-0.0014075346550089308,ABCA12,0.0005760043631260956,0.006586919069974708,0.001281076628307375,0.5934957927762969,0.11520952046744026,0.9956332098044727,0.6778899691243614,100
ABCA13,0.00011631263318122365,-0.050114271640777586,0.0010317337006563322,ABCA13,0.0005305510073114526,0.00552419046330521,0.0011227950043531127,0.06522882486915194,0.8438714221391184,0.9956332098044727,0.9915574097000013,100
ABCA6,0.000515054106253956,0.009089799672365189,0.0007121320097940042,ABCA6,0.0005129729293937505,0.0038253953705569194,0.0011665442353738916,0.740984844585806,0.23710949631236045,0.9956332098044727,0.8218700045489098,100
ABCA8,0.0007577851516543888,-0.0009173771739006042,0.0004662509963964112,ABCA8,0.0005292728055220217,0.00472097490544297,0.0011907472001444822,0.6904047513402034,0.6585731621720606,0.9956332098044727,0.9695536858756627,100
ABCB1,0.0007861117969150655,0.09316060855984688,0.0016894123911333737,ABCB1,0.00054919792183035,0.004420845060292378,0.0012631127839656696,0.6987722787342461,0.2778825667330612,0.9956332098044727,0.8573730253034473,100
ABCB4,2.3598738844157198e-05,0.002723584473133087,-0.0006943747695186175,ABCB4,0.0005505424959067058,0.004079779506361151,0.0011394876085584747,0.46744511190973875,0.45795706696661714,0.9956332098044727,0.9317539511019678,100
ABCB5,-0.0005022129264580144,-0.05877659406512976,0.0005960578098893165,ABCB5,0.0005235960406286299,0.004677078848441198,0.0012961698232959325,0.6813510462794675,0.9343315471957436,0.9956332098044727,0.9953028189911337,100
ABCC11,-0.0009467266005231068,0.03887799441814423,-0.00017814579579862765,ABCC11,0.0005676492887527527,0.003940585341012833,0.001147566138628908,0.456426559151639,0.5833280208935935,0.9956332098044727,0.9653419473839144,100
