gene_name,oracle_score,suggested_perturbation,survival_score,label,oracle_score_se,suggested_perturbation_se,survival_score_se,oracle_score_pval_acat,survival_score_pval_acat,oracle_score_pval_acat_fdr,survival_score_pval_acat_fdr,k
388795,9.913599851927302e-06,-0.12088790699839592,-0.007819970036180166,388795,2.040327106213613e-05,0.0017588737331848605,0.0005963486723106589,0.5026518699876914,0.0075364086713344824,0.7180740999824163,0.10843753483934507,100
A1BG,1.1217832606007505e-05,-0.014389057457447053,-0.0010575287687970558,A1BG,2.2875520619289267e-05,0.0015950186997744416,0.000561834663675059,0.43696226021179896,0.3476390944688768,0.6790704216988268,0.7532808114168511,100
A2ML1,7.141625791291517e-05,-0.2909403394162655,-0.000310488224204164,A2ML1,2.2720552039423362e-05,0.003038233460774057,0.000681010941568049,0.09494890561428182,0.2513146514227841,0.43654669247945666,0.7020408621696478,100
AASS,4.6209072277463295e-05,-0.13251231670379637,0.0010739942349755438,AASS,1.995956395015793e-05,0.0015724583001079317,0.0005964079022057912,0.04190144581556815,0.9824511051750289,0.3866783359566582,0.9959996928899649,100
AATF,8.784664237282413e-06,-0.05243686139583588,0.0007936225311641465,AATF,2.1089992075030996e-05,0.0007403613301802577,0.0006174030803141578,0.35989608134627915,0.6883694347783473,0.6235126713404767,0.9117475957329104,100
ABCA12,-2.7578337735576497e-05,0.15041173480451106,-0.002712143928711157,ABCA12,2.2311446390279735e-05,0.0031209465519143158,0.0006674889449896115,0.43728098024751905,0.061801882517282025,0.6790704216988268,0.37455686374110314,100
ABCA13,7.884558699302603e-06,-0.05723393470048904,0.0009597870626021176,ABCA13,2.2411072066492066e-05,0.0031721512216120067,0.0006132906174116542,0.3776252801555071,0.9689050208495462,0.6366778083621981,0.9932393858016876,100
ABCA6,-1.2066916128787853e-05,0.006977556422352791,-0.00011170803350978531,ABCA6,2.3559957920854864e-05,0.0022523905866125866,0.0006423438649702368,0.7735777551268742,0.4551400397029754,0.9098030621665628,0.808921950391429,100
ABCA8,3.4395410457790374e-05,0.01801936239004135,0.00012441738137567882,ABCA8,2.1290895420548334e-05,0.0030365021091866918,0.0006448449388334402,0.7617924906667759,0.9136413998249853,0.9034335177737904,0.9895123370879215,100
ABCB1,6.41236482988461e-05,0.05501521706581116,-0.00024094305219477975,ABCB1,2.2380991875646923e-05,0.0023955436499319984,0.0006875369070131164,0.9822636233524786,0.3655221839633256,0.9983214057034462,0.758821944606706,100
ABCB4,-2.1589213968127297e-05,0.0006887219846248626,-0.00024146567935531493,ABCB4,2.1564521813652088e-05,0.0019232341651944772,0.0007328216018594391,0.1656818611918372,0.9724859668891677,0.49456991859056565,0.9933176086141478,100
ABCB5,0.00024782595392935035,-0.14709000758826732,-7.393382962618489e-05,ABCB5,2.216977127941413e-05,0.002724215671177845,0.0006243188804430091,0.00019974152014107238,0.3223853010672801,0.09209623563883884,0.7411156346374255,100
ABCC11,-3.0921796947041004e-05,0.01776533842086792,-3.1743586141601554e-05,ABCC11,1.998449946809534e-05,0.0021108542090725923,0.000627805372340036,0.8435125437655517,0.8091954540027481,0.9508349272409834,0.9601950098781358,100
ABCC1,9.752743345643466e-06,0.00047436952590942385,-0.0006268818523130904,ABCC1,2.4065051673280605e-05,0.0008744865859734742,0.0005354286228330193,0.03449752475428175,0.8094443933272685,0.3784922487874457,0.9601950098781358,100
ABCC2,1.8442542606180724e-05,-0.13317740932106972,0.003416990235036792,ABCC2,2.0586755261352488e-05,0.002606965850240402,0.0006770829069310648,0.2582528608129361,0.10221107117911488,0.552041971654256,0.4655792272681781,100
ABCC5,1.5985753100267176e-05,-0.04350681781768799,-0.00039153924302809173,ABCC5,2.2931846951868906e-05,0.0013330270672937904,0.0007213550099893169,0.02585485176874358,0.07508376083315743,0.34503492539380715,0.4160930359548906,100
ABCC6,9.322854801666835e-05,0.12168429031968117,0.0006510686067849747,ABCC6,1.7654067138280775e-05,0.0026535672165658845,0.0005854953101400419,0.6315794227639497,0.9408749600377598,0.8170497060335702,0.9895123370879215,100
ABCD1,4.880733852360208e-05,0.013771142363548278,-0.0011351112888223725,ABCD1,2.161192779894092e-05,0.0010249995902551557,0.0006898943631254964,0.11863878314211368,0.9070081595693034,0.46687013281010975,0.9895123370879215,100
ABCG8,1.5189958439805195e-05,-0.012597695775330067,0.0011695992096792908,ABCG8,2.0591576800896813e-05,0.0024662748465153306,0.0006238769467940663,0.5743868658589404,0.5168948622950741,0.7741062882195963,0.8323588764816008,100
ABHD12B,3.883337305524037e-05,-0.4619425222277641,-0.014748730179853738,ABHD12B,2.0871747513855343e-05,0.003181442497138475,0.0006557636833169032,0.055950804464687975,6.756544538516485e-05,0.40473875755412725,0.0029376280602245587,100
ABI3BP,3.5260551945839325e-05,-0.04654475972056389,0.000140518131574936,ABI3BP,2.161629074629413e-05,0.002105321738153012,0.0006822869936156023,0.3619851469328967,0.9852041621073471,0.6235126713404767,0.9966658190261477,100
