gene_name,oracle_score,suggested_perturbation,survival_score,label,oracle_score_se,suggested_perturbation_se,survival_score_se,oracle_score_pval_acat,survival_score_pval_acat,oracle_score_pval_acat_fdr,survival_score_pval_acat_fdr,k
388795,-1.1245685032008623e-05,0.014119563028216361,0.0005612438358912187,388795,3.894500798011883e-05,0.0011194108069770496,0.00021168293145767928,0.7767413840979438,0.39806583848131266,0.9976134685904573,0.8041734110733589,100
A1BG,2.8984393748032743e-06,-0.021179354339838027,-0.0009371185307600171,A1BG,4.58640913432968e-05,0.0010847769826322086,0.00021552231542622006,0.9458042967328616,0.8754008023042832,0.9976134685904573,0.9799652382392579,100
A2ML1,0.00039048577291396215,0.1517464779317379,-0.0028219199091108747,A2ML1,4.311769302384903e-05,0.002223302110430933,0.0002538106212380238,0.2035957091058065,0.007603558731001603,0.9976134685904573,0.06131902202420648,100
AASS,-2.7582609627074815e-05,0.005928167700767517,-0.00024046683058259077,AASS,4.627200737681329e-05,0.0008881141377106737,0.00022924714998426876,0.5144417095036202,0.8607929726948766,0.9976134685904573,0.9781738326078143,100
AATF,3.624889874686232e-05,0.01660489082336426,-0.00035127849241689546,AATF,4.246469707615276e-05,0.0004902988894001733,0.00021405341304206552,0.9345120158438072,0.6206880508084209,0.9976134685904573,0.925709248036422,100
ABCA12,0.0003443755780699576,0.19727524608373642,-0.002070666672054813,ABCA12,4.34622238987902e-05,0.002067647947926356,0.00022165499474139646,0.06967116661321954,0.05201151958548533,0.77844878897452,0.22613704167602316,100
ABCA13,-0.0007128369903148268,-0.11240563914179802,0.0020994520940439544,ABCA13,4.5686640757750335e-05,0.002145550663853303,0.0002291373021853703,0.011173749285598333,0.05504686903238759,0.34686334789175366,0.23625265679136304,100
ABCA6,-0.00017927931505255402,0.07056451320648194,-0.0006976677123293484,ABCA6,4.307527759226168e-05,0.0015736266560935394,0.00020435850346469403,0.7054204283489351,0.8190956600636274,0.9976134685904573,0.9681981797442405,100
ABCA8,0.00013379747004364618,-0.10654883429408074,-0.00037531033057348396,ABCA8,4.3510979306444716e-05,0.0015839622129757835,0.0001890020594419713,0.9042430053890533,0.6777997947243766,0.9976134685904573,0.9415015132336767,100
ABCB1,-6.111447601142572e-06,0.028986049592494966,-8.341344198925071e-05,ABCB1,4.1569974129787835e-05,0.0013740159929928274,0.00022592882611328398,0.5735753002395083,0.6757341728918278,0.9976134685904573,0.9415015132336767,100
ABCB4,-0.00010115293350736465,0.07065581783652305,0.00019799289024376775,ABCB4,4.517180597098908e-05,0.0014129442842090807,0.00024284646147355009,0.02094254633714293,0.512688879349072,0.460275743673471,0.8908581743685005,100
ABCB5,0.00015477909176297544,0.1062506178766489,-0.0006016599619397312,ABCB5,4.6752079020615154e-05,0.0015208570360339228,0.00022306844606919925,0.6000966406682897,0.14142338178007025,0.9976134685904573,0.44263969258237945,100
ABCC11,0.0003864387842077122,-0.03892868060618639,-0.001062121224058501,ABCC11,4.94957356497144e-05,0.001981536046323544,0.00023635487817933427,0.9333298749199312,0.660367257382566,0.9976134685904573,0.9399636760464682,100
ABCC1,4.246876432944191e-05,0.021247627735137938,9.916995173625765e-05,ABCC1,4.7457530671459415e-05,0.0006674119437474876,0.00022870003285569712,0.11195857348813387,0.6694067392148593,0.982610356281633,0.9402608716534852,100
ABCC2,0.0008150874315879264,0.21592818185687065,-0.007683394246269018,ABCC2,4.731008413420986e-05,0.0017533349431758296,0.00024248776160912478,0.04757197238272992,1.0925349402945983e-07,0.6771883424254568,6.621423880573323e-06,100
ABCC5,-2.8776081210253322e-05,0.13319204419851302,0.000516198266061565,ABCC5,4.408009612364821e-05,0.0008351607067074043,0.0002451842102745076,0.5812302197320416,0.7627751294108358,0.9976134685904573,0.9521476062128822,100
ABCC6,7.59690461018181e-05,-0.14280073523521422,-0.0026466237780914527,ABCC6,4.187321261961442e-05,0.0017193268557828627,0.00025379431829491116,0.624718998452348,0.04390120518804058,0.9976134685904573,0.2013816751744981,100
ABCD1,7.08374562964309e-05,0.05773496806621552,-0.00025040609004918225,ABCD1,4.015547204785635e-05,0.0006785909730028273,0.0002188349189781147,0.6997845527004382,0.1792123502046853,0.9976134685904573,0.5187043421264408,100
ABCG8,-0.00014106800705803834,0.10235075984150172,0.001743073185934918,ABCG8,4.533711571712654e-05,0.0015410609332656125,0.00023435985460832357,0.10754750605965996,0.2177640694600767,0.973280597824977,0.5889504649338453,100
ABHD12B,4.613032650013338e-05,0.09572351463139057,0.0023763170431629985,ABHD12B,4.1862806222522546e-05,0.001487154089681348,0.00020229784770884563,0.6133910052667756,0.05534540820361883,0.9976134685904573,0.2370253027992241,100
ABI3BP,6.647630803399807e-05,-0.0365701599419117,-7.700771178861033e-05,ABI3BP,4.405544044073512e-05,0.001357664788135602,0.0002530182347388171,0.6389322650860165,0.5917917620083263,0.9976134685904573,0.9170823030615979,100
ABP1,7.755142975383933e-05,0.07619503490626812,-0.0010957575623433513,ABP1,4.8903513343463904e-05,0.0021666316529839356,0.00022934402973824583,0.8319661081710303,0.9310360469097267,0.9976134685904573,0.9894113144630465,100
ACAA2,-8.025403188298697e-05,-0.03091148257255554,-0.0004603730234521208,ACAA2,3.925633718428946e-05,0.0007790567350683377,0.00023764143408818193,0.6030837916179274,0.6052235124991322,0.9976134685904573,0.9211925608814797,100
ACAD11,2.3595295078848722e-05,-0.006346063017845154,-0.00019117880658086505,ACAD11,4.1272072999199446e-05,0.0010410715039634137,0.00021995692476731938,0.8753643345984747,0.5160940708997642,0.9976134685904573,0.8936693868394185,100
ACADSB,-1.2066912499903993e-05,0.015812321305274962,0.00014020042237532947,ACADSB,4.048458285514544e-05,0.0008467200033975997,0.00021201605339062467,0.4447329923968861,0.7513202667370039,0.9976134685904573,0.9521476062128822,100
ACAN,6.378047639373108e-05,0.05072243794798851,-0.00021804227226311922,ACAN,4.336422113362009e-05,0.0010155670102798445,0.0002290902190713567,0.7226715375525291,0.8518518938775597,0.9976134685904573,0.9756651042259386,100
