gene_name,oracle_score,suggested_perturbation,survival_score,label,oracle_score_se,suggested_perturbation_se,survival_score_se,oracle_score_pval_acat,survival_score_pval_acat,oracle_score_pval_acat_fdr,survival_score_pval_acat_fdr,k
388795,-6.962824359561637e-05,0.004695557467639447,0.0007927967941213865,388795,2.876836699928018e-05,0.000877357546046344,0.00019997163506103795,0.7941641583746053,0.5345074674851431,0.9167034788092949,0.7597831805048232,100
A1BG,-4.322843242334784e-05,-0.016477247625589372,-0.0002596802919288166,A1BG,2.9726713510731323e-05,0.0008707208620769272,0.00020140562066939282,0.09330247626636934,0.26358109726911827,0.30491005315806974,0.5075899227211814,100
A2ML1,-0.0005899279218465381,0.154386318475008,-0.0023967370733589633,A2ML1,3.1099887861141766e-05,0.0018328775643899088,0.00020213140354120325,0.0009457849549572295,0.020900462498446015,0.013511213642246134,0.08837404861922206,100
AASS,3.993978410790078e-06,-0.0005700314044952393,4.608473287589731e-05,AASS,3.2651370165083443e-05,0.0008149089951181493,0.0002151845830823288,0.2883417488939405,0.23073074973351965,0.5430164762597749,0.46726251810235075,100
AATF,-1.5339107130785122e-05,0.022052074670791625,-0.00032812491475851856,AATF,2.8740783050350238e-05,0.00044692049229229033,0.00019118421048470703,0.2442609128869606,0.4105268625721337,0.4998409829582451,0.6565825964815019,100
ABCA12,-0.0003018326420442463,0.21848486438393594,-0.0021196505544321554,ABCA12,2.6531471440487598e-05,0.0017402985146980445,0.00018383303424346698,0.04658953174706526,0.005858625120481742,0.1969959059072527,0.032696503200182817,100
ABCA13,0.0006547454989049583,-0.12975410088896752,0.0027079323108046083,ABCA13,3.145374869716939e-05,0.002014239842943792,0.00021170919787280367,0.00011840918683714285,0.001002163709183601,0.002597964691728771,0.009152179992544302,100
ABCA6,0.00011106567503702536,0.06883957639336585,-0.0002349955005593074,ABCA6,3.077206511690766e-05,0.0012733357085610369,0.00019046288349474873,0.9706160116052402,0.2526443318498107,0.9939744102460217,0.49508294303735084,100
ABCA8,-0.0002480471727994882,-0.13119910642504692,-0.0005353939461929258,ABCA8,3.145678683926755e-05,0.001329547566332771,0.0002103757497816404,0.012193640724579236,0.6674524458493616,0.08822912629832098,0.8475586613960148,100
ABCB1,-1.0079351422973559e-05,0.0037379947304725645,0.00036377199645357903,ABCB1,2.8202062446055426e-05,0.001412889601905906,0.00019282693099765088,0.5921021140762084,0.5004568058953056,0.7855311645910815,0.7316619969229614,100
ABCB4,2.715293019264209e-05,0.0638652005046606,-4.5357541639532426e-05,ABCB4,2.8990397123239582e-05,0.0012448322422813564,0.00017584319675008128,0.692902285115828,0.6863522311254882,0.8607481802681092,0.8580096771184162,100
ABCB5,-0.00016026455806240848,0.10476050451397896,-0.0005535515440715244,ABCB5,2.885910858943115e-05,0.001228727215040784,0.00018736526677004973,0.10118638357360127,0.8611605841616257,0.3212266145193691,0.9430503213653577,100
ABCC11,-0.0003481111675228021,-0.07172484070062637,-0.0013276206755836028,ABCC11,3.209175744821003e-05,0.001450162352580658,0.00018619956818198511,0.019928650762123024,0.3229150422623294,0.1169002109827527,0.5745819257336822,100
ABCC1,-5.4686018456777676e-05,0.013595306873321533,0.00017360423924401403,ABCC1,3.1825105146265434e-05,0.0005996510943000598,0.00020360835500006668,0.199168275360248,0.7793014779794771,0.4517769474172784,0.8983302339821061,100
ABCC2,-0.00091664463019697,0.21475669726729393,-0.008217548946850001,ABCC2,3.192633639463367e-05,0.0015238812723164738,0.0002070946440327015,3.559486252413535e-07,3.7246239148469584e-08,2.3729908349423567e-05,1.4055184584328145e-06,100
ABCC5,-0.00016590254692346206,0.12970729142427445,0.0004701649893104332,ABCC5,3.1286602048450805e-05,0.0006734845167872006,0.0001722203257210286,0.13218681519645137,0.8680183818002172,0.3686226931102439,0.9472239626742324,100
ABCC6,-0.0001334814333642953,-0.15039408028125764,-0.0019377191942476202,ABCC6,2.735451243289655e-05,0.0012598141528350315,0.00017248462127095307,0.08835195517167538,0.029548835266576312,0.29450651723891796,0.11343122943023536,100
ABCD1,-9.502965352567116e-05,0.06442629992961883,4.716378467492177e-05,ABCD1,3.1141339865142464e-05,0.0006474203975357604,0.00016656298196894036,0.09314678887217676,0.9111807509742442,0.3048994725766833,0.9662574241508423,100
ABCG8,-8.049257754919381e-05,0.10447337411344051,0.0022655952867353334,ABCG8,2.5301221963421083e-05,0.0013658413015001781,0.00017010073434080302,0.8207252205249369,0.03753886705446863,0.93032797619347,0.1362572306877264,100
ABHD12B,-0.0001316602914721443,0.10992205388844013,0.0028925947965035446,ABHD12B,3.0780214096023916e-05,0.0014532019637938372,0.00018171637617721945,0.25723743301449875,0.006580968179541735,0.5155058777845667,0.03547691740992849,100
ABI3BP,-4.117914422295144e-05,-0.03300968706607819,0.0002689135945911403,ABI3BP,2.765208714774489e-05,0.0011218789978730262,0.00019430085382175752,0.5603915381416146,0.4380322406048857,0.7624374668593396,0.6833576296488076,100
ABP1,-7.002344905231439e-05,0.09832336813211441,-0.0008674585270637181,ABP1,2.974710744852101e-05,0.0016196818781797483,0.0001937579901055143,0.2295654846011853,0.21624606139397545,0.4852343873009325,0.4533460406582295,100
ACAA2,2.182156476919772e-06,-0.029839395880699157,0.00021513615552976262,ACAA2,3.0718355766199743e-05,0.000737428820864226,0.00018261223653497454,0.48451580751905077,0.6301427427848121,0.7021968224913779,0.8297457020809765,100
ACAD11,-1.365772486451533e-05,-0.006923970580101013,-3.9025064761517566e-05,ACAD11,2.820327935494205e-05,0.0008872359424047692,0.00019633460591201145,0.535946980343664,0.9644255420045684,0.7479008077870002,0.9820868319605774,100
ACADSB,9.434262547074467e-06,0.021452037394046785,0.00032616542281175496,ACADSB,2.7888164633682644e-05,0.0007730823810028734,0.00019330000926179463,0.7149631167509395,0.7342739423083251,0.8703329572244752,0.8837312028552615,100
ACAN,-6.15921157077537e-05,0.0561370200663805,-0.00019063028592427144,ACAN,3.007713723585731e-05,0.0009140843694656203,0.00019955939791667718,0.5957132007233966,0.4970262761269367,0.7864200669615797,0.7299677425397414,100
