index,UMAP_1,UMAP_2,state
5448,12.177813,6.346173,start
5301,9.154177,6.9478416,start
5951,10.847277,5.646006,start
5246,7.2235107,3.55686,start
5841,12.839785,7.166265,start
5008,10.087451,4.6107473,start
5833,9.409709,5.252687,start
5672,8.393638,7.1955867,start
5657,12.208646,7.9319572,start
5007,11.074715,5.3938303,start
5012,10.271383,6.845325,start
5870,10.796988,3.201429,start
5024,13.673568,5.8278866,start
5760,12.675831,6.086803,start
5333,10.357983,4.186704,start
5570,10.839307,4.90817,start
5241,9.974468,2.6754575,start
5397,8.470906,7.321505,start
5981,8.550108,6.016486,start
5046,8.56251,6.7200823,start
5096,7.069347,3.9526105,start
5897,9.266445,7.6106563,start
5256,8.917874,3.4958487,start
5080,13.405192,6.025153,start
5973,11.432857,7.7639875,start
5619,12.032594,8.534228,start
5361,6.8602476,3.0188644,start
5401,9.422691,3.1103292,start
5784,13.499676,6.337457,start
5105,12.096642,6.652683,start
5485,12.761678,4.699301,start
5913,10.898912,7.1072836,start
5503,11.336183,8.568361,start
5987,9.188491,5.146302,start
5916,10.443419,2.7001917,start
5076,8.18244,5.896301,start
5263,9.885017,7.695639,start
5527,6.424237,4.1633844,start
5363,12.032327,7.18516,start
5186,11.638961,8.651763,start
5015,10.242952,5.8102007,start
5289,10.711687,7.841092,start
5145,11.6119,4.8565125,start
5119,12.326535,5.3694677,start
5685,9.900055,8.2953205,start
5223,7.864033,5.198252,start
6064,8.123108,6.3989506,start
5873,10.646571,5.312511,start
6092,9.695853,6.239358,start
5560,12.358865,5.9316926,start
5796,11.064264,5.604925,start
5946,8.418036,6.090992,start
5971,12.117525,5.3056884,start
5641,12.7613,5.45933,start
5282,7.7399917,6.512822,start
5408,9.4157915,4.0135117,start
5279,7.509661,3.25321,start
5020,11.393696,8.075891,start
5807,5.803469,5.729296,start
5208,10.521896,2.5860362,start
5549,9.3370905,5.448277,start
5801,7.286173,8.201425,start
5402,10.821865,6.6602726,start
5542,10.903767,3.0814545,start
5342,8.105797,7.4731207,start
5710,12.314142,5.244303,start
5939,9.775093,2.815938,start
5239,10.209224,7.4725337,start
5537,10.268673,5.0474124,start
5849,6.7249374,6.437369,start
5519,9.61791,7.3076606,start
6050,12.908229,6.5293756,start
5108,7.752365,5.47286,start
5766,6.0494184,7.5779676,start
6068,8.97695,2.828608,start
5443,13.57127,7.7267103,start
6020,7.2600484,5.1211686,start
5244,5.8174186,6.490478,start
5879,10.813726,5.8865843,start
5179,6.27029,7.9224086,start
5233,8.946426,4.518607,start
5138,7.8023396,6.7666373,start
5424,11.136915,3.282451,start
5918,10.433028,3.8776355,start
5828,13.613678,5.6262584,start
5305,11.470438,3.4492416,start
5381,10.997977,5.2427187,start
5836,9.681651,4.021037,start
5629,11.49823,3.6093736,start
6087,8.919258,6.9871364,start
5595,7.982504,4.054034,start
5066,12.775799,6.0325637,start
5743,10.862731,8.960987,start
5647,5.5429,5.2541447,start
5029,7.7576375,2.82097,start
5728,11.233608,4.3648825,start
5961,6.3729515,7.180551,start
5737,10.589205,9.126675,start
5422,7.7514277,6.994819,start
5087,8.9001875,5.5881596,start
5429,10.952188,3.5939815,start
6052,7.8222494,7.746141,start
5213,13.208824,7.7040977,start
5114,5.5772204,5.9012403,start
5898,12.425015,4.0953417,start
5069,11.541182,7.625721,start
5232,12.142648,4.0747848,start
5696,11.198735,3.0985725,start
5081,8.826701,6.0501714,start
5980,8.101025,6.155435,start
5917,11.112651,7.4758334,start
5905,13.564214,6.4620967,start
5698,8.575412,3.2159224,start
6079,6.7700644,5.0502224,start
5822,11.685802,5.821483,start
5646,8.975534,4.5752068,start
5214,9.906372,3.8954132,start
5366,10.563856,6.861285,start
5297,9.796309,8.078116,start
5998,11.301018,3.3976676,start
5969,8.865835,6.9447494,start
5532,8.249084,8.470507,start
5837,11.949157,5.040826,start
5508,8.087919,7.0005274,start
6075,7.2905293,5.5864735,start
5910,8.248208,5.322549,start
5126,6.4260445,4.956257,start
5446,13.933603,7.139622,start
5995,10.27752,3.88499,start
