index,UMAP_1,UMAP_2,state
4115,4.0700126,0.063226216,start
4149,4.5124545,2.311171,start
4332,5.177861,2.24046,start
4269,7.9877687,3.6463687,start
4176,2.676387,5.1450815,start
4233,7.110246,7.075015,start
4163,3.999031,4.939518,start
4452,4.7059727,5.46518,start
4625,1.8372515,5.8745656,start
4426,3.2401564,7.2940245,start
4370,4.8830147,3.321025,start
4552,6.7417526,-0.042692292,start
4259,3.1760123,3.5069072,start
4413,3.1113353,3.3047051,start
4434,7.342371,4.8518233,start
4604,5.0629563,4.4778805,start
4334,6.327715,0.5745597,start
4600,6.2626543,6.631158,start
4449,4.022624,7.608202,start
4631,3.1063204,5.879,start
4105,8.1160555,6.443636,start
4443,6.9497604,1.7409692,start
4401,5.2609005,-0.17101033,start
4381,7.4072003,0.7370614,start
4383,1.6128399,4.355834,start
4472,3.1811814,3.6586423,start
4417,6.5925922,2.8124964,start
4394,7.0430655,1.0329067,start
4327,6.1817684,3.6429172,start
4114,7.15626,5.8305783,start
4459,3.8577497,2.4687052,start
4145,2.3397126,5.5667295,start
4151,1.8905714,5.4773207,start
4302,2.3702087,2.5705838,start
4138,5.036092,1.2696805,start
4602,4.903077,0.06971162,start
4468,3.2095287,4.74159,start
4292,4.9503937,4.087985,start
4437,4.857434,1.374135,start
4216,1.3084068,4.9964,start
4541,4.6341224,3.765018,start
4286,2.7462037,4.0628223,start
4295,4.0521197,3.4524665,start
4578,5.3010163,2.8327289,start
4611,4.597815,5.3183203,start
4457,4.5524373,-0.42676133,start
4466,7.7729588,3.2979176,start
4630,8.041577,5.5074906,start
4544,1.652931,5.266451,start
4317,2.5487964,1.4547629,start
4427,3.7469769,4.4313374,start
4288,2.5266585,6.759405,start
4142,3.5150187,5.1425004,start
4127,3.317605,2.1483274,start
4629,2.6512208,2.1814814,start
4442,7.958205,3.6671243,start
4337,7.470991,6.1947665,start
4444,3.187459,7.0291166,start
4128,4.506295,7.4038305,start
4330,7.53706,0.31109506,start
4428,6.951812,2.5588484,start
4144,4.3858523,0.2718244,start
4454,7.041817,3.3026,start
4365,3.9440715,0.74261,start
4146,4.833064,4.777296,start
4566,5.0845103,3.816035,start
4140,4.4523425,0.141228,start
4099,4.1489887,1.1449479,start
4430,5.2535872,3.6205063,start
4278,3.921413,7.786887,start
4247,3.6106005,0.27518263,start
4433,3.8770454,1.756235,start
4139,3.3809783,1.5042173,start
4122,6.3452663,7.427178,start
4393,5.4317575,-0.10602586,start
4270,3.8889222,6.998367,start
4172,2.78709,7.5228314,start
4509,5.832215,6.7600675,start
4290,5.0546813,6.9087763,start
4152,5.643789,6.874398,start
4450,6.9224534,0.36965975,start
4396,3.4296286,7.8541546,start
4255,5.0361814,6.2895207,start
4322,4.673069,1.9891042,start
4340,4.6928277,2.5916157,start
4342,3.9626803,1.8905985,start
4455,5.315169,5.248432,start
4545,8.772498,6.1984696,start
4336,3.6273043,4.5816865,start
4217,3.682983,5.656323,start
4308,5.71833,5.2241893,start
4607,1.832506,7.1466165,start
4616,7.360924,5.6985974,start
4458,7.7705655,0.2606387,start
4321,7.826877,1.7295647,start
4324,5.875157,0.22999328,start
4117,6.7314754,0.860097,start
4435,2.3063855,6.029533,start
4445,7.483587,1.4809799,start
4353,8.040886,2.1852689,start
4131,7.8402953,3.7034097,start
4287,5.106775,-0.23699978,start
4213,2.5296803,6.2094607,start
4558,8.585968,4.0936894,start
4212,7.901197,1.7506357,start
4416,2.6051955,5.982784,start
4619,6.6164093,0.13019456,start
4276,3.413504,7.087284,start
4208,6.039694,7.2393956,start
4624,3.8322453,2.5872133,start
4620,3.2687476,5.8577495,start
4612,5.042447,5.2384686,start
4456,7.9107656,2.6857686,start
4338,7.6248126,6.9144025,start
4398,2.2882843,1.8684253,start
4159,6.057091,2.1039522,start
4126,5.4269385,6.139068,start
4108,4.909302,4.412706,start
4525,1.0991164,5.146199,start
4209,7.567861,1.354256,start
4173,4.0686526,0.5384632,start
4543,3.4452276,0.53662556,start
4521,2.835936,3.0578766,start
4246,4.2651815,4.9703546,start
4256,6.6511817,4.226457,start
4568,5.530561,3.4298313,start
4609,6.95441,5.589323,start
4314,4.906824,-0.25450826,start
4389,7.044487,1.4471511,start
4531,6.285757,0.97026324,start
4301,7.775624,1.3402721,start
4409,5.491443,5.5807223,start
4356,6.713607,0.45769867,start
4300,1.8545544,6.2964473,start
4469,7.382894,4.9942102,start
4274,2.5901022,2.3215914,start
4547,5.488942,2.9970617,start
4293,4.782379,6.960278,start
4529,8.011038,3.881926,start
4461,5.7940173,4.055652,start
4272,2.6382375,1.8345692,start
4343,5.9973474,5.7729006,start
4439,5.0974145,5.205885,start
4440,4.9746294,7.7067685,start
4116,3.5735176,0.86353266,start
4571,1.9853489,4.8060184,start
4446,6.983434,0.057208978,start
4166,4.9928265,2.433776,start
4606,5.3085523,1.2040223,start
4311,6.445434,5.4597893,start
4147,7.0105753,2.4271874,start
4523,2.8925037,1.9495277,start
4626,7.4712524,2.8465717,start
4481,2.2000167,6.234026,start
4410,4.9964533,4.417532,start
4263,2.1925018,3.159453,start
4447,6.7199073,3.2831898,start
4608,8.031328,0.5724561,start
4512,7.7793727,0.8334756,start
4475,1.5928504,3.9634445,start
4101,4.8429,-0.115167074,start
4473,6.0648847,6.1564193,start
4109,8.577338,2.532374,start
4548,7.0258656,0.9508998,start
4498,8.280257,5.1598988,start
4267,4.230553,5.487635,start
4328,4.0649877,3.953021,start
4245,6.5013475,0.4635409,start
4397,6.545778,7.215629,start
4411,5.2083235,3.6418056,start
4169,3.9202926,1.5187888,start
4262,5.0987067,6.538745,start
4291,6.304481,3.1901166,start
4463,6.8741093,5.6553802,start
4284,4.3774476,2.5220406,start
4387,7.250735,4.624361,start
4453,2.2519448,4.082617,start
4113,3.1182292,1.2777059,start
4415,2.056194,6.6527877,start
4143,5.1168656,3.487713,start
4377,4.48195,4.0330906,start
4420,6.7139125,1.5467837,start
4275,2.2886832,7.8808217,start
4610,2.184784,7.7880487,start
4419,3.8615663,7.3383703,start
4402,6.4195223,3.0735908,start
4304,4.3943834,4.2100835,start
4346,3.3412192,3.6997528,start
4134,7.337759,6.498037,start
4350,6.394619,1.1066904,start
4112,3.12719,6.4850307,start
4557,4.1398544,2.608786,start
4312,3.6170657,7.3240666,start
4399,1.0708543,5.5961084,start
4474,3.6580422,2.028979,start
4374,5.2501936,-0.4630974,start
4326,1.6082752,5.8428454,start
4136,6.8244886,6.784302,start
4496,8.560188,4.9082923,start
4242,7.168744,7.2125645,start
4120,7.1742334,3.4390604,start
4154,3.27599,3.7686756,start
4574,1.5215881,5.3295765,start
4323,5.865459,5.086177,start
4271,4.2372575,1.4343868,start
4177,8.056257,2.987239,start
4137,4.372807,1.6520078,start
4265,3.526991,2.5047739,start
4161,7.2062364,4.6201887,start
4135,4.40393,1.8480873,start
4462,5.7020664,4.1519966,start
4104,4.1272297,7.992994,start
4553,7.862178,0.8721011,start
4174,6.4018073,2.238565,start
4395,6.6752143,5.8642607,start
4465,2.0372164,7.5974474,start
4360,8.665926,1.6590396,start
4618,8.572226,5.5693007,start
4141,4.6588073,4.164184,start
4467,6.2824206,7.050083,start
4339,5.5542507,4.3509927,start
4438,4.882607,4.771332,start
