index,UMAP_1,UMAP_2,state
5448,1.670929,3.9597702,start
5301,4.092319,1.8915706,start
5951,4.2256174,4.0767646,start
5246,6.265386,5.5113764,start
5841,-0.08432268,2.037307,start
5008,3.7095373,4.6567225,start
5833,4.3893423,4.3298836,start
5672,5.250726,1.7567931,start
5657,0.29011497,1.8530593,start
5007,1.7738937,3.8639767,start
5012,3.495002,2.6463485,start
5870,2.5108273,6.739812,start
5024,-0.72657084,4.5061216,start
5760,0.9637492,3.8293636,start
5333,2.855915,5.4746017,start
5570,2.6749442,4.8482823,start
5241,3.9528608,7.114051,start
5397,4.2253814,1.9245185,start
5981,4.4561515,3.0172892,start
5046,3.455898,1.8068724,start
5096,6.4788365,5.6666102,start
5897,2.8027112,1.2135732,start
5256,5.478713,6.5028734,start
5080,-0.9220582,4.5818257,start
5973,0.39290878,1.7362475,start
5619,0.080583885,1.237991,start
5361,7.305615,4.521204,start
5401,6.3232226,3.5752838,start
5784,-0.98139364,3.3584259,start
5105,1.86694,3.51082,start
5485,1.013569,5.2392964,start
5913,2.0383143,2.181322,start
5503,0.2565851,0.4471036,start
5987,4.056198,4.1003394,start
5916,2.8603878,7.2440643,start
5076,4.5762963,2.8275917,start
5263,3.0592167,1.2926062,start
5527,5.9674473,4.283037,start
5363,1.3660545,2.4410737,start
5186,0.944356,0.074044876,start
5015,3.1297138,3.451307,start
5289,2.75378,1.1164283,start
5145,0.75840193,5.2809167,start
5119,0.91763407,4.0477543,start
5685,2.0496783,0.42353278,start
5223,5.377964,4.22877,start
6064,4.6816363,2.2461767,start
5873,2.947597,4.3316503,start
6092,1.7391881,2.9691355,start
5560,0.6583969,3.9506278,start
5796,0.78497434,3.703356,start
5946,3.8012369,2.9756112,start
5971,0.69568187,4.545277,start
5641,0.24447227,4.8356895,start
5282,4.429375,2.28986,start
5408,3.4248261,5.927255,start
5279,6.4682307,4.482947,start
5020,1.0743289,0.7781149,start
5807,7.153144,2.9615886,start
5208,2.4689698,6.6875567,start
5549,4.3134565,4.5373845,start
5801,5.2296658,0.21713616,start
5402,2.7894294,2.5964987,start
5542,2.0264149,6.624554,start
5342,4.2970924,1.9348035,start
5710,0.5061958,4.686826,start
5939,4.1409273,7.069388,start
5239,2.445603,1.8606273,start
5537,2.268509,3.918718,start
5849,6.9445353,1.8252472,start
5519,2.6410325,2.3483543,start
6050,-0.14293163,2.5316527,start
5108,5.986147,3.11404,start
5766,6.8571916,0.5631916,start
6068,4.804877,6.6802526,start
5443,-0.9241545,2.4234247,start
6020,6.2596707,4.1483145,start
5244,7.286631,1.494175,start
5879,1.5339845,3.407882,start
5179,5.093809,0.6547403,start
5233,4.7527595,4.696318,start
5138,4.7678494,1.3211262,start
5424,3.1694405,7.1838007,start
5918,3.1801248,6.9174395,start
5828,-0.7921854,4.490156,start
5305,2.060449,6.9795313,start
5381,2.0542738,4.218357,start
5836,5.110302,5.755812,start
5629,1.6376145,6.3211823,start
6087,4.204197,1.9292558,start
5595,5.271585,3.9108472,start
5066,0.35614598,3.2228656,start
5743,0.63187265,0.7819327,start
5647,8.42118,3.4817681,start
5029,6.415817,6.563844,start
5728,2.2376385,5.7722106,start
5961,6.313828,2.0784595,start
5737,1.5643828,0.6267616,start
5422,5.570473,2.056711,start
5087,4.858519,3.2827816,start
5429,3.6926968,6.775881,start
6052,3.154515,1.1898087,start
5213,-1.2561274,2.7231605,start
5114,8.2056,2.9809775,start
5898,0.80320716,6.589271,start
5069,1.0782082,0.78828174,start
5232,-0.6173729,5.194167,start
5696,2.3244507,7.3046246,start
5081,4.5181994,3.5198603,start
5980,4.4754844,2.7341356,start
5917,1.8838497,1.812787,start
5905,-1.0608855,3.8462534,start
5698,5.7403903,6.8823013,start
6079,6.827892,2.9945662,start
5822,0.7644715,4.0709596,start
5646,4.1349306,4.793647,start
5214,3.6151378,6.2745337,start
5366,2.2481813,2.7295253,start
5297,2.0703375,0.9524118,start
5998,2.0525978,7.44593,start
5969,3.6604257,2.4785492,start
5532,4.5897894,0.18383552,start
5837,0.91150063,4.9978123,start
5508,5.5645576,3.2957242,start
6075,6.528311,3.0798721,start
5910,5.1072693,4.0476284,start
5126,6.1483574,3.4737694,start
5446,-0.5034364,3.2800536,start
5995,4.053736,6.185445,start
5268,5.920262,0.9418433,start
5510,5.26717,5.0068283,start
5677,0.21355507,5.409956,start
5109,5.641406,4.1046505,start
5625,5.227548,1.2818267,start
5434,6.2195086,3.8619864,start
5965,1.1193634,4.108556,start
5767,4.535996,0.96641964,start
5651,1.5623312,0.9859506,start
5608,3.7456906,4.0879283,start
5626,7.2477527,2.629986,start
5716,1.0302935,3.5600336,start
5638,5.134938,6.3702884,start
5133,6.920317,1.4215301,start
5068,1.7113507,2.733385,start
5777,2.6137676,4.3365364,start
5150,3.303881,0.0013201911,start
5791,6.9723506,3.42285,start
5349,2.9270227,2.3603647,start
5336,3.0084915,6.3435855,start
5221,6.278569,5.949483,start
5023,-0.02766202,3.6253843,start
6010,1.2974111,6.1964006,start
6070,3.160132,3.8162224,start
6081,3.5818617,2.9917166,start
5776,3.8423195,3.3258047,start
5684,0.63993835,1.5147063,start
5768,8.389082,3.7113683,start
5789,0.7547863,6.6067777,start
5407,5.8879504,5.8266463,start
5132,-0.20253034,3.726354,start
5033,2.2710946,5.7925625,start
5092,3.0552642,0.49055937,start
5476,1.906277,6.509281,start
5418,5.801181,6.843213,start
5896,7.070536,3.4439576,start
5704,6.411025,0.37821308,start
5725,2.1783805,6.033405,start
5300,6.12701,3.3037539,start
5147,3.0886247,1.4595792,start
5757,4.035671,5.9629173,start
5353,4.401957,3.870883,start
6047,4.5633497,4.6166444,start
5960,6.2426662,6.696231,start
5614,3.2179224,4.234923,start
5904,-0.7468885,2.602639,start
5430,1.8914517,6.395057,start
5719,0.98300296,4.7028356,start
5273,0.89785117,3.3931947,start
5149,0.11779781,3.282812,start
5847,2.4478493,6.337725,start
5974,0.14289838,4.484178,start
6031,8.103262,3.2439654,start
5808,7.0304966,1.2733446,start
5308,1.6459169,1.2363743,start
5618,3.194357,3.0260787,start
5976,5.904236,6.1806035,start
5219,1.9881408,6.9152308,start
5702,-0.5025329,2.002462,start
5945,6.0418725,3.0328794,start
5640,2.603727,4.580116,start
5514,3.934942,4.3171773,start
5082,5.941293,2.616563,start
5283,3.2708974,2.2467382,start
5901,3.3254938,0.15454136,start
5730,1.1237054,1.9998008,start
5600,4.841659,1.7747377,start
6011,2.4731746,0.81801385,start
5701,3.0405116,0.6143899,start
5881,1.449787,6.1471357,start
5165,3.5283666,1.5217392,start
5285,7.2896585,1.8518794,start
5396,5.257378,0.1054181,start
5929,-0.56704116,5.4823675,start
5164,6.9220047,3.9623134,start
5456,0.71337956,0.76109755,start
5130,5.426545,6.284488,start
5832,-0.8718065,3.8478014,start
5318,5.1228375,-0.11758832,start
5078,6.3622613,3.9370606,start
5903,0.35713002,4.8717737,start
5891,2.8864808,6.911663,start
5393,1.6554459,6.842759,start
5735,5.5452433,4.0436344,start
5683,0.35501745,1.2408282,start
5622,7.0964375,1.137751,start
6053,-1.1963748,2.001561,start
5258,0.9890254,6.579509,start
6049,2.9986396,5.636387,start
5756,5.9320283,4.6423597,start
5047,4.41159,4.274118,start
5065,0.5148099,2.6374116,start
5516,0.84507287,5.0200605,start
5338,0.97946644,6.274306,start
5924,-0.48110288,2.0554461,start
5054,1.6471955,1.473808,start
5264,-1.4961162,3.4285746,start
5391,7.365616,0.8370009,start
5155,1.5134915,4.715065,start
5854,3.5645351,6.3460226,start
6045,0.15666075,2.2274685,start
5134,0.61704594,5.9944434,start
5708,4.1378064,-0.14633702,start
6094,1.0813228,0.4320857,start
5754,5.384195,2.1881313,start
5420,7.448833,3.19159,start
5004,2.7666452,0.19524634,start
5444,6.300721,3.3645847,start
5654,4.6039224,2.3171844,start
6019,2.4386392,7.589624,start
5097,1.6751482,2.3136444,start
5192,4.7421174,3.9727302,start
5637,-0.85817933,4.996308,start
5089,7.596883,2.5448215,start
5359,5.4927945,0.71645564,start
5984,-0.4720522,4.7831373,start
5479,7.2169504,3.651889,start
5851,6.276274,5.58464,start
5809,4.9975743,5.966291,start
5554,4.8627567,4.288208,start
5426,6.9287324,3.519218,start
5310,3.5078754,1.713676,start
5802,5.2270145,4.232115,start
5286,5.638676,7.0173445,start
5191,6.7636223,3.4563742,start
5311,-0.79748636,4.4861646,start
6021,4.472052,6.0035744,start
5193,1.2157953,4.6390343,start
5781,-0.5467086,2.1354904,start
5667,3.8549294,1.6517051,start
6058,-0.5945256,2.4446514,start
5890,6.4266396,1.7073269,start
5927,-0.6321735,2.4680233,start
5288,2.1939235,3.766984,start
5738,5.7057524,0.24438103,start
5280,-0.9918006,3.8646874,start
5563,1.3198565,3.5927029,start
5116,0.027408712,6.019249,start
5141,0.7196626,1.804291,start
6078,7.0965004,1.7581632,start
5099,7.5583196,2.9210327,start
6080,0.8653836,6.296012,start
5840,1.6122634,4.9414706,start
5162,-0.89549285,3.6427646,start
6072,8.067958,3.3288927,start
5323,0.9276731,5.5684137,start
5079,1.6349673,6.6078186,start
5287,4.5241323,5.2618833,start
5900,4.21223,7.4213448,start
5955,3.138639,3.358814,start
5052,0.92178667,1.1776167,start
5113,0.53857505,5.095943,start
6018,0.6272788,4.6861157,start
5845,6.5353518,5.1851473,start
5091,0.5209156,6.0355854,start
5497,2.8890717,4.34342,start
5169,1.3612632,4.843923,start
5713,1.2537522,4.7224073,start
5146,3.102878,0.15371895,start
5370,0.88145065,0.4683061,start
6015,2.383399,2.902281,start
5582,2.03354,7.109435,start
5787,3.7565405,1.5030695,start
5507,-0.5166524,2.7285488,start
6023,-1.0600628,3.308114,start
5606,2.1300895,5.5664077,start
5021,2.7223024,4.1725273,start
5106,4.502523,1.324702,start
5761,0.13406554,5.901232,start
6036,2.3738549,2.2398458,start
5112,3.5543275,0.5753609,start
5317,2.2912076,4.0936894,start
5205,-0.57893956,3.5381076,start
5569,4.951832,4.894002,start
5129,-1.4827777,3.678368,start
5813,2.8641553,3.3906076,start
5551,4.641182,6.676042,start
5062,7.293848,2.7493758,start
5392,5.698009,3.418147,start
5372,1.8336626,4.8999424,start
5665,4.4684787,7.5194182,start
5783,5.00048,6.2851143,start
5018,2.2009907,6.6384883,start
5254,5.213206,4.560683,start
6042,2.3041723,0.737262,start
5178,0.13756663,1.7070373,start
5351,5.2184553,3.466118,start
5920,1.254721,6.876089,start
5804,5.2782454,3.1285594,start
5792,2.916035,6.2559867,start
5871,5.7804694,1.3307238,start
5799,3.0949562,1.9935696,start
5481,-0.27232698,5.9524426,start
5206,5.951608,1.6296619,start
5383,0.88940436,3.1774776,start
5266,2.631518,5.413697,start
5357,2.1866915,3.0778182,start
5043,3.6506486,3.4293666,start
6082,-0.29415387,3.1689312,start
5741,-0.8338476,4.4937778,start
5655,2.864134,1.8907528,start
5332,2.1180124,1.5851463,start
5644,7.9232216,3.8883634,start
6006,4.6151752,6.4577885,start
5144,0.76305574,0.3429925,start
5534,1.2502321,2.8288748,start
5120,0.7249173,3.0999687,start
5452,3.4208639,1.4046072,start
5882,3.5091658,0.8006596,start
5540,5.6305227,3.735539,start
5486,6.7209244,3.3104277,start
5715,4.606769,4.6088347,start
6066,2.7894511,7.7517357,start
5083,0.2400735,5.796493,start
5243,4.231258,-0.34584773,start
5752,3.4012036,8.274503,start
5217,6.0716186,2.5571387,start
5115,2.0864773,1.6787864,start
6037,1.3739825,6.771672,start
5559,-0.0035990311,4.6276693,start
5398,3.7238946,3.1162672,start
5893,4.2932687,1.0663466,start
5041,5.243562,-0.14570706,start
5074,4.493497,5.677271,start
5680,2.0181863,6.7599936,start
5869,2.786559,2.4175506,start
5578,5.7961698,3.2326818,start
5177,2.8857172,6.541238,start
5261,6.4865537,4.6062956,start
5750,4.5024385,4.1872344,start
5839,2.3048108,4.5926704,start
5584,1.518066,0.7123764,start
6012,2.1386724,3.8014865,start
5412,6.3916526,5.61567,start
5727,4.862118,7.1763477,start
5197,5.9097247,2.3356433,start
5331,5.1382794,4.591977,start
5104,0.58286273,5.9072833,start
5267,2.6100612,0.8579231,start
5406,5.029508,5.0369277,start
5362,3.357759,1.110315,start
5302,7.930734,2.8278728,start
5375,4.281073,3.1871903,start
5016,5.4373384,0.54668266,start
5742,4.828824,4.415529,start
5572,0.9585813,7.038339,start
5866,3.5825846,3.9388978,start
5212,0.21585529,4.792792,start
5037,4.104172,4.9098115,start
5471,4.9657273,3.8513548,start
5495,-0.055966083,2.3932621,start
5416,0.5085779,2.86098,start
5341,0.18748488,3.6928718,start
5583,2.7448535,6.985737,start
5010,0.056805313,4.4843493,start
5235,3.3944588,5.053659,start
5867,-0.67830783,2.4096794,start
5912,2.365935,3.219262,start
5694,1.5219572,0.21456,start
5304,6.6409087,6.2289295,start
5531,6.5468125,2.1265016,start
5152,5.159414,3.8226945,start
6034,3.470939,4.265588,start
5830,3.6735938,4.973271,start
5050,3.7964833,4.7769885,start
5411,-1.2857862,1.9796158,start
5941,1.5408397,6.123511,start
5386,1.2016593,4.9777637,start
5607,0.22274856,2.4901302,start
5852,1.0790792,4.4475303,start
5194,1.4553648,3.9820108,start
5090,4.161213,1.7249254,start
5154,2.3937116,7.1971297,start
5051,2.6971502,1.6219622,start
5009,5.936065,2.0763025,start
5045,6.1763353,3.804943,start
5522,1.8034105,1.1982712,start
5470,3.2980978,4.5392365,start
5868,5.7634993,5.4501915,start
5387,7.815821,2.850596,start
5327,2.3349257,1.106182,start
6007,0.5781084,0.61776906,start
5124,-0.4129185,2.8428206,start
5999,3.3402267,1.9768416,start
5824,4.106142,0.95263886,start
5277,4.3351073,0.83323824,start
5633,3.7572,7.2678413,start
5682,0.8430535,5.638697,start
5675,1.7379487,7.2524123,start
6041,0.7386688,4.7213163,start
5914,4.969587,1.186214,start
5605,2.4487088,2.1485548,start
5681,4.777634,4.4714537,start
6009,5.7398033,6.511723,start
5994,2.734301,1.4586117,start
5464,7.3134665,4.462918,start
5691,-0.3274723,4.5842338,start
5504,0.39770812,4.215999,start
5404,5.4206266,6.984197,start
6030,7.3901706,1.2298261,start
5921,7.579681,1.675939,start
5019,3.3140812,2.3567116,start
5220,3.1013863,6.6031847,start
5740,5.8104663,1.2744595,start
5748,4.236198,3.2507777,start
5515,2.7710633,4.5509315,start
5993,5.4336443,7.0768604,start
5432,8.308423,3.1479678,start
5303,5.7470903,3.9165125,start
5581,7.803936,3.3857346,start
5385,4.5652647,3.7072742,start
5185,5.66405,3.992883,start
5461,-1.0520078,1.8405186,start
5812,3.7802143,5.6243086,start
5356,6.5711293,6.1067243,start
5238,3.012885,4.748009,start
5458,2.6750712,0.3529442,start
6048,4.6113725,2.6398096,start
5431,5.3531413,3.0404947,start
5628,-1.229058,3.1620715,start
5101,-0.5049717,4.8120933,start
5364,2.411414,1.9825159,start
