gene_name,in_degree_pagerank_positive,out_degree_pagerank_positive,oracle_score,suggested_perturbation,label,in_degree_pagerank_positive_se,out_degree_pagerank_positive_se,oracle_score_se,suggested_perturbation_se,oracle_score_pval_acat_fdr,k
A1BG,1.0536879388876692,1.033363802748165,5.304644538739467e-08,0.026660284399986266,A1BG,0.03467689921270049,0.013974220340011303,3.7366094771402966e-08,0.00013475325516141615,0.9353970511342955,100
A2M,6.6964814606305705,6.320865766087919,3.3247927895274644e-08,-0.00291591826826334,A2M,0.3384780569551372,0.1385756832520576,2.2495765589497284e-08,1.4814335445971294e-05,0.6550610096780891,100
A4GALT,1.0863271463135629,1.0272324520130476,-3.203777421134646e-08,0.008167308568954468,A4GALT,0.07107072860179844,0.011620965335270768,1.4954506684328885e-08,1.78983703468718e-05,0.894798589181111,100
AADAC,6.493816752638242,6.838182077414803,1.0833623591111064e-07,0.00819728821516037,AADAC,0.14338160726694468,0.08795193574216217,3.27610283885726e-08,2.443650114307131e-05,0.7084267579230207,100
AASDH,7.182395345563057,6.59810592118149,1.184652495922478e-07,0.004394484087824822,AASDH,0.6225063715558218,0.09350363896361698,6.863704544846443e-08,9.794230376185048e-05,0.9834257158046413,100
AATK,1.0643426555142463,1.0285445745757889,4.076116899192073e-06,0.0347187827527523,AATK,0.04022381157342091,0.01299127037482308,4.4988272111060024e-07,7.358428656275438e-05,0.0034853810600703585,100
ABCB4,1.0425000263059163,1.02556523797763,3.322977299546892e-08,0.014341533817350864,ABCB4,0.02800951435227979,0.011623439978341388,1.7280413851473136e-08,5.5288057155523346e-05,0.9834257158046413,100
ABCC3,1.0718666745545802,1.0154956163678834,6.696201268852065e-07,0.025439438205212356,ABCC3,0.05450138631072834,0.007221657909373011,1.0799678210843468e-07,3.7178909532898245e-05,0.16342022961480854,100
ABCC8,1.0128041696579586,1.020303097225719,-9.172108572386151e-07,-0.04158632531762123,ABCC8,0.010637290864669798,0.010384831193646768,2.1846854046477655e-07,0.0001302839706561406,0.03786476463537097,100
ABCG5,1.0246774016399254,1.0124126691508968,3.1299291940456444e-08,0.01816685192286968,ABCG5,0.01411898915093677,0.00628397505113189,7.149089085697199e-08,1.8475661871458467e-05,0.9767371603581763,100
ABHD6,1.0170000261639536,1.021580539430689,4.902505295945048e-08,-0.019061822593212128,ABHD6,0.011959951340225665,0.009587551891596224,1.7803950854657957e-08,5.474855048200211e-05,0.27306202813182306,100
ABI3BP,1.0000000245825555,1.0315081343654828,-8.374526871079979e-08,-0.01834874603897333,ABI3BP,1.4677618493092065e-09,0.014751492278473822,2.1177411271887243e-08,6.732239312477171e-05,0.7730710518907039,100
ACAD10,1.1239819134176792,1.0188531239302405,3.5167114873502214e-08,0.006993498327210546,ACAD10,0.11045847942332898,0.009680856622158316,2.6975292562369813e-08,8.266287723025563e-05,0.5077849683027958,100
ACBD3-AS1,1.0085000252368974,1.0244376388467982,-1.0639480908736232e-07,-0.008772110454738141,ACBD3-AS1,0.008500000743713994,0.010533960373964483,2.5280217420671838e-08,1.8948348068709782e-05,0.5680051822781489,100
ACBD6,1.0340000260271476,1.0220218050463545,2.2947106543824703e-08,0.03951487958431244,ACBD6,0.023919900934485695,0.013169596793800465,3.507592153191813e-08,0.00020979939619380976,0.8260719657068178,100
ACE2,1.043062845357563,1.0175501591321567,6.616114948343466e-08,0.007097681458108127,ACE2,0.03926869360258588,0.0070140508908615035,2.517677459306674e-08,6.829391920834918e-06,0.32124123855001985,100
ACER3,1.0085000252781997,1.041907841193786,2.980756981685317e-08,-0.04340752065181732,ACER3,0.008500000808383857,0.01470352820994612,2.8185512660670758e-08,6.0179730465436274e-05,0.8571403857079465,100
ACKR1,1.0000000245825555,1.0032335303560165,2.7120309944450584e-08,-0.004133493648841977,ACKR1,1.4677618493092065e-09,0.0014617291150664786,2.6177605260760894e-08,4.644322646256335e-06,0.5473179055377747,100
ACKR3,1.0510000284818504,1.019193877165133,4.962122211793485e-08,0.013597330078482628,ACKR3,0.03587985257358874,0.01703483090399521,3.545791818267846e-08,1.2034095553894187e-05,0.8518580295470647,100
ACKR4,1.0190602522149623,1.0090801959774773,1.49012339534238e-08,-0.005972665529698134,ACKR4,0.011621638064183707,0.004959369939289404,1.7331096742851993e-08,1.1256096980664708e-05,0.9289426298461085,100
ACP5,1.230026923536524,1.0846699540074893,7.573335458488373e-07,-0.01795064553618431,ACP5,0.13076475140286317,0.05883437914401218,1.350603146973956e-07,1.883909065341939e-05,0.22111434781112962,100
ACSM1,1.2774859113080241,1.0126055777278475,7.137786354860509e-08,0.018238767348229885,ACSM1,0.27748588674567354,0.005583608060704799,2.982351557768959e-08,1.0025497480757743e-05,0.9692639431646981,100
ACTA1,1.0118186302705938,1.0241988838546279,9.357978278501378e-08,-0.018216832242906093,ACTA1,0.009093585119396713,0.013513571329982044,3.178741138202682e-08,2.00277930195601e-05,0.9717571414035453,100
ACTA2,1.0217908165285818,1.0161765040967348,-3.725335133708541e-09,0.005734667871147394,ACTA2,0.012819780522275675,0.0095559733205586,1.3747839235690862e-08,1.6467049336364092e-05,0.9701364422210417,100
ACTB,1.0313247957630995,1.026979302180206,2.4812002550334e-08,-0.014633496068418026,ACTB,0.023993860509142702,0.014287095799281928,2.0307749770166122e-08,0.00020863591994169512,0.9482728148507622,100
ACTG1,1.077072465122255,1.0186674915209022,1.1920995248715371e-08,0.009245449434965849,ACTG1,0.06552148684003375,0.010148984783446453,1.8320073424487188e-08,0.00014713612857457711,0.2294775216543532,100
ACTL10,1.034000026802676,1.0244341026750652,-8.376420339573087e-08,-0.006141589367762208,ACTL10,0.023919901622655913,0.012677380093152862,2.3033527291677017e-08,3.5148652195626955e-05,0.508274497542414,100
ACTN4,6.338211820264223,7.009750275594339,2.019142937115248e-07,-0.1073945178091526,ACTN4,0.13574852292471185,0.12654532784113695,7.625795103574703e-08,0.0002127613071470042,0.6950134328957444,100
ACTR10,1.070904609291754,1.0026024473425084,1.5696972740286696e-06,-0.02834740962833166,ACTR10,0.03769623024384127,0.0013685686561288968,2.401667367792514e-07,8.949470216416827e-05,0.09957859109707336,100
ACVRL1,1.0308253757522656,1.0245455544733508,2.9578915352601597e-08,0.0007199397182557732,ACVRL1,0.01890675115448797,0.013299824102730335,2.791467261728078e-08,6.935372165357056e-06,0.7143345279634256,100
ADAM28,1.041622591300589,1.0068150574072103,-1.1577150296204763e-08,-0.008859034553170204,ADAM28,0.022970884316498984,0.0034792934521747088,1.0688584845026768e-08,5.896427670730278e-06,0.8220927520566118,100
ADAM30,5.444799768811146,5.222248735259177,-2.2353831852228725e-09,0.002767038717865944,ADAM30,0.6812323091378877,0.2740549861062538,2.5790931598602095e-08,2.6865300289291377e-06,0.9436914358368097,100
ADAMTS1,1.078385294558842,1.0502010056591309,-3.755186309462033e-08,-0.0026493003964424135,ADAMTS1,0.07031500803885973,0.026376427864594737,4.838959519127936e-08,1.6106928913981283e-05,0.9431031742492866,100
ADAMTS12,1.0648718501473815,1.016123584878064,-7.420878162633925e-08,0.0028826493537053464,ADAMTS12,0.027123841525381144,0.009938792224246821,4.467583454329534e-08,9.918955369651854e-06,0.44981886555043654,100
ADAMTS19-AS1,1.025500026446129,1.0075557460598332,4.276652337154019e-08,-0.002081504934467375,ADAMTS19-AS1,0.01892962936895789,0.003938333817618661,2.6439534225827653e-08,2.0790335130977356e-06,0.9443923972053947,100
ADAMTS4,4.96182506550396,3.0267533882765245,6.7055675856408924e-09,0.008615037994459271,ADAMTS4,1.2581153966993974,0.2695707935051204,1.531009671591678e-08,1.6077576585996313e-05,0.8895921144906325,100
ADAMTS5,1.0492031958354588,1.0125670391178925,-6.169100124964189e-08,-0.01295211867429316,ADAMTS5,0.02985369486066884,0.005808539441878287,2.2128489467900906e-08,3.081520072660043e-05,0.9788582630036307,100
ADAMTS7,1.3026648524718427,1.05403113828098,5.5882282765651326e-08,-0.01354005658067763,ADAMTS7,0.2895289304694455,0.02744721441447709,3.9702874425933536e-08,8.678399136513536e-06,0.6143958677638064,100
ADAMTS8,1.4659259146247776,1.07584232033139,-2.233114635430411e-09,0.0004673965959227644,ADAMTS8,0.28040966497515885,0.057061239921582775,1.659467095033269e-08,4.975318071635916e-06,0.8616659878709708,100
ADAMTS9,1.010772824693825,1.0058781412636648,1.3412175192684118e-08,-0.021865326464176178,ADAMTS9,0.00877640891953562,0.0021247683333587937,2.796587697466077e-08,1.9219463810395364e-05,0.9124059675048636,100
ADAMTS9-AS1,1.0000000245825555,1.0203203103966798,9.536859305825374e-08,-0.014343904992565513,ADAMTS9-AS1,1.4677618493092065e-09,0.009812927738177251,5.9565543831024443e-08,2.1022192222304332e-06,0.8914189676937548,100
ADCY2,1.0287621369739115,1.0160321178973282,-9.983814521774548e-09,0.005492500811815262,ADCY2,0.019164856359482733,0.009591169443987864,1.2569457773361355e-08,3.3754952381529227e-05,0.8454281019577573,100
ADCY3,1.0000000245825555,1.0117210421619678,6.571008192679529e-08,0.0026553384214639663,ADCY3,1.4677618493092065e-09,0.00663392180415151,3.883162606065052e-08,4.4017093928477615e-05,0.8914189676937548,100
ADCY4,6.120162387041455,6.918438837175903,1.1250570963738937e-07,0.02427646491676569,ADCY4,0.13832915713093835,0.10363071443682122,3.365781678095872e-08,2.4677746344111345e-05,0.5941251919051925,100
ADCYAP1,6.67512552657577,6.624044210638512,5.589901864766489e-07,0.02315522626042366,ADCYAP1,0.17037388241872314,0.12218646155327813,1.0146537031539212e-07,0.00011715153738785902,0.1515082762832649,100
ADCYAP1R1,1.020474003833946,1.0145690712100965,2.935497864342551e-08,0.003673232477158308,ADCYAP1R1,0.012406282839561333,0.008913312212902057,2.283637279232077e-08,1.7117938433624042e-06,0.4093611674494847,100
ADGRB1,1.2283145907818125,1.0253774315840325,3.725693154876808e-08,-0.00551046010106802,ADGRB1,0.18266582495895076,0.01471232894364533,2.5005925592844016e-08,8.528328622621156e-06,0.9736849703245158,100
ADGRF1,1.0170000261752972,1.0113247580609905,3.173948709189745e-08,0.00858640500344336,ADGRF1,0.017000001756197543,0.00864244074240873,1.6542708945972018e-08,5.285248152285021e-06,0.9473713590802886,100
ADGRF2,1.040337976317335,1.0045483645212423,-1.0382170358980148e-08,-0.0004633518494665623,ADGRF2,0.03287001707002246,0.002540486481724449,3.505576270430608e-08,4.57421216707923e-06,0.7590549454900595,100
ADGRF5,1.0085000251656506,1.0059439367434142,2.2650618838326864e-08,0.008150744624435902,ADGRF5,0.008500000637321549,0.0034541233351066624,1.1299936637938975e-08,6.913602442995057e-06,0.9431463059633656,100
ADGRL4,1.0225984327959798,1.0130179901397884,-8.705246187901139e-08,-0.01564436115324497,ADGRL4,0.022598408042075604,0.009490030181389556,6.198118154488358e-08,1.6126575730230943e-05,0.8492650889910609,100
ADH1B,1.0000000245825555,1.0141174949214922,-2.623146542646282e-08,-0.005168895074166358,ADH1B,1.4677618493092065e-09,0.008874184393460197,2.8002897823952318e-08,2.532592026164176e-06,0.968120315287831,100
ADH1C,1.227285459381124,1.039673043023549,-6.244255249043818e-07,0.03285121619701385,ADH1C,0.2175643368427079,0.014695365968475862,1.5364576379681026e-07,4.09118787935949e-05,0.05163680253028108,100
ADIPOQ,6.651167558254266,6.72918607089409,-2.6524875522682122e-08,-0.003655487913638353,ADIPOQ,0.22705254693173588,0.09622001242130096,2.2572291735833428e-08,4.112698980025051e-06,0.9386802500046837,100
ADIPOQ-AS1,1.0067045364620297,1.007840561128791,1.8881377584989421e-07,-0.0031577169592492283,ADIPOQ-AS1,0.006704511653678867,0.0033228558218272018,7.697903539329753e-08,6.40517655505571e-06,0.9370223399809666,100
ADIRF,6.618034159568232,6.675788763310026,-9.744985892012892e-08,0.01152435114607215,ADIRF,0.2825074687545035,0.08636337145771393,3.915193492540138e-08,2.6492989132994563e-05,0.5834835311031213,100
ADM,1.0540980335607673,1.0109742918872626,-8.911061790684017e-08,-0.011668430119752883,ADM,0.028571441310335947,0.0066194266535226755,7.881717805072066e-08,7.349786582745566e-05,0.9598838685546529,100
ADORA2A,1.0576841734025832,1.0237902275434854,-4.72370956927648e-08,-0.01682973213493824,ADORA2A,0.04059593347077485,0.012163315973457997,3.174777579108706e-08,4.093456312609501e-05,0.3137489038611208,100
ADPGK-AS1,1.162730967382789,1.0142961616474702,4.917566727158373e-09,0.008063318696804345,ADPGK-AS1,0.10563974416223706,0.008966315429718381,1.0507117225355353e-08,1.4281775267238643e-05,0.9050947828148905,100
ADRA1A,1.0273924513136683,1.0228516727945436,8.031891507442879e-08,-0.009512294149026275,ADRA1A,0.019496015778430208,0.008799060305767284,4.459402179531332e-08,2.625384487492802e-06,0.556844080472519,100
ADRA2A,1.0616865804221476,1.024688780350767,-7.705316523498596e-08,0.017657671440392732,ADRA2A,0.03584154416362174,0.017089357646739894,3.516605841814045e-08,7.100660070582873e-05,0.8303127241277783,100
