gene_name,in_degree_pagerank_positive,out_degree_pagerank_positive,oracle_score,suggested_perturbation,label,in_degree_pagerank_positive_se,out_degree_pagerank_positive_se,oracle_score_se,suggested_perturbation_se,oracle_score_pval_acat_fdr,k
A1BG,1.0698060301747803,1.032608583929373,7.889828710503366e-06,-0.06273822009563446,A1BG,0.018285132625675236,0.016808773219744597,9.972802938487767e-07,5.041654602277419e-05,0.18525698699658044,100
A2M,6.434722986524301,6.658761017480579,1.3494423512838693e-07,-0.0028276352211833,A2M,0.1626047595962958,0.10080379181734425,1.288879220534396e-07,2.0183543705694085e-06,0.07282039795945285,100
A4GALT,1.0071734243449189,1.006411366243533,-3.671517035144234e-06,0.026440601572394373,A4GALT,0.006737965495909558,0.002348062496823787,6.052597124419514e-07,3.5199327993891007e-06,0.004678997923279582,100
AADAC,1.1178648843237833,1.0092328022341988,2.93225081692583e-05,0.031143160052597523,AADAC,0.08345398991906411,0.0047550746602574535,2.1819562837267186e-06,3.131298780357101e-06,6.0573908758108616e-12,100
AASDH,1.167964382995364,1.0089689089989669,6.7468524054703495e-06,-0.01771859630942345,AASDH,0.06056687072049242,0.004156505250654778,9.014141732597511e-07,2.1797290572049547e-05,0.006877270973233699,100
AATK,1.03922109947319,1.0144588215359618,2.952578114559401e-05,0.033242425955832,AATK,0.02160424774524649,0.008997133087006805,2.412943507127531e-06,1.3883889718077823e-05,6.705589619639581e-05,100
ABCB4,1.029815847028258,1.0077179494701642,2.035481416342577e-06,0.023729869779199362,ABCB4,0.01565251907124219,0.004326656250927024,3.442792330306851e-07,9.147742585776916e-06,0.04987573595103848,100
ABCC3,6.286876142913071,6.501927311548155,-2.534114248220476e-08,0.0017473412433173508,ABCC3,0.20946502730636896,0.13978685589302758,1.383298985966146e-07,4.192054870878167e-06,0.5735408766263044,100
ABCC8,1.0817344965230369,1.010068951090141,4.268582130499965e-06,0.052560492157936095,ABCC8,0.034293747271675015,0.004179892613481542,5.992991775698143e-07,3.089978370963878e-05,0.1313688587396433,100
ABCG5,1.1755491978437755,1.0086537824278954,1.9994540707557462e-08,0.005973169961944223,ABCG5,0.12683064728130852,0.003818936235097538,1.1425034265716117e-07,2.570953411038516e-06,0.26181764268903757,100
ABHD6,1.1511949635452257,1.0136523283566006,-8.140443788917651e-07,0.025273165106773375,ABHD6,0.12295391635946362,0.008839979420711432,2.627088871320969e-07,1.1951879616996757e-05,0.9877441399833513,100
ABI3BP,6.71143214114706,6.478015513395057,1.4695491328602372e-05,0.010257050395011902,ABI3BP,0.2469726865267116,0.08891751687481686,1.4018384416843053e-06,9.335615169919495e-06,0.0690696822178381,100
ACAD10,1.0957913095757446,1.0156481650757652,8.892915461800044e-07,0.01913213575258851,ACAD10,0.053730009971996326,0.008961418975179283,2.6495106628113686e-07,1.7831424070481397e-05,0.40643831720387064,100
ACBD3-AS1,1.2208584803841445,1.0145651888635083,-1.259735236764925e-06,-0.001136598475277424,ACBD3-AS1,0.12225307706048863,0.008887110558291975,3.291380948479953e-07,2.556513227911927e-06,0.018985631216047176,100
ACBD6,1.0045804253801192,1.0155491978591733,-3.7883987482132397e-05,-0.0260521037876606,ACBD6,0.0029090407925278098,0.009188237591664912,2.6312388628834376e-06,4.0810450526869796e-05,3.5794327391441765e-13,100
ACE2,1.1143135951535732,1.0155189560164093,-3.886195635267598e-06,0.00476713428273797,ACE2,0.07920337974849326,0.00929284965958356,5.370956325775826e-07,2.1571906943673165e-06,9.678425208244531e-11,100
ACER3,1.2473971190425561,1.0198554859394882,1.5204795822398864e-08,0.02103482689708471,ACER3,0.2117477712285365,0.010150267282209852,1.9436944602211155e-07,2.0359108200686505e-05,0.806636747726849,100
ACKR1,1.0430793027969096,1.0177441540691434,1.4464412191372845e-06,-0.013506705807521939,ACKR1,0.03572090015872123,0.009192916000739623,3.016832421616492e-07,6.273934219584836e-07,0.29316592014535087,100
ACKR3,1.0172448034672172,1.003528313098625,4.174530211642491e-07,0.015181122533977031,ACKR3,0.01195804877515889,0.0019357103129753902,2.4224648213917353e-07,1.9963673471430866e-06,0.07230237556111264,100
ACKR4,1.0117231915735327,1.0171868984622296,1.8499395683591047e-06,-0.005543795619159937,ACKR4,0.009110925440442385,0.009553808149382965,4.310947727857321e-07,2.9137611597387146e-06,0.09014828178627989,100
ACP5,1.1035720294112468,1.0121327272540193,-8.785369442065871e-07,-0.009863285915926098,ACP5,0.06666966534296857,0.005633242815489067,2.528343736585478e-07,4.266592389439438e-06,0.019573601324107227,100
ACSM1,1.0530401522855235,1.015584081572335,2.371861736349956e-08,0.0008608222380280494,ACSM1,0.05290485466735097,0.0067233632000628495,1.344870644581352e-07,3.659489620332436e-06,0.03775726460319477,100
ACTA1,7.189897150995602,6.417906114633746,-5.573532913416557e-08,0.0006053262203931808,ACTA1,0.3621950593633809,0.1046173836481262,2.0016442924285526e-07,2.765275363077474e-06,0.9892352931415977,100
ACTA2,1.0967767432438913,1.009130030586248,-8.723990107384338e-07,0.0065537082962691786,ACTA2,0.04778523180418029,0.006031621961623111,3.6393211092015114e-07,2.503859602489089e-06,0.4268623567070474,100
ACTB,2.190815493589187,62.21842051747025,0.00013992914067785024,0.07924204647541046,ACTB,0.18821834431071477,2.9651587012493845,4.403152547999434e-06,5.9661113731003676e-05,2.431145309398153e-14,100
ACTG1,1.2214201652182524,2.8737987613409683,9.183948843201506e-05,0.05790641412138939,ACTG1,0.030290433050617304,0.20731781227859272,3.2580334180087387e-06,3.6114384239574315e-05,5.812596221589622e-13,100
