gene_name,in_degree_pagerank_positive,out_degree_pagerank_positive,oracle_score,suggested_perturbation,label,in_degree_pagerank_positive_se,out_degree_pagerank_positive_se,oracle_score_se,suggested_perturbation_se,oracle_score_pval_acat_fdr,k
A1BG,1.0878556383045095,1.0158232626841681,7.804789075862573e-06,0.0785541170835495,A1BG,0.0699548596569844,0.006445157428765563,4.412000445641343e-07,4.2715075422100714e-05,0.0034012733743739284,100
A2M,1.292761397363696,1.0154852197180637,-1.6878525954666657e-07,-0.018344092555344103,A2M,0.27464290895047416,0.005017134516945253,1.1329915626214122e-07,4.1686982162188715e-06,0.25466038269505636,100
A4GALT,1.040628899685118,1.0136505901230575,-8.358467051472474e-07,0.0025160195492208003,A4GALT,0.015054178406374777,0.009351719989866194,1.2459736364933782e-07,2.706852163978905e-06,0.4237159348009565,100
AADAC,6.491338367772857,5.737647774983871,-9.510178154670257e-07,0.0028823817521333693,AADAC,0.08355826050964336,0.1363440568441595,1.6344349208502612e-07,5.410276537766397e-06,0.6561483610898954,100
AASDH,1.0277081826456813,1.0739327260626912,-3.41043794449547e-07,-0.01828098190948367,AASDH,0.015012386568231065,0.03384741778161364,1.0967205916090495e-07,2.8607671379318045e-05,0.0766203826904101,100
AATK,1.0175060613943392,1.0139143685174004,0.00012823652170482091,0.04468757163733244,AATK,0.011987393550675024,0.00875420046517055,2.5530445515804356e-06,1.3014515320443248e-05,1.2057865254789675e-12,100
ABCB4,1.1844091741683418,1.0031904144039994,-2.5550660829765094e-07,-0.0026490240916609764,ABCB4,0.14367713828835404,0.0013438119450938778,1.2666650833350873e-07,5.8203627892164845e-06,0.3029924168545159,100
ABCC3,7.902282596593986,6.132439398092323,2.9756355043986107e-07,0.016961053535342215,ABCC3,0.7512999825449732,0.11808224402744043,1.2153414942206166e-07,8.302476927226235e-06,0.9548256862267294,100
ABCC8,1.1008418778829714,1.0706494163303453,-5.209361084780539e-05,-0.08114467322826385,ABCC8,0.03753725592457659,0.023594505405964934,1.5329249011488321e-06,3.88220617716468e-05,6.492391165742764e-13,100
ABCG5,1.011815343951326,1.021598378095045,4.7332586703419113e-07,0.003795371940359473,ABCG5,0.008801092761502332,0.012096877475334163,1.2608900710087065e-07,3.749591283285592e-06,0.061078253159995655,100
ABHD6,1.2165101401356444,1.0653754313939898,3.9686574732655796e-06,-0.06108317520469427,ABHD6,0.2088647250885137,0.030297510234768187,2.526119084255868e-07,1.5151933941738317e-05,0.016167847206799625,100
ABI3BP,7.300455947887596,5.814644316650936,-1.0255052777097263e-06,-0.01140362948179245,ABI3BP,0.47475447690140377,0.09516637683781373,1.3974970392137655e-07,5.329270526411883e-06,0.904562818901341,100
ACAD10,1.0833570271563142,1.0137537920624586,-2.052833922938646e-07,-0.001876556109637022,ACAD10,0.06557206743076761,0.006759065247202128,9.879019599379766e-08,1.9702148454510392e-05,0.37151809273359215,100
ACBD3-AS1,7.516093950399568,6.452612027380628,2.587052212454921e-07,0.002862243833951652,ACBD3-AS1,0.7690658157892968,0.10087333439641047,9.646828226065929e-08,2.999120347207209e-06,0.05029911989479484,100
ACBD6,1.1282098851091285,1.013051294419072,-5.320614160808645e-07,-0.005169488489627838,ACBD6,0.07859912522431636,0.005492563080329025,1.517266762711181e-07,5.931795268735847e-05,0.43659158109361973,100
ACE2,1.0322345634632755,1.006015297300023,-6.381448238244047e-06,-0.01752982836216688,ACE2,0.014163500031161009,0.0031020871073730825,3.682678652270162e-07,4.68002074057218e-06,3.7471754125468615e-05,100
ACER3,1.0216019448111064,1.0271095614281631,1.3086267796325046e-06,-0.025496111456304787,ACER3,0.019073589949970986,0.01197104522924403,1.6532145722557056e-07,2.3375899390525047e-05,0.03997854764375299,100
ACKR1,1.004074258073706,1.0076884394537537,-5.912790377138322e-07,0.0017900336673483252,ACKR1,0.0038748288850016846,0.004409085357693496,1.4430116349410722e-07,8.314191576635185e-07,0.2664075188125341,100
ACKR3,6.6640710041755025,6.661152657718959,5.766811309371178e-07,0.013840355658903718,ACKR3,0.0831515904763994,0.04948078356947493,1.2486541457317144e-07,4.7646703575106984e-06,0.6563449305465109,100
ACKR4,1.0264642644356734,1.0062888317289032,1.691040026940982e-07,-0.007294000145047903,ACKR4,0.01357866411951624,0.002994799463765633,1.0864181186640937e-07,4.250466177296024e-06,0.18536479251179516,100
ACP5,1.196840111461612,1.0278188578188403,4.701587966337684e-05,-0.03135903067886829,ACP5,0.10519452325478959,0.011342638627861508,1.5436106378897034e-06,5.534171882889158e-06,2.8673863283756873e-10,100
ACSM1,1.1711468649866874,1.0252841478844779,-2.351482422824347e-07,0.0062118951510638,ACSM1,0.11325833708590922,0.01132653758608666,8.726642752356768e-08,4.64719751074056e-06,0.48742420564190825,100
ACTA1,1.0176911589093738,1.0087217161079596,2.2946935416001677e-06,-0.021274692323058845,ACTA1,0.012154076900262776,0.007917170463576262,2.0037764896996005e-07,3.299545633736077e-06,0.09469996675135045,100
ACTA2,1.023957019950072,1.0194121321370577,-1.296205627170366e-06,0.0157316049747169,ACTA2,0.012892117628600302,0.011151613601141782,1.5054673848077334e-07,4.08811795432561e-06,0.10598133313186946,100
ACTB,1.0974044253486543,1.043698313631078,-3.031046471235754e-07,0.10033524855971336,ACTB,0.04091705419928723,0.014335290389402594,1.2382185818766377e-07,6.467470305712407e-05,0.46032007283987725,100
ACTG1,1.4516189966534532,16.51899484952869,3.3961602985073116e-05,0.14059142172336578,ACTG1,0.11908409266854436,0.6229032247516713,1.1984065312271574e-06,5.3857221122990086e-05,0.2994207299819556,100
ACTL10,7.203948300428639,6.141043676939299,-9.387385680383887e-06,-0.005710126566700637,ACTL10,0.4511094637866136,0.13843084580589377,4.737497193168953e-07,1.0552584409969375e-05,7.253574168946795e-05,100
ACTN4,9.015235398587695,1.8696070582806295,-2.507014679764552e-07,0.027675780355930327,ACTN4,1.0127376522156624,0.031960984229802904,9.969628594183699e-08,4.7154947756011024e-05,0.047746895129768506,100
ACTR10,1.2157169782592983,1.2408213136635096,9.17296209536289e-06,-0.07190875954926014,ACTR10,0.05848851224972018,0.04823590302146741,4.899061349892764e-07,2.9064057279238114e-05,0.0030213059665058026,100
ACVRL1,1.0135113584497417,1.0056089648091697,2.485674085406231e-07,0.004815131984651088,ACVRL1,0.012557639306033453,0.002296796396059507,1.433505957932392e-07,2.4688589546223843e-06,0.07423369841849266,100
ADAM28,1.0721304780327683,1.0179625158267889,1.6752378790840793e-07,0.004021775554865599,ADAM28,0.055980967064013364,0.014154798295301654,1.427798285693643e-07,1.1179677784361457e-06,0.885112347420128,100
ADAM30,1.0401585525282924,1.005555863326132,-7.194738622828822e-07,-0.01181839163415134,ADAM30,0.03145709232964966,0.002458946188845088,1.0438677571648487e-07,5.809272587846311e-07,0.10987498404869904,100
ADAMTS1,1.0263392202836723,1.0105626400419834,2.623854445999996e-06,-0.015033638337627053,ADAMTS1,0.019261471641997884,0.007053459258255746,2.381873433801801e-07,3.575912472510314e-06,0.06741180060852274,100
ADAMTS12,1.035834659324406,1.007644566210167,-5.404283174925695e-06,0.01230085153132677,ADAMTS12,0.025287093246988673,0.0038964312349296674,2.752868985501261e-07,2.9258149868873762e-06,0.024116445252221716,100
ADAMTS19-AS1,1.0380195352464723,1.0218551710531472,3.7846396736540557e-07,-0.01602392153814435,ADAMTS19-AS1,0.019808864659041824,0.008260569622176332,1.458310410351477e-07,1.1046226525053708e-06,0.6505416988121518,100
ADAMTS4,1.0767145627160553,1.0059369851008604,-1.3026225555989868e-07,-0.0059518129844218495,ADAMTS4,0.07438130679085116,0.0030105774815966948,1.1527410721973927e-07,3.941010948613104e-06,0.26325181993174274,100
ADAMTS5,1.0703510687976456,1.009936436387218,-1.3701374959751433e-06,0.00752309525385499,ADAMTS5,0.04754394425710039,0.0042211266277676525,1.631561726040524e-07,1.14153492706134e-05,0.3260781315762316,100
ADAMTS7,1.0204418771517152,1.0145730050613686,2.443157673166496e-06,-0.024358097929507494,ADAMTS7,0.019564693035088065,0.00909558737440341,1.768185511130353e-07,3.380455757607029e-06,0.04722058437242662,100
ADAMTS8,1.0380291344010053,1.0156506675676575,1.6226703842647794e-06,0.021001519672572612,ADAMTS8,0.022560538618750663,0.005664009789506293,1.7077660481857337e-07,2.528203902420416e-06,0.0019470128863382165,100
ADAMTS9,1.0251356344768683,1.0287328496647958,8.020473995351551e-07,-0.04379591107368469,ADAMTS9,0.011380496686521165,0.012403046216725932,1.440914334285027e-07,6.134072652353276e-06,0.9565722059582382,100
ADAMTS9-AS1,1.0385071359350428,1.0205008240732747,3.4285767505082274e-08,-0.012050396045669914,ADAMTS9-AS1,0.027827203154923364,0.010293130574514853,9.353563054261095e-08,6.683253672304434e-07,0.41879145970255827,100
ADCY2,1.02774276551758,1.016701182322349,3.4590481234886283e-07,-0.027816149294376372,ADCY2,0.02043027251093817,0.007280838230851519,1.2469429473657554e-07,5.976309463476894e-06,0.14038863800347837,100
ADCY3,6.583727013364617,6.553172927964436,3.57314401000508e-08,0.0020849740132689474,ADCY3,0.07918647131031688,0.051383559255400446,1.0690152957928435e-07,8.698907256324496e-06,0.5803680009304085,100
ADCY4,6.666462246390211,5.032228365520875,4.935887395163263e-07,0.026706392988562585,ADCY4,0.11581864240993019,0.164719701052783,1.0412864508239158e-07,6.109510151967697e-06,0.7152526050882939,100
ADCYAP1,1.7275883830687957,1.0285069663010207,-8.817423187679196e-07,0.030884854942560196,ADCYAP1,0.6065520591817041,0.015008610885646895,1.5290016369518266e-07,6.259243043984628e-05,0.03997854764375299,100
ADCYAP1R1,1.1239528814184003,1.01732895830047,-3.41687943112845e-07,-0.006384857059456408,ADCYAP1R1,0.11553098448197767,0.009936531284237406,1.1878247593512476e-07,3.7308956780294015e-07,0.39728985989205645,100
ADGRB1,1.0126120180514067,1.0174556764527158,4.588598136301414e-07,-0.007549274838529527,ADGRB1,0.009524069484326898,0.007538671423823438,1.1086099352830556e-07,2.4869532737887836e-06,0.5126512515154392,100
ADGRF1,1.0915096038136587,1.0159008088949242,5.687628785722154e-09,0.016617382559925318,ADGRF1,0.03942784425865045,0.005407363978190182,9.983897656290822e-08,1.9565330594080166e-06,0.1559006127787925,100
