gene_name,in_degree_pagerank_positive,out_degree_pagerank_positive,oracle_score,suggested_perturbation,label,in_degree_pagerank_positive_se,out_degree_pagerank_positive_se,oracle_score_se,suggested_perturbation_se,oracle_score_pval_acat_fdr,k
A1BG,1.1810005011375708,1.0391324520804297,-7.5715890928051974e-06,0.055138489603996275,A1BG,0.13933583391314552,0.014568161795458607,6.3489344732680405e-06,0.00027770600844209805,0.8954382376763876,100
A2M,2.135089843994734,2.089129446825871,-9.445777715200166e-07,0.0010628859698772431,A2M,0.2533868973381302,0.22425878084195933,7.180297693539766e-06,2.9957271645557815e-05,0.9885109052089105,100
A4GALT,1.0391854300372512,1.0065007781179611,-4.715480508110659e-06,0.014171639494597911,A4GALT,0.021686000060115982,0.003719941627644169,7.85652669542724e-06,3.869672912146432e-05,0.9873235234320833,100
AADAC,6.738260505459516,6.745018662460694,-1.552081339326605e-05,-0.0006205476820468903,AADAC,0.23827410818650713,0.08351010924705257,7.042017765718699e-06,2.9356895808936634e-05,0.9017087926255702,100
AASDH,3.0735379147596347,3.164209669339343,1.8768243461231292e-05,0.0076503133773803715,AASDH,0.39413386012068263,0.2938004001034442,6.216993424284443e-06,0.00020174938567359236,0.8899809419511974,100
AATK,1.0000000451931377,1.0139780365464979,-4.9709462461109414e-05,0.014586838912218809,AATK,2.9063726946336403e-09,0.006810858235052099,8.464941686742214e-06,0.00014484792860577558,0.996747554940737,100
ABCB4,1.029107037414889,1.007222050838072,-2.1379918207671267e-05,0.014964240416884423,ABCB4,0.01691157727112893,0.00496177437914279,7.168232868155026e-06,0.0001192192476146623,0.7451695269130845,100
ABCC3,1.056747820128928,1.0207276393157816,-2.4741669116110642e-05,0.01635001141577959,ABCC3,0.03492895997737806,0.012126870910330979,6.822539178730708e-06,4.593476147845781e-05,0.955576690278199,100
ABCC8,1.0291165383006284,1.0163257386683304,3.809916735619368e-05,-0.023977562189102172,ABCC8,0.014952833657121212,0.012175057048436636,6.109577533696074e-06,0.00026224600966278375,0.9847194208160119,100
ABCG5,1.0220167933097841,1.0171805052186706,-2.4725809603580727e-05,0.013009681254625321,ABCG5,0.012902916131875369,0.009682338968527113,1.0158269305360977e-05,2.8301087883716992e-05,0.7207967732424417,100
ABHD6,1.0321034902149768,1.0229438648882054,-6.3194713781911105e-06,-0.004572833925485611,ABHD6,0.015220449024980648,0.012590618348867844,5.923637260085219e-06,9.468137324876046e-05,0.9311626762901145,100
ABI3BP,1.0196339286783735,1.0165101537752619,1.366694081756492e-05,-0.021175814904272557,ABI3BP,0.012209554952782952,0.00996386594524955,8.929838607495085e-06,0.00014765513058912324,0.7850041943762499,100
ACAD10,1.085205209248475,1.0210033582652682,-1.6438055878325032e-05,0.013831239882856608,ACAD10,0.04165635920713913,0.01341369773242104,6.5207463822466475e-06,0.00016464043693374244,0.7150029958378245,100
ACBD3-AS1,1.0949559884653524,1.004928936361505,6.55351438737739e-06,-0.009485830906778575,ACBD3-AS1,0.0592912558669604,0.00226745922780273,6.125844293647431e-06,4.118895715949917e-05,0.925868413204682,100
ACBD6,1.256986321648311,1.0169055513720127,2.2307091496998056e-05,0.028655464444309473,ACBD6,0.2026219077266235,0.009523154057747191,5.792116459701097e-06,0.00035961187356940754,0.9735052005981603,100
ACE2,1.1106380277872072,1.006136870113052,-2.570531760738959e-05,0.006700232336297632,ACE2,0.05612896301204832,0.0046486836614073965,8.164556073517077e-06,1.4552727194262335e-05,0.7347009467412415,100
ACER3,1.080621573690577,1.0222344508010717,-6.506759659856698e-06,-0.03950863167643547,ACER3,0.04257328985574417,0.010355918268698397,6.902199713126144e-06,0.00011639183674470326,0.996747554940737,100
ACKR1,1.0489891967256033,1.0185068226309482,-1.0902161606907157e-05,-0.00518423096742481,ACKR1,0.033595217559284025,0.010193897710349547,6.956498867472881e-06,1.0977648679998764e-05,0.9225113619671045,100
ACKR3,1.0257063855543118,1.0045354429684255,3.4172866224935206e-06,0.010272289700806141,ACKR3,0.013340394928387362,0.0040321670417478046,7.94753009059669e-06,1.8538190263398167e-05,0.7843098841182726,100
ACKR4,1.0085000453649753,1.0159034833610467,-1.4254774042541384e-05,-0.004457791680470109,ACKR4,0.008499999804558775,0.009830645111048131,7.212074985736836e-06,1.8773942506534533e-05,0.8965995386417657,100
ACP5,4.5062786946855935,4.791580784956838,-4.213529928179583e-05,-0.009919502176344394,ACP5,0.28072264685913395,0.2767698699339983,8.037852700189376e-06,3.113328074077267e-05,0.7150029958378245,100
ACSM1,1.0048185713026256,1.045605353681158,-1.2135348365802656e-05,0.01531050568446517,ACSM1,0.0048185265448690276,0.02136246259720374,5.965472368243387e-06,1.975799867246594e-05,0.9702031596329347,100
ACTA1,1.0170000462890239,1.006505122955837,-1.4992775136235537e-05,-0.013973481077700854,ACTA1,0.011959950515113834,0.0032508171719751794,8.994494550966489e-06,3.541616342289179e-05,0.7843098841182726,100
ACTA2,1.0085000462612734,1.0119350820847264,1.0757191918742138e-06,0.002069418889004737,ACTA2,0.008500001151263037,0.008845217723726675,7.419987113094139e-06,3.443585971797457e-05,0.6339138558841422,100
ACTB,6.334791624859489,6.826236269399978,-3.357643795837362e-05,-0.013397302040830254,ACTB,0.17534093608377824,0.09480871146077133,5.677122006869172e-06,0.00041978814873743696,0.955576690278199,100
ACTG1,1.0129146959373068,1.0176794903274209,-6.374673781408547e-06,-0.009384323451668024,ACTG1,0.009538400160526348,0.01236748543211307,6.178404950880114e-06,0.00026640977392672246,0.9768797307895306,100
ACTL10,1.008500045754695,1.0157189694892423,6.570336129243515e-06,-0.002865005573257804,ACTL10,0.008500000392267433,0.009888355483775318,5.402973384839099e-06,6.40243620137288e-05,0.9735052005981603,100
ACTN4,6.186241663190154,7.084562446367946,8.053167279342688e-06,-0.10425898998975754,ACTN4,0.13793965076169254,0.1442771462410371,5.9610380836710554e-06,0.00038888445595203105,0.8200394619527248,100
ACTR10,2.1993666484028895,2.0187913068980414,-1.7522838884183045e-05,-0.024769229404628276,ACTR10,0.26857269466435607,0.21414198687571714,7.633116879045467e-06,0.00018216889871733517,0.996747554940737,100
ACVRL1,1.0000000451931377,1.0022986306534,-1.5844957803281545e-05,0.0012312710273545235,ACVRL1,2.9063726946336403e-09,0.0019566337747719117,8.008670215156506e-06,1.5425885366217375e-05,0.8857283813701473,100
ADAM28,1.0530895402160503,1.0477294087162219,8.57108386639993e-06,-0.0071894416213035585,ADAM28,0.030315114541581208,0.018124197490561704,6.2822602019520675e-06,8.71974461435278e-06,0.9129995664434017,100
ADAM30,1.1385488223592442,1.240032181485278,-9.0090051983438e-06,0.002228228859603405,ADAM30,0.08133159746757665,0.11186374142216318,6.450390392335123e-06,6.562420309777687e-06,0.996747554940737,100
ADAMTS1,1.089368421035994,1.0128835224917574,-8.333231147474862e-06,-0.0007058063894510269,ADAMTS1,0.07110005624462935,0.009153106933758136,7.286671455817739e-06,2.9093037336530532e-05,0.9994402549827707,100
ADAMTS12,1.0340000476304494,1.0084894854435797,-1.8969752470354707e-06,-0.0011956479970831424,ADAMTS12,0.03400000229333783,0.0060286003682172755,6.898577339030352e-06,1.663442704843631e-05,0.9755829916849074,100
ADAMTS19-AS1,1.065018818322155,1.01250453232386,-7.926674669036516e-06,-0.0005717077240115032,ADAMTS19-AS1,0.04931887548498357,0.006190548197973749,6.2998407262141544e-06,3.811345056269426e-06,0.7392904366910207,100
ADAMTS4,1.0085000458214104,1.0334175163353292,-7.828508314418059e-06,0.008414606805890798,ADAMTS4,0.008500000492210915,0.0202895196322643,7.795260185901379e-06,3.324407282489051e-05,0.8276929079108727,100
ADAMTS5,1.989945273620151,1.0338548516580637,2.8969013446769055e-05,-0.026301599964499475,ADAMTS5,0.9469468168104127,0.01355568389088059,1.0383002435567094e-05,5.554232203984253e-05,0.955576690278199,100
ADAMTS7,1.0594142780078553,1.0126909673806188,-1.4913990162312984e-05,-0.014520774586126209,ADAMTS7,0.04468825973516118,0.0067427751300513025,6.6222819885043924e-06,1.5814700547404125e-05,0.9735052005981603,100
ADAMTS8,1.0631940265930127,1.0027778906996299,-8.421733511454477e-06,-0.0026832351041957735,ADAMTS8,0.04170546670225495,0.001632048654289268,6.24133947719907e-06,8.868404737336911e-06,0.8857283813701473,100
ADAMTS9,1.017407651501515,1.0031393305680454,-1.0348607402619336e-05,-0.008842882812023162,ADAMTS9,0.012250137157955043,0.0027455602387710934,7.5422537844450004e-06,2.9111895945407548e-05,0.9909286322631338,100
ADAMTS9-AS1,1.0621504177065046,1.0180958306273855,-7.364835095700073e-06,-0.013278385261073708,ADAMTS9-AS1,0.03610739263526136,0.009746023393828629,6.611723444148791e-06,2.9708672644052863e-06,0.9700085000962552,100
ADCY2,1.0320933696893042,1.014754962498918,-3.2526666607424205e-06,0.021294603645801543,ADCY2,0.02068655432157885,0.009432995485416408,6.399695761324669e-06,7.96200227143956e-05,0.9330351899135302,100
ADCY3,1.097709746378687,1.0154775120373223,-2.5018628577555546e-06,0.01376389130949974,ADCY3,0.06280629882791354,0.008013209938667732,6.01656141694163e-06,8.751967595147859e-05,0.8857283813701473,100
ADCY4,6.348962186566715,6.940017445486213,-1.9937840683468266e-05,0.014857326075434685,ADCY4,0.14443762312461467,0.12650631971919368,8.364518013505219e-06,5.035689883418462e-05,0.7612650353023761,100
ADCYAP1,6.440940884321396,6.76259572731426,1.7142367990636843e-05,-0.0315656915307045,ADCYAP1,0.14273127463188248,0.09505659771355635,6.737118104180358e-06,0.0002123073491365047,0.996747554940737,100
ADCYAP1R1,1.0342709594539188,1.0135138907381787,-6.830138293594245e-06,0.0040370663348585365,ADCYAP1R1,0.02965058525377446,0.008828833702421811,8.529057293549858e-06,3.038177079976705e-06,0.8344084909706393,100
ADGRB1,1.0526077221395653,1.01427996867149,-1.3015840022312375e-05,-0.0057210171548649665,ADGRB1,0.030248809292280278,0.007370069188596525,7.742042997016129e-06,1.6250888751718428e-05,0.8560012790286798,100
ADGRF1,1.006347374529074,1.0321178514168288,-3.6692231401502794e-06,0.0068415559735149145,ADGRF1,0.0063473293482056254,0.02006264473450826,5.7952766631209885e-06,1.0004666881083902e-05,0.9857324180429264,100
ADGRF2,1.080461801132988,1.0009744544965364,-6.471078745882153e-06,-0.0005229552229866386,ADGRF2,0.08046175591778762,0.0006896092757978422,7.44292206840312e-06,6.900611221586363e-06,0.8857283813701473,100
ADGRF5,1.0893994550020125,1.0133390894038796,-1.438353777210466e-05,0.00806723271496594,ADGRF5,0.04313292153269496,0.010502351446358893,5.655501583326165e-06,1.6294750696197523e-05,0.9679095691669771,100
ADGRL4,2.800651217316862,2.8335010633430198,1.1859754255993949e-06,-0.008007398834452032,ADGRL4,0.27887224920819975,0.27799630660781094,9.15933310346918e-06,2.5756703654578088e-05,0.9142687618861688,100
ADH1B,1.935593519588105,1.7088245094793433,4.42888835436861e-07,-0.00340251499786973,ADH1B,0.25826622541953115,0.2013583960532693,7.405685948162408e-06,3.7180486892266717e-06,0.9636102140278731,100
ADH1C,1.1322907441088719,1.017032436924997,3.4914252341842203e-05,0.017877900283783676,ADH1C,0.06297772698391436,0.009450370458584986,7.669958591793415e-06,5.9216194199389314e-05,0.7433965633681454,100
ADIPOQ,5.7464126111938425,6.096012885623494,-2.422119648386456e-06,-0.004874177812598646,ADIPOQ,0.2251718297202418,0.19813970991301896,6.40420260669017e-06,7.74178573802721e-06,0.9735506272331261,100
ADIPOQ-AS1,1.0085000460756484,1.0211747264276088,-1.0208521738945819e-05,-0.006904822704382241,ADIPOQ-AS1,0.008500000871623224,0.010806197959691491,8.302596043775867e-06,1.0631756056169762e-05,0.9024187117038154,100
ADIRF,5.197927187292934,5.60432872239128,6.237320103537059e-06,0.004412252763286233,ADIRF,0.2612797309271183,0.24409699867022755,6.017072256424747e-06,5.299749524984874e-05,0.9985057597160013,100
ADM,1.008500046974087,1.0281169767136826,1.2794739586610148e-05,-0.021769818291068076,ADM,0.008500002217039778,0.013121245088637,5.982473059603466e-06,0.00016151271994474065,0.8200394619527248,100
ADORA2A,1.0085000454167359,1.0219720673328443,7.473524620849048e-06,-0.008548096604645252,ADORA2A,0.008499999880831523,0.011930342918310277,6.533219095391142e-06,6.836656464197149e-05,0.8909866912585451,100
ADPGK-AS1,1.1681402159799403,1.0169789804833327,-6.732746337654305e-06,0.0033480717660859228,ADPGK-AS1,0.1681401713109139,0.009264225235343763,6.178944931436052e-06,2.1545102970379098e-05,0.9735052005981603,100
ADRA1A,1.040108220357737,1.037396488920216,-1.6433289272441697e-05,-0.01008429224602878,ADRA1A,0.024602357736763537,0.016596036540759973,7.238879734450471e-06,4.609336899017613e-06,0.955576690278199,100
ADRA2A,1.2603920054425657,1.006578391451544,5.562500273583737e-06,0.009822323061525822,ADRA2A,0.20493993963805163,0.003516520424869772,5.30143135515859e-06,0.00014480682968195759,0.996747554940737,100
ADRA2C,1.03974590666113,1.0140690517639273,-9.639932590062018e-06,0.01847668059170246,ADRA2C,0.029158142699458316,0.008905479319471086,7.33982568004524e-06,3.292521650840347e-05,0.9311626762901145,100
AEBP1,6.218732248450309,7.009110719091921,-3.863245987147934e-06,-0.004543650709092617,AEBP1,0.17561184219500472,0.12178550887573543,7.1299457070748015e-06,5.588827007078906e-05,0.9371498287806445,100
AFAP1L1,1.0755843523635606,1.0031040345729334,1.5656389541192082e-05,0.007785890158265829,AFAP1L1,0.05330072703059702,0.002724641279949415,8.018789139550081e-06,2.3836563823526218e-05,0.8567536755709688,100
AFF2,6.446870579907388,6.708377952704681,1.0421101097790598e-05,0.007885627141222358,AFF2,0.1504362618872581,0.05713664652969107,6.951760417607922e-06,2.9894819729174207e-05,0.9636102140278731,100
AGMAT,1.0170000469206426,1.0080383459150832,9.334835491543458e-06,-0.020893249176442624,AGMAT,0.01195995120114905,0.004981345251009477,5.649590092787935e-06,6.623173867940947e-05,0.9461854110189197,100
AGMO,1.0225902796202266,1.0098123452160508,2.2610687506414705e-05,-0.014456441225484014,AGMO,0.01706842413176704,0.008394132856503688,6.403639599390204e-06,7.08823318391519e-06,0.8216999123655806,100
AGO2,1.0034510239319454,1.0335148074574432,2.77848880188003e-06,0.002626619413495064,AGO2,0.003450978295451252,0.015384472027360216,8.014010445629445e-06,0.00025081027456243205,0.9768797307895306,100
AGPAT5,1.03372027965195,1.0174850285630133,-2.0517427559951785e-05,0.03146609166637063,AGPAT5,0.02444910047570467,0.009365086304901873,5.681062000043813e-06,0.0003572928284710732,0.930782689084392,100
AGR2,2.1956154724861525,1.3602294258308603,1.146224068087065e-06,-0.008803806602954864,AGR2,0.7457601238405014,0.13616720481129657,6.099369060481965e-06,7.338435684923636e-05,0.9311626762901145,100
AGR3,1.0208280458353962,1.003765706939109,-1.9220380555395876e-06,0.011447257734835148,AGR3,0.012505173412353018,0.0030364777041207705,7.0897382262336215e-06,5.0870164039015904e-05,0.9860614382021676,100
AGRN,1.0177453452977365,1.0165042444609456,-1.879257740736051e-05,0.007449599951505661,AGRN,0.0131042633009055,0.00992112795444206,8.108859384951705e-06,4.934238257949046e-05,0.9311626762901145,100
AGRP,1.0956980654799608,1.0253447766257582,-3.036845138581157e-05,-0.005067390971817076,AGRP,0.08752583151142554,0.010886845908238055,6.412802877834748e-06,5.062777124110251e-05,0.9311626762901145,100
AGT,6.55816782390348,6.8012287273123855,-4.166373186848205e-05,0.002882627436192706,AGT,0.16876048641428035,0.09593197087641113,9.77634754860458e-06,0.00010278036572482063,0.4122401362156322,100
AGXT,1.0133413147718386,1.00149214981642,-3.2390721457886687e-07,0.0006873453035950661,AGXT,0.009739432964138562,0.0011284683680026378,7.683390903229148e-06,2.4985516050798972e-05,0.8344084909706393,100
AGXT2,1.182935788368814,1.0097893837068241,-2.5639254938525368e-05,-0.0010082555672852322,AGXT2,0.1589810683826946,0.008560086416526402,5.455250181476561e-06,7.874620196019147e-06,0.996747554940737,100
AHNAK,1.0592641160648162,1.0241066127131433,2.2205910930495067e-06,-0.0008540201187133789,AHNAK,0.036561793009183906,0.011978784563012476,7.975337460490469e-06,9.782501902603948e-05,0.8954382376763876,100
