gene_name,in_degree_pagerank_positive,out_degree_pagerank_positive,oracle_score,suggested_perturbation,label,in_degree_pagerank_positive_se,out_degree_pagerank_positive_se,oracle_score_se,suggested_perturbation_se,oracle_score_pval_acat_fdr,k
A1BG,1.0162651221290548,1.019017086504949,0.0001834195048922993,0.048470597080886364,A1BG,0.010126597119594972,0.005230360756123648,1.1536258028816395e-05,7.289410642875646e-05,0.03511474242371378,100
A2M,1.0005958431916258,1.0085940703243284,-2.2925341860968727e-05,0.009017045982182026,A2M,0.00034295405142259516,0.005711147812226958,8.667005887605892e-06,3.2675126087443485e-06,0.43697033857066414,100
A4GALT,1.0518940730889645,1.0221158203849288,4.5775275521009465e-05,0.013547576256096363,A4GALT,0.036450873760977456,0.009812051561851902,8.842585867650905e-06,5.621193873698709e-06,0.13591141205092308,100
AADAC,1.214576353887193,1.0038245945040527,0.00028412155426849495,-0.028548052161931993,AADAC,0.18364282389235612,0.0019238354137738243,1.2285811497067704e-05,3.83640150339309e-06,5.0180323795074334e-05,100
AASDH,7.591660566288946,4.682224219401206,0.00023966128523170483,0.06433047220110893,AASDH,0.331404548233882,0.10968273724498376,1.2260807270674624e-05,3.563606866174327e-05,0.0006805508540707574,100
AATK,1.1118579552072085,1.0369684749670145,0.00017347922760905022,-0.028200987949967383,AATK,0.03849930194057212,0.020427264032577136,1.1731131965114336e-05,2.135901378354512e-05,0.004146859612159675,100
ABCB4,1.068190909599003,1.004761832140087,-3.4432130805726045e-05,0.009338150918483733,ABCB4,0.04511989512798713,0.0026888058502860025,9.500479152359234e-06,1.432101450348333e-05,0.21386019826131583,100
ABCC3,6.443440089156387,6.5808793663492064,3.429353053320483e-05,-0.001289270460838452,ABCC3,0.0894881323181986,0.08610352007118185,7.657431991219475e-06,6.5447469135208884e-06,0.2637070795384607,100
ABCC8,1.0556114316022638,1.0131052500694695,-1.0588750142233038e-05,-0.035039887726306916,ABCC8,0.02666583699992838,0.0037359744654136147,9.949480230192185e-06,3.948484142974349e-05,0.3552880350660441,100
ABCG5,7.808283667859841,6.036229718630213,-2.49891858877227e-05,-0.006030898140743375,ABCG5,0.5384079183331488,0.17146838459575375,8.212414413390111e-06,3.9232180937418e-06,0.5361350127360213,100
ABHD6,1.0251697226366163,1.001531667644728,3.4970538310972186e-05,0.011019139289855958,ABHD6,0.0109139407583376,0.0006702398218476171,8.581429079750735e-06,1.6657581760231602e-05,0.8764020055280477,100
ABI3BP,6.683383571836559,6.8137794034340695,-2.3936206526968818e-05,-0.020688852071762086,ABI3BP,0.18409127895263352,0.09336745605288783,8.910082534805192e-06,1.543504643999559e-05,0.8529121727702009,100
ACAD10,1.0096688464164374,1.0083988375231419,-0.00019591992718005714,0.002488002390600741,ACAD10,0.001722505801871998,0.0043871443472420285,1.0339728040030364e-05,2.7844440372043054e-05,0.0029991403515370395,100
ACBD3-AS1,1.0000000104500024,1.0283303205325434,0.00014372343908632956,-0.009961729533970357,ACBD3-AS1,6.643854105672346e-10,0.01378222553952758,1.110315189750153e-05,3.4656867210493313e-06,3.462656266875871e-05,100
ACBD6,1.085040257948273,1.028480013857312,7.546799829583506e-05,0.021365919578820468,ACBD6,0.04291030718494741,0.01401971881206981,1.0760254766894345e-05,6.148582023469307e-05,0.03388714411007578,100
ACE2,1.0455886162659092,1.0097774830908837,-6.963577903604801e-05,0.0068358553620055315,ACE2,0.02942631014875634,0.006642986314050024,8.003132652456276e-06,2.9086454632624767e-06,0.05220567797462027,100
ACER3,6.5753736240774865,1.589538716853097,-5.8570614285144985e-05,-0.03012552045285702,ACER3,0.2826470439126224,0.058822528902812886,9.54954621569617e-06,2.5213439909758923e-05,0.979114179218983,100
