gene_name,in_degree_pagerank_positive,out_degree_pagerank_positive,oracle_score,suggested_perturbation,label,in_degree_pagerank_positive_se,out_degree_pagerank_positive_se,oracle_score_se,suggested_perturbation_se,oracle_score_pval_acat_fdr,k
A1BG,1.0747811319607778,1.0122177224968867,0.001831331010980648,-0.015287037193775176,A1BG,0.06020950881124203,0.008534800017405567,0.00024411970965278985,7.598330532262198e-05,0.27762087961960813,100
A2M,1.0282174877767813,1.0235064698915992,0.0003874783234015311,-0.0008392320573329926,A2M,0.023193600835469202,0.011197151476744664,0.00019439928156366062,8.369522012470279e-06,0.9906821483475481,100
A4GALT,1.0170068517254052,1.0032496062721816,0.0006390289260559712,0.003403092138469219,A4GALT,0.010368829610049885,0.002403104660290899,0.00020041021543572247,4.419308314758011e-06,0.4775240626686627,100
AADAC,1.008680899536897,1.0053520773311937,0.0013576613610755573,-0.010328539758920669,AADAC,0.008553012264633396,0.003891885667744773,0.0002237606100148212,6.8008933088498055e-06,0.44268082889724586,100
AASDH,1.0542561994194721,1.0104489985616416,0.0010752312428303412,-0.01240605367347598,AASDH,0.027614482638353737,0.005631088322017753,0.00020939616619360964,5.138283348795195e-05,0.9480337368837645,100
AATK,1.0325994208839426,1.0240373711585697,0.0025289351183788254,-0.008817080836743117,AATK,0.0193953802941307,0.007747302344152907,0.0002489597769060288,2.177042423212395e-05,0.26610397400523766,100
ABCB4,1.0090420512158778,1.0162175692837223,0.0014939389141845538,-0.029851016700267793,ABCB4,0.008914611860663845,0.009310409214708215,0.0002256872944539318,1.285861459224484e-05,0.5303119231327592,100
ABCC3,6.726778290773559,6.472579125118133,0.00036038719800643546,0.0020618068799376486,ABCC3,0.14881206320267254,0.09088534252634176,0.00020447233361279785,1.3969207903990146e-05,0.843087754485821,100
ABCC8,1.1624263242183206,1.037180100837743,0.004463722101791063,-0.0277578866481781,ABCC8,0.12691121680170608,0.015080468835932148,0.00031395721041253556,7.215964483935606e-05,0.03758284290970237,100
ABCG5,1.0249617486067897,1.0423630379843722,-0.0003220562926824755,0.00019948231056332588,ABCG5,0.012652614194092948,0.01687972729520024,0.00022068407999263493,6.814220820746523e-06,0.6721738031944052,100
ABHD6,4.20931626387225,3.9108064614598885,0.0006434483550214054,0.019352762401103972,ABHD6,0.461923052758687,0.3011049224725991,0.0001696209435081875,3.0161199349455347e-05,0.9751342699084136,100
ABI3BP,6.855885352253413,6.691134465836962,0.0006712648176754499,0.00282084334641695,ABI3BP,0.3388462119047252,0.0989607421936611,0.00017376453931430936,7.535772299451287e-06,0.73467923849806,100
ACAD10,1.0541986360613345,1.0155135482027702,0.0008489969374346629,-0.012997909476980566,ACAD10,0.05002065310388729,0.005616399678436658,0.00019931182103577932,3.2612785272833344e-05,0.29533633206121873,100
ACBD3-AS1,1.0623060730920664,1.0200685273401593,0.0006963666523873257,-0.006797038903459907,ACBD3-AS1,0.03996826317272046,0.011360719127832142,0.00017733818856267858,5.296525488988376e-06,0.5329024339814404,100
ACBD6,1.0160319677594705,1.037000537537812,0.00221707584638807,0.05398514598608017,ACBD6,0.009782284173066416,0.016184251484245616,0.00026716949528454205,9.065019811060039e-05,0.30022413278638144,100
ACE2,1.0255000601528963,1.024103492631134,0.008177706183341798,-0.02145635524764657,ACE2,0.014572962704730363,0.012327019165280992,0.00039631410685464697,8.401470452050908e-06,9.288708927569116e-05,100
ACER3,1.0127355527624133,1.016917638044462,-0.00021773291882936973,-0.0028115221858024597,ACER3,0.008967504083978148,0.009619343057361162,0.00013400385816368486,3.605082365212291e-05,0.7153658949637811,100
ACKR1,1.0086792117796404,1.015009481694121,-0.000798081862965887,-0.008452194873243571,ACKR1,0.008500079518691502,0.007190049374974539,0.00019278115280567891,1.3183400263907095e-06,0.6800206779509035,100
ACKR3,6.6956678444219015,6.64706904326468,0.0003020185314142054,-0.0022922203689813613,ACKR3,0.1314999699037427,0.04934404805834709,0.00017452873120387492,8.563426504669184e-06,0.8114201888940132,100
ACKR4,1.0553027109757727,1.0229803965012036,0.000586751457387038,0.012693245150148868,ACKR4,0.027944714496889844,0.010037844094127193,0.00017637612078089826,7.553031851942084e-06,0.5143058777559891,100
ACP5,6.752814247210281,6.728613436038862,0.0009391087939937393,0.0062305014580488205,ACP5,0.27701871432005454,0.130972089961853,0.00020810953051230213,6.6954820176146384e-06,0.6770678606327264,100
ACSM1,1.0893862730439454,1.0181856241961436,0.0006195704100764488,0.0016691887320484965,ACSM1,0.08124616879720785,0.010728378198570691,0.00017274941824678593,8.359611015101534e-06,0.6908584347344371,100
ACTA1,6.609459999191358,6.3656482611870375,2.3727141378913075e-05,0.00020290067419409752,ACTA1,0.27161776674466176,0.12807590836188198,0.0001830138838385729,5.502124363629591e-06,0.4038036741319244,100
ACTA2,1.0085000588341544,1.02496222905917,0.0005509338468223746,0.0069126778235659,ACTA2,0.008500000963978769,0.011265774444771224,0.00018090096104653048,7.877594594526673e-06,0.5756611205283311,100
ACTB,1.0786078040431235,1.006714173338737,6.37029364747832e-05,-0.05401687771081924,ACTB,0.05049025930429899,0.0037652728227996917,0.00016195117138098066,0.00011463526441409566,0.9889452449076713,100
ACTG1,1.0738434398138632,1.2584282516628327,-0.0013147363712386095,-0.0862498889118433,ACTG1,0.04429836284227938,0.04955071534475221,0.0002276380465897048,7.816296276183788e-05,0.1746609330133027,100
ACTL10,1.3713378859902052,1.0410835026081116,0.0027904502257274544,-0.001808147793635726,ACTL10,0.24128218871579693,0.015344446701380559,0.0002969543705282782,1.4380626723971254e-05,0.2213737872207108,100
ACTN4,1.1611130824778675,1.0133106191110042,0.0003847198726302281,0.007665787637233734,ACTN4,0.07856362736410749,0.009640847227716968,0.00018602745510703942,9.036489094917638e-05,0.6017094184482882,100
ACTR10,1.046870680568507,1.0338363094314056,0.0005822263927510818,0.01678712582215667,ACTR10,0.03158449690555097,0.013977600177141,0.0002129135781997546,4.5279210347037095e-05,0.45067450901397516,100
ACVRL1,1.1153841720384134,1.0488103137468032,-0.0011621677311779877,0.020523465294390916,ACVRL1,0.10706680522618064,0.017450185713057852,0.0002013030039578494,3.99670865697137e-06,0.31650493871926677,100
ADAM28,1.051904018304794,1.0123714503795735,4.996252968382464e-05,-0.0007074991054832935,ADAM28,0.035428826332536904,0.010896959571288115,0.0001896415277649176,1.947492089239672e-06,0.9648983253071405,100
ADAM30,7.074907666533765,6.569171358005713,9.969408084028686e-05,-0.0002838443219661713,ADAM30,0.4320460900756052,0.10770101928971434,0.00016961862475003712,9.424863383214335e-07,0.7634510191187796,100
ADAMTS1,1.0586176120813555,1.000103557263009,0.001027349609107233,0.008266254086047411,ADAMTS1,0.03615572098276056,0.00010347422001072365,0.000220447851951718,5.7956829857839415e-06,0.7255805017335357,100
